Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,22.2,22.73,22.12,22.22,20.43,5224600
2010-01-04,22.45,22.63,22.27,22.39,20.58,3815500
2010-01-05,22.32,22.33,22.0,22.15,20.36,4186000
2010-01-06,22.07,22.17,22.0,22.07,20.28,3243700
2010-01-07,22.02,22.05,21.82,22.04,20.26,3095100
2010-01-08,21.92,22.07,21.75,22.03,20.25,3733900
2010-01-11,22.09,22.21,21.94,22.05,20.26,4781500
2010-01-12,21.86,21.92,21.62,21.78,20.02,2871000
2010-01-13,21.8,22.02,21.49,21.95,20.18,3418900
2010-01-14,21.88,22.35,21.82,22.28,20.48,6163700
2010-01-15,22.33,22.43,21.7,21.77,20.01,4626600
2010-01-19,21.72,22.05,21.71,22.03,20.25,3563600
2010-01-20,21.84,21.94,21.6,21.91,20.14,4589000
2010-01-21,22.17,22.25,21.59,21.83,20.07,6081400
2010-01-22,21.71,21.71,20.81,20.87,19.18,4263000
2010-01-25,21.04,21.21,20.91,21.07,19.36,3608500
2010-01-26,21.01,21.1,20.73,20.95,19.26,2696800
2010-01-27,20.89,20.95,20.55,20.87,19.18,4362100
2010-01-28,20.84,21.01,20.38,20.52,18.86,4937100
2010-01-29,20.69,20.87,19.97,20.05,18.43,5923000
2010-02-01,20.14,20.97,20.12,20.84,19.15,5585400
2010-02-02,20.9,21.17,20.81,21.1,19.4,5884700
2010-02-03,21.02,21.38,21.0,21.13,19.42,6085600
2010-02-04,20.96,21.07,20.7,20.79,19.11,6632300
2010-02-05,20.68,20.93,20.16,20.87,19.18,9546600
2010-02-08,20.89,21.23,20.84,20.89,19.2,6924100
2010-02-09,21.12,21.26,20.87,21.04,19.34,5150600
2010-02-10,21.07,21.09,20.66,20.92,19.23,3255500
2010-02-11,20.92,21.18,20.58,21.0,19.3,6982400
2010-02-12,21.92,21.99,21.15,21.44,19.71,11457800
2010-02-16,21.63,21.7,21.44,21.64,19.89,6559500
2010-02-17,21.72,21.99,21.55,21.91,20.14,4891100
2010-02-18,21.87,22.17,21.77,22.16,20.37,3313900
2010-02-19,22.06,22.37,21.9,22.32,20.51,4186100
2010-02-22,22.38,22.38,22.07,22.28,20.48,4038100
2010-02-23,22.24,22.29,21.84,22.07,20.28,4366300
2010-02-24,22.15,22.35,22.07,22.34,20.53,3945800
2010-02-25,22.06,22.27,21.62,22.24,20.44,4778500
2010-02-26,22.3,22.55,22.16,22.5,20.68,4678100
2010-03-01,22.48,22.98,22.48,22.95,21.1,4723500
2010-03-02,22.89,23.28,22.78,23.15,21.28,6018200
2010-03-03,23.19,23.28,23.1,23.2,21.33,6419600
2010-03-04,23.22,23.22,22.78,23.08,21.21,6100100
2010-03-05,23.48,23.78,23.34,23.72,21.8,7695200
2010-03-08,23.68,23.71,23.48,23.61,21.7,7017800
2010-03-09,23.56,23.84,23.51,23.8,21.87,7083300
2010-03-10,23.75,24.14,23.67,24.08,22.13,4696700
2010-03-11,23.88,24.03,23.78,24.02,22.08,3942300
2010-03-12,24.05,24.16,23.84,23.91,21.97,4015700
2010-03-15,23.83,23.96,23.63,23.83,21.9,3619200
2010-03-16,23.88,24.02,23.76,23.91,21.97,3285900
2010-03-17,23.92,24.06,23.83,23.88,21.95,3926000
2010-03-18,23.82,24.02,23.72,23.93,22.0,4494700
2010-03-19,23.91,24.08,23.7,23.91,21.97,5882500
2010-03-22,23.79,24.2,23.67,24.12,22.17,3946600
2010-03-23,24.16,24.47,24.08,24.4,22.43,5195800
2010-03-24,24.31,24.4,24.22,24.25,22.29,3791500
2010-03-25,24.39,24.86,24.37,24.71,22.72,6941300
2010-03-26,24.79,24.82,24.4,24.54,22.56,4705800
2010-03-29,24.54,24.82,24.52,24.61,22.62,5377600
2010-03-30,24.65,24.82,24.64,24.76,22.76,5980300
2010-03-31,24.71,24.74,24.53,24.6,22.61,5293300
2010-04-01,24.71,24.94,24.5,24.71,22.72,3105000
2010-04-05,24.74,24.92,24.71,24.91,22.89,3731900
2010-04-06,24.78,24.81,24.62,24.72,22.72,3499000
2010-04-07,24.66,24.71,24.41,24.53,22.55,3269500
2010-04-08,24.39,24.43,24.0,24.31,22.35,4199800
