Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,7.61,7.62,7.52,7.53,6.44,352410800
2010-01-04,7.62,7.66,7.59,7.64,6.54,493729600
2010-01-05,7.66,7.7,7.62,7.66,6.55,601904800
2010-01-06,7.66,7.69,7.53,7.53,6.45,552160000
2010-01-07,7.56,7.57,7.47,7.52,6.44,477131200
2010-01-08,7.51,7.57,7.47,7.57,6.48,447610800
2010-01-11,7.6,7.61,7.44,7.5,6.42,462229600
2010-01-12,7.47,7.49,7.37,7.42,6.35,594459600
2010-01-13,7.42,7.53,7.29,7.52,6.44,605892000
2010-01-14,7.5,7.52,7.47,7.48,6.4,432894000
2010-01-15,7.53,7.56,7.35,7.35,6.29,594067600
2010-01-19,7.44,7.69,7.4,7.68,6.57,730007600
2010-01-20,7.68,7.7,7.48,7.56,6.47,612152800
2010-01-21,7.57,7.62,7.4,7.43,6.36,608154400
2010-01-22,7.39,7.41,7.04,7.06,6.04,881767600
2010-01-25,7.23,7.31,7.15,7.25,6.21,1065699600
2010-01-26,7.36,7.63,7.24,7.36,6.29,1867110000
2010-01-27,7.39,7.52,7.13,7.42,6.35,1722568400
2010-01-28,7.32,7.34,7.1,7.12,6.09,1173502400
2010-01-29,7.18,7.22,6.79,6.86,5.87,1245952400
2010-02-01,6.87,7.0,6.83,6.95,5.95,749876400
2010-02-02,7.0,7.01,6.91,6.99,5.99,698342400
2010-02-03,6.97,7.15,6.94,7.12,6.09,615328000
2010-02-04,7.03,7.08,6.84,6.86,5.87,757652000
2010-02-05,6.88,7.0,6.82,6.98,5.97,850306800
2010-02-08,6.99,7.07,6.93,6.93,5.93,478270800
2010-02-09,7.01,7.05,6.96,7.01,6.0,632886800
2010-02-10,7.0,7.02,6.94,6.97,5.96,370361600
2010-02-11,6.96,7.13,6.93,7.1,6.07,550345600
2010-02-12,7.08,7.2,6.98,7.16,6.12,655468800
2010-02-16,7.21,7.27,7.2,7.26,6.22,543737600
2010-02-17,7.29,7.3,7.17,7.23,6.19,436396800
2010-02-18,7.2,7.28,7.18,7.25,6.2,422825200
2010-02-19,7.21,7.26,7.18,7.2,6.16,415469600
2010-02-22,7.23,7.23,7.11,7.16,6.12,390563600
2010-02-23,7.14,7.19,6.99,7.04,6.02,575094800
2010-02-24,7.08,7.19,7.07,7.17,6.13,460566400
2010-02-25,7.05,7.24,7.03,7.21,6.17,665126000
2010-02-26,7.23,7.33,7.21,7.31,6.25,507460800
2010-03-01,7.35,7.48,7.34,7.46,6.39,550093600
2010-03-02,7.5,7.53,7.42,7.46,6.38,566546400
2010-03-03,7.46,7.5,7.43,7.48,6.4,372052800
2010-03-04,7.47,7.53,7.45,7.53,6.44,366041200
2010-03-05,7.68,7.85,7.67,7.82,6.69,899620400
2010-03-08,7.86,7.86,7.79,7.82,6.69,429889600
2010-03-09,7.8,8.04,7.78,7.97,6.82,920259200
2010-03-10,7.99,8.05,7.97,8.03,6.87,596218000
2010-03-11,8.0,8.05,7.98,8.05,6.89,405700400
2010-03-12,8.12,8.13,8.06,8.09,6.92,416323600
2010-03-15,8.05,8.05,7.87,7.99,6.84,493502800
2010-03-16,8.01,8.03,7.95,8.02,6.86,446908000
2010-03-17,8.03,8.09,7.97,8.0,6.85,450956800
2010-03-18,8.0,8.04,7.95,8.02,6.87,342109600
2010-03-19,8.03,8.04,7.9,7.94,6.79,559445600
2010-03-22,7.87,8.07,7.86,8.03,6.87,456419600
2010-03-23,8.06,8.17,8.0,8.16,6.98,602431200
2010-03-24,8.13,8.22,8.13,8.19,7.01,597780400
2010-03-25,8.25,8.25,8.08,8.09,6.93,542284400
2010-03-26,8.18,8.28,8.16,8.25,7.06,640875200
2010-03-29,8.32,8.35,8.27,8.3,7.1,540744400
2010-03-30,8.45,8.48,8.37,8.42,7.21,527310000
2010-03-31,8.41,8.45,8.37,8.39,7.18,430659600
2010-04-01,8.48,8.53,8.31,8.43,7.21,603145200
2010-04-05,8.39,8.52,8.38,8.52,7.29,684507600
2010-04-06,8.51,8.58,8.46,8.56,7.32,447017200
2010-04-07,8.56,8.64,8.52,8.59,7.35,628502000
