Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,41.68,41.8,41.5,41.5,33.01,2001000
2010-01-04,41.52,42.2,41.5,42.07,33.46,3650100
2010-01-05,42.1,42.45,41.98,42.33,33.67,2613000
2010-01-06,42.09,42.9,41.81,42.78,34.03,5772100
2010-01-07,42.5,42.9,42.24,42.74,34.0,4022900
2010-01-08,42.51,43.06,42.19,42.57,33.86,5069700
2010-01-11,42.44,42.81,42.23,42.53,33.83,4231900
2010-01-12,42.21,43.62,42.2,42.26,33.62,5557100
2010-01-13,42.45,42.93,42.2,42.74,34.0,4496800
2010-01-14,42.72,43.29,42.6,43.12,34.3,3312500
2010-01-15,42.96,43.59,42.74,42.81,34.05,4734200
2010-01-19,42.69,43.83,42.5,43.75,34.8,5343600
2010-01-20,43.36,43.89,43.05,43.51,34.61,4409900
2010-01-21,43.44,43.78,42.86,43.09,34.28,4578300
2010-01-22,43.02,43.02,41.89,42.18,33.55,4903400
2010-01-25,42.54,42.54,41.62,41.88,33.31,3665700
2010-01-26,41.76,42.19,41.53,41.83,33.27,3459000
2010-01-27,41.91,42.5,41.53,41.93,33.35,4562300
2010-01-28,42.15,42.15,41.1,41.29,32.84,4773300
2010-01-29,41.64,41.97,40.94,40.99,32.61,4618100
2010-02-01,41.16,41.6,40.91,41.19,32.76,3540100
2010-02-02,41.39,41.84,40.8,41.62,33.11,3817900
2010-02-03,41.55,41.69,41.39,41.6,33.09,2555100
2010-02-04,41.38,41.38,40.56,40.61,32.3,4069400
2010-02-05,40.21,40.75,39.7,40.54,32.25,5850400
2010-02-08,40.43,40.57,39.9,40.17,31.95,4514200
2010-02-09,40.47,40.78,40.18,40.24,32.01,4525700
2010-02-10,40.33,40.55,39.63,40.02,31.83,4885800
2010-02-11,40.02,40.6,39.61,40.27,32.03,4753300
2010-02-12,40.34,40.54,39.8,40.49,32.21,3347700
2010-02-16,40.7,40.84,40.22,40.84,32.49,2420000
2010-02-17,41.12,41.12,40.66,40.79,32.45,2480300
2010-02-18,40.84,41.34,40.73,41.31,32.86,2309400
2010-02-19,40.26,41.41,40.26,40.87,32.51,5039200
2010-02-22,40.99,41.09,40.55,40.7,32.38,2421400
2010-02-23,40.59,40.86,40.24,40.26,32.03,2600900
2010-02-24,40.42,40.63,40.24,40.28,32.04,3261600
2010-02-25,40.01,40.17,39.55,39.75,31.62,5548700
2010-02-26,39.75,40.25,39.72,39.97,31.79,4534000
2010-03-01,39.88,40.45,39.88,40.09,31.89,4157800
2010-03-02,40.32,40.92,40.25,40.6,32.3,3726700
2010-03-03,40.76,40.91,40.52,40.64,32.33,3194000
2010-03-04,40.56,41.0,40.44,40.91,32.54,3642900
2010-03-05,41.09,41.47,40.83,41.18,32.76,2781800
2010-03-08,41.06,41.61,41.06,41.46,32.98,4536100
2010-03-09,41.2,42.31,41.2,42.06,33.46,4826300
2010-03-10,41.96,42.15,41.67,42.06,33.46,3192100
2010-03-11,41.78,42.07,41.67,42.0,33.41,3282900
2010-03-12,42.29,42.39,41.78,42.12,33.5,2755900
2010-03-15,42.24,42.57,42.03,42.5,33.81,2619800
2010-03-16,42.58,42.6,41.57,42.0,33.41,4625500
