Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,31.72,31.91,31.55,31.58,23.93,1445100
2010-01-04,31.79,32.19,31.61,31.67,24.0,2102700
2010-01-05,31.67,31.81,31.41,31.62,23.96,2040100
2010-01-06,31.71,31.85,31.34,31.56,23.92,2105000
2010-01-07,31.46,31.65,31.07,31.31,23.73,2033400
2010-01-08,31.2,31.51,31.0,31.49,23.87,2393100
2010-01-11,31.58,31.59,30.84,31.31,23.73,2963900
2010-01-12,30.55,30.75,29.7,30.01,22.74,6868800
2010-01-13,30.2,30.2,29.39,30.0,22.74,5327100
2010-01-14,30.0,30.05,29.38,29.97,22.71,5073700
2010-01-15,29.85,29.85,28.93,28.96,21.95,5807800
2010-01-19,29.03,29.55,29.02,29.47,22.33,3906700
2010-01-20,29.52,29.52,28.55,28.93,21.93,4657200
2010-01-21,29.13,29.52,28.78,29.06,22.02,4415200
2010-01-22,29.1,29.1,27.66,27.76,21.04,4761400
2010-01-25,27.87,28.32,27.78,28.01,21.23,2937000
2010-01-26,27.74,27.99,27.55,27.6,20.92,3203300
2010-01-27,27.43,28.0,27.37,27.7,20.99,4760700
2010-01-28,27.66,27.7,26.62,27.15,20.58,7521600
2010-01-29,27.6,27.95,26.76,26.96,20.43,7080100
2010-02-01,27.05,27.61,26.92,27.52,20.86,4133900
2010-02-02,27.55,27.93,27.35,27.78,21.05,2902000
2010-02-03,27.62,27.87,27.47,27.65,20.96,2201000
2010-02-04,27.44,27.44,26.5,26.5,20.08,5900100
2010-02-05,26.5,26.95,26.38,26.9,20.39,5844800
2010-02-08,26.98,27.15,26.48,26.8,20.31,5526400
2010-02-09,27.21,27.56,26.92,27.12,20.55,4841300
2010-02-10,27.03,27.42,26.82,27.05,20.5,4745300
2010-02-11,27.18,27.98,26.93,27.67,20.97,8066300
2010-02-12,27.51,28.2,27.19,27.99,21.21,7836200
2010-02-16,28.6,28.69,28.14,28.6,21.68,6318100
2010-02-17,28.67,28.85,28.01,28.38,21.51,6629000
2010-02-18,28.96,29.8,28.53,29.57,22.41,10230000
2010-02-19,29.36,30.0,29.28,29.75,22.55,3853400
2010-02-22,29.95,30.04,29.59,29.89,22.65,4298200
2010-02-23,29.77,29.88,28.92,29.15,22.09,6081200
2010-02-24,29.3,29.66,29.21,29.49,22.35,3698100
2010-02-25,29.2,29.63,28.75,29.63,22.46,4270500
2010-02-26,29.79,29.79,28.98,29.24,22.16,3606800
2010-03-01,29.31,29.85,29.3,29.82,22.6,3629400
2010-03-02,29.91,30.14,29.45,29.62,22.45,4293600
2010-03-03,29.62,29.76,29.16,29.19,22.27,2398800
2010-03-04,29.3,29.4,28.89,29.07,22.18,2814600
2010-03-05,29.3,29.79,29.12,29.5,22.51,3195700
2010-03-08,29.43,29.6,29.33,29.52,22.52,2995700
