Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,37.06,37.18,36.37,36.37,30.72,297500
2010-01-04,36.91,38.24,36.9,38.09,32.17,712900
2010-01-05,38.7,38.7,37.6,38.02,32.11,398900
2010-01-06,37.96,38.48,37.89,38.09,32.17,717200
2010-01-07,38.03,38.17,37.8,37.82,31.94,603700
2010-01-08,37.66,38.57,37.66,38.39,32.42,759000
2010-01-11,38.64,38.79,37.86,38.22,32.28,763000
2010-01-12,37.89,38.04,37.4,37.69,31.83,323400
2010-01-13,37.9,38.11,37.49,38.07,32.15,330500
2010-01-14,38.01,38.29,37.71,37.92,32.02,221100
2010-01-15,38.8,38.89,37.64,37.89,32.0,450400
2010-01-19,37.97,38.37,37.89,38.37,32.4,474100
2010-01-20,37.91,38.08,37.59,37.96,32.06,360900
2010-01-21,37.89,38.29,37.12,37.12,31.35,624700
2010-01-22,37.0,37.29,35.97,36.09,30.48,607800
2010-01-25,36.63,37.1,36.4,36.5,30.83,831500
2010-01-26,37.11,38.78,37.08,37.37,31.56,1156200
2010-01-27,37.26,37.62,36.55,36.86,31.13,669000
2010-01-28,36.95,37.04,36.01,36.44,30.77,545300
2010-01-29,36.56,36.87,35.72,35.72,30.17,852200
2010-02-01,35.95,36.35,35.8,36.25,30.61,1012700
2010-02-02,36.38,37.12,35.99,36.9,31.16,951800
2010-02-03,36.78,37.3,36.55,36.63,30.94,704100
2010-02-04,36.22,36.48,35.39,35.39,29.89,486000
2010-02-05,35.48,35.68,34.49,35.16,29.69,759400
2010-02-08,35.2,35.3,34.56,34.86,29.44,682600
2010-02-09,35.58,35.65,34.93,35.32,29.83,440500
2010-02-10,35.11,35.53,34.59,35.38,29.88,417500
2010-02-11,35.3,35.96,34.96,35.87,30.29,407100
2010-02-12,35.41,36.65,35.32,36.6,30.91,788700
2010-02-16,36.92,37.71,36.77,37.71,31.85,633600
2010-02-17,37.88,38.04,37.52,37.77,31.9,946500
2010-02-18,37.77,38.11,37.76,37.87,31.98,708300
2010-02-19,37.84,38.29,37.7,38.13,32.2,462500
2010-02-22,38.34,38.34,37.82,38.14,32.21,285400
2010-02-23,37.92,38.2,36.74,36.97,31.22,710900
2010-02-24,37.04,37.36,36.66,36.88,31.15,734400
2010-02-25,36.43,37.08,36.11,36.91,31.17,648700
2010-02-26,37.05,37.53,36.67,37.49,31.66,632600
2010-03-01,37.56,39.46,37.56,39.44,33.31,1212000
2010-03-02,39.86,40.86,39.85,40.33,34.06,1359800
2010-03-03,40.29,40.63,40.09,40.35,34.08,597800
2010-03-04,40.32,40.74,40.08,40.29,34.03,338200
2010-03-05,40.52,41.44,40.34,41.17,34.77,565400
2010-03-08,41.08,41.77,41.08,41.25,34.84,466500
2010-03-09,41.0,41.29,40.6,41.0,34.63,360000
2010-03-10,40.91,41.49,40.7,41.33,34.9,358300
2010-03-11,40.91,41.4,40.46,41.4,35.08,359300
2010-03-12,41.66,42.09,41.66,41.94,35.54,863300
2010-03-15,41.85,42.42,41.75,42.2,35.76,760200
2010-03-16,42.41,42.72,42.3,42.6,36.1,924800
2010-03-17,42.78,43.0,42.67,42.83,36.29,485600
2010-03-18,42.7,43.0,42.46,42.85,36.31,331500
2010-03-19,42.24,43.11,42.17,42.24,35.79,646200
2010-03-22,41.97,43.2,41.8,43.05,36.48,431000
2010-03-23,43.17,43.38,42.66,43.2,36.61,420400
2010-03-24,43.04,43.12,42.4,42.51,36.02,428700
2010-03-25,42.93,43.14,41.8,41.83,35.45,455100
2010-03-26,41.87,42.24,41.01,41.47,35.14,869000
2010-03-29,41.71,42.6,41.71,42.15,35.72,745500
2010-03-30,42.29,42.65,41.94,42.53,36.04,427900
2010-03-31,42.4,43.8,42.38,42.63,36.13,993700
2010-04-01,43.16,43.44,42.46,42.87,36.33,571400
2010-04-05,42.93,43.24,42.78,43.16,36.57,467300
2010-04-06,43.01,43.67,42.78,43.62,36.96,638000
2010-04-07,43.65,44.05,43.37,43.61,36.96,540300
2010-04-08,43.37,43.7,42.9,43.68,37.01,311600
2010-04-09,43.76,44.31,43.44,44.31,37.55,333100
2010-04-12,44.37,44.5,43.31,43.51,36.87,454300
2010-04-13,43.37,43.38,42.93,43.14,36.56,614200
2010-04-14,43.44,44.61,43.34,44.52,37.73,674800
2010-04-15,44.39,44.75,44.18,44.51,37.72,487600
2010-04-16,44.39,44.86,43.82,43.9,37.2,657600
2010-04-19,43.63,43.86,42.88,43.73,37.06,451100
2010-04-20,44.14,44.28,43.75,44.2,37.46,368300
2010-04-21,44.35,44.4,43.74,43.82,37.13,778700
2010-04-22,43.49,44.14,43.43,43.92,37.22,1313800
2010-04-23,44.11,44.77,43.39,44.66,37.85,1208000
2010-04-26,44.55,45.32,44.43,44.79,37.96,721200
2010-04-27,44.69,45.54,44.0,44.25,37.5,1851700
2010-04-28,44.72,45.69,44.11,45.24,38.34,1314600
2010-04-29,45.78,46.75,45.6,46.49,39.4,867100
2010-04-30,46.57,46.97,45.57,45.66,38.69,891400
2010-05-03,46.0,46.34,45.57,46.0,38.98,1112800
2010-05-04,45.33,45.45,43.99,44.43,37.65,1219500
2010-05-05,43.98,44.06,42.97,43.13,36.55,1010400
2010-05-06,42.84,43.56,38.48,40.79,34.57,2202500
2010-05-07,40.43,40.43,38.31,39.23,33.24,2738400
2010-05-10,41.12,43.63,41.12,42.65,36.14,1386500
2010-05-11,42.08,43.02,41.61,42.26,35.81,1140300
2010-05-12,42.47,43.52,42.47,43.47,36.84,797600
2010-05-13,43.13,43.67,42.92,43.12,36.54,517400
