Date,Open,High,Low,Close,Adj Close,Volume
2013-11-18,49.75,50.0,47.49,48.48,45.78,587100
2013-11-19,48.99,49.0,45.3,45.8,43.25,1682000
2013-11-20,45.98,46.0,43.99,44.65,42.16,1106900
2013-11-21,44.5,45.15,43.04,43.79,41.35,730200
2013-11-22,43.9,44.1,43.25,43.99,41.54,947600
2013-11-25,44.28,45.62,43.7,44.18,41.72,727300
2013-11-26,45.0,45.0,43.04,43.2,40.79,873700
2013-11-27,43.55,43.55,42.5,43.24,40.83,1153300
2013-11-29,42.75,43.85,42.75,43.24,40.83,949900
2013-12-02,43.08,43.67,41.52,43.14,40.74,5130700
2013-12-03,42.8,44.85,42.7,42.9,40.51,3239300
2013-12-04,42.43,42.61,41.65,41.83,39.5,2777700
2013-12-05,42.28,42.28,40.63,41.05,38.76,3380500
2013-12-06,40.75,41.06,40.64,40.7,38.43,4662300
2013-12-09,40.7,41.27,40.24,41.18,38.89,3074000
2013-12-10,41.07,42.84,41.04,42.56,40.19,3289400
2013-12-11,42.32,43.02,42.0,42.46,40.09,3367300
2013-12-12,42.01,43.1,42.0,42.97,40.58,1770500
2013-12-13,42.92,43.8,42.92,43.25,40.84,683800
2013-12-16,43.01,43.99,42.11,43.69,41.26,1953900
2013-12-17,43.43,44.0,43.16,43.75,41.31,1396700
2013-12-18,43.65,44.5,43.1,44.27,41.8,1225200
2013-12-19,43.96,44.5,43.82,44.45,41.97,593000
2013-12-20,44.3,44.45,43.91,44.26,41.79,2878600
2013-12-23,44.17,44.85,43.55,44.65,42.16,773600
2013-12-24,44.76,45.02,44.25,44.58,42.1,304700
2013-12-26,44.86,45.01,44.44,44.7,42.21,513200
2013-12-27,44.77,44.97,44.09,44.64,42.15,393300
2013-12-30,44.45,44.88,44.0,44.12,41.66,381500
2013-12-31,44.23,44.5,43.76,44.19,41.73,874200
2014-01-02,44.08,44.18,43.27,43.65,41.22,992900
2014-01-03,43.57,44.32,43.17,43.96,41.51,378400
2014-01-06,43.97,43.98,43.37,43.68,41.25,597800
2014-01-07,42.16,43.98,42.16,43.87,41.43,1371300
2014-01-08,44.02,44.36,43.4,43.88,41.43,1407100
2014-01-09,43.89,44.25,43.84,44.13,41.67,1093500
2014-01-10,44.17,46.08,44.02,45.73,43.18,2008600
2014-01-13,45.7,47.44,45.2,47.04,44.42,2278500
2014-01-14,47.16,47.89,46.91,47.8,45.14,2338200
