Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,14.05,14.14,13.92,13.94,11.19,9030100.0
2010-01-04,14.05,14.57,14.03,14.3,11.48,18615100.0
2010-01-05,14.24,14.38,14.04,14.19,11.39,15173200.0
2010-01-06,14.23,14.4,14.1,14.16,11.37,13704800.0
2010-01-07,14.14,14.21,13.96,14.01,11.25,21543200.0
2010-01-08,14.24,14.59,14.11,14.55,11.68,41212100.0
2010-01-11,14.84,14.94,14.45,14.87,11.94,33667800.0
2010-01-12,14.76,14.77,14.03,14.2,11.4,40350900.0
2010-01-13,14.29,14.42,13.92,14.27,11.46,25137300.0
2010-01-14,14.22,14.38,14.02,14.35,11.52,26920500.0
2010-01-15,14.16,14.34,13.67,13.73,11.02,36020100.0
2010-01-19,13.77,14.02,13.75,13.97,11.22,14620900.0
2010-01-20,13.83,13.89,13.65,13.8,11.08,19220200.0
2010-01-21,13.86,14.09,13.52,13.58,10.9,25265000.0
2010-01-22,13.35,13.39,12.61,12.63,10.14,48104300.0
2010-01-25,12.66,12.94,12.59,12.64,10.15,39765000.0
2010-01-26,12.72,13.01,12.64,12.65,10.16,36897100.0
2010-01-27,12.75,13.07,12.69,13.04,10.47,30448800.0
2010-01-28,13.08,13.09,12.35,12.61,10.13,35016600.0
2010-01-29,12.78,12.85,12.15,12.18,9.78,25601600.0
2010-02-01,12.34,12.56,12.23,12.52,10.05,20227300.0
2010-02-02,12.59,12.59,12.35,12.51,10.05,21525000.0
2010-02-03,12.35,12.48,12.12,12.28,9.86,36170300.0
2010-02-04,12.22,12.22,11.66,11.8,9.48,40737400.0
2010-02-05,11.8,12.27,11.68,12.23,9.82,43781500.0
2010-02-08,12.25,12.33,12.03,12.07,9.69,17976400.0
2010-02-09,12.24,12.4,12.04,12.15,9.76,21123700.0
2010-02-10,12.2,12.32,12.1,12.23,9.82,17213400.0
2010-02-11,12.22,12.53,12.06,12.47,10.01,18388100.0
2010-02-12,12.3,12.72,12.15,12.47,10.01,23748600.0
2010-02-16,12.67,12.97,12.56,12.95,10.4,21663600.0
2010-02-17,13.09,13.15,12.75,12.99,10.43,25202600.0
2010-02-18,12.78,12.79,12.31,12.68,10.18,45212200.0
2010-02-19,12.62,12.64,12.35,12.5,10.04,29090400.0
2010-02-22,12.53,12.59,12.39,12.45,10.05,22697700.0
2010-02-23,12.45,12.48,11.94,12.01,9.69,30237000.0
2010-02-24,12.08,12.42,12.05,12.27,9.9,25624000.0
2010-02-25,12.07,12.25,11.94,12.22,9.86,21748200.0
2010-02-26,12.27,12.3,12.03,12.24,9.88,15882200.0
2010-03-01,12.3,12.5,12.29,12.5,10.09,16465100.0
2010-03-02,12.55,12.64,12.35,12.42,10.02,22421700.0
2010-03-03,12.45,12.55,12.34,12.39,10.0,17029600.0
2010-03-04,12.4,12.48,12.09,12.26,9.89,27418900.0
2010-03-05,12.33,12.43,12.23,12.29,9.92,23992500.0
2010-03-08,12.52,12.53,12.31,12.36,9.97,29715700.0
2010-03-09,12.3,12.42,12.24,12.29,9.92,24562200.0
2010-03-10,12.29,12.55,12.26,12.53,10.11,35119100.0
2010-03-11,12.5,12.52,12.28,12.41,10.01,30593800.0
2010-03-12,12.55,12.55,12.3,12.36,9.97,25069900.0
2010-03-15,12.33,12.33,12.12,12.23,9.87,23660300.0
2010-03-16,12.23,12.49,12.2,12.45,10.05,29795900.0
2010-03-17,12.5,12.69,12.45,12.66,10.21,27773300.0
2010-03-18,12.67,12.77,12.53,12.63,10.19,18686400.0
2010-03-19,12.67,12.71,12.37,12.49,10.08,24762900.0
2010-03-22,12.44,12.82,12.39,12.78,10.31,26257100.0
2010-03-23,12.82,13.32,12.8,13.24,10.68,39649700.0
2010-03-24,13.18,13.23,12.91,13.0,10.49,34127100.0
2010-03-25,13.1,13.38,13.09,13.16,10.62,38278400.0
2010-03-26,13.28,13.45,13.01,13.21,10.66,30090900.0
2010-03-29,13.28,13.45,13.22,13.31,10.74,27827600.0
2010-03-30,13.38,13.6,13.23,13.45,10.85,39364900.0
2010-03-31,13.44,13.75,13.43,13.47,10.87,40814400.0
2010-04-01,13.63,13.73,13.27,13.35,10.77,37110700.0
2010-04-05,13.42,13.61,13.37,13.52,10.91,29330500.0
2010-04-06,13.43,13.56,13.39,13.48,10.88,16452500.0
2010-04-07,13.47,13.71,13.37,13.58,10.96,20870600.0
2010-04-08,13.5,13.5,13.3,13.34,10.76,29173200.0
2010-04-09,13.36,13.47,13.31,13.47,10.87,15446100.0
2010-04-12,13.5,13.74,13.42,13.63,11.0,24211600.0
2010-04-13,13.6,13.84,13.56,13.8,11.13,28384400.0
2010-04-14,14.04,14.5,14.0,14.41,11.63,45410300.0
2010-04-15,14.45,14.49,14.26,14.34,11.57,22965700.0
2010-04-16,14.27,14.45,14.18,14.36,11.59,33765600.0
2010-04-19,14.26,14.39,13.99,14.3,11.54,25694500.0
2010-04-20,14.37,14.46,14.23,14.46,11.67,18477900.0
