Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,39.11,39.24,38.8,38.82,29.94,1196700
2010-01-04,39.1,39.97,38.92,39.88,30.76,2238700
2010-01-05,39.77,40.81,39.73,40.81,31.48,2782200
2010-01-06,41.37,41.55,40.86,41.38,31.92,3575200
2010-01-07,41.3,41.95,41.1,41.69,32.16,2992900
2010-01-08,41.38,41.9,41.34,41.84,32.27,1463600
2010-01-11,41.98,42.98,41.91,42.38,32.69,3510700
2010-01-12,42.06,42.43,41.32,41.7,32.16,2711400
2010-01-13,41.91,42.28,41.42,42.21,32.56,2946700
2010-01-14,41.99,42.19,41.59,42.02,32.41,1698400
2010-01-15,41.8,41.85,41.45,41.62,32.1,2017600
2010-01-19,41.49,42.2,41.29,42.06,32.44,2086500
2010-01-20,41.75,41.95,41.32,41.9,32.32,1721200
2010-01-21,41.88,42.15,40.34,40.75,31.43,2616500
2010-01-22,40.68,40.92,39.67,39.76,30.67,2967100
2010-01-25,40.28,40.96,40.07,40.43,31.19,1541200
2010-01-26,40.18,40.88,39.89,40.1,30.93,1996400
2010-01-27,40.14,40.93,39.88,40.91,31.56,1991000
2010-01-28,41.18,41.28,39.22,39.97,30.83,2013300
2010-01-29,40.1,40.15,38.01,38.24,29.5,4036600
2010-02-01,38.5,39.83,38.41,39.76,30.67,2153600
2010-02-02,39.97,40.52,39.57,39.98,30.84,2020400
2010-02-03,39.75,40.0,39.03,39.19,30.23,2333500
2010-02-04,39.36,39.55,37.62,37.62,29.02,4183000
2010-02-05,37.52,38.1,36.14,37.93,29.26,3264200
2010-02-08,37.62,38.02,37.23,37.23,28.72,2631600
2010-02-09,37.65,38.07,36.99,37.93,29.26,3471500
2010-02-10,37.55,38.76,37.55,38.54,29.86,3022800
2010-02-11,38.41,38.5,37.91,38.06,29.49,2574500
2010-02-12,37.7,38.32,37.14,38.26,29.64,2551400
2010-02-16,38.61,39.27,38.32,39.26,30.42,1964000
2010-02-17,39.45,39.97,39.21,39.82,30.85,2164500
2010-02-18,39.76,39.89,39.53,39.78,30.82,1631000
2010-02-19,39.61,40.38,39.56,40.14,31.1,2382300
2010-02-22,40.19,40.77,40.11,40.48,31.36,1535900
2010-02-23,40.31,40.49,39.59,39.77,30.81,1826000
2010-02-24,39.92,40.69,39.75,40.65,31.5,2459600
2010-02-25,39.9,40.26,39.58,40.17,31.12,4720200
2010-02-26,40.36,40.36,39.84,40.03,31.02,2232700
2010-03-01,40.18,40.5,39.82,40.29,31.22,1734100
2010-03-02,40.42,40.63,40.28,40.5,31.38,2380300
2010-03-03,40.74,40.99,40.47,40.66,31.5,1492800
2010-03-04,40.73,41.3,40.65,41.26,31.97,2376500
2010-03-05,41.59,43.0,41.58,42.9,33.24,3868200
2010-03-08,43.01,43.13,42.44,43.04,33.35,2299500
2010-03-09,42.8,43.03,42.38,42.8,33.16,2724500
2010-03-10,42.92,43.23,42.59,42.85,33.2,3196000
2010-03-11,42.71,42.85,42.24,42.85,33.2,1802700
2010-03-12,43.03,43.58,43.0,43.33,33.57,1792300
2010-03-15,43.17,43.54,42.81,43.45,33.67,1927300
2010-03-16,43.56,44.04,43.36,43.97,34.07,1468200
2010-03-17,44.28,45.05,44.05,44.88,34.77,1715900
2010-03-18,44.71,45.1,44.54,44.82,34.73,1364700
2010-03-19,44.18,45.22,44.06,44.18,34.23,2563400
2010-03-22,43.75,44.45,43.16,44.39,34.39,1705700
2010-03-23,44.28,44.84,44.05,44.69,34.63,1620800
2010-03-24,44.44,44.91,44.25,44.68,34.62,1722400
2010-03-25,45.0,45.88,44.68,44.7,34.63,2345800
2010-03-26,44.56,44.76,43.72,43.96,34.06,2515300
2010-03-29,44.18,44.55,43.95,44.5,34.48,1734600
2010-03-30,44.5,45.45,44.34,45.27,35.08,2377000
2010-03-31,44.96,45.63,44.9,45.36,35.15,2482200
2010-04-01,45.91,46.17,45.55,46.17,35.77,2242800
2010-04-05,46.27,46.6,45.82,46.24,35.83,2876000
2010-04-06,46.02,46.09,45.55,45.99,35.63,2856400
2010-04-07,45.73,45.97,45.05,45.29,35.09,3277600
2010-04-08,45.18,46.07,45.03,46.01,35.65,1671600
2010-04-09,46.32,46.32,45.85,46.16,35.77,1471400
2010-04-12,46.12,46.79,46.12,46.72,36.2,2185400
2010-04-13,46.53,47.67,46.42,47.59,36.87,2746000
2010-04-14,47.89,48.4,47.6,48.33,37.45,2236000
2010-04-15,48.23,48.35,47.93,48.22,37.36,2665600
2010-04-16,47.93,48.26,46.51,47.12,36.51,2397500
2010-04-19,46.81,47.92,46.54,47.67,36.94,2155900
2010-04-20,48.03,48.46,47.58,48.45,37.54,1436500
2010-04-21,48.39,48.57,47.78,48.37,37.48,1574100
2010-04-22,47.94,48.71,47.44,48.58,37.64,1687300
2010-04-23,48.4,49.31,48.22,49.05,38.0,2765500
2010-04-26,49.0,49.54,48.45,48.51,37.59,2936000
2010-04-27,46.89,47.26,44.68,44.93,34.81,5477600
2010-04-28,45.44,46.9,45.44,46.47,36.01,4197500
2010-04-29,46.94,48.25,46.8,48.1,37.27,2174000
2010-04-30,47.92,48.13,46.35,46.36,35.92,2658000
2010-05-03,46.67,47.62,46.62,47.5,36.8,1720300
2010-05-04,46.6,47.08,45.6,45.92,35.58,1935200
2010-05-05,44.98,46.4,44.86,45.51,35.4,2192500
2010-05-06,45.28,46.02,40.56,43.68,33.98,4470100
2010-05-07,43.67,44.11,42.07,42.54,33.09,2687800
2010-05-10,44.43,45.68,44.18,45.65,35.51,2967100
2010-05-11,45.07,47.17,45.07,46.18,35.92,4691500
2010-05-12,46.34,46.46,45.74,46.32,36.03,2392600
2010-05-13,46.09,46.14,45.25,45.25,35.2,1513500
2010-05-14,44.75,44.75,42.84,43.39,33.75,3407500
2010-05-17,43.4,44.02,42.24,43.18,33.59,2938400
2010-05-18,43.66,43.94,41.12,41.41,32.21,4728600
2010-05-19,41.01,41.8,40.55,41.24,32.08,4360200
2010-05-20,40.14,40.41,38.14,38.51,29.96,7622200
2010-05-21,37.83,40.47,37.39,40.41,31.43,5193100
2010-05-24,40.45,40.45,38.92,39.01,30.34,3253200
2010-05-25,37.85,38.53,36.82,38.45,29.91,8755500
2010-05-26,39.08,39.83,38.66,38.72,30.12,4479000
2010-05-27,39.49,40.99,39.13,40.94,31.85,3462300
2010-05-28,40.79,40.86,39.54,39.79,30.95,2133800
2010-06-01,39.38,39.68,38.72,38.79,30.17,2327700
2010-06-02,39.11,40.34,38.46,40.3,31.35,2735400
2010-06-03,40.31,40.57,39.61,40.24,31.3,2268300
2010-06-04,39.22,39.51,38.26,38.41,29.88,3077600
2010-06-07,38.59,38.98,37.5,37.53,29.19,2805600
2010-06-08,37.69,38.23,36.73,38.12,29.65,3765300
2010-06-09,38.42,39.32,37.75,37.89,29.47,2507900
2010-06-10,38.4,39.15,38.13,39.07,30.39,2253000
2010-06-11,38.64,39.53,38.62,39.47,30.7,1666100
2010-06-14,39.78,40.45,39.44,39.48,30.71,2278600
2010-06-15,39.9,40.63,39.65,40.55,31.54,1855600
2010-06-16,40.24,41.06,40.03,40.74,31.69,2184300
2010-06-17,40.96,40.96,39.41,39.93,31.06,1924800
2010-06-18,40.09,40.09,39.55,39.76,30.93,1916200
2010-06-21,40.36,40.72,39.58,39.75,30.92,1576600
2010-06-22,39.74,40.28,39.05,39.11,30.42,1766400
2010-06-23,39.24,39.35,38.45,38.65,30.06,1592200
2010-06-24,38.41,38.56,37.65,37.76,29.37,1732900
2010-06-25,38.16,38.72,37.49,38.49,29.94,2959100
2010-06-28,38.58,38.64,37.94,38.05,29.6,1177100
2010-06-29,38.02,38.02,35.85,35.99,28.0,5362100
2010-06-30,36.1,36.87,36.03,36.13,28.1,3811500
2010-07-01,36.05,36.38,34.68,35.83,27.87,3313900
2010-07-02,36.17,36.53,35.7,36.18,28.14,3733400
2010-07-06,36.89,37.42,36.05,36.47,28.37,2830500
2010-07-07,36.66,38.16,36.62,38.14,29.67,3152000
2010-07-08,38.69,39.33,37.72,38.22,29.73,2770300
2010-07-09,38.23,39.09,37.94,39.0,30.34,1448100
2010-07-12,38.85,38.85,38.14,38.61,30.03,1544600
2010-07-13,39.06,39.74,39.02,39.58,30.79,2036200
2010-07-14,39.31,39.62,38.88,39.42,30.66,2066000
2010-07-15,39.46,39.65,38.48,39.2,30.49,2311700
2010-07-16,38.67,38.92,37.41,37.55,29.21,3344700
2010-07-19,37.66,37.81,36.96,37.7,29.33,1754600
2010-07-20,36.9,38.41,36.81,38.38,29.85,2031500
2010-07-21,39.01,39.01,37.17,37.31,29.02,2422500
2010-07-22,37.83,39.0,37.76,38.83,30.2,2247600
2010-07-23,38.65,39.1,38.25,38.65,30.06,2528400
2010-07-26,38.69,38.76,38.15,38.5,29.95,4472100
2010-07-27,38.86,39.1,38.36,38.74,30.13,3247100
2010-07-28,38.48,38.81,38.17,38.28,29.78,2536800
2010-07-29,42.66,43.82,41.12,42.98,33.43,8814300
2010-07-30,42.28,42.8,42.05,42.39,32.97,4416600
2010-08-02,43.17,43.64,42.62,43.61,33.92,3261500
2010-08-03,43.51,43.54,42.56,42.82,33.31,2987000
2010-08-04,42.8,43.28,42.47,43.23,33.77,1816800
2010-08-05,42.89,43.45,42.57,43.4,33.9,1719500
2010-08-06,42.79,43.22,42.26,42.95,33.55,2476000
2010-08-09,43.35,44.11,43.09,43.92,34.31,1963000
2010-08-10,43.51,44.47,42.9,44.22,34.54,2916200
2010-08-11,43.36,43.71,43.0,43.05,33.63,5374000
2010-08-12,42.27,43.07,42.18,42.77,33.41,3405300
2010-08-13,42.69,43.25,42.17,42.2,32.96,2341200
2010-08-16,41.92,42.86,41.74,42.54,33.23,1992300
2010-08-17,43.08,44.61,42.88,44.52,34.78,3244600
2010-08-18,44.45,45.06,44.05,44.72,34.93,3054000
2010-08-19,44.44,44.77,43.42,43.45,33.94,2655600
2010-08-20,43.04,43.37,42.28,43.13,33.69,2763400
2010-08-23,43.15,43.62,43.04,43.21,33.75,1925600
2010-08-24,42.53,43.24,42.18,42.19,32.96,3842600
2010-08-25,41.97,42.77,40.79,42.56,33.25,3499900
2010-08-26,42.86,43.09,42.0,42.19,32.96,2573500
2010-08-27,42.55,43.72,41.84,43.71,34.14,2829100
2010-08-30,43.47,43.81,43.17,43.23,33.77,3183900
2010-08-31,42.66,43.71,42.65,43.58,34.04,3415000
2010-09-01,44.21,45.81,44.21,45.75,35.74,4046200
2010-09-02,45.64,46.22,45.63,46.17,36.07,2725600
2010-09-03,46.64,47.27,46.42,47.22,36.89,3110100
2010-09-07,46.7,46.93,46.05,46.44,36.28,2330300
2010-09-08,46.53,47.62,46.48,46.99,36.71,1752300
2010-09-09,47.78,47.89,46.9,47.23,36.89,1960900
2010-09-10,47.36,47.36,46.74,47.21,36.88,1779500
2010-09-13,47.98,48.21,47.8,48.2,37.65,2292400
2010-09-14,47.94,48.28,47.58,47.79,37.33,2177500
2010-09-15,47.29,47.6,47.15,47.41,37.03,3036300
2010-09-16,47.27,47.66,46.98,47.36,36.99,2030300
2010-09-17,47.74,48.05,47.43,47.62,37.2,2332100
