Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,38.74,38.74,38.34,38.34,33.7,949700
2010-01-04,38.45,38.5,37.81,37.94,33.35,3407100
2010-01-05,37.72,37.85,37.51,37.7,33.14,4986100
2010-01-06,37.75,37.79,37.5,37.69,33.13,1816600
2010-01-07,37.82,37.82,37.46,37.58,33.03,1740900
2010-01-08,37.53,37.89,37.35,37.89,33.3,1980600
2010-01-11,38.1,38.2,37.88,38.05,33.44,1444800
2010-01-12,38.0,38.2,37.85,37.99,33.39,1444100
2010-01-13,38.0,38.25,37.75,38.06,33.45,910400
2010-01-14,37.88,37.88,37.5,37.76,33.19,1553500
2010-01-15,37.53,37.78,37.39,37.56,33.01,3660800
2010-01-19,37.57,38.0,37.33,37.83,33.25,1270800
2010-01-20,37.45,38.2,37.4,38.09,33.48,2593900
2010-01-21,38.01,38.46,37.9,38.2,33.58,2212900
2010-01-22,38.27,38.83,38.25,38.53,33.87,2752500
2010-01-25,38.85,39.07,38.68,38.93,34.22,1833900
2010-01-26,38.79,39.29,38.79,39.04,34.31,2105200
2010-01-27,39.22,39.26,38.78,39.18,34.44,2135300
2010-01-28,39.25,39.25,38.87,39.02,34.43,2735000
2010-01-29,39.02,39.19,38.8,38.9,34.32,2207700
2010-02-01,39.1,39.27,38.6,38.79,34.22,3274100
2010-02-02,38.79,39.46,38.61,39.46,34.82,1497800
2010-02-03,39.31,39.5,39.14,39.31,34.68,1314800
2010-02-04,38.99,39.19,38.45,38.81,34.24,2819900
2010-02-05,38.88,39.89,38.72,39.71,35.04,5676000
2010-02-08,39.68,40.05,39.48,39.65,34.98,2752500
2010-02-09,39.92,40.03,39.61,39.83,35.14,1764500
2010-02-10,39.78,39.96,39.42,39.64,34.97,1287100
2010-02-11,39.53,39.72,39.18,39.41,34.77,1359700
2010-02-12,39.16,39.88,39.16,39.81,35.12,2295400
2010-02-16,40.03,40.09,39.44,39.9,35.2,1358600
2010-02-17,40.06,40.51,39.49,40.28,35.54,1909500
2010-02-18,40.06,40.5,40.06,40.27,35.53,1394900
2010-02-19,40.26,40.7,40.0,40.57,35.8,1829300
2010-02-22,40.53,40.6,40.35,40.46,35.7,1147600
