Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,22.71,22.77,22.37,22.41,17.04,787700
2010-01-04,22.41,22.86,22.41,22.65,17.22,2176100
2010-01-05,22.67,22.91,22.59,22.88,17.39,1843600
2010-01-06,22.89,23.15,22.83,23.0,17.48,2089400
2010-01-07,23.12,23.15,22.9,23.05,17.52,1353200
2010-01-08,23.1,23.18,22.82,23.0,17.48,1359100
2010-01-11,23.0,23.77,22.94,23.23,17.66,2313500
2010-01-12,23.25,23.25,23.0,23.12,17.58,1117500
2010-01-13,23.08,23.32,23.0,23.22,17.65,703600
2010-01-14,23.12,23.15,22.88,22.98,17.47,1173700
2010-01-15,23.06,23.06,22.43,22.6,17.18,996700
2010-01-19,22.69,22.81,22.5,22.5,17.1,779500
2010-01-20,22.59,22.6,22.21,22.45,17.07,1438800
2010-01-21,22.47,22.62,22.09,22.11,16.81,1280400
2010-01-22,22.17,22.18,21.64,22.06,16.77,1491400
2010-01-25,22.23,22.37,21.96,22.15,16.84,1004800
2010-01-26,21.85,22.18,21.39,22.02,16.74,660000
2010-01-27,22.0,22.2,21.75,22.02,16.74,1078100
2010-01-28,22.02,22.1,21.6,21.66,16.47,1195200
2010-01-29,21.67,22.02,21.57,21.8,16.57,1422600
2010-02-01,21.89,22.18,21.83,22.14,16.83,878200
2010-02-02,22.22,22.41,22.03,22.1,16.8,816200
2010-02-03,22.1,22.36,21.77,22.36,17.0,933300
2010-02-04,22.11,22.3,21.75,21.75,16.53,1156400
2010-02-05,21.84,21.92,21.34,21.68,16.48,836200
2010-02-08,21.67,21.88,21.53,21.61,16.43,669000
2010-02-09,21.7,21.9,21.37,21.4,16.27,811300
2010-02-10,21.38,21.61,21.2,21.57,16.4,681900
2010-02-11,21.6,21.93,21.4,21.82,16.59,1097000
2010-02-12,21.74,22.16,21.55,22.16,16.85,906600
2010-02-16,22.19,22.2,21.99,22.12,16.98,759900
2010-02-17,22.21,22.41,22.09,22.21,17.05,1092700
2010-02-18,22.26,22.53,22.16,22.51,17.28,751800
2010-02-19,22.55,22.99,22.45,22.88,17.56,1019400
2010-02-22,22.98,23.0,22.65,22.69,17.41,431300
2010-02-23,22.71,22.77,22.32,22.45,17.23,916100
2010-02-24,22.48,22.56,22.12,22.26,17.08,639500
