Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,97.78,98.7,96.46,96.46,96.46,52100
2010-01-04,97.33,98.01,96.92,97.87,97.87,46900
2010-01-05,97.8,99.96,96.0,99.58,99.58,83300
2010-01-06,99.27,100.99,98.6,100.35,100.35,71100
2010-01-07,101.46,102.0,100.83,101.54,101.54,99600
2010-01-08,101.55,102.99,100.73,101.05,101.05,44600
2010-01-11,101.64,101.64,99.93,100.82,100.82,54500
2010-01-12,100.45,100.78,99.91,100.47,100.47,27400
2010-01-13,100.42,101.78,100.11,101.62,101.62,32200
2010-01-14,101.72,101.99,100.83,101.78,101.78,19500
2010-01-15,101.86,102.09,98.78,99.81,99.81,42300
2010-01-19,99.35,99.97,98.28,98.97,98.97,77200
2010-01-20,98.2,98.36,97.25,98.09,98.09,70400
2010-01-21,97.73,97.99,96.12,97.18,97.18,57700
2010-01-22,96.88,98.05,95.14,95.51,95.51,123400
2010-01-25,95.86,95.86,89.82,94.4,94.4,135000
2010-01-26,93.59,95.17,93.21,94.58,94.58,30700
2010-01-27,94.36,95.84,93.09,94.91,94.91,65000
2010-01-28,95.13,95.22,94.13,94.45,94.45,40500
2010-01-29,94.16,94.4,93.18,93.18,93.18,63200
2010-02-01,93.58,95.28,92.33,94.6,94.6,69600
2010-02-02,94.49,95.47,93.53,94.71,94.71,46200
2010-02-03,94.63,94.87,93.54,94.47,94.47,24400
2010-02-04,93.8,93.95,92.38,92.75,92.75,35600
2010-02-05,92.48,92.6,89.96,91.72,91.72,40100
2010-02-08,91.62,92.72,91.48,92.47,92.47,41100
2010-02-09,92.95,94.94,92.64,93.58,93.58,80700
2010-02-10,93.1,93.18,90.38,92.35,92.35,55600
2010-02-11,92.07,93.46,92.02,93.02,93.02,31400
2010-02-12,92.5,93.91,92.11,93.91,93.91,46300
2010-02-16,94.29,95.22,93.12,94.52,94.52,44700
2010-02-17,94.55,96.18,94.55,95.63,95.63,29000
2010-02-18,95.89,96.59,95.49,96.03,96.03,19200
2010-02-19,95.64,96.48,95.0,95.68,95.68,44700
2010-02-22,95.94,97.46,95.71,97.4,97.4,43300
2010-02-23,97.44,97.78,96.13,96.94,96.94,36900
