Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,40.97,41.09,40.42,40.48,23.15,1541900
2010-01-04,41.22,41.5,41.0,41.24,23.59,5888000
2010-01-05,41.43,43.82,41.24,43.66,24.97,10663400
2010-01-06,43.37,46.03,43.37,45.84,26.22,10315800
2010-01-07,45.7,46.22,45.21,46.17,26.41,5608800
2010-01-08,45.85,47.18,45.65,47.1,26.94,4875600
2010-01-11,47.47,47.98,46.26,46.6,26.65,6026300
2010-01-12,46.1,46.62,45.43,45.71,26.14,5533200
2010-01-13,45.93,46.75,44.95,46.55,26.62,3961800
2010-01-14,46.25,47.75,46.25,47.53,27.18,4990600
2010-01-15,47.67,47.95,46.55,47.28,27.04,6627700
2010-01-19,46.97,48.11,46.78,48.05,27.48,3592500
2010-01-20,47.41,47.63,46.05,47.14,26.96,4840100
2010-01-21,46.94,48.08,46.59,46.63,26.67,8282300
2010-01-22,46.39,46.39,44.21,44.27,25.32,7313700
2010-01-25,44.17,45.64,43.86,44.59,25.5,6932500
2010-01-26,46.37,48.74,45.55,46.89,26.82,14179300
2010-01-27,46.91,47.96,46.25,47.6,27.22,9707700
2010-01-28,47.87,48.09,45.46,46.47,26.66,5357500
2010-01-29,47.02,48.39,45.01,45.28,25.98,7382800
2010-02-01,46.15,47.45,45.84,47.33,27.16,5406900
2010-02-02,47.64,49.0,46.93,47.26,27.12,5542600
2010-02-03,47.14,47.95,46.86,47.32,27.15,4127600
2010-02-04,46.71,46.71,45.05,45.22,25.94,7603500
2010-02-05,45.16,45.6,43.15,44.73,25.66,8597500
2010-02-08,45.01,45.64,44.5,44.55,25.56,4549800
2010-02-09,45.37,46.09,45.0,45.55,26.13,6075700
2010-02-10,45.37,45.79,44.7,45.26,25.97,5894800
2010-02-11,45.09,46.77,44.89,46.68,26.78,5286600
2010-02-12,45.78,46.81,45.6,46.5,26.68,4814300
2010-02-16,47.21,48.09,47.08,47.94,27.51,4892300
2010-02-17,48.17,48.27,47.6,48.05,27.57,3699400
2010-02-18,48.12,48.85,47.87,48.65,27.91,4124500
2010-02-19,48.59,49.17,48.35,48.86,28.03,6560300
2010-02-22,49.57,50.0,47.97,48.13,27.61,9763800
2010-02-23,47.75,48.09,46.67,47.06,27.0,7170500
2010-02-24,47.5,48.31,47.27,47.91,27.49,6116800
2010-02-25,46.77,48.02,46.47,47.89,27.48,4355100
2010-02-26,47.7,48.11,47.27,47.92,27.49,3625100
2010-03-01,48.45,48.71,48.15,48.31,27.72,5599600
2010-03-02,48.46,49.54,48.46,49.23,28.25,5456000
2010-03-03,49.54,50.68,49.4,50.0,28.69,5188400
2010-03-04,50.12,50.66,49.45,49.92,28.64,6225300
2010-03-05,50.37,51.0,50.15,50.89,29.2,5569100
2010-03-08,51.08,51.59,50.21,50.34,28.88,3684000
2010-03-09,49.92,50.52,49.49,49.94,28.65,4915900
2010-03-10,50.02,50.53,49.24,49.98,28.68,6222300
2010-03-11,49.76,50.01,49.49,49.98,28.68,2974200
2010-03-12,50.34,50.65,49.56,50.04,28.71,4693000
2010-03-15,49.83,50.35,49.12,49.87,28.61,5932600
2010-03-16,50.23,51.12,49.87,51.04,29.28,4454000
2010-03-17,51.35,52.41,51.14,51.86,29.75,4442900
2010-03-18,51.92,52.06,49.21,49.37,28.33,7937600
2010-03-19,47.53,49.25,47.11,47.53,27.27,10119500
2010-03-22,46.93,48.35,46.3,47.49,27.25,7501800
2010-03-23,47.66,47.69,46.67,47.12,27.03,6974400
2010-03-24,46.7,47.17,46.35,46.55,26.71,5739200
2010-03-25,47.02,47.19,44.79,44.87,25.74,7552600
2010-03-26,45.18,45.76,44.52,44.87,25.74,5814900
2010-03-29,45.13,46.16,45.08,45.65,26.19,5664600
2010-03-30,45.68,46.13,45.17,45.95,26.36,5128300
2010-03-31,46.06,46.94,46.02,46.84,26.87,6840000
2010-04-01,47.33,48.36,46.9,48.33,27.73,7075800
2010-04-05,48.73,50.0,48.35,49.68,28.5,4968500
2010-04-06,49.15,50.04,48.82,49.92,28.64,4202300
2010-04-07,49.87,49.93,48.59,49.0,28.11,5742400
2010-04-08,48.47,48.93,48.15,48.74,27.96,3989600
2010-04-09,49.13,49.22,48.19,48.84,28.02,3454000
2010-04-12,48.74,49.43,48.63,48.83,28.02,1955900
2010-04-13,48.65,48.65,47.19,48.21,27.66,4773400
2010-04-14,48.42,49.35,47.72,49.27,28.27,4728200
2010-04-15,49.12,49.68,48.8,49.08,28.16,3205800
2010-04-16,48.63,48.98,47.02,47.51,27.26,7095500
2010-04-19,47.2,48.29,47.0,47.63,27.33,5042800
2010-04-20,48.36,50.79,48.17,50.29,28.85,9308400
2010-04-21,50.39,51.31,49.91,50.89,29.2,5948600
2010-04-22,49.93,52.16,49.7,51.8,29.72,5938800
2010-04-23,52.06,54.5,51.84,54.18,31.09,8457600
2010-04-26,54.42,54.8,53.67,53.88,30.91,4143300
