Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,22.75,22.9,22.55,22.56,17.73,360600
2010-01-04,22.72,22.89,22.59,22.69,17.83,617900
2010-01-05,22.73,22.77,22.45,22.6,17.76,498300
2010-01-06,22.49,22.64,22.33,22.45,17.64,370100
2010-01-07,22.5,22.61,22.25,22.54,17.71,417400
2010-01-08,22.4,22.8,22.4,22.71,17.85,356800
2010-01-11,22.8,22.95,22.53,22.78,17.9,561200
2010-01-12,22.73,22.73,22.4,22.56,17.73,480100
2010-01-13,22.56,22.83,22.5,22.78,17.9,306500
2010-01-14,22.66,23.08,22.59,22.97,18.05,531300
2010-01-15,23.0,23.0,22.37,22.4,17.6,575900
2010-01-19,22.48,22.76,22.35,22.7,17.84,702400
2010-01-20,22.53,22.66,22.15,22.57,17.74,629800
2010-01-21,22.53,22.66,22.15,22.23,17.47,529000
2010-01-22,22.23,22.54,22.14,22.14,17.4,489800
2010-01-25,22.19,22.19,21.98,22.07,17.34,336500
2010-01-26,21.99,22.12,21.89,21.93,17.23,395000
2010-01-27,21.93,22.08,21.72,22.08,17.35,540000
2010-01-28,22.04,22.1,21.61,22.0,17.29,502800
2010-01-29,22.02,22.14,21.69,21.72,17.07,672100
2010-02-01,21.78,21.97,21.61,21.86,17.18,523600
2010-02-02,21.84,22.07,21.73,21.99,17.28,568100
2010-02-03,21.97,22.26,21.81,21.97,17.26,840000
2010-02-04,22.54,23.27,21.99,22.04,17.32,2524400
2010-02-05,21.96,21.98,21.23,21.5,16.9,1738200
2010-02-08,21.48,21.64,21.3,21.39,16.81,1620900
2010-02-09,21.55,21.65,20.98,21.05,16.54,1510300
2010-02-10,21.05,21.19,20.99,21.04,16.53,954600
2010-02-11,21.06,21.17,20.88,20.93,16.45,732800
2010-02-12,20.82,21.42,20.73,21.42,16.83,1051700
2010-02-16,21.41,21.66,21.3,21.64,17.01,512200
2010-02-17,21.61,21.84,21.5,21.83,17.15,677800
2010-02-18,21.77,21.81,21.62,21.78,17.12,932700
2010-02-19,21.7,21.77,21.55,21.65,17.01,890300
2010-02-22,21.75,21.75,21.53,21.6,16.97,992600
2010-02-23,21.51,21.62,21.3,21.41,16.82,712800
2010-02-24,21.42,21.42,21.03,21.08,16.57,975100
2010-02-25,20.93,21.07,20.77,21.01,16.51,1429600
2010-02-26,20.94,21.08,20.77,21.04,16.53,899200
2010-03-01,21.11,21.45,21.07,21.41,16.82,865100
2010-03-02,21.41,21.53,21.32,21.42,16.83,729600
2010-03-03,21.38,21.44,21.11,21.28,16.72,1063100
2010-03-04,21.27,21.39,21.22,21.36,16.79,945700
2010-03-05,21.4,21.75,21.28,21.7,17.05,2089800
2010-03-08,21.68,21.7,21.39,21.44,16.85,1255100
2010-03-09,21.36,22.18,21.36,22.03,17.31,1152400
2010-03-10,21.97,22.37,21.95,22.28,17.51,1042200
2010-03-11,22.04,22.18,21.86,22.15,17.41,656400
2010-03-12,22.22,22.23,21.98,22.2,17.45,872700
