Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,16.99,16.99,16.54,16.61,14.99,1347200
2010-01-04,16.73,17.01,16.72,16.89,15.24,1286000
2010-01-05,16.89,17.77,16.86,17.69,15.97,2654000
2010-01-06,17.69,18.39,17.65,18.34,16.55,4171000
2010-01-07,18.25,18.64,18.03,18.59,16.78,2592200
2010-01-08,18.49,18.59,18.2,18.25,16.47,2500600
2010-01-11,18.41,18.52,18.11,18.23,16.44,2885200
2010-01-12,18.12,18.3,17.7,17.75,16.02,3873200
2010-01-13,17.81,18.0,17.7,17.88,16.13,3943800
2010-01-14,17.88,19.04,17.85,18.94,17.09,4483800
2010-01-15,18.99,19.18,18.44,18.67,16.85,3369600
2010-01-19,18.69,18.96,18.53,18.84,17.0,2778000
2010-01-20,18.57,18.65,18.41,18.58,16.77,1999400
2010-01-21,18.66,18.92,18.28,18.42,16.62,3701400
2010-01-22,18.47,18.74,18.17,18.24,16.45,2183800
2010-01-25,18.38,18.95,18.17,18.51,16.71,2195800
2010-01-26,18.47,18.68,18.09,18.11,16.35,1936200
2010-01-27,17.98,18.11,17.18,17.63,15.91,3824800
2010-01-28,17.67,17.76,17.0,17.2,15.52,3062000
2010-01-29,17.23,18.0,17.23,17.55,15.83,4052400
2010-02-01,17.65,17.98,17.58,17.95,16.2,2172200
2010-02-02,17.92,18.23,17.67,18.11,16.34,2000400
2010-02-03,18.0,18.72,18.0,18.52,16.72,2900200
2010-02-04,18.31,18.31,17.66,17.66,15.94,1750800
2010-02-05,17.61,17.66,16.93,17.35,15.66,3925800
2010-02-08,17.44,17.94,17.29,17.68,15.95,2833400
2010-02-09,17.92,18.34,17.75,17.99,16.23,5739000
2010-02-10,17.88,18.3,17.68,18.11,16.35,3087600
2010-02-11,18.42,18.49,17.73,17.83,16.09,4811400
2010-02-12,17.62,18.33,17.62,18.32,16.53,3554600
2010-02-16,18.56,18.61,18.31,18.51,16.7,2195000
2010-02-17,18.62,18.85,18.52,18.59,16.78,2330200
2010-02-18,18.53,18.69,18.45,18.54,16.73,2791400
2010-02-19,18.57,18.77,18.48,18.67,16.85,2360600
2010-02-22,18.79,19.25,18.74,19.13,17.26,2798800
2010-02-23,19.11,19.45,18.62,18.74,16.91,3614000
2010-02-24,18.74,19.25,18.74,19.07,17.21,2378800
2010-02-25,18.73,19.07,18.5,19.01,17.15,2490000
2010-02-26,19.08,19.13,18.68,18.73,16.9,2433200
2010-03-01,18.84,19.0,18.73,18.99,17.13,2416400
2010-03-02,19.17,19.6,19.11,19.33,17.44,5275800
2010-03-03,19.43,19.47,19.25,19.29,17.41,4319600
2010-03-04,19.02,19.3,18.99,19.09,17.23,2692400
2010-03-05,19.25,19.27,18.8,18.83,16.99,4825600
2010-03-08,18.75,18.92,18.75,18.88,17.03,5467800
2010-03-09,18.83,18.88,18.49,18.62,16.81,3114800
2010-03-10,18.55,18.75,18.28,18.35,16.56,2663000
2010-03-11,18.26,18.47,17.84,18.44,16.64,5567200
2010-03-12,18.57,18.77,18.48,18.54,16.73,1406800
2010-03-15,18.5,18.66,18.23,18.43,16.63,1476800
2010-03-16,18.45,18.65,18.4,18.6,16.78,2191200
2010-03-17,18.62,18.72,18.41,18.44,16.64,2572600
2010-03-18,18.48,18.5,18.29,18.33,16.54,3279200
2010-03-19,18.27,18.56,18.1,18.27,16.49,4999400
2010-03-22,18.15,19.08,18.15,18.97,17.11,4152200
2010-03-23,18.92,19.03,18.72,19.0,17.14,3365200
2010-03-24,18.89,19.05,18.81,18.92,17.08,3532600
2010-03-25,19.09,19.13,18.69,18.69,16.87,4697800
2010-03-26,18.7,18.81,18.42,18.51,16.71,3365800
2010-03-29,18.56,18.74,18.39,18.53,16.72,2908400
2010-03-30,18.52,18.72,18.5,18.61,16.8,4429400
2010-03-31,18.52,19.24,18.5,19.09,17.23,6954400
2010-04-01,19.25,19.61,19.23,19.61,17.69,4654600
2010-04-05,19.62,19.7,19.15,19.18,17.31,4801200
2010-04-06,19.11,19.24,18.83,19.02,17.17,4271400
2010-04-07,19.03,19.03,18.57,18.74,16.91,2845800
2010-04-08,18.67,19.08,18.52,19.01,17.16,3600000
2010-04-09,18.98,19.24,18.81,19.09,17.23,5416800
2010-04-12,19.1,19.41,19.08,19.37,17.48,2265600
2010-04-13,19.32,19.54,19.25,19.44,17.55,2230000
2010-04-14,19.54,19.58,19.4,19.52,17.61,2180400
2010-04-15,19.47,19.59,19.26,19.52,17.62,2436400
2010-04-16,19.5,19.68,18.9,19.17,17.3,4520000
2010-04-19,19.07,19.64,19.07,19.58,17.66,3894600
2010-04-20,19.74,20.0,19.72,19.92,17.97,2670800
2010-04-21,19.88,19.97,19.75,19.83,17.89,1647600
