Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,69.35,69.88,67.07,67.07,47.82,1659900
2010-01-04,67.59,68.33,66.53,67.1,47.84,1511500
2010-01-05,67.24,68.2,66.45,68.12,48.57,2173700
2010-01-06,68.23,68.94,68.03,68.44,48.8,1814900
2010-01-07,68.26,69.39,67.71,68.74,49.01,1329100
2010-01-08,68.26,68.64,67.09,67.85,48.38,1021900
2010-01-11,68.14,68.72,67.69,68.17,48.6,974400
2010-01-12,67.71,68.09,66.71,67.49,48.12,1391700
2010-01-13,67.61,68.74,67.3,68.6,48.91,1384200
2010-01-14,68.43,68.78,67.8,68.31,48.7,967100
2010-01-15,68.19,68.45,67.61,68.09,48.55,1421900
2010-01-19,68.26,69.62,67.84,69.53,49.57,1721700
2010-01-20,69.02,69.19,68.33,69.07,49.25,1591300
2010-01-21,68.88,69.3,65.58,65.84,46.94,2598500
2010-01-22,65.52,66.52,63.94,64.28,45.83,2289400
2010-01-25,65.25,65.57,63.59,65.1,46.41,1560700
2010-01-26,64.78,65.94,64.23,64.72,46.14,1436900
2010-01-27,64.26,65.44,63.35,65.07,46.39,2375600
2010-01-28,65.75,65.93,64.69,65.39,46.62,1440400
2010-01-29,65.81,66.25,64.23,64.87,46.25,1783500
2010-02-01,65.71,66.88,65.04,66.87,47.68,1639500
2010-02-02,67.71,68.01,66.56,67.8,48.34,2092100
2010-02-03,67.59,67.6,66.2,66.5,47.41,1869400
2010-02-04,65.97,66.12,63.38,63.44,45.23,2384600
2010-02-05,63.64,64.96,62.39,64.53,46.01,1997400
2010-02-08,64.65,65.14,62.74,62.9,44.85,1455600
2010-02-09,63.65,63.81,62.22,62.81,44.78,1713800
2010-02-10,62.72,63.28,61.5,62.49,44.55,1567700
2010-02-11,62.4,63.03,61.82,62.72,44.72,1197000
2010-02-12,62.08,63.47,61.78,63.4,45.2,1355600
2010-02-16,64.0,65.15,63.61,65.03,46.36,1698200
2010-02-17,65.23,65.68,64.92,65.39,46.62,1083500
2010-02-18,65.11,66.62,64.7,66.35,47.31,1184300
2010-02-19,65.91,66.77,65.38,66.57,47.46,1294400
2010-02-22,66.54,67.49,66.54,67.03,47.79,1311200
2010-02-23,66.7,67.0,65.68,65.95,47.02,1525700
2010-02-24,65.92,66.73,65.72,66.71,47.56,1598000
2010-02-25,65.93,67.49,65.62,67.42,48.07,1380100
2010-02-26,67.42,68.75,67.25,67.93,48.43,1842200
2010-03-01,68.24,68.74,67.84,68.28,48.68,1261400
2010-03-02,68.72,68.94,68.41,68.62,48.92,1173500
2010-03-03,68.78,69.0,68.32,68.67,48.96,905100
2010-03-04,68.72,69.31,68.5,69.17,49.32,1056800
2010-03-05,69.66,71.26,69.34,71.14,50.72,1322600
