Date,Open,High,Low,Close,Adj Close,Volume
2010-06-15,32.8,33.75,32.3,32.49,27.62,17022500
2010-06-16,32.37,32.79,31.97,32.07,27.26,2158800
2010-06-17,32.35,32.48,31.25,31.5,26.77,1467700
2010-06-18,31.45,31.65,30.76,31.01,26.36,1132200
2010-06-21,31.66,33.0,31.01,32.04,27.23,1066900
2010-06-22,32.38,33.15,31.81,32.69,27.79,1008800
2010-06-23,33.0,33.5,32.0,33.48,28.46,1029400
2010-06-24,33.49,34.18,32.76,33.29,28.3,1600800
2010-06-25,33.3,33.35,32.07,32.07,27.26,640100
2010-06-28,32.47,33.05,31.76,32.78,27.86,718200
2010-06-29,32.25,32.3,31.27,31.76,26.99,622300
2010-06-30,31.99,32.65,31.65,32.55,27.67,402400
2010-07-01,32.25,32.5,30.0,30.31,25.76,1023200
2010-07-02,30.25,31.0,30.02,30.86,26.23,483700
2010-07-06,31.4,31.4,29.7,29.8,25.33,805200
2010-07-07,29.8,30.43,29.17,29.23,24.84,583700
2010-07-08,29.05,30.32,28.45,29.01,24.66,2176300
2010-07-09,29.22,29.33,28.66,28.97,24.62,448600
2010-07-12,28.75,28.84,26.67,26.8,22.78,1194500
2010-07-13,27.38,27.97,26.92,27.85,23.67,877900
2010-07-14,27.37,27.37,27.13,27.34,23.24,885100
2010-07-15,27.2,27.25,26.1,26.5,22.52,642100
2010-07-16,26.26,27.15,26.22,26.45,22.48,708700
2010-07-19,26.93,26.93,26.06,26.49,22.52,306000
2010-07-20,26.24,26.7,26.0,26.08,22.17,490100
2010-07-21,26.11,27.08,26.11,26.61,22.62,854200
2010-07-22,26.9,27.6,26.75,27.03,22.97,322600
2010-07-23,26.89,27.19,26.63,27.15,23.08,233300
2010-07-26,27.0,27.14,26.11,26.5,22.52,631200
2010-07-27,26.41,27.65,26.25,27.19,23.11,537900
2010-07-28,27.05,27.22,26.57,27.15,23.08,131300
2010-07-29,27.0,27.21,26.3,26.67,22.67,296200
2010-07-30,26.47,27.19,26.32,26.6,22.61,220100
2010-08-02,27.14,27.63,26.68,27.54,23.41,356600
2010-08-03,27.34,27.63,27.15,27.25,23.16,254100
2010-08-04,27.3,27.5,26.65,26.71,22.7,412500
2010-08-05,26.26,26.26,24.24,24.8,21.08,1554200
2010-08-06,24.25,24.36,23.12,23.8,20.23,1221700
2010-08-09,24.0,24.19,23.53,23.97,20.37,436800
2010-08-10,23.89,23.89,23.0,23.0,19.55,396600
2010-08-11,22.86,23.17,22.38,22.95,19.51,578900
2010-08-12,22.94,23.55,22.7,23.31,19.81,515200
2010-08-13,23.1,23.36,22.8,23.0,19.55,322000
2010-08-16,22.79,23.22,22.73,22.79,19.37,190700
2010-08-17,22.87,23.15,22.46,23.12,19.65,329500
2010-08-18,22.88,23.18,22.5,23.11,19.64,361500
2010-08-19,23.43,23.65,22.8,23.0,19.55,655000
2010-08-20,22.91,23.01,22.63,22.87,19.44,326700
2010-08-23,22.78,23.2,22.78,23.0,19.55,279500
2010-08-24,22.5,22.67,21.25,21.79,18.52,762400
2010-08-25,21.29,21.83,21.25,21.67,18.42,242700
2010-08-26,21.76,22.28,21.25,21.28,18.09,213900
2010-08-27,21.36,21.42,20.25,20.87,17.74,378500
2010-08-30,20.87,21.17,20.35,20.62,17.53,273200
2010-08-31,20.51,20.98,20.41,20.91,17.77,110300
2010-09-01,21.06,21.99,20.95,21.62,18.46,257000
2010-09-02,21.79,21.91,21.03,21.67,18.51,143800
2010-09-03,21.75,22.43,21.55,22.17,18.93,233400
2010-09-07,22.23,22.23,21.71,22.23,18.99,188100
2010-09-08,22.22,22.58,21.81,22.05,18.83,263000
2010-09-09,22.51,22.51,21.51,21.8,18.62,214400
2010-09-10,21.79,22.25,21.7,21.94,18.74,136100
2010-09-13,22.18,22.18,21.36,21.83,18.64,237700
2010-09-14,21.57,22.66,21.52,22.17,18.93,375100
2010-09-15,21.9,22.56,21.9,22.34,19.08,245800
2010-09-16,22.34,22.66,22.01,22.3,19.05,327700
2010-09-17,22.3,22.85,22.25,22.46,19.18,404600
2010-09-20,22.29,22.4,21.42,21.86,18.67,379500
2010-09-21,21.93,21.98,21.38,21.52,18.38,298500
2010-09-22,21.61,21.84,21.2,21.33,18.22,256100
2010-09-23,21.06,21.22,20.58,20.58,17.58,319600
2010-09-24,20.8,20.95,20.53,20.61,17.6,237000
2010-09-27,20.66,21.31,20.38,21.07,17.99,397100
2010-09-28,21.03,21.47,20.84,21.31,18.2,204900
2010-09-29,21.35,21.47,20.76,20.78,17.75,298300
2010-09-30,20.97,21.0,19.6,20.2,17.25,1710100
2010-10-01,20.25,20.68,19.83,20.6,17.59,480700
2010-10-04,20.57,20.69,20.02,20.39,17.41,271400
2010-10-05,20.47,20.93,20.32,20.83,17.79,385200
2010-10-06,20.8,21.1,20.55,20.83,17.79,179400
2010-10-07,20.83,20.94,20.32,20.6,17.59,176900
2010-10-08,20.57,20.99,20.5,20.85,17.81,168900
2010-10-11,20.9,21.43,20.57,21.06,17.99,279200
2010-10-12,21.06,22.38,21.0,22.23,18.99,608600
2010-10-13,22.48,22.8,22.1,22.21,18.97,714000
2010-10-14,22.3,22.84,22.18,22.63,19.33,287000
2010-10-15,22.69,22.69,22.22,22.48,19.2,250500
2010-10-18,22.45,23.49,22.35,23.2,19.81,467600
2010-10-19,23.2,23.5,23.07,23.13,19.75,432900
2010-10-20,23.2,23.92,22.91,23.73,20.27,394200
2010-10-21,23.88,24.06,23.42,23.91,20.42,243700
2010-10-22,24.04,24.61,23.99,24.54,20.96,454800
2010-10-25,24.62,24.98,24.25,24.37,20.81,329600
2010-10-26,24.6,24.75,24.0,24.23,20.69,161600
2010-10-27,24.0,24.21,23.9,24.17,20.64,228400
2010-10-28,24.18,24.24,23.56,24.0,20.5,166400
2010-10-29,23.92,24.19,23.92,24.01,20.51,195000
2010-11-01,24.03,24.5,23.13,23.59,20.15,269800
2010-11-02,23.69,24.15,23.23,24.11,20.59,279600
2010-11-03,24.06,24.25,23.6,24.0,20.5,229500
2010-11-04,24.45,24.45,23.8,24.01,20.51,456600
2010-11-05,24.09,25.0,23.98,24.65,21.05,474200
2010-11-08,24.67,25.0,23.98,24.87,21.24,587400
2010-11-09,25.0,25.18,24.56,24.92,21.28,499300
2010-11-10,25.0,25.18,24.61,24.84,21.21,159100
2010-11-11,24.6,24.93,24.35,24.71,21.1,145900
2010-11-12,24.58,24.79,24.1,24.15,20.63,127000
2010-11-15,24.1,24.5,24.05,24.34,20.79,136700
2010-11-16,24.12,24.94,24.08,24.6,21.01,482000
2010-11-17,24.75,24.78,24.33,24.4,20.84,120000
2010-11-18,24.55,24.8,24.39,24.71,21.1,142100
2010-11-19,24.71,25.3,24.27,25.02,21.37,327900
2010-11-22,24.9,24.95,24.59,24.8,21.18,151000
2010-11-23,24.5,24.9,24.5,24.69,21.09,104600
2010-11-24,24.49,24.49,23.1,23.88,20.39,533700
2010-11-26,23.73,24.57,23.36,23.5,20.07,95700
2010-11-29,23.5,23.85,23.22,23.63,20.18,198700
2010-11-30,23.53,23.83,23.42,23.79,20.32,397000
2010-12-01,23.95,24.33,23.9,23.91,20.51,350500
2010-12-02,23.91,24.34,23.91,24.34,20.88,177900
2010-12-03,24.07,24.45,24.01,24.4,20.93,162200
2010-12-06,24.4,25.16,24.2,24.82,21.29,192900
2010-12-07,25.06,25.06,24.39,24.79,21.26,133900
2010-12-08,24.71,24.77,24.06,24.23,20.78,231300
2010-12-09,24.35,24.4,23.3,23.53,20.18,305300
2010-12-10,23.47,23.65,22.9,22.97,19.7,388600
2010-12-13,22.92,23.29,22.57,23.01,19.73,436100
2010-12-14,22.95,23.42,22.65,22.95,19.68,376600
2010-12-15,22.75,23.4,22.54,22.86,19.61,411200
2010-12-16,22.92,23.16,22.0,22.04,18.9,861100
2010-12-17,21.94,22.28,21.78,22.11,18.96,636300
2010-12-20,22.11,22.32,21.8,22.2,19.04,429200
2010-12-21,22.25,22.3,22.02,22.2,19.04,486300
2010-12-22,22.17,22.31,22.01,22.1,18.95,504300
2010-12-23,22.02,22.55,22.01,22.42,19.23,406200
