Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,18.53,18.53,18.15,18.16,14.03,5528000
2010-01-04,18.48,18.5,18.11,18.37,14.19,6172000
2010-01-05,18.44,18.87,18.43,18.67,14.42,6662500
2010-01-06,18.75,19.46,18.7,19.44,15.02,6479000
2010-01-07,19.4,19.4,19.01,19.25,14.87,7292000
2010-01-08,19.2,19.66,19.2,19.66,15.19,6128500
2010-01-11,19.97,20.58,19.53,19.64,15.17,10515500
2010-01-12,19.38,19.41,18.73,18.94,14.63,8983000
2010-01-13,19.1,19.13,18.66,18.98,14.67,5108000
2010-01-14,19.02,19.12,18.63,18.64,14.4,6146500
2010-01-15,19.85,19.88,19.03,19.08,14.74,27350500
2010-01-19,19.22,20.21,19.04,20.12,15.54,9930000
2010-01-20,19.85,19.92,19.5,19.8,15.29,6307500
2010-01-21,19.83,20.27,19.51,19.65,15.18,6387500
2010-01-22,19.53,19.75,19.21,19.23,14.85,4556000
2010-01-25,19.45,19.69,19.21,19.23,14.85,3174500
2010-01-26,19.08,19.69,18.91,19.23,14.86,3740500
2010-01-27,19.28,19.41,19.02,19.28,14.89,2439000
2010-01-28,19.12,19.24,18.78,19.06,14.72,3523500
2010-01-29,19.3,19.4,18.57,18.57,14.35,4284500
2010-02-01,18.79,19.18,18.62,19.06,14.72,4984000
2010-02-02,19.08,19.32,18.9,19.26,14.88,2795000
2010-02-03,19.58,19.64,19.34,19.42,15.0,2123500
2010-02-04,19.28,19.28,18.6,18.71,14.46,4462500
2010-02-05,18.64,18.95,18.36,18.84,14.56,4237000
2010-02-08,19.14,19.14,18.46,18.46,14.26,2869000
2010-02-09,18.71,19.28,18.71,19.16,14.8,4521500
2010-02-10,19.23,19.58,19.17,19.46,15.03,3541500
2010-02-11,19.58,20.16,19.47,20.02,15.47,5061000
2010-02-12,19.75,20.17,19.55,20.1,15.53,7234500
2010-02-16,20.81,21.4,20.39,20.71,16.0,11940500
2010-02-17,20.9,21.49,20.77,20.93,16.17,11225000
2010-02-18,20.86,20.88,20.17,20.4,15.78,11651500
2010-02-19,20.4,20.95,20.4,20.83,16.1,7530500
2010-02-22,21.12,21.12,20.62,20.73,16.03,5328000
2010-02-23,20.62,20.83,20.37,20.39,15.76,4889500
2010-02-24,20.45,20.66,20.12,20.16,15.59,7880000
2010-02-25,19.91,21.28,19.8,21.08,16.3,10770000
2010-02-26,21.14,21.29,20.82,21.25,16.43,3649500
2010-03-01,21.37,21.51,21.12,21.51,16.63,3645000
2010-03-02,20.37,21.36,20.27,21.28,16.46,33642000
2010-03-03,21.04,22.0,20.91,21.36,16.51,16783000
2010-03-04,21.5,21.68,21.3,21.65,16.74,7001500
