Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,15.31,15.35,15.11,15.11,12.75,1068000
2010-01-04,15.15,15.34,15.11,15.34,12.94,2232400
2010-01-05,15.3,15.43,15.01,15.13,12.77,1936000
2010-01-06,15.15,15.22,15.03,15.2,12.83,2628400
2010-01-07,15.12,15.19,14.97,15.03,12.68,2211200
2010-01-08,14.96,15.08,14.9,15.0,12.66,1773200
2010-01-11,14.99,15.05,14.77,14.93,12.6,1963600
2010-01-12,14.86,15.32,14.86,15.31,12.92,2563200
2010-01-13,15.29,15.52,15.28,15.51,13.09,2070000
2010-01-14,15.45,15.73,15.42,15.63,13.19,3110800
2010-01-15,15.66,15.83,15.61,15.71,13.26,2657600
2010-01-19,15.71,16.02,15.66,15.86,13.39,3658800
2010-01-20,15.84,15.88,15.68,15.85,13.37,2292400
2010-01-21,15.82,15.95,15.4,15.55,13.13,2924400
2010-01-22,15.61,15.73,15.41,15.43,13.02,2052000
2010-01-25,15.48,15.5,15.26,15.29,12.9,1582400
2010-01-26,15.31,15.36,15.16,15.24,12.86,1756000
2010-01-27,15.26,15.35,15.13,15.23,12.86,924000
2010-01-28,15.28,15.52,15.2,15.22,12.85,1207200
2010-01-29,15.33,15.38,15.04,15.07,12.72,1705600
2010-02-01,15.11,15.23,14.98,15.06,12.71,1858800
2010-02-02,15.11,15.55,15.07,15.53,13.11,1484000
2010-02-03,15.54,15.6,15.4,15.48,13.06,1186800
2010-02-04,15.43,15.48,15.21,15.23,12.85,1318800
2010-02-05,15.19,15.35,15.07,15.27,12.89,2270800
2010-02-08,15.23,15.35,15.11,15.14,12.81,2469600
2010-02-09,15.35,16.02,15.21,15.94,13.48,5662800
2010-02-10,15.95,16.09,15.69,15.78,13.35,1912000
2010-02-11,15.8,16.09,15.8,16.08,13.61,2087200
2010-02-12,16.03,16.09,15.88,16.09,13.61,1673200
2010-02-16,16.12,16.16,15.98,16.11,13.63,1446000
2010-02-17,16.17,16.23,16.03,16.22,13.72,1390400
2010-02-18,16.21,16.47,16.11,16.47,13.93,1573200
2010-02-19,16.4,16.48,16.34,16.48,13.94,1686400
2010-02-22,16.52,16.59,16.36,16.55,14.0,2188000
2010-02-23,16.51,16.61,16.35,16.48,13.94,1650000
2010-02-24,16.52,16.84,16.46,16.84,14.25,2504400
2010-02-25,16.73,16.97,16.59,16.86,14.26,3416000
2010-02-26,16.88,16.88,16.71,16.8,14.21,2052400
2010-03-01,16.82,16.86,16.74,16.81,14.22,1752000
2010-03-02,16.88,16.94,16.78,16.9,14.3,1458000
2010-03-03,16.86,16.91,16.66,16.72,14.14,1451600
2010-03-04,16.72,16.76,16.61,16.72,14.14,1391200
2010-03-05,16.79,16.89,16.68,16.8,14.21,1087200
2010-03-08,16.76,16.9,16.76,16.88,14.27,1484400
2010-03-09,16.88,16.9,16.8,16.85,14.25,1233200
2010-03-10,16.84,16.89,16.76,16.88,14.28,1025600
2010-03-11,16.89,17.01,16.83,17.01,14.39,2659200
2010-03-12,17.01,17.13,16.95,17.13,14.49,1326400
2010-03-15,17.05,17.14,16.64,16.82,14.23,2887600
2010-03-16,16.83,17.03,16.76,16.98,14.36,1769600
2010-03-17,17.04,17.04,16.85,16.94,14.33,1557200
2010-03-18,16.9,17.04,16.89,16.95,14.34,1240800
2010-03-19,16.97,17.05,16.88,16.97,14.35,1277600
2010-03-22,16.89,17.25,16.89,17.2,14.55,1410000
2010-03-23,17.25,17.34,17.1,17.3,14.63,1090800
2010-03-24,17.29,17.29,17.12,17.17,14.52,1028000
2010-03-25,17.26,17.27,16.83,16.83,14.24,1484800
2010-03-26,16.84,16.86,16.51,16.62,14.06,3019200
2010-03-29,16.69,16.82,16.64,16.82,14.22,1585600
2010-03-30,16.87,16.88,16.73,16.81,14.22,721600
2010-03-31,16.75,16.87,16.63,16.74,14.16,942000
2010-04-01,16.8,16.95,16.75,16.93,14.32,1171600
2010-04-05,16.99,17.02,16.89,16.93,14.32,650800
2010-04-06,16.91,16.96,16.87,16.89,14.29,1443200
2010-04-07,16.88,16.92,16.87,16.92,14.31,2553600
2010-04-08,16.92,17.04,16.88,16.94,14.33,1450800
2010-04-09,16.95,17.05,16.91,17.02,14.4,717600
2010-04-12,16.87,17.01,16.7,16.95,14.34,2230400
2010-04-13,16.89,17.02,16.75,16.98,14.36,1478400
2010-04-14,17.05,17.11,16.9,17.1,14.46,874800
2010-04-15,17.02,17.15,17.0,17.09,14.46,747200
2010-04-16,17.08,17.17,17.0,17.08,14.45,1528400
2010-04-19,17.01,17.09,16.98,17.02,14.4,1076800
2010-04-20,17.02,17.12,16.93,16.99,14.37,1090800
2010-04-21,16.98,17.09,16.83,17.06,14.43,1094800
2010-04-22,16.99,17.08,16.92,17.05,14.42,832400
2010-04-23,17.02,17.06,16.89,17.04,14.41,1147200
2010-04-26,17.07,17.27,16.99,17.24,14.59,1256400
2010-04-27,17.19,17.34,17.11,17.25,14.59,1851600
2010-04-28,17.24,17.26,17.1,17.16,14.52,1208000
2010-04-29,17.21,17.25,16.95,17.2,14.55,2048400
2010-04-30,17.25,17.43,17.21,17.31,14.64,1778800
2010-05-03,17.34,17.4,17.14,17.32,14.65,1640400
2010-05-04,17.22,17.34,17.14,17.33,14.66,1538800
2010-05-05,17.33,17.49,17.24,17.34,14.67,1899600
2010-05-06,17.32,17.34,16.44,16.95,14.34,3442800
2010-05-07,17.0,17.03,16.57,16.69,14.12,3972400
2010-05-10,17.11,17.42,16.96,17.35,14.68,2745600
2010-05-11,16.84,17.05,16.52,16.75,14.17,6560400
2010-05-12,16.78,16.95,16.57,16.78,14.2,3196000
2010-05-13,16.47,16.98,16.47,16.65,14.11,3128000
2010-05-14,16.61,16.7,16.32,16.4,13.9,2206800
2010-05-17,16.4,16.84,16.4,16.78,14.23,3142400
2010-05-18,16.88,16.94,16.61,16.64,14.1,1570000
2010-05-19,16.63,16.75,16.51,16.66,14.12,1553200
2010-05-20,16.45,16.52,16.22,16.23,13.75,2374800
2010-05-21,16.14,16.39,16.12,16.23,13.76,1915200
2010-05-24,16.23,16.5,16.19,16.38,13.89,2075600
2010-05-25,16.44,16.44,15.95,16.15,13.69,3309600
2010-05-26,16.25,16.52,16.1,16.4,13.9,2451200
2010-05-27,16.57,16.57,16.2,16.41,13.91,2313200
2010-05-28,16.34,16.61,16.33,16.45,13.95,1706000
2010-06-01,16.41,16.57,16.29,16.49,13.98,1894800
2010-06-02,16.54,16.8,16.49,16.8,14.24,2312800
2010-06-03,16.79,16.88,16.71,16.83,14.26,2675600
2010-06-04,16.64,16.64,16.23,16.27,13.79,2343200
2010-06-07,16.25,16.5,16.25,16.38,13.89,1938000
2010-06-08,16.35,16.59,16.23,16.58,14.06,3298800
2010-06-09,16.69,16.83,16.55,16.75,14.2,2114800
2010-06-10,16.83,16.94,16.82,16.87,14.3,2371200
