Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,59.61,59.63,58.73,58.73,45.84,811700
2010-01-04,59.22,59.65,58.94,59.34,46.32,822900
2010-01-05,59.18,59.49,57.39,58.11,45.36,2352700
2010-01-06,57.82,57.99,57.2,57.34,44.76,1685500
2010-01-07,57.08,57.14,56.18,56.79,44.33,1939600
2010-01-08,56.7,57.62,56.6,57.55,44.92,1332500
2010-01-11,57.5,57.91,57.22,57.72,45.05,1227300
2010-01-12,57.47,57.64,56.79,56.99,44.48,1425700
2010-01-13,57.0,57.47,56.34,57.32,44.74,1513300
2010-01-14,57.02,57.88,57.02,57.62,44.98,818100
2010-01-15,57.51,58.11,57.23,57.72,45.05,1592400
2010-01-19,57.7,58.47,57.64,58.13,45.37,1061200
2010-01-20,57.53,57.85,56.89,57.78,45.1,1157700
2010-01-21,57.69,58.37,56.98,57.63,44.98,1659200
2010-01-22,57.71,58.15,57.24,57.35,44.76,1558100
2010-01-25,57.49,57.85,56.79,57.46,44.85,1167300
2010-01-26,57.19,57.59,56.94,57.1,44.57,1347100
2010-01-27,56.83,57.6,56.62,57.46,44.85,881300
2010-01-28,57.64,57.64,56.2,56.54,44.13,1173200
2010-01-29,56.68,57.28,56.63,56.63,44.2,1527800
2010-02-01,56.84,57.65,56.69,57.4,44.8,981500
2010-02-02,57.24,57.54,56.68,57.42,44.82,1470300
2010-02-03,52.84,54.38,51.5,53.54,41.79,8727300
2010-02-04,53.31,53.95,52.67,53.25,41.56,3974300
2010-02-05,53.16,54.08,51.16,52.44,40.93,2833000
2010-02-08,52.65,52.97,52.01,52.08,40.65,2046300
2010-02-09,52.64,53.68,52.11,52.67,41.11,2709800
2010-02-10,52.0,52.51,51.31,51.84,40.46,1904200
2010-02-11,51.63,53.3,51.46,53.1,41.45,2533300
2010-02-12,52.47,52.7,51.68,52.12,40.68,2414800
2010-02-16,52.39,53.29,52.39,52.75,41.17,1511000
2010-02-17,53.05,53.43,52.57,53.0,41.37,1345300
2010-02-18,53.05,53.08,52.77,52.9,41.29,1032000
2010-02-19,52.78,53.97,52.78,53.5,41.76,1768100
2010-02-22,53.77,54.31,53.31,54.16,42.27,1625500
2010-02-23,54.24,54.5,53.14,53.56,41.81,2650100
2010-02-24,54.0,54.24,53.31,53.68,41.9,1822500
2010-02-25,53.0,53.54,52.5,53.49,41.75,1612200
2010-02-26,53.49,53.56,52.7,53.33,41.63,1701400
2010-03-01,53.29,63.65,53.02,53.56,41.81,2163600
2010-03-02,53.5,53.74,53.17,53.21,41.53,1597700
2010-03-03,52.82,53.08,52.38,52.47,41.15,2205500
2010-03-04,52.7,52.91,52.25,52.67,41.31,1610000
2010-03-05,52.68,53.38,52.67,53.25,41.76,1621000
2010-03-08,54.05,54.1,53.3,53.32,41.82,1488500
2010-03-09,53.25,53.56,53.02,53.39,41.87,1060200
2010-03-10,53.52,54.07,53.09,53.67,42.09,1695600
2010-03-11,53.36,53.65,53.04,53.46,41.92,1975500
2010-03-12,53.57,54.07,53.12,53.87,42.25,1710800
2010-03-15,53.97,54.23,53.45,53.88,42.25,1651000
2010-03-16,54.12,55.68,53.99,55.28,43.35,3479600
2010-03-17,55.35,56.21,55.16,55.68,43.67,1992300
2010-03-18,55.46,56.81,55.28,56.58,44.37,2114600
2010-03-19,57.24,57.68,56.38,56.6,44.39,3059500
2010-03-22,56.36,56.65,56.14,56.23,44.1,1451200
2010-03-23,56.07,56.49,55.76,56.43,44.25,1303900
2010-03-24,56.4,56.42,55.73,56.12,44.01,1293800
2010-03-25,56.43,56.78,55.56,55.65,43.64,1779900
2010-03-26,55.64,55.97,55.25,55.56,43.57,1545600
2010-03-29,55.71,56.77,55.71,56.09,43.99,1279500
2010-03-30,56.01,56.45,55.8,56.22,44.09,1372800
2010-03-31,55.83,56.12,55.64,55.85,43.8,1376400
2010-04-01,55.98,56.23,55.17,55.68,43.67,1178800
2010-04-05,55.98,56.16,55.44,55.66,43.65,1094800
2010-04-06,55.24,55.68,54.99,55.28,43.35,1574400
2010-04-07,55.43,55.67,54.97,55.15,43.25,2051300
2010-04-08,54.97,55.72,54.78,55.6,43.6,1837700
2010-04-09,55.75,56.69,55.71,56.45,44.27,2885200
2010-04-12,57.6,57.6,56.44,56.44,44.26,3151600
2010-04-13,56.28,56.73,55.91,56.59,44.38,1647900
2010-04-14,56.5,57.81,56.49,57.74,45.28,1980200
2010-04-15,58.01,59.76,57.86,58.93,46.21,3466500
2010-04-16,58.85,58.95,57.84,58.38,45.78,2157300
2010-04-19,58.06,58.86,58.06,58.63,45.98,1601300
2010-04-20,58.92,59.31,58.48,58.9,46.19,1480200
2010-04-21,57.0,61.27,56.99,60.0,47.05,5813800
2010-04-22,60.11,62.15,59.51,61.46,48.2,4289700
2010-04-23,61.57,61.74,60.96,61.58,48.29,2183800
2010-04-26,61.5,61.71,61.03,61.15,47.96,1454600
2010-04-27,61.07,61.47,60.07,60.27,47.27,2987300
2010-04-28,61.0,61.03,60.33,60.56,47.49,1778100
2010-04-29,60.87,61.46,60.81,61.15,47.96,1554200
2010-04-30,60.91,61.62,60.3,60.32,47.3,1720800
2010-05-03,60.44,61.89,60.22,61.77,48.44,1788500
2010-05-04,61.44,61.48,60.12,60.7,47.6,1978200
2010-05-05,60.6,61.52,60.31,60.71,47.61,2088900
2010-05-06,60.74,61.24,57.25,59.16,46.4,2987400
2010-05-07,59.15,59.42,57.6,57.83,45.35,3390400
2010-05-10,60.47,60.68,59.0,60.68,47.59,2630700
2010-05-11,59.97,61.34,59.97,60.68,47.59,1817300
2010-05-12,60.68,61.5,60.49,61.22,48.01,1350000
2010-05-13,60.66,61.37,60.56,60.6,47.52,1650700
2010-05-14,59.98,60.25,59.07,59.61,46.75,1955900
2010-05-17,59.87,60.35,58.62,59.76,46.87,1547800
2010-05-18,60.1,60.62,59.0,59.22,46.44,1087900
2010-05-19,59.0,59.71,58.28,59.34,46.54,1890100
2010-05-20,58.35,58.79,56.96,57.03,44.72,2573200
2010-05-21,56.3,58.24,56.26,58.18,45.63,2885300
2010-05-24,57.92,58.38,57.31,57.33,44.96,1126800
2010-05-25,56.56,57.49,55.61,57.4,45.01,1750000
2010-05-26,57.41,58.31,57.18,57.36,44.98,1453100
2010-05-27,58.17,58.73,57.78,58.7,46.03,1271000
2010-05-28,58.7,58.73,57.48,58.11,45.57,1363500
2010-06-01,57.85,58.36,57.01,57.08,44.76,1169300
2010-06-02,56.5,58.12,56.5,58.12,45.78,1325300
