Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,8.53,8.57,8.43,8.43,6.84,16245600
2010-01-04,8.38,8.56,8.38,8.48,6.93,27146800
2010-01-05,8.47,8.49,8.27,8.37,6.83,35493000
2010-01-06,8.39,8.4,8.27,8.31,6.78,27741400
2010-01-07,8.35,8.53,8.27,8.48,6.93,30214800
2010-01-08,8.47,8.53,8.4,8.46,6.91,25454000
2010-01-11,8.44,8.5,8.36,8.4,6.86,38109200
2010-01-12,8.38,8.38,8.2,8.26,6.74,36282000
2010-01-13,8.34,8.43,8.31,8.39,6.84,31533800
2010-01-14,8.41,8.41,8.31,8.34,6.8,34823600
2010-01-15,8.37,8.41,8.19,8.31,6.79,43236000
2010-01-19,8.36,8.43,8.31,8.4,6.86,25319000
2010-01-20,8.29,8.33,8.1,8.26,6.74,43376400
2010-01-21,8.26,8.29,7.92,8.0,6.53,65772600
2010-01-22,8.01,8.19,7.91,7.93,6.47,56665000
2010-01-25,7.93,8.09,7.88,8.01,6.53,30493200
2010-01-26,7.95,8.02,7.79,7.85,6.41,42569400
2010-01-27,7.82,8.05,7.79,7.93,6.47,40780000
2010-01-28,7.99,8.06,7.78,7.81,6.37,38618800
2010-01-29,7.88,8.06,7.76,7.91,6.46,54386600
2010-02-01,8.04,8.05,7.93,7.97,6.51,32681400
2010-02-02,7.93,8.18,7.92,8.15,6.65,38526400
2010-02-03,8.27,8.3,7.93,7.99,6.52,58379600
2010-02-04,7.9,7.97,7.76,7.76,6.33,45437200
2010-02-05,7.76,7.86,7.57,7.71,6.29,53431200
2010-02-08,7.72,7.74,7.6,7.61,6.21,31328000
2010-02-09,7.69,7.85,7.64,7.7,6.28,48789400
2010-02-10,7.72,7.72,7.59,7.66,6.25,43407200
2010-02-11,7.63,7.72,7.55,7.66,6.26,36472000
2010-02-12,7.57,7.68,7.55,7.67,6.26,55095600
2010-02-16,7.8,7.86,7.72,7.84,6.4,40474600
2010-02-17,7.89,7.89,7.8,7.83,6.39,26798200
2010-02-18,7.85,7.9,7.8,7.86,6.42,25432600
2010-02-19,7.82,8.02,7.78,8.0,6.53,51955000
2010-02-22,8.05,8.15,8.01,8.1,6.61,39578000
2010-02-23,8.05,8.15,8.02,8.07,6.59,34481600
2010-02-24,8.14,8.23,8.05,8.21,6.7,53823600
2010-02-25,8.08,8.13,7.97,8.07,6.59,46155800
2010-02-26,8.11,8.23,8.03,8.22,6.71,43478000
2010-03-01,8.25,8.44,8.25,8.41,6.87,46009200
2010-03-02,8.41,8.48,8.35,8.4,6.86,44590800
2010-03-03,8.44,8.49,8.39,8.48,6.92,46038400
2010-03-04,8.5,8.6,8.47,8.59,7.01,31287600
2010-03-05,8.59,8.73,8.59,8.72,7.11,32694800
2010-03-08,8.66,8.84,8.62,8.78,7.17,33416400
2010-03-09,8.79,8.82,8.7,8.76,7.15,34396600
