Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,46.35,46.65,45.85,45.86,35.46,683500
2010-01-04,46.35,47.11,46.26,46.94,36.29,1148600
2010-01-05,47.25,48.18,46.96,48.05,37.15,1592300
2010-01-06,47.85,48.62,47.78,48.49,37.49,1745900
2010-01-07,48.26,51.05,48.25,50.95,39.39,3558600
2010-01-08,50.35,54.42,50.1,53.67,41.5,4848000
2010-01-11,53.61,55.41,53.5,55.0,42.52,3159800
2010-01-12,53.66,53.95,52.84,53.35,41.25,3841800
2010-01-13,52.18,53.25,51.36,52.78,40.81,2413300
2010-01-14,51.79,53.21,51.27,52.89,40.89,1802900
2010-01-15,51.98,52.48,51.38,51.73,40.0,2039900
2010-01-19,50.84,52.94,50.59,52.94,40.93,1689400
2010-01-20,52.41,52.41,50.62,51.47,39.79,2002000
2010-01-21,51.31,51.64,48.98,49.47,38.25,2264300
2010-01-22,49.24,49.24,47.74,47.77,36.93,2049400
2010-01-25,48.7,49.19,47.28,47.63,36.83,1626500
2010-01-26,47.43,48.4,46.82,47.29,36.56,2935300
2010-01-27,47.06,47.21,44.84,46.41,35.88,3368300
2010-01-28,46.85,46.94,45.13,45.55,35.22,1538100
2010-01-29,46.08,46.77,44.98,45.16,34.92,2110900
2010-02-01,45.73,46.98,45.55,46.94,36.29,2299600
2010-02-02,50.15,52.26,49.12,51.09,39.5,8399900
2010-02-03,51.11,53.05,51.02,51.84,40.08,3425700
2010-02-04,51.01,51.21,49.82,50.1,38.74,2765300
2010-02-05,49.93,50.57,48.89,50.48,39.03,3215000
2010-02-08,50.26,51.52,49.93,50.11,38.74,2097900
2010-02-09,51.17,52.89,51.0,52.24,40.39,2641200
2010-02-10,52.01,52.48,51.46,51.98,40.19,2198500
2010-02-11,51.89,55.84,51.89,54.86,42.42,4053400
2010-02-12,53.75,56.44,53.08,54.95,42.49,4198100
2010-02-16,56.14,57.45,55.95,57.11,44.16,3499800
2010-02-17,57.5,57.5,55.96,56.46,43.79,2400800
2010-02-18,56.12,57.6,55.84,57.49,44.59,1744900
2010-02-19,57.11,58.63,56.89,57.93,44.93,1946700
2010-02-22,58.47,58.47,56.96,57.18,44.35,1993600
2010-02-23,57.03,57.64,55.27,55.64,43.15,2451500
2010-02-24,56.18,56.79,55.52,55.95,43.39,2428600
2010-02-25,54.48,56.21,53.86,56.03,43.45,2192600
2010-02-26,55.99,57.01,55.17,56.78,44.04,1675000
2010-03-01,57.2,59.03,57.2,58.96,45.73,2341300
2010-03-02,59.49,59.52,58.73,59.24,45.94,3112900
2010-03-03,59.58,60.47,58.88,59.18,45.9,2724700
2010-03-04,59.35,60.36,59.1,59.73,46.32,2610800
2010-03-05,60.03,60.99,59.75,60.7,47.08,2550300
2010-03-08,60.71,60.93,59.72,60.02,46.55,2069200
2010-03-09,59.75,61.47,59.5,61.13,47.41,2504200
2010-03-10,61.37,61.37,59.54,60.23,46.71,4113000
2010-03-11,59.88,59.93,58.56,59.44,46.1,2389100
2010-03-12,60.24,60.5,59.65,60.37,46.82,2220000
2010-03-15,59.89,60.24,58.94,60.22,46.7,2589700
2010-03-16,60.41,61.02,58.99,60.7,47.08,3562000
2010-03-17,61.65,61.65,59.96,60.17,46.66,3462400
2010-03-18,59.89,60.45,58.86,59.33,46.01,3887000
2010-03-19,58.16,60.18,58.06,58.16,45.11,3043300
2010-03-22,57.9,60.27,57.65,59.95,46.49,1820600
2010-03-23,60.09,62.69,60.09,62.35,48.36,3014900
2010-03-24,62.32,63.2,61.76,61.81,47.94,3131500
2010-03-25,62.54,63.44,61.52,61.56,47.74,2615600
2010-03-26,61.83,63.4,61.63,62.36,48.36,1880200
2010-03-29,62.9,63.18,62.43,63.08,48.92,2177000
2010-03-30,63.22,63.23,61.58,62.15,48.2,2284200
2010-03-31,61.93,62.49,61.61,61.95,48.05,2397000
2010-04-01,62.47,63.63,61.96,62.34,48.35,2262900
2010-04-05,62.82,65.98,62.82,65.63,50.9,3273700
2010-04-06,65.37,65.46,64.9,65.12,50.5,2415400
2010-04-07,64.74,65.35,64.21,64.71,50.19,2630300
2010-04-08,64.36,65.59,63.75,65.03,50.43,3117600
2010-04-09,66.73,66.73,65.61,66.07,51.24,3111300
2010-04-12,66.45,66.45,64.92,65.13,50.51,2838400
2010-04-13,65.16,66.12,65.03,66.06,51.23,1656600
2010-04-14,66.16,67.79,66.1,67.72,52.52,2047600
2010-04-15,67.54,67.98,66.44,67.01,51.97,2128500
2010-04-16,66.7,67.17,65.0,65.91,51.12,2088200
2010-04-19,65.77,66.63,64.56,65.93,51.13,1873700
2010-04-20,66.91,69.35,66.81,67.04,51.99,3173300
2010-04-21,67.44,67.92,65.95,66.74,51.76,2356100
2010-04-22,65.98,68.32,64.78,68.06,52.78,1881100
2010-04-23,68.26,69.84,67.57,69.76,54.1,2334100
2010-04-26,70.24,71.5,70.01,70.31,54.53,2942100
2010-04-27,74.45,76.35,71.99,72.4,56.15,9373000
2010-04-28,73.2,74.95,73.07,73.81,57.24,4623600
2010-04-29,74.71,76.95,74.22,75.79,58.78,4009900
2010-04-30,75.75,76.56,72.05,72.23,56.02,3565500
2010-05-03,72.67,74.25,72.6,73.25,56.81,2891000
2010-05-04,71.96,72.01,69.33,70.65,54.79,5014200
2010-05-05,68.82,71.8,67.3,70.41,54.61,4479100
2010-05-06,69.95,72.0,58.91,67.24,52.15,8957800
2010-05-07,64.85,68.49,64.57,65.31,50.65,6749900
2010-05-10,69.72,72.38,69.6,72.13,55.94,4854300
2010-05-11,70.77,72.95,70.6,71.76,55.65,2946800
2010-05-12,72.74,75.45,72.52,75.09,58.24,2981300
2010-05-13,75.18,76.23,73.65,74.04,57.42,2855100
2010-05-14,73.29,73.31,70.68,71.55,55.49,4568600
2010-05-17,71.75,72.44,68.71,71.27,55.27,4033200
2010-05-18,73.04,73.45,69.51,69.95,54.25,2625300
2010-05-19,68.04,69.77,66.51,68.47,53.23,3783300
2010-05-20,66.03,66.08,62.0,63.7,49.53,7800300
2010-05-21,62.0,66.2,60.36,65.87,51.21,4074500
2010-05-24,66.0,66.81,64.07,64.23,49.94,2162600
2010-05-25,61.45,65.11,60.5,64.94,50.49,4194500
2010-05-26,66.42,68.62,65.54,65.98,51.3,3562400
2010-05-27,68.1,69.62,67.73,69.59,54.11,2377400
2010-05-28,69.78,70.2,67.02,67.98,52.85,3170300
2010-06-01,67.08,69.1,66.05,66.09,51.38,1911800
2010-06-02,67.17,69.89,66.16,69.78,54.25,2779600
2010-06-03,71.22,72.0,69.14,70.54,54.84,3427800
2010-06-04,69.0,70.0,65.5,66.35,51.59,4142600
2010-06-07,66.52,66.52,62.86,62.94,48.94,3060900
2010-06-08,63.5,65.5,62.8,65.19,50.68,2923400
2010-06-09,65.95,67.51,65.4,65.89,51.23,3417100
2010-06-10,67.57,70.84,67.57,70.48,54.8,3982600
2010-06-11,69.04,72.43,68.92,72.22,56.15,2585100
2010-06-14,73.69,74.34,72.08,72.41,56.3,2619200
2010-06-15,73.0,75.46,72.98,75.37,58.6,2652100
2010-06-16,74.62,75.04,74.04,74.51,57.93,3103900
2010-06-17,75.15,75.2,72.96,73.81,57.39,2259000
2010-06-18,74.06,74.95,73.35,74.3,57.77,2796500
2010-06-21,76.0,77.1,74.33,74.97,58.29,3687300
2010-06-22,75.01,75.57,72.01,72.21,56.14,3050500
2010-06-23,72.3,73.85,70.61,73.15,56.87,2393800
2010-06-24,72.09,72.85,70.75,71.36,55.48,2625000
2010-06-25,71.85,72.69,70.54,72.59,56.44,5343100
2010-06-28,72.57,72.76,70.4,70.46,54.78,3046100
