Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,38.36,38.87,38.32,38.34,32.41,2714300
2010-01-04,38.66,39.14,38.55,39.05,33.01,4447400
2010-01-05,39.63,40.63,39.62,40.59,34.31,8029400
2010-01-06,40.35,40.97,40.2,40.81,34.49,5819000
2010-01-07,40.69,43.11,40.59,42.83,36.2,7885800
2010-01-08,42.43,43.19,42.01,42.46,35.89,6929600
2010-01-11,42.81,42.99,41.68,41.7,35.25,5299100
2010-01-12,41.48,42.2,41.32,41.86,35.38,6491900
2010-01-13,41.52,42.24,40.72,42.12,35.6,6079100
2010-01-14,41.81,42.1,41.29,41.67,35.22,4302700
2010-01-15,41.32,42.11,40.9,41.13,34.76,7222400
2010-01-19,40.97,43.09,40.81,43.01,36.35,7769600
2010-01-20,42.71,43.6,42.32,43.02,36.36,7280300
2010-01-21,42.86,43.54,41.45,42.7,36.09,11787800
2010-01-22,40.79,40.88,37.31,37.53,31.72,22018900
2010-01-25,38.32,38.35,35.65,36.11,30.52,17531700
2010-01-26,35.96,36.7,35.15,35.21,29.76,13500900
2010-01-27,35.31,36.86,34.65,36.55,30.89,11448100
2010-01-28,36.51,37.23,35.76,36.74,31.05,10454200
2010-01-29,37.75,37.9,36.7,36.86,31.15,8555700
2010-02-01,36.85,37.36,36.47,36.78,31.09,8417200
2010-02-02,37.47,38.44,36.92,37.43,31.64,9958800
2010-02-03,37.15,37.34,36.38,36.55,30.89,5430300
2010-02-04,36.18,36.34,34.85,34.95,29.54,9094100
2010-02-05,35.11,35.54,34.03,35.36,29.89,8869700
2010-02-08,35.41,35.76,34.6,34.63,29.27,4895000
2010-02-09,35.17,36.11,34.86,35.33,29.86,5409000
2010-02-10,35.23,36.01,34.97,35.56,30.1,4672500
2010-02-11,35.5,35.87,34.83,35.64,30.17,4801100
2010-02-12,35.1,35.38,34.68,35.14,29.74,7013900
2010-02-16,36.19,36.91,35.95,36.74,31.1,8239700
2010-02-17,36.98,37.29,36.45,36.85,31.19,6431600
2010-02-18,36.61,37.54,36.61,37.33,31.6,5329000
2010-02-19,37.27,37.85,36.86,37.79,31.99,6076100
2010-02-22,37.9,38.53,37.68,38.28,32.4,6873200
2010-02-23,38.1,38.37,36.83,37.03,31.34,7199000
2010-02-24,37.2,37.69,36.91,37.64,31.86,4333100
2010-02-25,37.03,37.43,36.4,37.37,31.63,5267200
2010-02-26,37.35,37.92,37.04,37.75,31.95,3824400
