Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,38.25,38.99,37.96,38.12,37.9,343100
2010-01-04,38.26,38.48,37.61,37.75,37.53,481200
2010-01-05,37.52,38.21,37.48,38.19,37.96,310900
2010-01-06,37.94,38.48,37.86,38.17,37.94,390700
2010-01-07,37.9,38.7,37.78,38.57,38.34,350600
2010-01-08,38.25,38.43,37.79,37.95,37.73,235800
2010-01-11,38.0,38.15,37.7,38.0,37.78,206300
2010-01-12,37.62,38.22,37.54,37.63,37.41,203700
2010-01-13,37.76,38.66,37.74,38.66,38.43,330000
2010-01-14,38.36,38.9,38.11,38.52,38.32,554300
2010-01-15,38.26,38.31,37.58,37.69,37.5,354600
2010-01-19,37.81,38.59,37.71,38.25,38.05,243700
2010-01-20,38.06,38.34,37.97,38.07,37.87,230900
2010-01-21,38.26,38.26,36.51,37.04,36.85,498900
2010-01-22,37.02,37.29,36.53,36.67,36.48,435400
2010-01-25,36.82,37.06,36.12,36.44,36.25,640200
2010-01-26,36.35,36.76,35.91,36.16,35.97,264300
2010-01-27,36.01,36.26,35.43,35.83,35.65,312300
2010-01-28,36.05,36.06,35.36,35.43,35.25,228900
2010-01-29,35.67,35.85,35.32,35.32,35.14,327600
2010-02-01,35.66,35.68,34.9,35.15,34.97,558800
2010-02-02,35.15,35.95,35.15,35.8,35.62,645500
2010-02-03,35.77,35.8,35.26,35.26,35.08,200400
2010-02-04,35.1,36.59,34.85,36.45,36.26,677000
2010-02-05,36.42,36.49,35.8,36.17,35.98,466000
2010-02-08,36.26,36.73,36.06,36.2,36.01,229800
2010-02-09,36.3,36.75,35.87,36.65,36.46,359700
2010-02-10,36.69,37.05,36.35,36.97,36.78,400000
2010-02-11,36.85,37.67,36.75,37.66,37.47,318900
2010-02-12,37.55,38.4,37.26,38.33,38.13,773900
2010-02-16,38.39,38.47,37.61,38.14,37.94,288500
2010-02-17,38.11,38.8,38.11,38.73,38.53,254200
2010-02-18,38.51,38.61,38.09,38.42,38.22,205600
2010-02-19,38.23,38.6,38.08,38.44,38.24,180000
2010-02-22,38.57,39.23,38.03,39.18,38.98,433500
2010-02-23,39.17,39.46,38.76,39.18,38.98,655900
2010-02-24,39.14,40.19,39.08,40.08,39.87,391900
2010-02-25,39.75,40.24,39.65,40.2,39.99,445700
2010-02-26,40.11,40.41,39.84,40.06,39.85,419900
2010-03-01,40.28,40.98,40.03,40.71,40.5,311200
2010-03-02,40.7,41.0,40.49,40.96,40.75,399200
2010-03-03,41.18,41.24,39.71,39.77,39.57,624500
2010-03-04,40.0,40.29,39.8,40.2,39.99,492500
2010-03-05,39.41,40.14,38.15,38.51,38.31,1297000
2010-03-08,38.64,39.33,38.5,39.25,39.05,546900
2010-03-09,39.25,39.25,38.73,39.08,38.88,262800
2010-03-10,39.01,39.92,38.81,39.75,39.55,264400
2010-03-11,39.81,39.81,39.09,39.47,39.27,282300
2010-03-12,39.47,39.67,38.71,38.87,38.67,188600
2010-03-15,38.9,39.13,38.54,38.99,38.79,147400
2010-03-16,38.81,39.1,38.24,39.04,38.84,181100
2010-03-17,39.19,39.66,39.05,39.64,39.44,201900
2010-03-18,39.8,40.0,39.58,39.88,39.68,164000
2010-03-19,40.07,40.59,39.62,40.07,39.86,422900
2010-03-22,39.79,41.55,39.79,41.01,40.8,283500
2010-03-23,41.03,41.03,40.09,40.68,40.47,187600
2010-03-24,40.7,40.78,40.09,40.25,40.04,164000
2010-03-25,40.38,40.44,39.65,39.69,39.49,203100
2010-03-26,39.79,39.79,37.26,38.02,37.83,1260200
2010-03-29,38.15,38.7,37.96,38.51,38.31,805200
2010-03-30,38.55,38.95,38.29,38.72,38.52,587700
2010-03-31,38.61,39.1,38.44,38.88,38.68,497400
2010-04-01,38.99,39.39,38.67,38.97,38.77,292700
2010-04-05,38.89,39.4,38.84,39.16,38.96,236500
2010-04-06,38.97,38.97,38.33,38.39,38.19,373600
2010-04-07,38.25,38.28,37.71,38.05,37.85,242400
2010-04-08,38.08,38.34,37.64,38.25,38.05,618900
2010-04-09,38.35,38.76,38.22,38.76,38.56,206300
2010-04-12,38.91,39.58,38.66,39.45,39.25,515300
2010-04-13,39.9,40.09,38.92,39.17,38.97,342700
2010-04-14,39.31,39.36,38.62,38.8,38.6,287500
2010-04-15,38.83,38.83,38.34,38.57,38.37,211300
2010-04-16,38.56,38.59,37.9,38.12,37.92,281700
2010-04-19,38.1,38.55,37.9,38.01,37.82,305500
2010-04-20,38.21,39.57,38.16,39.24,39.04,393400
2010-04-21,39.18,39.25,38.71,39.0,38.8,222900
2010-04-22,38.87,38.94,38.45,38.65,38.45,238300
2010-04-23,38.71,38.91,38.36,38.85,38.65,102800
2010-04-26,38.91,39.22,38.91,39.06,38.86,236000
2010-04-27,38.88,39.16,38.78,38.83,38.63,337900
2010-04-28,38.88,39.34,38.7,39.04,38.84,275200
2010-04-29,39.07,39.44,38.87,39.4,39.2,184400
2010-04-30,39.35,39.56,38.86,38.89,38.69,318500
2010-05-03,39.0,39.06,38.55,38.89,38.69,268700
2010-05-04,38.57,38.81,37.37,37.61,37.42,339900
2010-05-05,37.23,38.0,36.66,37.7,37.51,319000
2010-05-06,37.57,37.91,35.64,37.23,37.04,435600
2010-05-07,37.07,37.3,36.11,36.25,36.06,654900
2010-05-10,37.26,37.73,36.45,36.73,36.54,474400
2010-05-11,36.57,36.7,36.31,36.58,36.39,660100
2010-05-12,36.57,37.16,36.57,37.09,36.9,400200
2010-05-13,36.96,37.5,36.96,37.27,37.08,226500
2010-05-14,37.13,37.13,36.19,36.4,36.21,376900
2010-05-17,36.57,37.05,35.95,36.62,36.43,376100
2010-05-18,36.73,37.14,36.54,36.6,36.41,252600
2010-05-19,36.55,36.72,35.97,36.29,36.1,183800
2010-05-20,36.0,36.3,34.76,35.09,34.91,466600
2010-05-21,34.7,35.21,34.28,34.85,34.67,287900
2010-05-24,35.91,37.41,35.7,35.8,35.62,761600
2010-05-25,35.76,35.76,34.7,35.57,35.39,513000
2010-05-26,35.56,36.37,35.33,35.46,35.28,348500
2010-05-27,35.93,37.06,35.88,37.02,36.83,302100
2010-05-28,37.07,37.27,36.81,36.86,36.67,218100
2010-06-01,36.71,36.97,35.99,36.05,35.87,233400
2010-06-02,36.11,37.26,35.8,37.13,36.94,349200
2010-06-03,37.15,38.51,37.15,37.96,37.77,626800
2010-06-04,36.94,38.38,36.79,37.22,37.03,943800
2010-06-07,37.31,37.58,36.7,37.03,36.84,556200
2010-06-08,36.95,37.11,35.47,35.7,35.52,822200
2010-06-09,35.91,36.66,35.78,36.0,35.82,589300
2010-06-10,36.42,36.42,35.93,36.15,35.96,336900
2010-06-11,36.04,36.86,35.89,36.8,36.61,377900
2010-06-14,37.0,37.49,36.83,36.92,36.73,329000
2010-06-15,37.07,38.4,37.07,38.36,38.16,501200
2010-06-16,38.19,38.87,38.19,38.56,38.36,367200
2010-06-17,38.8,38.92,38.37,38.86,38.66,241500
2010-06-18,39.06,39.92,38.82,39.8,39.6,712000
2010-06-21,40.37,41.24,40.27,40.9,40.69,792100
2010-06-22,40.56,41.5,40.47,40.9,40.69,1104800
2010-06-23,40.7,40.99,40.22,40.26,40.05,514600
2010-06-24,40.02,40.36,39.79,39.96,39.76,529200
2010-06-25,40.01,41.81,39.67,41.57,41.36,1276000
2010-06-28,41.73,41.83,40.97,41.54,41.33,1037600
2010-06-29,41.23,41.23,39.95,40.03,39.82,715800
2010-06-30,40.13,40.46,39.67,39.79,39.59,604600
2010-07-01,39.8,39.8,38.96,39.38,39.18,659800
2010-07-02,39.54,39.85,39.04,39.2,39.0,323700
2010-07-06,39.6,39.95,39.07,39.1,38.9,652300
2010-07-07,39.2,39.66,38.96,39.61,39.41,634300
