Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,34.14,34.31,33.8,33.8,24.14,1154700
2010-01-04,33.91,33.98,33.71,33.87,24.19,1574200
2010-01-05,33.92,34.17,33.6,33.93,24.23,2497100
2010-01-06,33.84,33.92,33.36,33.55,23.96,2829500
2010-01-07,33.45,33.45,32.97,33.04,23.6,3232600
2010-01-08,33.04,33.12,32.68,32.83,23.45,2203200
2010-01-11,32.83,33.0,32.6,32.93,23.52,2827700
2010-01-12,32.87,33.58,32.77,33.32,23.8,2601600
2010-01-13,33.46,33.9,33.33,33.82,24.15,2485500
2010-01-14,33.78,33.78,33.24,33.65,24.03,1976300
2010-01-15,33.67,33.73,32.8,32.99,23.56,3794500
2010-01-19,33.03,33.23,32.96,33.05,23.6,1858400
2010-01-20,32.86,32.9,32.5,32.87,23.47,1605400
2010-01-21,32.83,33.03,32.4,32.62,23.3,2414600
2010-01-22,32.6,33.03,32.39,32.78,23.41,2738400
2010-01-25,33.1,33.1,32.58,32.77,23.4,1691600
2010-01-26,32.61,32.87,32.38,32.76,23.4,1866100
2010-01-27,32.87,33.17,32.61,33.05,23.6,2346000
2010-01-28,33.17,33.59,33.09,33.52,23.94,3139500
2010-01-29,33.65,33.71,33.05,33.11,23.65,2490600
2010-02-01,33.28,33.46,33.14,33.35,23.82,1188600
2010-02-02,33.43,33.66,33.25,33.66,24.04,1581200
2010-02-03,33.58,33.63,33.28,33.32,23.8,1809300
2010-02-04,33.52,33.63,32.44,32.44,23.17,3430200
2010-02-05,32.33,32.51,32.18,32.47,23.19,3018800
2010-02-08,32.56,33.09,32.49,32.69,23.35,1956800
2010-02-09,32.94,33.62,32.87,33.32,23.8,2823600
2010-02-10,33.26,33.48,33.05,33.32,23.8,1662300
2010-02-11,33.51,33.6,33.04,33.56,23.97,1294900
2010-02-12,33.32,33.4,32.84,33.04,23.6,2936000
2010-02-16,33.13,33.65,33.03,33.59,23.99,2329100
2010-02-17,33.01,33.79,32.92,33.62,24.01,2972500
2010-02-18,33.5,33.93,33.5,33.85,24.17,2386900
2010-02-19,33.85,34.09,33.6,33.93,24.23,2054000
2010-02-22,33.76,33.98,33.21,33.5,23.92,2936500
2010-02-23,32.95,33.36,32.88,33.19,23.7,4498800
2010-02-24,33.16,33.43,32.89,33.15,23.67,3228800
2010-02-25,32.83,33.28,32.73,33.27,23.76,2618700
2010-02-26,33.22,33.46,33.18,33.33,23.8,2509100
2010-03-01,33.4,33.47,33.24,33.35,23.82,2101600
2010-03-02,33.42,34.09,33.37,33.85,24.17,2498400
2010-03-03,33.69,34.23,33.45,34.04,24.31,2677800
2010-03-04,34.13,34.39,33.79,34.15,24.39,3201600
2010-03-05,34.21,34.39,34.11,34.39,24.56,1747300
2010-03-08,34.31,34.4,34.04,34.16,24.4,1132100
2010-03-09,34.02,34.2,33.96,34.06,24.32,1763600
2010-03-10,34.07,34.07,33.77,33.88,24.2,2072100
2010-03-11,33.77,34.29,33.75,34.25,24.46,2481700
2010-03-12,34.33,34.53,34.18,34.49,24.63,1849500
2010-03-15,34.41,34.72,34.4,34.7,24.78,1711700
2010-03-16,34.8,35.04,34.68,35.0,25.0,2042100
2010-03-17,35.05,35.16,34.98,35.13,25.09,1767900
2010-03-18,34.94,35.04,34.74,35.04,25.02,1289900
2010-03-19,35.31,35.31,35.01,35.31,25.22,3761400
2010-03-22,35.13,35.43,35.13,35.33,25.23,1398200
2010-03-23,35.27,35.52,35.18,35.52,25.37,1253300
2010-03-24,35.38,35.54,35.16,35.24,25.17,1206700
2010-03-25,35.36,35.36,34.82,34.87,24.9,1691300
2010-03-26,34.91,35.05,34.78,34.92,24.94,1679700
2010-03-29,34.97,35.63,34.94,35.56,25.4,2089500
2010-03-30,35.66,35.75,35.52,35.63,25.45,1240000
2010-03-31,35.25,35.56,35.13,35.35,25.44,1610700
2010-04-01,35.48,35.66,35.41,35.56,25.59,1167800
2010-04-05,35.56,35.66,35.38,35.42,25.49,1009400
2010-04-06,35.32,35.46,35.31,35.33,25.43,1061200
2010-04-07,35.39,35.54,35.27,35.4,25.48,1545900
2010-04-08,35.32,35.46,35.11,35.13,25.28,2372800
2010-04-09,35.09,35.4,35.09,35.36,25.45,2619600
2010-04-12,35.27,35.5,35.13,35.42,25.49,2298100
2010-04-13,35.49,35.86,35.41,35.54,25.58,2896500
2010-04-14,35.55,35.66,35.43,35.63,25.64,1981000
2010-04-15,35.57,36.1,35.25,35.96,25.88,2512200
2010-04-16,35.81,36.04,35.56,35.71,25.7,2239500
2010-04-19,35.55,35.78,35.42,35.75,25.73,1809200
2010-04-20,35.88,36.02,35.74,36.0,25.91,1520500
2010-04-21,35.96,36.09,35.8,35.93,25.86,1493500
2010-04-22,35.84,36.0,35.41,35.78,25.75,1611600
2010-04-23,35.73,35.73,35.35,35.59,25.61,1631000
2010-04-26,35.47,35.68,35.42,35.48,25.54,1174100
2010-04-27,35.45,35.49,35.06,35.11,25.27,1677700
2010-04-28,35.26,35.45,34.98,35.38,25.46,1957200
2010-04-29,35.56,35.89,35.5,35.72,25.71,2230500
2010-04-30,35.65,36.25,35.6,35.86,25.81,2764500
2010-05-03,35.99,36.09,35.7,36.03,25.93,2034900
2010-05-04,35.7,35.94,35.44,35.64,25.65,1631800
2010-05-05,35.58,35.85,35.45,35.72,25.71,1564800
2010-05-06,35.69,35.69,34.18,35.07,25.24,3772600
2010-05-07,35.04,35.33,34.8,35.04,25.22,3796900
2010-05-10,35.48,36.28,35.34,35.8,25.77,1849700
2010-05-11,35.67,36.13,35.51,35.88,25.82,1791100
2010-05-12,35.96,36.16,35.7,36.02,25.92,2302800
2010-05-13,35.9,36.42,35.82,36.0,25.91,2294300
2010-05-14,35.83,36.0,35.21,35.34,25.43,2219600
2010-05-17,35.36,35.69,35.22,35.67,25.67,2016100
2010-05-18,35.78,35.99,35.41,35.48,25.54,2011100
2010-05-19,35.37,35.78,35.24,35.62,25.64,2796400
2010-05-20,35.22,35.4,34.79,34.96,25.16,5303200
2010-05-21,34.93,35.52,34.71,35.48,25.54,5249000
2010-05-24,35.4,35.59,34.8,35.38,25.46,3855100
2010-05-25,34.77,35.19,34.61,35.18,25.32,4244300
2010-05-26,35.29,35.29,34.84,34.88,25.1,3957500
2010-05-27,35.34,35.94,35.2,35.93,25.86,3469800
2010-05-28,35.89,36.0,35.78,35.81,25.77,2586800
2010-06-01,35.54,36.07,35.49,35.66,25.66,4141800
2010-06-02,35.71,36.42,35.69,36.42,26.21,2779100
2010-06-03,36.61,36.79,36.44,36.65,26.38,2192200
2010-06-04,36.21,36.23,35.86,36.0,25.91,3501500
2010-06-07,35.99,36.4,35.94,36.03,25.93,3048900
2010-06-08,35.99,36.73,35.92,36.71,26.42,4627000
2010-06-09,36.85,37.17,36.52,36.59,26.33,3630300
2010-06-10,36.91,37.02,36.33,36.57,26.32,4300600
2010-06-11,36.29,36.47,36.08,36.47,26.25,3080700
2010-06-14,36.76,36.86,36.42,36.69,26.41,2654100
2010-06-15,37.0,37.0,36.71,37.0,26.63,2092500
2010-06-16,36.74,37.06,36.72,36.99,26.62,2774300
2010-06-17,37.14,37.5,36.99,37.49,26.98,2221600
2010-06-18,37.47,37.47,37.05,37.15,26.74,2165200
2010-06-21,37.4,37.5,36.96,37.11,26.71,2100500
2010-06-22,37.07,37.24,36.56,36.63,26.36,2018600
2010-06-23,36.73,36.92,36.48,36.75,26.45,3192700
2010-06-24,36.58,36.79,36.38,36.46,26.24,3020400
