Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,24.1,24.17,23.94,23.94,18.05,25208100
2010-01-04,24.11,24.84,24.01,24.69,18.61,59853700
2010-01-05,24.6,24.73,24.38,24.58,18.53,45124500
2010-01-06,24.54,24.74,24.34,24.42,18.41,35715700
2010-01-07,24.3,24.57,24.17,24.53,18.49,31531200
2010-01-08,24.38,24.7,24.25,24.66,18.59,39115900
2010-01-11,24.64,24.89,24.41,24.59,18.54,35852900
2010-01-12,24.44,24.5,24.08,24.2,18.24,35780400
2010-01-13,24.28,24.7,24.2,24.64,18.58,43683900
2010-01-14,24.58,25.08,24.52,24.95,18.81,52302100
2010-01-15,25.0,25.1,24.3,24.4,18.4,51648100
2010-01-19,24.54,24.88,24.5,24.85,18.73,37607500
2010-01-20,24.62,24.73,24.12,24.41,18.4,42125400
2010-01-21,24.51,24.65,23.86,23.98,18.08,54767500
2010-01-22,23.84,23.93,22.87,22.97,17.32,70424300
2010-01-25,23.1,23.18,22.74,22.99,17.33,51288800
2010-01-26,22.8,23.2,22.64,22.9,17.26,55312800
2010-01-27,22.89,23.26,22.76,23.15,17.45,51802900
2010-01-28,23.18,23.22,22.35,22.52,16.98,63620000
2010-01-29,22.95,23.13,22.44,22.47,16.94,73431900
2010-02-01,22.65,22.94,22.38,22.73,17.14,54386100
2010-02-02,22.81,23.11,22.51,23.02,17.35,54108900
2010-02-03,23.16,23.25,22.85,23.07,17.39,80035500
2010-02-04,23.41,23.77,23.1,23.16,17.46,126098600
2010-02-05,23.3,23.88,23.16,23.7,17.87,99148600
2010-02-08,23.78,23.9,23.48,23.5,17.72,69909000
2010-02-09,23.8,24.0,23.58,23.89,18.01,60331600
2010-02-10,23.86,24.0,23.62,23.76,17.91,50574100
2010-02-11,23.67,23.99,23.54,23.93,18.04,42458500
2010-02-12,23.72,23.8,23.51,23.76,17.91,56455000
2010-02-16,23.96,24.0,23.8,24.0,18.09,46758200
2010-02-17,23.99,24.09,23.74,24.07,18.15,48505500
2010-02-18,24.05,24.36,23.9,24.28,18.3,41154700
2010-02-19,24.13,24.38,24.06,24.36,18.36,38781900
2010-02-22,24.39,24.46,24.15,24.3,18.32,31374800
2010-02-23,24.16,24.23,23.83,24.05,18.13,36286000
2010-02-24,24.09,24.45,24.09,24.34,18.35,33182100
2010-02-25,24.0,24.39,23.87,24.33,18.34,37112100
2010-02-26,24.36,24.46,24.21,24.33,18.34,30719800
2010-03-01,24.33,24.65,24.32,24.6,18.55,41777800
2010-03-02,24.66,24.75,24.44,24.61,18.55,51403800
2010-03-03,24.7,24.93,24.6,24.84,18.73,50693400
2010-03-04,24.84,24.98,24.66,24.95,18.81,40262000
2010-03-05,24.97,25.24,24.92,25.21,19.01,57057100
2010-03-08,25.31,26.36,25.26,26.13,19.7,116178200
2010-03-09,26.33,26.48,25.7,26.13,19.7,160887600
2010-03-10,25.85,26.06,25.75,25.87,19.5,69660800
2010-03-11,25.79,25.98,25.72,25.97,19.58,37340500
2010-03-12,26.0,26.03,25.78,25.88,19.51,31167200
2010-03-15,25.76,26.09,25.74,26.08,19.66,36759300
2010-03-16,26.03,26.34,26.01,26.15,19.71,53887500
2010-03-17,26.2,26.4,26.18,26.26,19.8,32456000
2010-03-18,26.24,26.43,26.22,26.34,19.86,27088000
2010-03-19,26.37,26.44,26.07,26.15,19.71,55661800
2010-03-22,25.92,26.38,25.89,26.28,19.81,31899500
2010-03-23,26.19,26.75,26.17,26.64,20.08,48863100
2010-03-24,26.56,26.62,26.44,26.45,19.94,35293400
2010-03-25,26.66,26.85,26.42,26.43,19.93,35137800
2010-03-26,26.44,26.75,26.34,26.47,19.96,37524500
2010-03-29,26.61,26.69,26.45,26.51,19.99,30387800
2010-03-30,26.64,26.71,26.34,26.65,20.09,32975900
2010-03-31,26.52,26.61,25.96,26.03,19.62,54745100
2010-04-01,26.2,26.3,25.66,25.83,19.47,56193700
2010-04-05,25.87,26.24,25.8,26.17,19.73,34804200
2010-04-06,26.13,26.38,26.05,26.22,19.77,31121900
