Date,Open,High,Low,Close,Adj Close,Volume
2019-05-24,29.75,32.0,28.5,29.0,28.19,44000
2019-05-28,29.25,30.5,28.51,28.76,27.96,61500
2019-05-29,29.9,29.9,27.66,28.5,27.7,207800
2019-05-30,28.99,29.16,28.22,28.8,27.99,666000
2019-05-31,28.5,28.59,26.97,26.97,26.21,853800
2019-06-03,26.54,27.0,24.37,24.81,24.11,19259600
2019-06-04,24.35,27.94,24.35,27.75,26.97,20135100
2019-06-05,27.54,28.22,26.46,28.01,27.22,10740200
2019-06-06,27.69,27.69,26.23,26.9,26.15,13986100
2019-06-07,26.17,26.93,25.72,26.31,25.57,10049100
2019-06-10,26.07,26.74,25.12,25.31,24.6,10247200
2019-06-11,25.01,25.36,24.53,24.95,24.25,11641200
2019-06-12,25.11,25.45,24.48,25.07,24.37,13392000
2019-06-13,25.06,25.19,24.7,24.97,24.27,9710800
2019-06-14,24.76,25.24,24.55,25.19,24.48,7036800
2019-06-17,25.53,26.9,25.45,25.95,25.22,13710100
2019-06-18,26.03,27.57,25.75,27.3,26.53,14485400
2019-06-19,27.48,27.48,26.87,27.15,26.39,10228800
2019-06-20,27.37,27.6,26.42,27.16,26.4,7728000
2019-06-21,26.87,27.71,26.87,27.21,26.45,12548900
2019-06-24,27.14,28.45,27.05,28.01,27.22,6494900
2019-06-25,28.02,28.09,27.48,27.67,26.89,6698600
2019-06-26,27.93,29.38,27.85,29.26,28.44,6735100
2019-06-27,29.38,30.33,29.26,29.57,28.74,5879600
2019-06-28,29.6,29.75,29.26,29.57,28.74,15517800
2019-07-01,29.58,30.75,28.95,29.68,28.85,5290400
2019-07-02,29.5,29.6,28.14,28.99,28.18,5438300
2019-07-03,28.78,28.9,28.2,28.8,27.99,2234900
2019-07-05,28.45,29.32,28.26,28.64,27.84,2888200
2019-07-08,28.39,28.39,27.64,27.77,26.99,3478600
2019-07-09,27.47,27.77,26.83,26.99,26.23,5285700
2019-07-10,26.81,27.0,26.44,26.5,25.76,5133700
2019-07-11,26.55,26.8,25.96,26.43,25.69,6066200
2019-07-12,26.42,27.73,26.26,27.6,26.83,5154500
2019-07-15,27.41,28.27,27.4,28.08,27.29,3443100
2019-07-16,27.93,28.5,27.72,27.86,27.08,3735900
2019-07-17,27.6,27.71,26.85,26.88,26.13,3999300
2019-07-18,26.58,26.98,26.41,26.65,25.9,3035200
2019-07-19,26.79,27.48,26.64,27.39,26.62,4694800
2019-07-22,27.34,27.85,27.21,27.76,26.98,2546100
2019-07-23,27.65,28.48,27.45,28.12,27.33,2921400
2019-07-24,27.77,28.52,27.63,28.32,27.53,2311800
2019-07-25,28.1,28.4,27.75,28.02,27.23,3532200
2019-07-26,27.72,28.52,27.65,28.48,27.68,3052700
2019-07-29,28.36,28.95,28.32,28.78,27.97,6245200
2019-07-30,28.0,29.29,27.8,29.13,28.44,7142300
2019-07-31,29.1,30.15,28.71,29.5,28.8,7662000
2019-08-01,29.5,32.78,29.31,31.25,30.51,11564200
2019-08-02,30.94,31.54,30.85,31.46,30.72,7305800
2019-08-05,30.63,30.97,29.64,29.9,29.19,5552500
2019-08-06,30.06,30.22,29.47,30.05,29.34,5355900
2019-08-07,29.58,30.83,29.43,30.64,29.92,4925200
2019-08-08,30.71,31.79,30.67,31.61,30.86,3962600
2019-08-09,31.94,32.0,31.22,31.63,30.88,4753200
2019-08-12,31.49,31.83,29.51,29.63,28.93,7112500
2019-08-13,29.33,30.15,29.19,29.6,28.9,6855400
2019-08-14,29.12,29.36,28.28,28.34,27.67,4580100
2019-08-15,28.93,29.23,27.93,28.42,27.75,3561600
2019-08-16,28.69,30.31,28.56,30.24,29.53,4285100
2019-08-19,30.75,30.84,30.25,30.57,29.85,4207300
