Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,33.6,33.64,33.05,33.13,32.3,1391400
2010-01-04,33.48,34.14,33.37,34.11,33.26,2110600
2010-01-05,34.07,34.18,33.81,34.14,33.28,2699500
2010-01-06,34.03,34.5,33.89,34.0,33.15,3825700
2010-01-07,33.98,34.27,33.68,33.97,33.12,3150100
2010-01-08,34.15,34.99,33.88,34.89,34.02,4004100
2010-01-11,34.92,34.97,33.82,33.84,32.99,3842200
2010-01-12,33.66,33.73,32.99,33.44,32.61,3498100
2010-01-13,33.96,34.19,33.54,33.84,32.99,4071600
2010-01-14,33.76,34.38,33.63,34.3,33.44,2271100
2010-01-15,34.33,34.65,33.8,34.42,33.55,3740600
2010-01-19,34.29,35.04,34.19,34.97,34.1,2524700
2010-01-20,34.42,34.46,33.32,34.17,33.31,2928600
2010-01-21,34.17,35.05,33.76,34.09,33.24,3285900
2010-01-22,33.95,34.07,32.97,32.97,32.14,4394700
2010-01-25,33.21,33.21,32.61,32.77,31.95,3296400
2010-01-26,33.87,34.23,33.19,33.51,32.67,7996100
2010-01-27,33.44,33.64,32.88,33.43,32.59,5347400
2010-01-28,32.23,35.02,32.23,34.01,33.16,8863800
2010-01-29,33.71,33.75,32.66,33.09,32.26,7874800
2010-02-01,33.23,33.72,33.16,33.69,32.85,5646000
2010-02-02,33.45,33.84,33.17,33.72,32.88,3293000
2010-02-03,33.33,33.98,33.23,33.81,32.96,4769000
2010-02-04,33.46,33.55,32.94,32.95,32.12,4382200
2010-02-05,32.92,33.28,32.39,33.28,32.44,5166400
2010-02-08,33.33,33.92,32.92,33.53,32.69,4136600
2010-02-09,33.79,34.57,33.59,34.39,33.53,5564500
2010-02-10,34.34,34.59,34.01,34.16,33.3,5705600
2010-02-11,34.09,34.37,33.81,34.3,33.44,4415000
2010-02-12,33.77,34.52,33.72,34.37,33.51,3573600
2010-02-16,34.53,34.73,34.28,34.73,33.86,2370900
2010-02-17,34.42,35.01,34.38,34.95,34.07,4459300
2010-02-18,34.93,36.06,34.89,35.96,35.06,6721600
2010-02-19,35.97,36.3,35.53,35.63,34.73,8353300
2010-02-22,35.59,35.74,35.03,35.13,34.24,4522600
2010-02-23,35.15,35.32,34.76,34.97,34.09,5163700
2010-02-24,35.15,35.4,34.68,34.84,33.96,6120100
2010-02-25,34.4,34.4,32.65,34.1,33.24,8371600
2010-02-26,34.1,34.34,33.92,34.25,33.39,6079400
2010-03-01,34.33,34.95,34.26,34.84,33.96,4077900
2010-03-02,34.84,35.01,34.4,34.5,33.63,4124600
2010-03-03,34.64,35.2,34.53,34.93,34.05,4578300
2010-03-04,34.93,35.09,34.7,35.03,34.15,3375800
2010-03-05,35.07,35.83,35.07,35.52,34.63,5115600
2010-03-08,35.67,36.32,35.61,35.83,34.93,5530400
2010-03-09,35.87,36.68,35.83,36.61,35.7,5737700
2010-03-10,36.69,37.59,36.64,37.12,36.19,5321300
2010-03-11,36.86,37.63,36.73,37.63,36.69,4550300
2010-03-12,37.28,38.44,37.17,38.29,37.33,7957200
2010-03-15,38.29,39.13,38.23,39.02,38.04,8538100
2010-03-16,39.07,39.12,38.58,38.98,38.0,5987500
2010-03-17,38.13,38.45,37.4,37.77,36.82,18308500
2010-03-18,37.69,38.6,37.69,38.27,37.31,8333200
2010-03-19,38.51,38.9,38.11,38.49,37.53,9478000
2010-03-22,38.29,38.81,38.29,38.37,37.41,3539400
2010-03-23,38.37,38.59,37.78,38.22,37.26,4479500
2010-03-24,38.19,38.73,38.06,38.64,37.68,3538800
2010-03-25,38.8,38.98,38.21,38.25,37.3,4671000
2010-03-26,38.29,38.57,38.07,38.29,37.33,3581700
2010-03-29,38.32,38.45,38.02,38.21,37.25,2696800
2010-03-30,38.17,38.31,37.8,38.21,37.26,2921200
2010-03-31,38.01,38.42,37.7,37.8,36.85,5373000
2010-04-01,37.98,38.17,36.89,37.35,36.41,5103300
2010-04-05,37.35,37.9,37.27,37.68,36.74,3302700
2010-04-06,37.63,37.82,37.28,37.63,36.68,2615500
2010-04-07,37.63,37.84,37.39,37.59,36.65,2971800
2010-04-08,37.63,37.63,36.91,37.44,36.5,3094000
2010-04-09,37.55,38.45,37.53,38.42,37.46,2640600
2010-04-12,38.42,38.91,38.25,38.84,37.86,3239800
2010-04-13,38.78,38.88,38.17,38.27,37.31,3353900
2010-04-14,38.2,38.45,37.91,38.26,37.3,3405400
2010-04-15,38.25,38.79,38.0,38.72,37.75,4014500
2010-04-16,38.69,38.95,38.39,38.6,37.63,4087500
2010-04-19,38.34,38.61,37.86,38.0,37.05,4334200
2010-04-20,38.03,39.48,37.89,39.37,38.38,5091200
2010-04-21,39.18,39.8,39.09,39.68,38.69,5358100
2010-04-22,38.12,38.6,37.01,38.46,37.5,11663800
2010-04-23,38.42,38.99,38.14,38.58,37.61,5979600
2010-04-26,38.38,39.08,38.23,38.92,37.95,2865200
2010-04-27,38.71,39.0,37.76,37.83,36.88,4690200
2010-04-28,38.01,38.05,37.55,38.01,37.05,6541400
2010-04-29,38.08,38.08,37.47,38.05,37.09,4756700
2010-04-30,38.05,38.05,37.23,37.45,36.51,3742100
2010-05-03,37.42,38.25,37.36,38.14,37.19,3761100
2010-05-04,37.82,37.82,36.81,37.24,36.31,3433600
2010-05-05,37.13,37.54,36.49,36.62,35.7,5277600
2010-05-06,36.53,36.88,33.65,35.4,34.51,6422500
2010-05-07,35.17,35.71,33.93,34.73,33.86,5768100
2010-05-10,36.58,37.42,36.26,37.39,36.46,6159300
2010-05-11,37.19,37.43,36.83,37.15,36.22,4484000
2010-05-12,37.08,37.95,36.96,37.94,36.98,4223200
2010-05-13,38.04,38.75,37.83,38.25,37.29,7692500
2010-05-14,37.98,38.01,36.63,37.04,36.11,4670100
2010-05-17,37.16,37.42,36.16,36.87,35.94,4087000
2010-05-18,37.01,37.24,35.76,36.05,35.14,4556900
2010-05-19,35.85,36.3,35.34,35.63,34.74,5294300
2010-05-20,35.32,35.78,34.84,35.04,34.16,5062500
2010-05-21,34.32,35.86,34.27,35.57,34.68,3877500
2010-05-24,35.3,35.72,35.09,35.14,34.26,2534200
2010-05-25,34.35,34.58,33.77,34.37,33.51,5406800
2010-05-26,34.52,35.19,33.96,34.11,33.26,5498000
2010-05-27,34.82,35.16,34.6,35.08,34.2,5898600
2010-05-28,34.94,35.2,34.61,34.73,33.86,4837900
2010-06-01,34.51,35.04,34.31,34.37,33.51,2789500
2010-06-02,34.27,35.36,33.95,35.36,34.48,4518900
2010-06-03,35.25,35.87,35.23,35.72,34.83,4095600
2010-06-04,35.13,35.67,34.38,34.48,33.62,4531500
2010-06-07,34.34,34.97,33.87,33.93,33.08,3567800
2010-06-08,33.74,33.74,32.11,33.38,32.54,10235100
2010-06-09,33.56,34.56,33.39,33.99,33.13,6102600
2010-06-10,34.53,34.89,34.23,34.86,33.99,3501600
2010-06-11,34.38,35.01,34.24,35.01,34.14,2877600
2010-06-14,35.25,35.64,34.89,34.93,34.06,3265200
2010-06-15,35.19,35.92,35.13,35.85,34.95,3263000
2010-06-16,35.74,36.06,35.47,35.9,35.0,2179800
2010-06-17,35.91,36.6,35.86,36.42,35.51,5536900
2010-06-18,36.35,36.89,36.3,36.7,35.78,4527200
2010-06-21,37.13,37.43,36.61,36.8,35.87,3650900
2010-06-22,36.95,37.31,36.17,36.25,35.34,3476300
2010-06-23,36.32,36.69,35.8,36.25,35.34,2695100
2010-06-24,36.1,36.22,35.22,35.32,34.44,4116600
2010-06-25,35.6,36.02,35.28,35.93,35.03,3447200
2010-06-28,36.02,36.02,35.48,35.54,34.65,2245200
2010-06-29,35.19,35.19,33.9,34.12,33.27,3513200
2010-06-30,34.21,34.54,33.56,33.63,32.78,2605100
2010-07-01,33.69,34.23,33.3,34.07,33.22,4657600
2010-07-02,33.45,34.26,33.14,33.53,32.69,3080400
2010-07-06,34.21,35.2,33.91,34.37,33.51,4931600
2010-07-07,34.35,35.44,34.35,35.43,34.54,3965300
2010-07-08,35.75,36.2,35.29,35.59,34.7,4584600
2010-07-09,35.67,35.89,35.35,35.53,34.64,3342000
2010-07-12,35.48,35.99,35.24,35.87,34.97,3395300
2010-07-13,36.3,37.39,35.99,36.38,35.46,6119500
2010-07-14,36.65,37.0,36.45,36.61,35.7,4562600
2010-07-15,36.66,37.78,36.66,37.13,36.2,5936400
2010-07-16,37.13,37.14,36.0,36.12,35.21,3260300
2010-07-19,36.07,37.08,36.07,36.87,35.94,3432200
2010-07-20,36.53,37.16,35.97,37.04,36.12,3440300
2010-07-21,37.21,37.22,35.83,35.84,34.94,3594000
2010-07-22,36.3,37.28,35.95,37.12,36.19,4949700
2010-07-23,36.96,38.1,36.92,38.1,37.15,3468200
2010-07-26,38.15,38.43,38.03,38.14,37.19,2623700
2010-07-27,38.22,38.7,37.79,38.23,37.27,5418200
2010-07-28,38.22,38.53,37.55,37.69,36.74,4342000
2010-07-29,42.2,45.95,42.01,45.13,44.0,18603200
2010-07-30,43.41,44.51,43.1,43.81,42.71,10231300
2010-08-02,44.46,45.17,44.26,44.46,43.34,4303500
2010-08-03,44.29,45.61,43.97,45.02,43.89,4984800
2010-08-04,45.02,46.41,44.99,46.19,45.03,4901700
