Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,55.13,55.19,54.01,54.09,42.63,1864700
2010-01-04,54.74,56.2,54.34,56.06,44.19,3974600
2010-01-05,56.19,56.56,55.6,55.85,44.02,3007400
2010-01-06,55.57,56.04,55.22,55.7,43.9,2854500
2010-01-07,55.38,56.13,55.17,56.1,44.22,2694000
2010-01-08,55.78,57.75,55.3,57.63,45.42,4165500
2010-01-11,58.26,60.16,58.16,59.95,47.25,8119900
2010-01-12,58.89,58.97,56.46,57.39,45.23,8129400
2010-01-13,57.75,58.54,55.89,58.29,45.94,6647000
2010-01-14,58.7,58.87,57.78,58.35,45.99,4170800
2010-01-15,58.36,58.59,55.96,56.33,44.4,6654200
2010-01-19,56.37,57.69,56.14,57.66,45.45,3618800
2010-01-20,57.07,57.1,55.61,56.11,44.23,3804200
2010-01-21,55.93,56.47,54.66,55.45,43.7,5413200
2010-01-22,55.2,55.2,52.87,53.02,41.79,6205900
2010-01-25,53.73,58.0,53.06,53.69,42.32,4313400
2010-01-26,53.48,54.33,52.78,53.41,42.1,3479300
2010-01-27,52.53,53.41,50.62,52.39,41.29,6772900
2010-01-28,52.32,52.52,50.18,51.11,40.28,4456300
2010-01-29,51.4,52.33,49.69,49.95,39.37,5507600
2010-02-01,50.37,51.86,50.24,51.35,40.47,3836700
2010-02-02,51.8,52.86,51.61,52.45,41.34,3678000
2010-02-03,52.17,53.17,51.75,51.84,40.86,2497200
2010-02-04,51.35,51.45,49.68,49.87,39.31,4636500
2010-02-05,49.76,50.17,48.33,49.82,39.27,5771500
2010-02-08,49.84,50.59,48.84,48.96,38.59,3775400
2010-02-09,49.9,51.36,49.73,50.32,39.66,5841600
2010-02-10,50.44,50.65,49.43,50.05,39.45,3155300
2010-02-11,49.91,52.51,49.85,52.32,41.24,5045200
2010-02-12,51.47,53.16,51.11,53.11,41.86,5683500
2010-02-16,53.76,54.55,53.54,53.78,42.39,6325800
2010-02-17,57.69,58.05,56.05,56.48,44.52,17375400
2010-02-18,56.92,57.52,56.45,57.26,45.13,6090000
2010-02-19,57.11,57.72,56.6,57.28,45.15,4262100
2010-02-22,57.6,57.75,56.49,56.7,44.69,4127600
2010-02-23,56.58,57.44,55.45,56.09,44.21,4890200
2010-02-24,56.3,56.99,55.74,56.18,44.28,3982800
2010-02-25,55.27,57.12,54.6,56.96,44.9,5749000
2010-02-26,57.34,57.49,56.24,57.3,45.16,4068600
2010-03-01,57.45,58.46,57.45,58.29,45.94,3529600
2010-03-02,58.58,58.99,57.66,58.21,45.88,3547700
2010-03-03,58.35,59.7,58.33,58.66,46.23,3921600
2010-03-04,58.78,59.33,58.07,58.5,46.11,3374900
2010-03-05,59.29,59.85,59.01,59.54,46.93,3086000
2010-03-08,59.59,59.78,58.78,59.2,46.66,2429700
2010-03-09,58.85,59.73,58.76,59.28,46.72,3370400
2010-03-10,59.28,59.35,58.11,58.49,46.1,4794100
2010-03-11,58.16,58.29,56.71,57.73,45.5,7502500
2010-03-12,58.31,58.94,57.96,58.64,46.22,4650900
2010-03-15,58.43,58.6,57.6,58.13,45.82,3531100
2010-03-16,58.39,59.0,57.75,58.92,46.44,3566600
2010-03-17,59.02,59.96,58.96,59.59,46.97,3866700
2010-03-18,59.32,59.91,58.96,59.25,46.7,3415000
2010-03-19,58.99,59.64,58.64,58.99,46.5,5244000
2010-03-22,58.33,60.04,58.28,60.02,47.31,5205800
2010-03-23,60.2,62.08,60.1,61.96,48.84,8971600
2010-03-24,61.64,61.65,60.31,60.49,47.68,6149600
2010-03-25,61.06,61.83,60.07,60.2,47.45,5452100
2010-03-26,60.52,61.2,60.11,60.56,47.73,4195800
2010-03-29,60.83,61.42,60.73,61.35,48.58,3364400
2010-03-30,61.56,62.0,60.99,61.11,48.39,3932400
2010-03-31,60.62,61.14,59.2,59.46,47.08,5567300
2010-04-01,59.99,60.7,59.1,59.74,47.3,5010400
2010-04-05,60.38,60.8,60.1,60.64,48.02,3515000
2010-04-06,60.48,60.85,60.27,60.68,48.05,2270100
2010-04-07,60.66,60.96,59.94,60.4,47.83,3690600
2010-04-08,60.22,60.78,59.71,60.62,48.0,2714000
2010-04-09,60.86,61.68,60.74,61.68,48.84,2807200
2010-04-12,61.76,62.39,61.58,62.04,49.13,3805100
2010-04-13,61.73,62.2,61.09,61.54,48.73,2381200
2010-04-14,61.81,62.03,60.64,61.77,48.91,3581700
2010-04-15,61.52,62.73,61.26,61.76,48.9,2546300
2010-04-16,61.51,61.94,59.89,60.51,47.91,4345700
2010-04-19,60.06,61.0,59.24,60.47,47.88,3536600
2010-04-20,60.85,61.5,60.03,60.2,47.67,3187300
2010-04-21,60.33,61.0,59.89,60.5,47.91,3533600
2010-04-22,59.89,61.09,59.09,60.96,48.27,2832900
2010-04-23,60.99,61.83,60.67,61.79,48.93,3838700
2010-04-26,62.47,63.68,62.02,62.21,49.26,4530700
2010-04-27,61.78,62.09,59.01,59.32,46.97,4932200
2010-04-28,59.96,60.27,59.27,59.58,47.18,2948700
2010-04-29,60.16,60.8,59.75,60.61,47.99,2662500
2010-04-30,61.03,61.65,59.77,59.82,47.37,3984700
2010-05-03,60.41,61.6,59.82,61.32,48.56,4745500
2010-05-04,60.23,60.61,57.87,58.42,46.26,6055300
2010-05-05,57.29,58.77,55.82,57.51,45.54,6720400
2010-05-06,56.97,58.14,52.73,56.39,44.65,9057800
2010-05-07,56.12,57.38,54.63,56.38,44.64,7929700
2010-05-10,58.78,59.67,57.32,59.43,47.06,4719600
2010-05-11,58.72,60.41,58.5,59.46,47.08,3394500
2010-05-12,59.86,61.31,59.84,61.14,48.41,4043000
2010-05-13,61.04,61.17,59.8,59.88,47.42,3299400
2010-05-14,59.12,59.49,57.3,58.36,46.21,4523800
2010-05-17,58.57,58.87,56.77,57.95,45.89,4221700
2010-05-18,58.47,59.6,57.0,57.16,45.26,4433600
2010-05-19,59.47,59.52,56.0,58.87,46.62,11276800
2010-05-20,57.04,58.56,56.35,56.67,44.87,8009300
2010-05-21,55.52,59.05,55.23,58.73,46.51,7004500
2010-05-24,58.19,58.87,56.19,56.33,44.6,5300400
2010-05-25,54.87,55.9,53.2,55.89,44.26,8849200
2010-05-26,56.7,57.61,55.92,56.14,44.45,5225500
2010-05-27,57.24,59.49,57.24,59.44,47.07,5068200
2010-05-28,59.4,59.57,57.03,57.68,45.67,5162100
2010-06-01,57.22,58.68,56.58,57.13,45.24,4939800
2010-06-02,58.1,60.1,57.0,60.07,47.57,7109000
2010-06-03,60.41,60.86,59.21,59.67,47.25,5281500
2010-06-04,58.37,59.33,56.5,56.88,45.04,5196200
2010-06-07,57.14,57.15,54.71,54.78,43.38,5371700
2010-06-08,55.01,55.72,53.95,55.06,43.6,6148700
2010-06-09,55.76,57.45,54.94,55.27,43.77,4816100
2010-06-10,56.84,58.0,56.55,57.87,45.82,4373400
2010-06-11,57.23,58.97,56.95,58.86,46.61,3544000
2010-06-14,59.45,59.69,57.27,57.64,45.64,6107200
2010-06-15,58.46,59.51,57.4,59.5,47.11,6232800
2010-06-16,59.01,59.68,58.62,59.34,46.99,3372400
2010-06-17,59.83,59.96,58.26,59.42,47.05,4043800
2010-06-18,59.5,59.85,58.75,59.26,46.92,5729700
2010-06-21,60.0,61.43,59.85,60.45,47.87,5562200
2010-06-22,60.38,60.75,58.92,59.1,46.8,3965500
2010-06-23,59.07,59.85,58.21,59.21,46.89,3200700
2010-06-24,58.73,59.42,58.06,58.19,46.08,3722600
2010-06-25,58.73,59.86,58.12,59.74,47.3,8440100
2010-06-28,59.51,59.51,58.36,58.51,46.56,2993200
2010-06-29,57.54,57.55,54.9,55.43,44.11,5541200
2010-06-30,56.12,57.53,55.46,55.68,44.31,6621200
2010-07-01,55.98,56.18,53.69,55.21,43.94,6218200
2010-07-02,55.3,55.9,53.92,54.5,43.37,3892000
2010-07-06,55.71,56.06,54.13,54.63,43.48,3787300
2010-07-07,54.69,56.6,54.39,56.6,45.04,3406900
2010-07-08,57.02,57.28,56.14,57.26,45.57,3333400
2010-07-09,57.2,58.54,56.87,58.01,46.17,3693200
2010-07-12,57.69,57.98,56.79,57.48,45.75,3252000
2010-07-13,58.33,59.55,58.09,59.37,47.25,4090400
2010-07-14,58.98,59.8,58.49,59.72,47.53,3625300
2010-07-15,59.63,61.32,59.02,61.08,48.61,6389600
2010-07-16,60.45,61.09,59.52,59.73,47.54,5054000
2010-07-19,60.22,60.67,59.26,60.11,47.84,3005000
2010-07-20,59.02,60.96,58.94,60.69,48.3,4363700
2010-07-21,61.33,63.0,61.2,61.76,49.15,5801600
2010-07-22,62.49,63.47,62.27,62.81,49.99,4502000
2010-07-23,62.73,64.83,62.59,64.5,51.33,5306100
2010-07-26,64.5,64.99,63.9,64.98,51.71,4612700
2010-07-27,65.02,65.19,63.82,64.28,51.16,4014200
2010-07-28,63.97,64.63,63.95,64.18,51.08,1926800
2010-07-29,64.65,65.18,63.29,64.51,51.34,3724800
2010-07-30,64.0,67.09,63.9,66.68,53.07,6414600
2010-08-02,67.88,67.94,66.93,67.17,53.46,4823000
2010-08-03,66.86,67.24,65.96,66.82,53.18,3461500
2010-08-04,67.0,67.85,66.54,67.56,53.77,3191100
2010-08-05,67.45,69.1,67.29,67.98,54.1,4430900
2010-08-06,67.56,68.3,66.75,68.04,54.15,4922400
2010-08-09,68.93,69.47,68.24,69.29,55.14,3990100
2010-08-10,68.56,68.78,67.39,67.92,54.05,4241800
2010-08-11,66.48,66.73,64.96,65.34,52.0,5413900
2010-08-12,64.46,65.91,64.11,65.53,52.15,3880900
2010-08-13,65.28,65.34,64.3,64.85,51.61,2642100
2010-08-16,64.78,66.33,64.16,65.59,52.2,3427800
2010-08-17,66.79,67.75,66.27,67.23,53.5,5731400
2010-08-18,67.14,67.5,65.46,65.98,52.51,9533500
2010-08-19,66.7,66.9,64.78,65.71,52.29,5010800
2010-08-20,65.0,65.53,64.78,65.13,51.83,4123700
2010-08-23,65.55,65.65,62.45,63.02,50.15,5788500
2010-08-24,61.68,63.27,61.5,62.34,49.61,5831900
2010-08-25,61.57,63.13,60.45,62.86,50.03,5771900
2010-08-26,62.88,64.19,62.65,62.75,49.94,4808300
2010-08-27,63.39,64.85,61.9,64.63,51.44,4832100
2010-08-30,64.48,64.6,62.98,62.98,50.12,4068500
2010-08-31,62.27,64.25,62.11,63.27,50.35,3569200
2010-09-01,64.69,66.68,64.47,66.53,52.95,5450700
2010-09-02,66.62,67.89,66.35,67.75,53.92,3747900
2010-09-03,68.05,69.22,68.0,68.63,54.62,4086600
2010-09-07,68.35,68.45,67.31,67.67,53.85,3922300
2010-09-08,67.84,68.68,67.81,68.09,54.19,3219000
2010-09-09,68.97,69.0,67.2,67.34,53.59,3211300
