Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,14.78,14.88,14.65,14.71,12.11,3819900
2010-01-04,14.87,14.88,14.5,14.61,12.03,7552600
2010-01-05,14.8,15.16,14.65,15.1,12.43,7766400
2010-01-06,14.85,15.04,14.85,15.0,12.35,5550200
2010-01-07,14.95,15.18,14.85,15.09,12.42,6492500
2010-01-08,15.11,15.15,14.9,15.03,12.37,4458300
2010-01-11,15.14,15.17,14.75,14.84,12.22,4381800
2010-01-12,14.72,14.97,14.68,14.91,12.27,6587000
2010-01-13,14.95,15.09,14.67,15.01,12.36,4991800
2010-01-14,15.05,15.14,14.83,14.97,12.32,9028000
2010-01-15,14.92,15.09,14.56,14.76,12.15,10835600
2010-01-19,14.66,14.87,14.64,14.86,12.23,6135300
2010-01-20,14.79,15.0,14.58,14.82,12.2,7563600
2010-01-21,14.8,14.87,14.22,14.23,11.71,10771500
2010-01-22,14.18,14.19,13.44,13.46,11.08,14728800
2010-01-25,13.88,14.05,13.32,13.48,11.1,10757000
2010-01-26,13.4,13.75,13.27,13.47,11.09,7834000
2010-01-27,13.47,13.88,13.24,13.82,11.38,9979900
2010-01-28,13.99,13.99,13.24,13.51,11.12,8616700
2010-01-29,13.61,13.94,13.54,13.68,11.26,7099000
2010-02-01,13.73,13.8,13.21,13.32,10.96,8491500
2010-02-02,13.62,13.86,13.52,13.8,11.36,6514700
2010-02-03,13.77,13.81,13.25,13.3,10.95,5784800
2010-02-04,13.15,13.33,12.87,12.9,10.62,7729800
2010-02-05,12.92,13.03,12.58,13.01,10.71,6965100
2010-02-08,12.98,13.07,12.72,12.76,10.5,7751000
2010-02-09,12.92,13.18,12.77,13.03,10.73,4938200
2010-02-10,13.04,13.13,12.78,12.92,10.64,5150600
2010-02-11,12.91,13.07,12.78,13.04,10.73,5211900
2010-02-12,12.91,13.06,12.8,13.03,10.73,5822200
2010-02-16,13.18,13.58,13.1,13.55,11.15,8678100
2010-02-17,13.69,13.69,13.46,13.53,11.14,4843200
2010-02-18,13.55,13.62,13.44,13.56,11.16,2845500
2010-02-19,13.5,13.69,13.49,13.67,11.25,4207800
2010-02-22,13.71,14.1,13.65,13.84,11.39,6748700
2010-02-23,13.77,13.82,13.46,13.47,11.09,6324300
2010-02-24,13.48,13.69,13.45,13.63,11.22,4646700
2010-02-25,13.44,13.48,13.21,13.46,11.08,4652200
2010-02-26,13.46,13.66,13.4,13.65,11.24,3699300
2010-03-01,13.7,13.72,13.54,13.61,11.2,2834300
2010-03-02,13.62,13.97,13.62,13.9,11.44,5153100
2010-03-03,13.93,14.15,13.78,13.78,11.34,4299100
2010-03-04,13.76,13.85,13.67,13.77,11.33,4542900
2010-03-05,13.9,14.29,13.83,14.17,11.66,6882800
2010-03-08,14.15,14.19,14.05,14.12,11.62,5674200
2010-03-09,14.0,14.51,13.83,14.44,11.89,6310300
2010-03-10,14.51,14.59,14.24,14.38,11.84,5159000
2010-03-11,14.34,14.94,14.26,14.92,12.28,7164600
2010-03-12,14.84,15.22,14.84,14.97,12.32,10395400
2010-03-15,15.01,15.26,14.91,15.2,12.51,6135200
2010-03-16,15.32,15.48,15.06,15.3,12.59,5651500
2010-03-17,14.78,15.78,14.73,15.24,12.54,10960100
2010-03-18,15.19,15.55,15.17,15.52,12.78,6226100
2010-03-19,15.24,15.66,15.15,15.24,12.54,9845400
2010-03-22,15.13,15.46,15.04,15.35,12.64,6830600
2010-03-23,15.41,15.46,15.3,15.4,12.68,5736600
2010-03-24,15.35,15.42,15.23,15.4,12.68,4399800
2010-03-25,15.5,15.78,15.35,15.39,12.67,5903600
2010-03-26,15.41,15.55,15.08,15.39,12.67,6204200
2010-03-29,15.46,15.51,15.23,15.35,12.64,6303100
2010-03-30,15.31,15.42,15.03,15.12,12.46,8058800
2010-03-31,15.08,15.18,14.86,14.9,12.28,6788800
2010-04-01,15.06,15.38,15.04,15.34,12.64,6392000
2010-04-05,15.32,15.73,15.32,15.58,12.84,5924300
2010-04-06,15.52,15.52,15.24,15.38,12.68,5937300
2010-04-07,15.42,15.67,15.1,15.17,12.5,7313900
2010-04-08,15.14,15.44,15.06,15.41,12.7,6309200
2010-04-09,15.47,15.66,15.38,15.5,12.78,6542300
2010-04-12,15.55,15.68,15.28,15.6,12.86,8856900
2010-04-13,15.6,15.7,15.42,15.6,12.86,8007100
2010-04-14,15.61,16.12,15.5,16.04,13.22,8386400
2010-04-15,16.59,16.59,16.03,16.12,13.29,9330500
2010-04-16,16.07,16.11,15.21,15.36,12.66,10845600
2010-04-19,15.21,15.71,15.14,15.67,12.92,7835400
2010-04-20,15.82,15.9,15.6,15.86,13.07,6998200
2010-04-21,15.85,15.87,15.45,15.66,12.91,5364100
2010-04-22,15.49,15.87,15.28,15.82,13.04,6695300
2010-04-23,15.87,16.48,15.71,16.26,13.4,8836400
2010-04-26,16.26,16.3,15.94,16.09,13.26,5478800
2010-04-27,15.92,16.08,15.33,15.37,12.67,8504600
2010-04-28,15.51,15.66,15.17,15.44,12.73,6771900
2010-04-29,15.61,16.1,15.57,16.04,13.22,7680800
2010-04-30,15.95,16.14,15.43,15.46,12.74,6356900
2010-05-03,15.59,16.18,15.57,16.1,13.27,7529400
2010-05-04,15.78,15.98,15.25,15.34,12.64,9233800
2010-05-05,15.25,15.4,14.81,14.94,12.31,7486600
2010-05-06,14.86,15.19,13.42,14.41,11.88,10736600
2010-05-07,14.32,14.62,13.9,14.08,11.6,8936100
2010-05-10,14.95,15.18,14.67,14.87,12.26,7870300
2010-05-11,14.63,15.05,14.54,14.9,12.28,11631200
2010-05-12,14.95,15.27,14.86,15.21,12.54,6679500
2010-05-13,15.14,15.28,14.76,14.79,12.19,6816300
2010-05-14,14.29,14.57,14.11,14.24,11.74,9035700
2010-05-17,14.34,14.61,13.84,14.21,11.71,5736800
2010-05-18,14.39,14.44,13.31,13.46,11.09,10610700
2010-05-19,13.36,13.84,13.29,13.6,11.21,10899500
2010-05-20,13.27,13.79,13.04,13.04,10.75,8524600
2010-05-21,12.76,13.64,12.7,13.53,11.15,9147600
2010-05-24,13.56,13.65,13.15,13.16,10.85,5727500
2010-05-25,12.78,13.23,12.61,13.19,10.87,7876800
2010-05-26,13.4,13.53,13.05,13.17,10.85,8494400
2010-05-27,13.46,13.73,13.33,13.7,11.29,6357900
2010-05-28,13.69,13.77,13.33,13.45,11.09,5226200
2010-06-01,13.16,13.55,13.15,13.18,10.86,6499900
2010-06-02,13.3,13.48,13.13,13.47,11.1,6318600
2010-06-03,13.55,13.55,13.21,13.52,11.14,5220100
2010-06-04,13.22,13.42,12.81,12.86,10.6,7628200
2010-06-07,12.93,13.03,12.38,12.43,10.25,8096200
2010-06-08,12.41,12.69,12.11,12.64,10.42,7367400
2010-06-09,12.75,13.04,12.5,12.57,10.36,8472300
2010-06-10,12.74,13.65,12.73,13.6,11.21,13955200
2010-06-11,13.41,13.71,13.38,13.66,11.26,6078000
2010-06-14,13.9,13.9,13.4,13.4,11.04,4073300
2010-06-15,13.56,13.95,13.48,13.92,11.47,5698900
2010-06-16,13.81,14.1,13.71,14.08,11.6,5989400
2010-06-17,14.09,14.23,13.83,14.04,11.57,4010400
2010-06-18,14.1,14.21,13.95,14.0,11.54,3846400
2010-06-21,14.16,14.36,13.9,13.99,11.53,4949700
2010-06-22,14.05,14.27,13.81,13.84,11.41,5407000
2010-06-23,13.84,14.05,13.69,14.01,11.55,7400900
2010-06-24,14.3,14.73,14.05,14.08,11.6,15009700
2010-06-25,14.18,14.72,14.07,14.52,11.97,9360400
2010-06-28,14.58,14.91,14.4,14.76,12.17,7330100
2010-06-29,14.53,14.6,13.68,13.8,11.37,10792700
2010-06-30,13.79,14.34,13.76,13.98,11.52,7998100
2010-07-01,14.08,14.15,13.33,13.92,11.47,7840100
2010-07-02,13.94,14.12,13.52,13.84,11.42,4544900
2010-07-06,14.0,14.32,13.63,13.9,11.47,6348600
2010-07-07,13.97,14.61,13.86,14.57,12.03,7380400
2010-07-08,14.75,14.79,14.39,14.63,12.08,5657100
2010-07-09,14.63,14.87,14.53,14.85,12.26,3971300
2010-07-12,14.8,14.92,14.56,14.65,12.09,4449700
2010-07-13,14.86,15.35,14.8,15.27,12.6,6699100
2010-07-14,15.15,15.23,15.0,15.18,12.53,4120200
2010-07-15,15.22,15.29,14.58,15.21,12.55,8880700
2010-07-16,15.0,15.13,14.45,14.5,11.97,8203300
2010-07-19,14.56,14.63,14.18,14.49,11.96,5145000
2010-07-20,14.19,14.85,14.14,14.83,12.24,6216200
2010-07-21,14.99,14.99,14.18,14.27,11.78,6814400
2010-07-22,14.44,15.08,14.39,14.99,12.37,5354600
2010-07-23,14.91,15.14,14.61,15.06,12.43,5704100
2010-07-26,15.02,15.52,14.95,15.49,12.79,5200500
2010-07-27,15.65,15.65,15.21,15.24,12.58,4529000
2010-07-28,15.2,15.37,14.94,15.04,12.41,4366200
2010-07-29,15.04,15.2,14.89,15.1,12.46,3796200
2010-07-30,14.89,15.35,14.83,15.27,12.6,4281100
2010-08-02,15.65,15.78,15.34,15.76,13.01,5500200
2010-08-03,15.73,15.75,15.4,15.54,12.83,3048900
2010-08-04,15.6,15.74,15.41,15.6,12.88,4364600
2010-08-05,15.47,15.49,15.21,15.43,12.74,3347600
2010-08-06,15.2,15.31,14.98,15.31,12.64,3006200
2010-08-09,15.38,15.65,15.36,15.57,12.85,2871900
2010-08-10,15.41,15.48,15.15,15.33,12.65,4056400
2010-08-11,15.05,15.09,14.75,14.75,12.17,3300000
2010-08-12,14.5,14.82,14.5,14.71,12.14,3791400
2010-08-13,14.68,14.89,14.66,14.68,12.12,2608300
2010-08-16,14.61,14.8,14.55,14.68,12.12,2351400
2010-08-17,14.84,15.02,14.74,14.79,12.21,2558100
2010-08-18,14.77,14.83,14.48,14.77,12.19,4760100
2010-08-19,14.77,14.84,14.38,14.4,11.89,4603000
2010-08-20,14.34,14.37,13.96,14.27,11.78,4866800
2010-08-23,14.33,14.45,14.23,14.27,11.78,3214600
2010-08-24,14.05,14.27,13.96,13.97,11.53,3744100
2010-08-25,13.8,14.0,13.73,13.91,11.48,3745700
2010-08-26,13.97,14.21,13.82,13.96,11.52,3660700
2010-08-27,14.08,14.79,14.0,14.77,12.19,6114700
2010-08-30,14.71,14.72,14.32,14.32,11.82,2961500
2010-08-31,14.29,14.62,14.21,14.51,11.98,3738700
2010-09-01,14.73,15.17,14.65,15.16,12.51,4410900
2010-09-02,15.33,15.56,15.2,15.54,12.83,7113200
2010-09-03,15.75,15.89,15.47,15.86,13.09,5189400
2010-09-07,15.65,15.69,15.25,15.31,12.64,3247000
2010-09-08,15.34,15.8,15.31,15.62,12.89,5719200
2010-09-09,15.88,15.97,15.59,15.71,12.97,6091100
2010-09-10,15.79,15.95,15.58,15.9,13.12,5162600
2010-09-13,16.09,16.49,15.99,16.06,13.26,4178200
2010-09-14,15.96,16.05,15.58,15.68,12.94,5509300
2010-09-15,15.42,15.97,15.33,15.79,13.03,6936600
2010-09-16,15.76,15.9,15.72,15.79,13.03,4177900
2010-09-17,15.9,15.92,15.55,15.57,12.85,8934800
2010-09-20,16.1,16.38,15.89,16.16,13.34,11600300
2010-09-21,16.2,16.3,15.92,15.96,13.17,4065900
2010-09-22,15.82,16.38,15.81,16.3,13.45,6217200
2010-09-23,16.14,16.8,16.14,16.5,13.62,9342600
2010-09-24,16.72,16.84,16.53,16.77,13.84,4641600
2010-09-27,16.76,16.88,16.47,16.49,13.61,3245400
2010-09-28,16.47,16.55,16.15,16.51,13.63,5563500
2010-09-29,16.34,16.6,16.2,16.58,13.69,6157100
2010-09-30,16.67,16.98,16.53,16.68,13.77,5968700
2010-10-01,16.9,16.9,16.39,16.58,13.69,3803600
2010-10-04,16.52,16.65,16.12,16.31,13.46,5548400
2010-10-05,16.47,17.05,16.36,16.88,13.95,6425600
2010-10-06,16.85,17.17,16.85,17.0,14.05,5311600
2010-10-07,17.09,17.09,16.66,16.78,13.87,3947000
2010-10-08,16.84,17.08,16.78,16.95,14.01,4009000
2010-10-11,16.95,17.11,16.76,16.94,14.0,4503500
2010-10-12,16.89,17.1,16.8,17.09,14.12,6032800
2010-10-13,17.22,17.91,17.1,17.68,14.61,9975500
2010-10-14,17.59,17.71,17.38,17.66,14.59,6662100
2010-10-15,17.85,17.94,17.07,17.1,14.13,9331100
2010-10-18,17.13,17.28,17.04,17.2,14.21,5224700
2010-10-19,17.03,17.7,17.02,17.32,14.31,5313700
2010-10-20,17.34,17.71,17.24,17.54,14.5,4048400
2010-10-21,17.61,17.85,17.33,17.55,14.5,3305800
2010-10-22,17.6,17.62,17.27,17.41,14.39,1584500
2010-10-25,17.55,17.76,17.47,17.52,14.48,2755100
2010-10-26,17.43,17.67,17.38,17.66,14.59,2856100
2010-10-27,17.54,17.71,17.43,17.51,14.47,4456300
2010-10-28,17.62,17.78,17.22,17.45,14.42,4425300
2010-10-29,17.42,17.7,17.37,17.65,14.59,5725800
2010-11-01,17.76,18.08,17.63,18.03,14.9,4119300
2010-11-02,18.18,18.25,17.93,18.04,14.91,3964500
2010-11-03,18.07,18.35,18.04,18.14,14.99,4000700
2010-11-04,18.36,18.77,18.15,18.74,15.49,5162600
2010-11-05,18.77,19.02,18.48,18.91,15.63,5957200
2010-11-08,18.79,19.03,18.69,18.94,15.65,4595700
2010-11-09,18.95,18.95,18.38,18.47,15.26,3750000
2010-11-10,18.44,18.72,18.37,18.72,15.47,2824700
2010-11-11,18.49,19.16,18.3,19.09,15.78,6811900
2010-11-12,18.7,19.01,18.44,18.6,15.37,4299100
2010-11-15,18.61,19.16,18.38,18.87,15.59,5682700
2010-11-16,18.68,18.7,17.99,18.1,14.96,5846600
2010-11-17,18.1,18.4,18.04,18.35,15.16,3630200
2010-11-18,18.57,18.61,18.34,18.38,15.19,3930100
2010-11-19,18.3,18.42,18.09,18.4,15.21,3340600
