Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,10.94,11.03,10.83,10.87,9.56,2986500
2010-01-04,10.96,11.18,10.87,11.16,9.81,5799100
2010-01-05,11.13,11.59,10.95,11.56,10.16,10254500
2010-01-06,11.45,11.76,11.39,11.66,10.25,8410300
2010-01-07,11.94,12.53,11.92,12.27,10.79,13808800
2010-01-08,12.12,12.31,12.04,12.17,10.7,5720700
2010-01-11,12.29,12.32,12.02,12.24,10.76,3746100
2010-01-12,12.09,12.23,11.85,12.21,10.74,5982000
2010-01-13,12.24,12.57,12.04,12.42,10.92,6278400
2010-01-14,12.33,12.56,12.23,12.25,10.77,4344800
2010-01-15,12.19,12.38,11.94,12.14,10.67,4686100
2010-01-19,12.1,12.5,12.09,12.33,10.84,4456200
2010-01-20,12.16,12.32,12.08,12.13,10.66,5194600
2010-01-21,12.11,12.17,11.52,11.55,10.15,7275700
2010-01-22,11.52,11.86,11.11,11.2,9.85,11747600
2010-01-25,11.3,11.58,11.17,11.37,10.0,6031100
2010-01-26,11.29,11.59,11.2,11.29,9.93,7266100
2010-01-27,11.21,11.72,11.17,11.67,10.26,9099400
2010-01-28,11.78,12.04,11.53,11.79,10.37,9429800
2010-01-29,11.96,12.12,11.77,11.79,10.37,6786700
2010-02-01,11.83,12.04,11.63,11.91,10.47,6815800
2010-02-02,12.79,13.36,12.23,13.21,11.61,28814200
2010-02-03,13.27,13.31,12.81,13.25,11.65,11711800
2010-02-04,13.03,13.34,12.94,13.21,11.61,13717800
2010-02-05,13.08,13.14,12.16,12.67,11.14,14373500
2010-02-08,12.72,13.26,12.47,12.92,11.36,8691600
2010-02-09,13.08,13.16,12.61,12.98,11.41,8493200
2010-02-10,12.97,13.07,12.59,12.85,11.3,7313100
2010-02-11,12.85,13.22,12.7,13.12,11.57,6525900
2010-02-12,13.25,13.42,12.96,13.07,11.53,8325600
2010-02-16,13.3,13.33,13.05,13.22,11.66,4582500
2010-02-17,13.43,13.53,12.94,13.12,11.57,6917100
2010-02-18,12.98,13.03,12.69,12.78,11.27,7208600
2010-02-19,12.74,13.0,12.74,12.95,11.42,7725200
2010-02-22,13.0,13.09,12.77,12.92,11.39,6202800
2010-02-23,12.88,12.98,12.43,12.57,11.08,9556500
2010-02-24,12.63,12.65,12.04,12.34,10.88,9437600
2010-02-25,12.08,12.35,11.96,12.35,10.89,6001800
2010-02-26,12.37,12.45,12.02,12.36,10.9,5250400
2010-03-01,12.37,12.59,12.37,12.56,11.08,3873800
2010-03-02,12.66,12.72,12.4,12.47,11.0,3805800
2010-03-03,12.59,12.8,12.47,12.57,11.08,5471700
2010-03-04,12.59,12.72,12.31,12.49,11.01,4405000
2010-03-05,12.58,12.95,12.55,12.87,11.35,6497000
2010-03-08,12.87,12.99,12.79,12.96,11.43,2870700
2010-03-09,12.91,13.17,12.83,13.09,11.54,5021400
2010-03-10,13.1,13.23,12.9,13.01,11.47,5013200
2010-03-11,12.95,12.98,12.73,12.96,11.43,4345000
2010-03-12,12.99,13.01,12.78,13.0,11.46,4572100
2010-03-15,12.98,13.03,12.64,12.84,11.32,3530400
2010-03-16,12.8,13.15,12.6,13.03,11.49,5042700
2010-03-17,13.05,13.17,12.79,12.89,11.37,4875300
2010-03-18,12.93,12.99,12.66,12.76,11.25,2937600
2010-03-19,12.51,12.93,12.5,12.51,11.03,5593200
2010-03-22,12.4,12.79,12.37,12.75,11.24,3372300
2010-03-23,12.83,12.88,12.65,12.76,11.25,5137400
2010-03-24,12.95,13.07,12.76,12.85,11.33,5272100
2010-03-25,12.91,13.4,12.91,12.97,11.44,6170100
2010-03-26,13.03,13.38,12.97,13.13,11.58,4400800
2010-03-29,13.21,13.23,12.74,13.03,11.49,5074200
2010-03-30,12.99,13.11,12.72,12.8,11.29,4075900
2010-03-31,12.73,12.87,12.53,12.6,11.11,5407900
2010-04-01,12.72,12.81,12.4,12.51,11.03,4037900
2010-04-05,12.62,12.79,12.46,12.59,11.1,4364500
2010-04-06,12.52,12.59,12.32,12.52,11.04,5590000
2010-04-07,12.54,12.55,11.86,11.93,10.52,11514500
2010-04-08,11.9,12.03,11.75,12.01,10.59,7914900
2010-04-09,12.04,12.19,11.98,12.14,10.71,3870200
2010-04-12,12.19,12.24,11.89,12.03,10.61,6747000
