Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,28.25,28.36,27.89,27.89,22.1,922400
2010-01-04,28.1,28.4,27.91,28.4,22.5,1859700
2010-01-05,28.33,28.36,28.12,28.26,22.39,1272100
2010-01-06,28.25,28.64,28.09,28.6,22.66,1852500
2010-01-07,28.71,29.57,28.71,29.23,23.15,1959200
2010-01-08,29.2,30.08,28.97,30.06,23.82,2190700
2010-01-11,30.11,30.53,30.06,30.43,24.11,2006300
2010-01-12,30.14,30.54,30.05,30.53,24.19,3228400
2010-01-13,30.43,30.88,30.35,30.82,24.41,4637900
2010-01-14,30.8,31.16,30.53,31.12,24.66,2707300
2010-01-15,30.98,31.06,30.45,30.56,24.21,2848000
2010-01-19,30.39,30.84,30.35,30.77,24.38,2328400
2010-01-20,30.5,30.51,30.14,30.47,24.14,2740500
2010-01-21,30.39,30.65,29.96,30.06,23.82,2806700
2010-01-22,30.02,30.02,29.3,29.34,23.24,1998600
2010-01-25,29.44,29.78,28.87,28.99,22.97,2614900
2010-01-26,28.82,29.12,28.64,28.8,22.81,1639100
2010-01-27,28.7,28.8,28.13,28.7,22.73,2713800
2010-01-28,28.78,28.89,28.35,28.5,22.58,2890200
2010-01-29,28.89,30.2,28.72,28.74,22.77,4529700
2010-02-01,28.95,29.42,28.84,29.14,23.09,2268200
2010-02-02,29.27,29.79,29.21,29.71,23.54,2707500
2010-02-03,29.41,29.92,29.41,29.58,23.44,2062800
2010-02-04,29.31,29.51,28.54,28.66,22.71,3115500
2010-02-05,28.61,28.8,27.15,27.81,22.03,4967100
2010-02-08,27.77,27.93,27.38,27.52,21.8,3166600
2010-02-09,27.85,28.4,27.81,28.19,22.34,4190600
2010-02-10,28.16,28.46,27.9,28.21,22.35,2066200
2010-02-11,28.17,28.77,27.97,28.74,22.77,3208600
2010-02-12,28.48,28.74,28.13,28.64,22.69,2069300
2010-02-16,28.86,29.27,28.78,29.26,23.18,1958000
2010-02-17,29.4,29.81,29.28,29.8,23.61,3182500
2010-02-18,30.0,30.58,29.76,30.46,24.13,3363000
2010-02-19,30.43,30.91,30.23,30.89,24.47,3661500
2010-02-22,30.93,30.98,30.66,30.85,24.44,2914700
2010-02-23,30.43,30.78,29.84,30.12,23.87,3578900
2010-02-24,30.15,30.23,29.83,29.96,23.88,3989700
2010-02-25,29.28,29.95,29.12,29.9,23.83,2997000
2010-02-26,29.98,30.41,29.86,30.34,24.18,2398700
2010-03-01,30.51,30.9,30.38,30.67,24.44,2048500
2010-03-02,30.9,31.09,30.73,30.94,24.65,2258200
2010-03-03,30.88,31.14,30.68,30.78,24.53,2371700
2010-03-04,30.88,31.16,30.69,30.88,24.61,1865600
2010-03-05,31.09,31.55,31.09,31.52,25.12,2077200
2010-03-08,31.51,31.55,31.24,31.28,24.93,781100
2010-03-09,31.17,31.42,31.05,31.18,24.85,1406800
2010-03-10,31.14,31.14,30.86,31.06,24.75,1620200
2010-03-11,30.69,31.12,30.47,31.11,24.79,1167000
