Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,8.63,8.69,8.36,8.38,7.14,168900
2010-01-04,8.53,8.68,8.41,8.68,7.4,401300
2010-01-05,8.65,8.77,8.51,8.76,7.46,479300
2010-01-06,8.78,9.07,8.76,9.01,7.68,883000
2010-01-07,9.07,9.39,9.03,9.37,7.98,585900
2010-01-08,9.3,9.37,9.12,9.37,7.98,381700
2010-01-11,9.42,9.45,9.2,9.44,8.04,657500
2010-01-12,9.74,10.4,9.69,9.92,8.45,2176900
2010-01-13,10.15,10.29,9.99,10.28,8.76,1474700
2010-01-14,10.8,11.57,10.7,11.31,9.64,5085400
2010-01-15,11.3,11.4,11.07,11.33,9.65,1827800
2010-01-19,11.38,11.7,11.31,11.42,9.73,2007900
2010-01-20,11.39,11.39,11.1,11.16,9.51,1559400
2010-01-21,11.19,11.24,11.0,11.03,9.4,1078500
2010-01-22,11.02,11.12,10.77,11.07,9.43,731200
2010-01-25,11.4,11.6,11.16,11.22,9.56,792500
2010-01-26,11.18,11.2,10.9,11.0,9.37,735800
2010-01-27,11.05,11.23,10.9,11.17,9.52,465100
2010-01-28,11.25,11.33,10.94,11.12,9.47,433400
2010-01-29,11.19,11.41,11.16,11.3,9.63,847400
2010-02-01,11.38,11.52,11.27,11.36,9.68,771900
2010-02-02,11.37,11.41,10.96,11.12,9.47,1196600
2010-02-03,11.11,11.2,11.03,11.08,9.44,635000
2010-02-04,11.01,11.07,10.57,10.7,9.12,1065300
2010-02-05,10.65,10.84,10.38,10.62,9.05,716700
2010-02-08,10.64,10.86,10.56,10.65,9.07,568800
2010-02-09,10.75,11.2,10.74,11.14,9.49,765200
2010-02-10,11.15,11.25,10.9,11.16,9.51,561400
2010-02-11,11.16,11.49,11.06,11.47,9.77,613500
2010-02-12,11.4,11.54,11.3,11.53,9.82,725100
2010-02-16,11.62,11.85,11.57,11.83,10.08,550500
2010-02-17,11.89,12.29,11.87,12.29,10.47,801200
2010-02-18,12.3,12.36,12.08,12.25,10.44,886100
2010-02-19,12.2,12.5,12.2,12.28,10.46,853100
2010-02-22,12.46,12.48,12.25,12.32,10.5,571700
2010-02-23,12.3,12.36,12.1,12.14,10.34,644300
2010-02-24,12.21,12.5,12.11,12.43,10.59,581200
2010-02-25,12.33,12.5,12.16,12.43,10.59,667300
2010-02-26,12.56,12.78,12.49,12.49,10.64,900900
2010-03-01,12.62,12.84,12.5,12.74,10.85,1921000
2010-03-02,13.17,13.4,12.77,13.39,11.41,3628900
2010-03-03,13.52,14.13,13.44,14.06,11.98,3585700
2010-03-04,14.06,14.06,13.36,13.7,11.67,2982700
2010-03-05,13.7,13.99,13.57,13.89,11.83,1136700
2010-03-08,13.97,14.05,13.77,13.79,11.75,1485400
2010-03-09,13.81,14.26,13.67,14.19,12.09,2127000
2010-03-10,14.0,14.0,13.53,13.57,11.56,2236000
2010-03-11,13.61,13.92,13.5,13.74,11.71,1385500
2010-03-12,13.88,13.94,13.65,13.9,11.84,687400
2010-03-15,13.9,13.98,13.69,13.77,11.73,753700
2010-03-16,13.79,14.08,13.65,14.08,12.0,1017400
2010-03-17,14.1,14.25,14.03,14.19,12.09,915000
2010-03-18,14.03,14.03,13.3,13.56,11.55,1934900
2010-03-19,13.35,13.7,13.29,13.35,11.37,1229500
2010-03-22,13.38,13.98,13.35,13.92,11.86,1130800
2010-03-23,13.96,13.96,13.67,13.9,11.84,664200
2010-03-24,13.8,13.85,13.67,13.83,11.78,663200
2010-03-25,13.9,14.1,13.84,13.97,11.9,1296800
2010-03-26,14.02,14.05,13.7,13.79,11.75,462700
2010-03-29,13.84,13.99,13.65,13.78,11.74,583800
2010-03-30,13.89,14.0,13.73,13.86,11.81,1084900
2010-03-31,13.83,13.95,13.62,13.64,11.62,803100
2010-04-01,13.74,13.89,13.59,13.78,11.74,614700
2010-04-05,13.87,14.0,13.69,14.0,11.93,808900
2010-04-06,13.87,14.05,13.73,13.94,11.88,763900
2010-04-07,13.98,14.05,13.88,14.01,11.94,1122100
2010-04-08,14.0,14.85,13.79,14.71,12.53,2852100
2010-04-09,14.8,14.83,14.32,14.46,12.32,1304700
2010-04-12,14.43,14.59,14.3,14.42,12.29,945500
2010-04-13,14.57,15.25,14.25,15.16,12.92,2122400
