Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,44.4,44.65,43.59,43.59,28.64,767200
2010-01-04,43.9,44.22,43.44,43.54,28.61,1421600
2010-01-05,43.41,43.79,42.74,43.05,28.29,2127200
2010-01-06,43.05,43.6,43.02,43.23,28.41,1531800
2010-01-07,43.22,43.31,42.61,42.83,28.15,1210200
2010-01-08,42.69,43.23,42.45,43.16,28.36,948800
2010-01-11,43.43,43.78,43.04,43.77,28.76,1229800
2010-01-12,43.59,44.04,43.31,43.73,28.74,2342800
2010-01-13,43.97,44.18,43.79,44.12,28.99,1119600
2010-01-14,44.14,44.35,43.83,44.29,29.1,1011000
2010-01-15,44.18,44.18,43.43,43.93,28.87,1350600
2010-01-19,44.04,44.42,43.94,44.33,29.13,1124200
2010-01-20,43.84,44.05,43.34,43.88,28.84,1508000
2010-01-21,43.78,44.17,42.68,42.85,28.16,2047300
2010-01-22,42.81,42.87,42.01,42.06,27.64,2046900
2010-01-25,42.47,42.93,41.91,42.66,28.03,1676700
2010-01-26,42.41,43.35,42.41,43.04,28.28,1629600
2010-01-27,42.93,42.93,42.25,42.75,28.09,1079600
2010-01-28,42.81,42.83,42.25,42.4,27.86,1075200
2010-01-29,42.6,42.77,42.03,42.04,27.63,1304900
2010-02-01,42.23,42.61,41.82,42.61,28.0,1048400
2010-02-02,42.56,43.05,42.08,43.03,28.28,812000
2010-02-03,42.94,43.04,42.51,42.68,28.05,533100
2010-02-04,42.39,42.57,41.75,41.75,27.44,1295800
2010-02-05,41.68,41.86,41.25,41.78,27.46,2091000
2010-02-08,41.84,42.01,41.43,41.5,27.27,1257300
2010-02-09,41.97,42.58,41.59,42.0,27.6,1315700
2010-02-10,42.03,42.28,41.63,41.95,27.57,1080700
2010-02-11,41.81,42.34,41.31,42.33,27.82,886300
2010-02-12,41.98,42.12,41.6,41.95,27.57,1109400
2010-02-16,42.31,43.07,42.23,43.07,28.3,824200
2010-02-17,43.29,43.3,42.75,42.88,28.18,934500
2010-02-18,42.72,43.61,42.72,43.59,28.64,1161100
2010-02-19,43.43,44.9,43.43,44.6,29.31,2801300
2010-02-22,44.68,44.99,44.47,44.62,29.32,1267000
2010-02-23,44.45,44.62,43.88,43.99,28.91,1860500
2010-02-24,44.13,44.33,43.57,44.26,29.09,1238400
2010-02-25,43.86,43.99,43.19,43.95,28.88,1286900
2010-02-26,43.95,44.1,43.35,43.42,28.53,1240000
2010-03-01,43.71,44.37,43.66,44.31,29.12,1320900
2010-03-02,44.53,44.78,44.46,44.65,29.34,964800
2010-03-03,44.82,45.23,44.55,44.59,29.3,1410900
2010-03-04,44.76,44.82,44.32,44.7,29.37,999500
2010-03-05,44.89,45.14,44.68,45.04,29.6,1073100
2010-03-08,44.98,45.1,44.78,44.84,29.47,1158100
2010-03-09,44.61,44.99,44.51,44.94,29.53,1566800
2010-03-10,44.91,44.95,44.38,44.81,29.45,1342700
2010-03-11,44.72,44.91,44.57,44.91,29.51,654600
2010-03-12,45.09,45.14,44.52,44.87,29.49,742700
2010-03-15,44.76,45.09,44.72,45.06,29.61,994700
2010-03-16,45.07,45.63,44.97,45.61,29.97,926900
2010-03-17,45.74,45.93,45.43,45.82,30.11,1270000
2010-03-18,45.21,45.3,45.03,45.14,30.01,1164300
2010-03-19,45.1,45.36,44.76,45.1,29.98,1348600
2010-03-22,44.92,45.08,44.74,44.96,29.89,789200
2010-03-23,44.94,45.32,44.77,45.28,30.1,1044300
2010-03-24,45.19,45.32,44.97,45.04,29.94,1798000
2010-03-25,45.23,45.31,44.63,44.69,29.71,1176600
2010-03-26,44.7,45.04,44.41,44.7,29.72,1124300
2010-03-29,44.88,45.38,44.8,45.38,30.17,732100
2010-03-30,45.34,45.54,45.12,45.2,30.05,1110900
2010-03-31,45.07,45.1,44.42,44.6,29.65,1536800
2010-04-01,44.7,45.52,44.7,45.38,30.17,786800
2010-04-05,45.46,45.75,45.28,45.75,30.42,677600
2010-04-06,45.52,46.49,45.01,46.48,30.9,936100
2010-04-07,46.48,46.56,45.87,46.12,30.66,622500
2010-04-08,46.07,46.08,45.7,45.88,30.5,782900
2010-04-09,45.99,46.13,45.51,46.12,30.66,688900
2010-04-12,46.3,46.47,46.14,46.25,30.75,638400
2010-04-13,46.24,46.25,45.7,46.03,30.6,539300
2010-04-14,46.04,46.04,45.58,45.99,30.58,1010700
2010-04-15,45.99,46.35,45.62,46.12,30.66,1135400
2010-04-16,46.05,46.21,45.2,45.64,30.34,1515000
2010-04-19,45.49,46.08,45.49,45.9,30.52,1250800
2010-04-20,46.17,46.3,45.96,46.21,30.72,880600
2010-04-21,46.21,46.91,46.19,46.82,31.13,1357600
2010-04-22,46.64,47.33,46.44,47.26,31.42,1227800
2010-04-23,47.3,47.98,47.01,47.93,31.87,1147700
2010-04-26,47.82,47.97,47.51,47.55,31.61,874400
2010-04-27,47.32,47.68,46.72,46.87,31.16,1159700
2010-04-28,47.21,48.49,47.01,48.29,32.1,1908200
2010-04-29,48.45,48.79,48.01,48.07,31.96,1534400
2010-04-30,48.2,48.78,48.0,48.17,32.03,1530400
2010-05-03,48.31,49.05,48.14,48.91,32.52,1292400
2010-05-04,48.35,48.63,47.93,48.14,32.01,1735300
2010-05-05,47.94,48.24,47.41,47.64,31.67,1375100
2010-05-06,47.47,47.67,43.0,46.55,30.95,2440700
2010-05-07,46.52,46.88,45.49,45.69,30.38,2631500
2010-05-10,47.26,47.59,46.65,47.4,31.51,1399700
2010-05-11,46.98,48.31,46.83,47.72,31.73,1073900
2010-05-12,47.76,48.17,47.47,47.95,31.88,954800
2010-05-13,47.81,48.44,47.6,47.79,31.77,1346200
2010-05-14,47.54,47.87,47.06,47.3,31.45,1631200
2010-05-17,47.3,47.77,46.76,47.6,31.65,1095500
2010-05-18,48.06,48.26,47.1,47.17,31.36,1553000
2010-05-19,46.85,47.15,46.15,46.49,30.91,871000
2010-05-20,45.51,46.15,45.0,45.1,29.98,1863600
2010-05-21,44.48,45.39,44.19,45.39,30.18,1979800
2010-05-24,44.93,45.53,44.76,44.86,29.82,877200
2010-05-25,43.94,44.77,43.29,44.74,29.74,2041200
2010-05-26,44.96,45.38,44.42,44.54,29.61,1614200
2010-05-27,45.28,45.54,44.87,45.49,30.24,829300
2010-05-28,45.53,46.0,45.4,45.51,30.26,961800
2010-06-01,45.22,45.79,44.91,44.91,29.86,1140800
2010-06-02,45.2,45.68,44.71,45.62,30.33,2239300
2010-06-03,45.84,46.02,45.37,45.9,30.52,1342200
2010-06-04,45.09,45.32,44.25,44.42,29.53,1538100
2010-06-07,44.44,45.01,43.99,44.45,29.55,1628600
2010-06-08,44.57,45.17,44.16,45.07,29.96,1861100
2010-06-09,45.28,45.84,44.92,45.12,30.0,2056100
2010-06-10,45.65,46.23,45.57,46.14,30.68,1388200
2010-06-11,45.77,46.18,45.37,46.09,30.64,1464700
2010-06-14,46.5,46.9,46.41,46.5,30.91,884400
2010-06-15,47.0,47.81,46.78,47.76,31.75,1434900
2010-06-16,47.55,48.63,47.54,48.24,32.07,1370800
2010-06-17,47.73,48.41,47.44,48.35,32.5,1862700
2010-06-18,48.47,48.47,48.09,48.35,32.5,1603000
2010-06-21,48.72,48.81,47.77,48.03,32.29,677500
2010-06-22,48.11,48.19,46.85,47.01,31.6,879900
2010-06-23,46.96,47.18,46.3,46.51,31.26,1093400
2010-06-24,46.4,47.09,46.31,46.52,31.27,1111200
2010-06-25,46.5,46.85,45.94,46.53,31.28,1054400
2010-06-28,46.54,46.96,46.19,46.79,31.45,652300
2010-06-29,46.33,46.38,45.45,45.62,30.67,1118000
2010-06-30,45.64,46.25,45.36,45.61,30.66,1993500
2010-07-01,45.46,45.81,44.93,45.08,30.3,1357300
2010-07-02,45.19,45.74,45.06,45.47,30.57,1251200
2010-07-06,45.7,46.26,45.49,45.92,30.87,1076800
2010-07-07,46.09,47.36,45.86,47.35,31.83,1420700
2010-07-08,47.62,47.75,47.22,47.4,31.86,1108200
2010-07-09,47.35,47.77,47.09,47.73,32.09,957900
2010-07-12,47.54,47.92,47.31,47.67,32.04,564500
2010-07-13,48.0,48.35,47.77,48.11,32.34,924000
2010-07-14,47.95,48.02,47.48,47.92,32.21,1245600
2010-07-15,47.99,48.35,47.61,48.24,32.43,1074600
2010-07-16,48.1,48.13,47.04,47.13,31.68,1364800
2010-07-19,47.14,47.82,46.87,47.68,32.05,718300
2010-07-20,46.88,47.78,46.61,47.76,32.11,1600900
2010-07-21,47.87,47.87,46.53,46.83,31.48,1376500
2010-07-22,47.09,47.83,47.02,47.7,32.06,1020400
2010-07-23,47.72,48.09,47.34,48.06,32.31,802700
2010-07-26,48.2,48.39,47.91,48.39,32.53,1127300
2010-07-27,48.51,49.0,48.27,48.97,32.92,2743800
2010-07-28,48.8,48.97,48.45,48.67,32.72,1145000
2010-07-29,48.95,49.06,47.84,48.16,32.37,1064200
2010-07-30,45.6,47.24,45.6,46.16,31.03,3387800
2010-08-02,46.59,46.94,46.0,46.52,31.27,2019300
2010-08-03,46.3,46.51,46.13,46.28,31.11,1485100
2010-08-04,46.37,46.57,45.99,46.45,31.22,1550100
2010-08-05,46.29,46.84,46.17,46.79,31.45,1100600
2010-08-06,46.59,46.96,46.21,46.83,31.48,1552100
2010-08-09,46.95,47.86,46.9,47.33,31.82,1197800
2010-08-10,47.02,47.51,46.63,47.27,31.78,1651400
2010-08-11,46.8,46.8,46.17,46.23,31.08,1201800
2010-08-12,45.17,46.58,45.17,46.18,31.04,1280700
2010-08-13,45.94,46.66,45.89,46.21,31.06,798800
2010-08-16,45.98,46.48,45.6,46.41,31.2,1192400
2010-08-17,46.74,46.85,46.46,46.61,31.33,2066800
2010-08-18,46.67,46.68,46.08,46.44,31.22,2150200
2010-08-19,46.33,46.37,45.5,45.86,30.83,1219800
2010-08-20,45.44,46.0,45.29,45.91,30.86,956100
2010-08-23,46.01,46.58,45.94,46.16,31.03,729900
2010-08-24,45.74,46.5,45.64,46.15,31.02,1061300
2010-08-25,45.87,46.32,45.51,46.16,31.03,2229800
2010-08-26,46.24,46.64,46.01,46.14,31.02,1058600
2010-08-27,46.37,47.25,45.96,47.13,31.68,1143100
2010-08-30,46.96,47.28,46.57,46.62,31.34,745800
2010-08-31,46.53,47.05,46.15,46.85,31.49,1462100
2010-09-01,47.19,47.96,47.09,47.83,32.15,1746300
2010-09-02,48.0,48.0,47.17,47.43,31.88,1031500
2010-09-03,47.72,47.79,47.2,47.54,31.96,962100
2010-09-07,47.2,47.4,46.9,47.18,31.72,3323500
2010-09-08,47.23,47.35,46.78,46.95,31.56,3158900
2010-09-09,47.3,47.35,46.98,47.1,31.66,892500
2010-09-10,47.02,47.56,46.67,47.47,31.91,1607800
2010-09-13,47.75,47.96,47.38,47.84,32.16,1265600
2010-09-14,47.74,48.39,47.61,48.25,32.43,1509900
2010-09-15,47.89,48.42,47.89,48.19,32.39,1781500
2010-09-16,47.55,47.55,46.51,46.69,31.75,1608400
2010-09-17,46.93,47.06,46.23,46.31,31.5,2211100
2010-09-20,46.31,46.71,46.27,46.55,31.66,1474300
2010-09-21,46.61,46.69,45.76,45.99,31.28,2638900
2010-09-22,45.81,46.46,45.8,46.12,31.37,1409000
2010-09-23,45.92,46.04,45.41,45.47,30.93,1165200
2010-09-24,45.76,46.2,45.68,45.84,31.18,1095500
2010-09-27,45.93,46.14,45.58,46.01,31.29,1164800
2010-09-28,46.05,46.09,45.5,45.98,31.27,1364200
2010-09-29,45.83,46.24,45.74,46.16,31.39,1232100
2010-09-30,46.4,46.58,45.77,45.93,31.24,1312000
2010-10-01,46.22,46.68,45.92,46.48,31.61,1810700
2010-10-04,46.42,46.72,46.16,46.34,31.52,1104600
2010-10-05,46.71,47.04,46.47,47.01,31.97,1426500
2010-10-06,47.02,47.26,46.69,46.86,31.87,965200
2010-10-07,47.03,47.17,46.72,46.83,31.85,914300
2010-10-08,46.93,47.31,46.84,47.22,32.12,1057900
2010-10-11,47.19,47.66,47.19,47.44,32.27,722800
2010-10-12,47.38,47.38,46.84,46.98,31.95,860900
2010-10-13,47.27,47.34,47.02,47.09,32.03,1290500
2010-10-14,47.09,47.35,46.72,46.88,31.88,592200
2010-10-15,47.26,47.29,46.79,47.11,32.04,2084300
2010-10-18,47.03,47.47,47.03,47.27,32.15,609700
