Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,52.29,52.5,51.63,51.63,30.91,1518900
2010-01-04,51.63,51.87,50.73,50.91,30.48,4152100
2010-01-05,51.03,51.03,49.89,50.07,29.98,3872300
2010-01-06,49.98,50.58,49.92,50.25,30.09,3486500
2010-01-07,50.31,50.58,50.1,50.49,30.23,2376000
2010-01-08,50.22,50.52,50.04,50.52,30.25,1654100
2010-01-11,50.55,51.15,50.49,51.03,30.55,2195600
2010-01-12,50.94,51.33,50.67,51.09,30.59,2650900
2010-01-13,51.27,51.57,50.73,51.21,30.66,3035200
2010-01-14,51.33,51.42,50.85,51.21,30.66,1919700
2010-01-15,50.64,51.18,50.04,50.7,30.36,4349900
2010-01-19,50.97,51.3,50.52,51.27,30.7,1858200
2010-01-20,51.03,51.03,50.22,50.79,30.41,2628600
2010-01-21,50.82,50.97,49.92,50.04,29.96,3958200
2010-01-22,50.04,50.37,49.56,49.65,29.73,3927200
2010-01-25,50.1,50.16,49.44,49.98,29.93,2257600
2010-01-26,50.01,50.58,49.68,50.43,30.2,2827100
2010-01-27,50.34,50.4,49.74,50.22,30.07,2935800
2010-01-28,50.31,50.34,49.65,49.86,29.85,2354500
2010-01-29,50.22,50.25,49.56,49.59,29.69,3044200
2010-02-01,49.68,49.95,49.23,49.95,29.91,1872000
2010-02-02,49.77,50.34,49.29,50.28,30.11,2775300
2010-02-03,50.31,50.31,49.74,49.92,29.89,1572400
2010-02-04,49.83,50.01,49.11,49.11,29.4,2519800
2010-02-05,49.2,49.35,48.39,48.96,29.31,2997700
2010-02-08,49.05,49.65,48.75,48.96,29.31,3194600
2010-02-09,49.26,50.58,49.05,49.68,29.75,5056200
2010-02-10,49.08,49.41,48.45,48.66,29.56,3547300
2010-02-11,48.48,48.87,48.06,48.63,29.55,3105300
2010-02-12,48.48,48.81,48.12,48.45,29.44,3110900
2010-02-16,48.81,49.29,48.63,48.75,29.62,3638900
2010-02-17,48.99,49.05,48.3,48.54,29.49,2367300
2010-02-18,48.45,48.99,48.36,48.99,29.76,2296700
2010-02-19,48.9,49.89,48.63,49.83,30.27,2960900
2010-02-22,49.95,49.95,49.2,49.29,29.95,2671900
2010-02-23,49.29,49.47,48.99,49.05,29.8,2054200
2010-02-24,49.05,49.47,48.72,49.35,29.98,2645800
2010-02-25,49.02,49.17,48.6,49.14,29.86,2568000
2010-02-26,49.05,49.41,48.9,49.05,29.8,2503300
2010-03-01,49.23,49.56,49.02,49.47,30.06,1792600
2010-03-02,49.83,49.83,49.2,49.32,29.96,2048300
2010-03-03,49.32,49.68,49.08,49.2,29.89,2228000
2010-03-04,49.14,49.38,48.69,48.99,29.76,2274500
2010-03-05,49.02,49.38,48.9,49.38,30.0,2139400
2010-03-08,49.47,49.62,49.26,49.59,30.13,1036500
2010-03-09,49.47,49.56,49.29,49.41,30.02,1229600
2010-03-10,49.38,49.59,49.2,49.41,30.02,1694600
2010-03-11,49.41,49.5,49.17,49.44,30.04,1922700
2010-03-12,49.5,49.56,48.96,48.99,29.76,1662500
2010-03-15,49.05,49.41,48.9,49.38,30.0,1733300
2010-03-16,49.59,49.92,49.29,49.83,30.27,2024800
2010-03-17,50.13,50.13,49.74,49.86,30.29,2271800
2010-03-18,49.65,50.13,49.65,49.74,30.22,2631400
2010-03-19,49.74,50.28,49.38,49.74,30.22,3889200
2010-03-22,49.59,49.65,49.08,49.32,29.96,2342400
2010-03-23,49.29,49.41,49.08,49.38,30.0,1852900
2010-03-24,49.35,49.38,48.9,48.96,29.75,2082000
2010-03-25,49.02,49.23,48.81,48.9,29.71,1783300
2010-03-26,49.08,49.29,48.84,49.26,29.93,1550000
2010-03-29,49.35,49.77,49.26,49.77,30.24,1765700
2010-03-30,49.74,49.98,49.11,49.2,29.89,2962200
2010-03-31,49.17,49.29,48.93,48.96,29.75,1997800
2010-04-01,49.14,49.38,49.05,49.23,29.91,1924600
2010-04-05,49.29,49.47,49.05,49.26,29.93,2324900
2010-04-06,49.05,49.65,48.9,49.65,30.17,1696700
2010-04-07,49.59,49.65,49.05,49.11,29.84,2314800
2010-04-08,49.08,49.2,48.63,48.72,29.6,3480600
2010-04-09,48.81,48.99,48.39,48.99,29.76,3091700
2010-04-12,48.96,49.11,48.78,48.78,29.64,2550800
2010-04-13,48.81,48.87,48.57,48.66,29.56,2910300
2010-04-14,48.69,48.72,48.51,48.63,29.55,2400600
2010-04-15,48.66,48.66,48.21,48.39,29.4,2852600
2010-04-16,48.39,48.54,48.0,48.03,29.18,4242500
2010-04-19,47.82,48.39,47.82,48.21,29.29,3698300
2010-04-20,48.36,49.11,48.33,49.05,29.8,3403900
2010-04-21,48.96,49.11,48.75,48.9,29.71,2747200
2010-04-22,48.72,48.93,48.3,48.63,29.55,3238600
2010-04-23,48.66,48.75,48.09,48.75,29.62,3392100
2010-04-26,48.72,48.9,48.45,48.72,29.6,3092900
2010-04-27,48.63,48.84,48.03,48.03,29.18,3244800
2010-04-28,48.57,50.7,48.45,49.92,30.33,12364000
2010-04-29,49.77,50.16,49.5,49.59,30.13,4038600
2010-04-30,49.68,50.46,49.59,50.34,30.58,3246700
2010-05-03,50.55,50.91,50.25,50.79,30.86,3172900
2010-05-04,50.64,51.0,49.92,50.13,30.46,4143200
2010-05-05,50.07,50.97,50.07,50.28,30.55,3433500
2010-05-06,50.46,50.79,47.7,49.44,30.04,5769600
2010-05-07,49.71,49.95,48.33,49.65,30.17,7028700
2010-05-10,50.55,50.85,50.04,50.7,30.8,3984000
2010-05-11,50.52,51.36,50.22,50.76,30.84,3948000
2010-05-12,50.73,51.15,50.43,50.94,30.95,3592100
2010-05-13,50.94,51.18,50.43,50.58,30.73,2804000
2010-05-14,50.58,50.76,50.16,50.34,30.58,3221400
2010-05-17,50.4,50.85,49.83,50.79,30.86,3029300
2010-05-18,50.97,51.42,50.76,50.82,30.88,5602600
2010-05-19,49.98,50.13,49.23,49.47,30.49,3728200
2010-05-20,48.93,49.26,47.91,47.91,29.53,5020000
2010-05-21,47.25,48.03,47.25,48.0,29.58,4476100
2010-05-24,47.91,48.72,47.73,47.91,29.53,3493000
2010-05-25,47.34,47.55,46.41,47.46,29.25,3535100
2010-05-26,47.82,47.85,46.98,47.13,29.05,3189000
2010-05-27,47.73,47.97,47.34,47.94,29.54,2482400
