Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,74.29,74.5,73.5,73.5,61.31,1784200
2010-01-04,75.31,76.79,74.85,76.57,63.87,4225500
2010-01-05,76.72,76.74,75.88,76.65,63.94,3711400
2010-01-06,76.58,76.7,75.5,76.42,63.75,3225500
2010-01-07,75.91,76.11,75.06,75.97,63.37,2836400
2010-01-08,75.41,76.24,74.74,76.12,63.5,2496200
2010-01-11,75.7,76.0,74.36,75.08,62.63,2811600
2010-01-12,74.06,74.48,73.44,74.19,61.89,2567500
2010-01-13,74.28,75.35,73.35,75.07,62.62,2131300
2010-01-14,75.13,75.29,73.53,73.97,61.7,2867600
2010-01-15,73.51,74.04,72.2,73.03,60.92,3400400
2010-01-19,72.62,73.63,72.3,73.57,61.37,2198900
2010-01-20,72.35,72.35,70.78,72.04,60.09,2905400
2010-01-21,72.18,72.86,71.32,71.43,59.58,2963800
2010-01-22,71.5,71.72,69.1,69.3,57.81,3269500
2010-01-25,69.91,71.5,69.69,70.97,59.2,2756500
2010-01-26,70.01,71.28,69.03,69.76,58.19,3628800
2010-01-27,69.76,70.34,68.08,69.35,57.85,3633100
2010-01-28,69.75,70.69,67.75,68.52,57.16,3760800
2010-01-29,69.21,70.14,66.46,66.91,55.81,4751100
2010-02-01,67.7,69.9,67.57,69.76,58.19,3073400
2010-02-02,69.79,71.48,69.35,71.32,59.49,3556800
2010-02-03,71.12,71.48,70.06,70.49,58.8,3298300
2010-02-04,69.68,69.89,66.72,66.86,55.77,4551200
2010-02-05,66.73,67.2,64.66,66.73,55.66,4666200
2010-02-08,66.63,67.61,65.81,66.14,55.17,3113000
2010-02-09,67.11,68.46,66.5,67.3,56.14,3853300
2010-02-10,67.09,67.3,65.07,66.41,55.4,3950400
2010-02-11,66.0,67.74,65.91,67.11,55.98,3357100
2010-02-12,65.97,67.3,65.76,67.08,55.96,3367700
2010-02-16,68.68,69.22,68.24,69.1,57.64,3011200
2010-02-17,70.51,70.9,69.24,69.79,58.22,4839000
2010-02-18,69.62,70.56,69.6,70.21,58.57,3399100
2010-02-19,70.13,71.81,70.0,71.42,59.58,3733000
2010-02-22,71.98,71.98,69.88,70.02,58.41,3048400
2010-02-23,69.57,69.68,67.76,68.04,56.76,4506900
2010-02-24,68.05,68.83,67.65,68.39,57.05,2497500
