Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,8.14,8.24,8.04,8.07,8.07,164400
2010-01-04,8.21,8.56,8.21,8.56,8.56,373100
2010-01-05,8.52,8.79,8.46,8.69,8.69,429000
2010-01-06,8.71,9.11,8.64,8.95,8.95,1047800
2010-01-07,9.02,9.34,8.91,9.21,9.21,376100
2010-01-08,9.2,9.3,8.97,9.04,9.04,174600
2010-01-11,9.12,9.24,8.94,9.01,9.01,204600
2010-01-12,8.97,9.46,8.9,9.46,9.46,388400
2010-01-13,9.47,9.58,9.02,9.22,9.22,328500
2010-01-14,9.23,9.36,9.19,9.22,9.22,185000
2010-01-15,9.49,9.89,9.28,9.7,9.7,2811200
2010-01-19,9.65,10.2,9.65,10.07,10.07,739100
2010-01-20,10.03,10.19,9.92,10.01,10.01,431400
2010-01-21,10.04,10.04,9.46,9.75,9.75,484300
2010-01-22,9.69,9.71,9.21,9.36,9.36,478700
2010-01-25,9.46,9.54,9.11,9.37,9.37,417500
2010-01-26,9.31,9.5,9.24,9.27,9.27,446300
2010-01-27,9.23,9.6,9.21,9.55,9.55,694400
2010-01-28,9.54,9.54,9.08,9.24,9.24,437200
2010-01-29,9.3,9.58,9.05,9.06,9.06,812400
2010-02-01,9.19,9.37,9.1,9.36,9.36,318000
2010-02-02,9.34,9.49,9.24,9.34,9.34,330100
2010-02-03,9.27,9.43,9.1,9.24,9.24,137600
2010-02-04,9.14,9.21,8.94,8.99,8.99,422000
2010-02-05,9.06,9.06,8.78,8.99,8.99,468200
2010-02-08,9.05,9.09,8.85,8.86,8.86,139800
2010-02-09,9.0,9.06,8.72,8.83,8.83,248600
2010-02-10,8.81,9.22,8.66,9.22,9.22,239300
2010-02-11,9.24,9.49,9.01,9.46,9.46,220300
2010-02-12,9.33,9.68,9.25,9.65,9.65,267200
2010-02-16,9.75,9.86,9.54,9.73,9.73,180500
2010-02-17,9.79,9.85,9.61,9.75,9.75,149200
2010-02-18,9.75,9.8,9.43,9.78,9.78,166500
2010-02-19,9.78,9.78,9.34,9.36,9.36,431600
2010-02-22,9.36,9.5,9.21,9.43,9.43,136000
2010-02-23,9.44,9.48,9.13,9.27,9.27,195400
2010-02-24,9.27,9.38,9.11,9.26,9.26,204200
2010-02-25,9.11,9.12,8.91,9.11,9.11,205800
2010-02-26,9.13,9.13,8.9,9.04,9.04,203700
2010-03-01,9.01,9.21,9.0,9.21,9.21,218400
2010-03-02,9.25,9.5,9.23,9.42,9.42,299800
2010-03-03,9.47,9.47,9.25,9.27,9.27,199200
2010-03-04,9.3,9.3,9.05,9.09,9.09,135000
2010-03-05,9.18,9.48,9.18,9.48,9.48,156000
2010-03-08,9.45,9.78,9.45,9.67,9.67,217600
2010-03-09,9.7,10.0,9.57,9.69,9.69,398900
2010-03-10,9.72,10.25,9.61,10.24,10.24,502500
2010-03-11,10.2,10.32,10.0,10.11,10.11,374800
2010-03-12,10.19,10.19,9.61,9.8,9.8,263900
2010-03-15,9.73,9.86,9.44,9.77,9.77,313800
2010-03-16,9.78,9.82,9.35,9.53,9.53,270200
2010-03-17,9.58,9.75,9.52,9.63,9.63,173900
2010-03-18,9.56,9.75,9.51,9.73,9.73,204900
2010-03-19,9.85,10.0,9.61,9.85,9.85,353500
2010-03-22,9.79,10.4,9.68,10.32,10.32,322200
2010-03-23,10.39,10.84,10.3,10.82,10.82,567200
2010-03-24,10.8,10.95,10.52,10.56,10.56,289600
2010-03-25,10.61,10.72,10.12,10.13,10.13,352700
2010-03-26,10.15,10.28,9.8,9.83,9.83,397300
2010-03-29,9.89,10.15,9.88,9.97,9.97,171500
2010-03-30,9.99,10.18,9.78,9.85,9.85,236700
2010-03-31,9.79,9.93,9.72,9.74,9.74,520700
2010-04-01,9.78,9.98,9.7,9.93,9.93,234300
2010-04-05,9.93,10.25,9.84,10.01,10.01,316100
2010-04-06,9.94,10.1,9.84,9.87,9.87,163500
2010-04-07,9.9,10.01,9.36,9.56,9.56,462200
2010-04-08,9.56,9.58,9.41,9.51,9.51,342600
2010-04-09,9.5,9.93,9.46,9.92,9.92,373000
2010-04-12,9.93,10.21,9.93,10.11,10.11,227900
2010-04-13,10.11,10.47,10.05,10.42,10.42,266000
2010-04-14,10.5,10.81,10.5,10.8,10.8,348100
2010-04-15,10.82,11.0,10.81,10.99,10.99,216300
2010-04-16,10.99,11.0,10.7,10.86,10.86,278800
2010-04-19,10.85,10.88,10.52,10.68,10.68,123400
2010-04-20,10.75,10.97,10.66,10.96,10.96,184700
2010-04-21,10.98,10.98,10.57,10.97,10.97,194700
2010-04-22,10.85,11.1,10.75,11.01,11.01,286500
2010-04-23,11.07,11.2,10.39,10.57,10.57,396700
2010-04-26,10.55,10.7,10.35,10.57,10.57,200800
2010-04-27,10.55,10.85,10.55,10.77,10.77,386500
2010-04-28,10.85,10.96,10.72,10.95,10.95,179100
2010-04-29,11.0,11.37,10.93,11.31,11.31,318000
2010-04-30,11.31,11.38,10.82,10.95,10.95,738800
