Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,46.31,46.35,45.41,45.43,29.12,1269700
2010-01-04,45.73,45.95,45.23,45.38,29.09,2142300
2010-01-05,45.49,45.63,44.51,44.79,28.71,2856000
2010-01-06,44.75,45.49,44.75,45.27,29.02,2035400
2010-01-07,45.34,45.35,44.91,45.11,28.91,1993400
2010-01-08,44.99,45.3,44.71,45.25,29.0,1306400
2010-01-11,45.47,45.96,45.36,45.82,29.37,1751900
2010-01-12,45.76,46.0,45.53,45.73,29.31,1451600
2010-01-13,45.73,46.19,45.7,46.08,29.54,1247200
2010-01-14,46.16,46.3,45.97,46.23,29.63,1129400
2010-01-15,45.92,46.02,45.27,45.72,29.31,2444700
2010-01-19,45.78,46.41,45.66,46.41,29.75,1567200
2010-01-20,46.24,46.26,45.56,46.21,29.62,1869100
2010-01-21,46.31,46.45,45.32,45.61,29.24,2114000
2010-01-22,44.82,45.27,43.39,43.51,27.89,6468200
2010-01-25,43.76,44.0,43.07,43.62,27.96,3040100
2010-01-26,43.58,44.24,43.35,44.08,28.25,2522700
2010-01-27,43.67,44.07,43.35,44.05,28.24,2840900
2010-01-28,44.05,44.05,43.45,43.72,28.02,1885100
2010-01-29,43.88,44.0,43.5,43.74,28.04,2049700
2010-02-01,43.84,43.93,43.36,43.93,28.16,1277700
2010-02-02,43.95,44.16,43.4,44.14,28.29,1628100
2010-02-03,44.02,44.03,43.6,43.76,28.05,1205700
2010-02-04,43.63,43.73,43.0,43.02,27.58,3207400
2010-02-05,43.04,43.25,42.51,43.18,27.68,3735600
2010-02-08,43.23,43.3,42.76,42.81,27.44,1381200
2010-02-09,43.04,43.8,42.87,43.44,27.84,2116200
2010-02-10,43.4,43.4,42.66,42.98,27.55,2491000
2010-02-11,42.98,43.28,42.71,43.17,27.67,2019500
2010-02-12,42.26,42.48,42.09,42.22,27.44,2688500
2010-02-16,42.4,42.95,42.39,42.95,27.92,1309500
2010-02-17,43.11,43.11,42.7,42.86,27.86,1027500
2010-02-18,42.78,42.87,42.44,42.71,27.76,1941500
2010-02-19,42.61,43.34,42.49,43.13,28.03,1993700
2010-02-22,43.14,43.33,42.79,42.92,27.9,1598700
2010-02-23,42.91,43.0,42.65,42.75,27.79,1240200
2010-02-24,42.94,42.94,42.52,42.88,27.87,1752400
2010-02-25,42.5,42.91,42.16,42.87,27.86,1817600
2010-02-26,42.95,42.99,42.6,42.75,27.79,1353400
2010-03-01,42.81,43.44,42.81,43.19,28.07,1548000
2010-03-02,43.4,43.95,43.36,43.79,28.46,1898500
2010-03-03,43.82,44.2,43.55,43.68,28.39,1795800
2010-03-04,43.67,43.78,43.25,43.54,28.3,1737800
2010-03-05,43.25,43.72,43.21,43.62,28.35,1682900
2010-03-08,43.65,43.8,43.5,43.79,28.46,1043100
2010-03-09,43.77,43.9,43.59,43.66,28.38,1390200
2010-03-10,43.78,43.9,43.58,43.74,28.43,1220900
2010-03-11,43.74,43.92,43.46,43.89,28.53,1056100
2010-03-12,43.95,44.0,43.67,43.7,28.4,1464000
2010-03-15,43.89,44.15,43.74,44.15,28.7,1270000
2010-03-16,44.28,44.61,43.98,44.48,28.91,1731500
2010-03-17,44.63,44.63,44.35,44.51,28.93,1481300
2010-03-18,44.58,44.61,44.22,44.33,28.81,1454800
2010-03-19,44.3,44.51,44.03,44.3,28.79,2092900
2010-03-22,44.15,44.35,44.02,44.26,28.77,1212500
2010-03-23,44.42,44.45,43.93,44.17,28.71,1927800
2010-03-24,44.15,44.15,43.68,43.84,28.49,1553800
2010-03-25,44.01,44.12,43.76,43.84,28.49,1651600
2010-03-26,44.02,44.36,43.86,44.18,28.71,1513200
2010-03-29,44.34,44.6,44.26,44.58,28.97,1477700
2010-03-30,44.56,44.91,44.53,44.68,29.04,1729700
2010-03-31,44.59,44.85,44.37,44.54,28.95,1246100
2010-04-01,44.74,45.14,44.67,44.9,29.18,1043800
2010-04-05,45.04,45.12,44.85,45.04,29.27,909900
2010-04-06,45.01,45.37,44.9,45.36,29.48,1045400
2010-04-07,45.32,45.32,44.75,44.91,29.19,1205200
2010-04-08,44.84,44.89,44.43,44.51,28.93,1453000
2010-04-09,44.61,44.87,44.2,44.85,29.15,1163800
2010-04-12,45.01,45.11,44.75,45.03,29.27,1119600
2010-04-13,45.02,45.05,44.59,44.76,29.09,1223100
2010-04-14,44.61,44.88,44.41,44.82,29.13,1627300
2010-04-15,44.84,44.94,44.53,44.79,29.11,1166100
2010-04-16,44.75,44.98,44.46,44.54,28.95,1864400
2010-04-19,44.36,44.7,44.36,44.63,29.01,1156200
2010-04-20,44.83,45.0,44.68,44.91,29.19,1593500
2010-04-21,44.99,45.29,44.86,45.16,29.35,1926300
2010-04-22,45.02,45.26,44.73,45.2,29.38,1190700
2010-04-23,45.11,45.42,44.9,45.41,29.51,1156800
2010-04-26,45.39,45.52,45.24,45.29,29.44,1051000
2010-04-27,45.21,45.45,44.58,44.6,28.99,1827000
2010-04-28,44.86,45.32,44.6,45.17,29.36,1671500
2010-04-29,45.31,45.44,44.97,45.21,29.38,1421500
2010-04-30,45.27,45.79,45.07,45.2,29.38,2072600
2010-05-03,45.45,45.83,45.2,45.73,29.72,1287100
2010-05-04,45.51,45.52,44.89,45.04,29.27,1583500
2010-05-05,44.87,45.45,44.77,45.05,29.28,1702600
2010-05-06,44.99,45.1,42.2,44.21,28.73,3747300
2010-05-07,44.88,44.99,43.82,44.34,28.82,4685400
2010-05-10,44.76,45.16,44.36,44.8,29.51,2319700
2010-05-11,44.54,45.34,44.54,44.85,29.55,1723500
2010-05-12,44.85,45.1,44.68,44.85,29.55,2076600
2010-05-13,44.87,45.06,44.5,44.54,29.34,1566400
2010-05-14,44.5,44.97,44.0,44.44,29.28,3219200
2010-05-17,44.61,44.65,43.92,44.52,29.33,2080700
2010-05-18,44.74,44.92,44.07,44.35,29.22,2218900
2010-05-19,44.07,44.2,43.52,43.82,28.87,1677400
2010-05-20,43.33,43.81,42.96,42.96,28.3,3670500
2010-05-21,42.58,43.42,42.31,43.29,28.52,3870700
2010-05-24,42.94,43.33,42.7,42.79,28.19,2600600
2010-05-25,42.09,42.53,41.78,42.52,28.01,2966300
2010-05-26,42.74,42.86,42.08,42.27,27.85,2313800
2010-05-27,42.52,42.86,42.34,42.74,28.16,1771400
2010-05-28,42.76,42.98,42.44,42.59,28.06,1923700
2010-06-01,42.35,42.55,41.72,41.75,27.5,2123200
2010-06-02,42.0,42.55,41.72,42.55,28.03,2419000
2010-06-03,42.77,43.15,42.63,42.82,28.21,1741900
2010-06-04,42.48,42.48,41.52,41.66,27.44,2130800
2010-06-07,41.83,42.37,41.7,41.87,27.58,1644600
2010-06-08,42.0,42.51,41.71,42.46,27.97,1519000
2010-06-09,42.69,42.74,42.03,42.15,27.77,1341800
2010-06-10,42.58,43.09,42.58,43.09,28.39,1223500
2010-06-11,42.82,43.14,42.52,43.13,28.41,1081800
2010-06-14,43.35,43.63,43.25,43.35,28.56,1407400
2010-06-15,43.63,44.1,43.51,44.09,29.05,1292900
2010-06-16,43.84,44.52,43.84,44.42,29.26,1349200
2010-06-17,44.4,44.83,44.19,44.77,29.49,1388000
2010-06-18,44.82,44.93,44.57,44.89,29.57,1374200
2010-06-21,45.0,45.08,44.47,44.69,29.44,1287500
2010-06-22,44.69,44.81,43.71,43.81,28.86,1757300
2010-06-23,43.98,44.02,43.45,43.65,28.76,1689300
2010-06-24,43.52,44.29,43.47,43.76,28.83,1472200
2010-06-25,43.83,43.98,43.42,43.84,28.88,1481700
2010-06-28,44.07,44.28,43.57,44.14,29.08,967000
2010-06-29,43.88,43.9,43.26,43.48,28.64,1678200
2010-06-30,43.33,43.76,43.0,43.1,28.39,2205600
2010-07-01,43.1,43.11,42.5,42.9,28.26,2239800
2010-07-02,43.06,43.42,42.9,43.19,28.45,1901100
2010-07-06,43.39,43.8,43.2,43.62,28.74,3046600
2010-07-07,43.64,44.77,43.5,44.75,29.48,1738100
2010-07-08,44.85,45.32,44.72,45.32,29.86,2240100
2010-07-09,45.18,45.35,44.9,45.27,29.82,1226000
2010-07-12,45.19,45.51,44.95,45.4,29.91,1081000
2010-07-13,45.7,45.71,45.21,45.52,29.99,1580100
2010-07-14,45.42,45.57,45.15,45.57,30.02,1117900
2010-07-15,45.46,45.85,45.26,45.74,30.13,1511300
2010-07-16,45.56,45.7,44.97,45.06,29.68,1853000
2010-07-19,45.24,45.85,45.11,45.67,30.09,1505500
2010-07-20,45.27,45.85,44.98,45.83,30.19,1705600
2010-07-21,45.79,45.79,45.01,45.27,29.82,1872200
2010-07-22,45.48,46.2,45.44,46.02,30.32,1765200
2010-07-23,45.79,46.3,45.6,46.3,30.5,1609800
2010-07-26,46.38,46.69,46.21,46.68,30.75,1314400
2010-07-27,46.78,47.19,46.58,47.16,31.07,2254000
2010-07-28,47.01,47.1,46.79,47.03,30.98,1511700
2010-07-29,47.16,47.25,46.28,46.57,30.68,1993700
2010-07-30,46.3,46.39,45.9,46.12,30.38,2041300
2010-08-02,46.4,47.15,46.4,47.14,31.06,2096800
2010-08-03,47.04,47.23,46.73,46.93,30.92,1989600
2010-08-04,47.03,47.05,46.61,46.94,30.92,1820000
2010-08-05,46.84,47.24,46.67,47.21,31.1,1383700
2010-08-06,47.12,47.59,46.89,47.57,31.34,2404300
2010-08-09,47.58,48.22,47.58,47.97,31.6,2490400
2010-08-10,47.84,48.53,47.65,48.36,31.86,2689600
2010-08-11,47.8,48.24,47.6,47.64,31.38,2562000
2010-08-12,47.57,48.11,47.25,47.95,31.59,3291800
2010-08-13,47.99,47.99,47.48,47.55,31.33,3825200
2010-08-16,46.65,47.04,46.23,46.85,31.26,3028600
2010-08-17,47.06,47.64,46.91,47.38,31.61,2842900
2010-08-18,47.43,47.43,46.67,46.96,31.33,2185600
2010-08-19,46.87,46.87,46.22,46.5,31.02,2115200
2010-08-20,46.25,46.78,46.12,46.7,31.16,2090400
2010-08-23,46.78,47.3,46.71,46.98,31.34,2439500
2010-08-24,46.78,47.63,46.64,47.31,31.56,2317700
2010-08-25,47.01,47.61,47.01,47.44,31.65,2027600
2010-08-26,47.59,47.63,47.03,47.15,31.46,1608700
2010-08-27,47.34,47.9,47.1,47.88,31.94,1823800
2010-08-30,47.7,47.86,47.21,47.25,31.52,1054500
2010-08-31,47.01,47.69,46.84,47.53,31.71,2026600
2010-09-01,47.92,48.3,47.58,48.24,32.18,2246100
2010-09-02,48.28,48.28,47.84,48.25,32.19,1581600
2010-09-03,48.25,48.45,48.0,48.44,32.32,2160300
2010-09-07,48.27,48.72,48.25,48.36,32.26,1666100
2010-09-08,48.45,48.47,47.73,47.78,31.88,2334000
2010-09-09,48.1,48.2,47.86,47.95,31.99,1680500
2010-09-10,47.84,47.92,47.44,47.69,31.82,1980400
2010-09-13,47.82,47.83,47.53,47.77,31.87,1671900
2010-09-14,47.76,48.28,47.52,48.1,32.09,1566400
2010-09-15,48.14,48.24,47.7,47.85,31.92,1677600
2010-09-16,47.82,47.86,47.45,47.59,31.75,1453900
2010-09-17,47.88,48.33,47.69,47.92,31.97,2821100
2010-09-20,47.95,48.74,47.95,48.69,32.48,2283800
2010-09-21,48.63,48.7,48.27,48.45,32.32,2424100
2010-09-22,48.53,48.94,48.47,48.52,32.37,1381200
2010-09-23,48.41,48.61,48.0,48.09,32.08,1580200
2010-09-24,48.35,48.89,48.35,48.79,32.55,1390000
2010-09-27,48.69,48.93,48.53,48.75,32.52,1099900
2010-09-28,48.15,48.6,47.91,48.5,32.36,5613800
2010-09-29,48.5,48.56,48.29,48.43,32.31,2375700
2010-09-30,48.45,48.61,48.11,48.22,32.17,1989500
2010-10-01,48.4,48.44,47.95,48.33,32.24,2043600
2010-10-04,48.14,48.46,47.91,48.07,32.07,1833100
2010-10-05,48.4,48.48,48.19,48.41,32.3,2523500
2010-10-06,48.38,48.44,48.03,48.19,32.15,2100300
2010-10-07,48.3,48.38,47.94,48.17,32.14,1740300
2010-10-08,48.08,48.32,48.02,48.27,32.2,1486400
2010-10-11,48.24,48.41,48.13,48.23,32.18,985900
2010-10-12,48.23,48.33,48.01,48.22,32.17,1321400
2010-10-13,48.29,48.33,48.14,48.2,32.16,1518900
2010-10-14,48.35,48.53,48.27,48.45,32.32,1913900
2010-10-15,48.49,48.65,48.4,48.6,32.42,1884800
2010-10-18,48.59,49.2,48.56,49.09,32.75,3924200
2010-10-19,48.7,49.29,48.67,48.84,32.58,1980200
2010-10-20,48.9,49.34,48.9,49.11,32.76,1471300
2010-10-21,49.36,49.36,48.64,48.88,32.61,1513500
2010-10-22,48.99,49.13,48.71,49.12,32.77,1508400
2010-10-25,49.25,49.39,48.9,49.2,32.82,1768000
2010-10-26,49.01,49.47,48.81,49.46,33.0,1905200
2010-10-27,49.2,49.76,49.14,49.74,33.18,2402500
2010-10-28,49.9,49.96,49.63,49.85,33.26,2450500
2010-10-29,49.89,49.9,49.48,49.72,33.17,1661500
2010-11-01,49.88,50.14,49.43,49.66,33.13,1618100
2010-11-02,49.91,50.86,49.91,50.73,33.84,1904900
2010-11-03,50.75,50.87,50.21,50.49,33.68,2006300
2010-11-04,50.85,50.99,50.6,50.88,33.94,3149400
2010-11-05,50.91,51.03,50.61,51.0,34.02,2519600
2010-11-08,50.93,50.98,50.33,50.68,33.81,2397900
2010-11-09,50.66,51.02,50.51,50.61,33.76,2079200
2010-11-10,50.57,50.57,49.92,50.09,33.42,2061800
2010-11-11,49.68,50.08,49.66,50.08,33.41,1997800
2010-11-12,49.91,49.93,49.52,49.74,33.18,2205300
2010-11-15,49.25,49.59,49.1,49.21,33.23,1763400
2010-11-16,49.07,49.11,48.4,48.66,32.86,2153600
2010-11-17,48.57,48.75,48.41,48.58,32.8,1314900
2010-11-18,48.91,48.97,48.57,48.85,32.98,1159000
2010-11-19,48.88,48.97,48.41,48.63,32.84,1173300
2010-11-22,48.7,48.73,48.27,48.7,32.88,1567200
2010-11-23,48.38,48.46,48.06,48.24,32.57,2094400
2010-11-24,48.46,48.5,48.2,48.33,32.63,1297900
2010-11-26,48.22,48.49,48.0,48.18,32.53,1201600
2010-11-29,48.0,48.2,47.51,48.02,32.42,1978500
2010-11-30,47.72,48.72,47.72,48.37,32.66,2269200
2010-12-01,48.8,48.89,48.46,48.75,32.92,1751200
2010-12-02,48.72,48.89,48.45,48.83,32.97,2077000
2010-12-03,48.8,49.06,48.6,49.02,33.1,3253000
2010-12-06,49.0,49.07,48.86,48.89,33.01,1160600
2010-12-07,49.15,49.16,48.43,48.57,32.79,1807400
2010-12-08,48.54,48.74,48.04,48.28,32.6,1609400
2010-12-09,48.39,48.75,48.23,48.71,32.89,1593600
2010-12-10,48.8,48.99,48.75,48.88,33.0,1114000
2010-12-13,49.08,49.45,48.95,49.18,33.21,1417500
2010-12-14,49.35,49.65,49.33,49.5,33.42,1479900
2010-12-15,49.51,49.55,48.92,49.01,33.09,1748800
2010-12-16,49.13,49.56,48.77,49.55,33.46,1816400
2010-12-17,49.48,49.53,49.14,49.34,33.31,3107500
2010-12-20,49.5,49.55,49.2,49.46,33.4,1304900
2010-12-21,49.59,49.62,49.36,49.49,33.42,960800
2010-12-22,49.52,49.9,49.5,49.56,33.46,1112200
2010-12-23,49.55,49.69,49.43,49.6,33.49,618300
2010-12-27,49.46,49.81,49.38,49.65,33.52,673100
2010-12-28,49.64,49.78,49.48,49.73,33.58,707000
2010-12-29,49.79,49.8,49.53,49.53,33.44,753600
2010-12-30,49.46,49.68,49.41,49.42,33.37,721800
2010-12-31,49.38,49.79,49.38,49.57,33.47,992500
2011-01-03,49.76,49.78,49.51,49.55,33.46,1189400
2011-01-04,49.55,49.9,49.23,49.7,33.56,1552700
2011-01-05,49.68,49.73,49.26,49.37,33.34,1424400
2011-01-06,49.35,49.42,48.97,49.32,33.3,1291100
2011-01-07,49.4,49.54,49.04,49.54,33.45,1385200
2011-01-10,49.29,49.42,48.8,49.23,33.24,1691100
2011-01-11,49.3,49.36,49.1,49.25,33.25,1337100
2011-01-12,49.42,49.8,49.37,49.56,33.46,1152800
2011-01-13,49.6,49.98,49.54,49.96,33.73,1645600
2011-01-14,49.45,49.96,49.4,49.83,33.65,1520800
2011-01-18,49.87,50.12,49.76,50.11,33.83,1260000
2011-01-19,50.13,50.38,50.07,50.35,34.0,1831900
