Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,35.26,35.44,34.77,34.78,24.35,1289700
2010-01-04,35.07,35.13,34.7,34.77,24.35,1931500
2010-01-05,34.68,34.93,34.36,34.46,24.13,2485100
2010-01-06,34.49,34.98,34.38,34.89,24.43,2673000
2010-01-07,34.8,34.84,34.54,34.68,24.28,2059800
2010-01-08,34.59,34.71,34.28,34.5,24.16,1560100
2010-01-11,34.61,35.26,34.61,35.17,24.63,2939100
2010-01-12,35.04,35.28,34.94,35.13,24.6,2237200
2010-01-13,35.16,35.52,35.05,35.45,24.82,1535700
2010-01-14,35.35,35.48,35.16,35.43,24.81,1443700
2010-01-15,35.74,35.81,34.91,35.24,24.68,2461600
2010-01-19,35.21,35.82,35.18,35.78,25.05,1642900
2010-01-20,35.35,35.56,34.85,35.34,24.75,2026100
2010-01-21,35.47,35.67,34.63,34.89,24.43,2246300
2010-01-22,34.72,34.8,33.86,33.87,23.72,2568900
2010-01-25,34.21,34.36,33.78,34.1,23.88,1531600
2010-01-26,34.05,34.32,33.76,34.2,23.95,2691800
2010-01-27,34.08,34.15,33.56,34.05,23.84,1976900
2010-01-28,34.1,34.19,33.44,33.47,23.44,2243500
2010-01-29,33.57,33.87,33.28,33.32,23.33,2101200
2010-02-01,33.47,33.71,33.1,33.66,23.57,1843500
2010-02-02,33.73,34.0,33.36,34.0,23.81,1707600
2010-02-03,33.79,33.94,33.52,33.6,23.53,1710200
2010-02-04,33.4,33.44,32.48,32.5,22.76,2790700
2010-02-05,32.45,32.63,31.88,32.46,22.73,2013700
2010-02-08,32.58,32.61,32.09,32.13,22.5,1262300
2010-02-09,32.37,32.95,32.3,32.55,22.79,1441900
2010-02-10,32.51,32.57,32.08,32.37,22.67,1158600
2010-02-11,32.38,32.66,32.01,32.58,22.81,1898100
2010-02-12,32.53,32.61,32.2,32.59,22.82,1893500
2010-02-16,32.76,33.36,32.71,33.35,23.35,1511800
2010-02-17,33.82,33.83,33.18,33.31,23.32,1622500
2010-02-18,33.22,33.9,33.22,33.61,23.53,1542600
2010-02-19,33.45,34.4,33.39,34.24,23.98,2108100
2010-02-22,34.29,34.5,33.79,33.81,23.67,1766200
2010-02-23,33.68,33.85,33.25,33.3,23.32,1862800
2010-02-24,33.33,33.49,32.9,33.18,23.23,2401700
2010-02-25,32.7,32.82,32.35,32.74,22.92,2907500
2010-02-26,32.79,33.0,32.54,32.63,22.85,2342800
2010-03-01,32.88,33.39,32.88,33.32,23.33,2437000
2010-03-02,33.47,33.7,33.08,33.23,23.27,2757300
2010-03-03,33.35,33.73,33.18,33.3,23.32,2330000
2010-03-04,33.3,33.37,33.05,33.13,23.2,2395800
2010-03-05,33.28,33.81,33.21,33.78,23.65,2180700
2010-03-08,33.91,33.91,33.53,33.56,23.5,1746900
2010-03-09,33.55,33.67,33.42,33.56,23.5,2055700
2010-03-10,34.03,34.25,33.8,34.1,23.88,2877300
2010-03-11,34.27,34.36,33.94,34.26,23.99,2127900
2010-03-12,34.42,34.42,33.79,33.79,23.66,1685900
2010-03-15,33.73,34.08,33.65,34.08,23.86,2088200
2010-03-16,34.01,34.39,33.78,34.37,24.07,1581400
2010-03-17,34.36,34.79,34.28,34.71,24.3,1981700
2010-03-18,34.68,34.92,34.32,34.51,24.16,2244800
2010-03-19,34.41,34.68,34.11,34.41,24.09,3080500
2010-03-22,34.28,34.44,34.13,34.23,23.97,2256800
2010-03-23,34.22,34.56,34.15,34.48,24.14,2226600
2010-03-24,34.34,34.46,34.08,34.09,23.87,2146100
2010-03-25,34.23,34.38,33.81,33.83,23.69,1861300
2010-03-26,33.97,34.06,33.65,34.02,23.82,1881700
2010-03-29,33.8,34.24,33.68,34.2,24.17,1784600
2010-03-30,34.16,34.56,34.16,34.51,24.39,1809000
2010-03-31,34.39,34.47,34.07,34.17,24.15,1928500
2010-04-01,34.35,34.59,34.19,34.3,24.24,1398800
2010-04-05,34.37,34.46,34.19,34.39,24.31,1193700
2010-04-06,34.24,34.67,34.1,34.67,24.5,1318900
2010-04-07,34.57,34.65,34.24,34.38,24.3,1699900
2010-04-08,34.27,34.37,34.07,34.33,24.26,1152700
2010-04-09,34.29,34.29,33.97,34.22,24.19,1133300
2010-04-12,34.28,34.59,34.27,34.46,24.35,1373900
2010-04-13,34.37,34.46,34.0,34.36,24.28,1222000
2010-04-14,34.26,34.45,34.05,34.43,24.33,1670400
2010-04-15,34.32,34.68,34.13,34.53,24.4,2034000
2010-04-16,34.48,34.51,33.87,33.93,23.98,2277300
2010-04-19,33.82,34.01,33.67,33.85,23.92,1951500
2010-04-20,33.97,34.21,33.92,34.11,24.11,2124500
2010-04-21,34.12,34.38,34.06,34.29,24.23,2261100
2010-04-22,34.15,34.15,33.79,34.09,24.09,2269500
2010-04-23,34.0,34.39,33.85,34.37,24.29,1796400
