Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,84.63,86.03,83.64,83.65,59.76,294900
2010-01-04,84.21,84.62,82.15,82.62,59.02,448000
2010-01-05,82.72,83.25,81.29,83.12,59.38,542300
2010-01-06,83.23,84.65,83.12,83.7,59.79,473000
2010-01-07,83.42,85.29,83.0,84.57,60.41,284400
2010-01-08,84.35,84.78,82.93,83.7,59.79,214100
2010-01-11,84.11,84.48,83.62,83.76,59.84,181800
2010-01-12,83.03,83.77,82.07,82.65,59.04,298000
2010-01-13,82.93,84.45,82.64,84.29,60.21,209100
2010-01-14,83.6,85.13,83.39,84.86,60.62,250100
2010-01-15,84.77,85.06,84.0,84.29,60.21,244900
2010-01-19,84.25,85.61,84.15,85.44,61.04,304000
2010-01-20,85.11,86.67,84.32,85.69,61.21,520600
2010-01-21,85.7,86.67,83.41,83.46,59.62,327400
2010-01-22,83.53,84.8,80.68,80.88,57.78,431400
2010-01-25,81.71,82.35,80.23,81.45,58.19,295000
2010-01-26,80.56,82.18,80.55,81.0,57.86,211100
2010-01-27,80.8,82.34,79.45,82.0,58.58,248500
2010-01-28,82.25,82.27,80.55,81.42,58.16,170500
2010-01-29,81.89,82.18,79.55,79.69,56.93,372500
2010-02-01,80.18,81.19,79.37,80.99,57.86,235200
2010-02-02,81.32,82.53,80.48,82.39,58.86,191000
2010-02-03,81.69,82.02,79.59,80.02,57.16,415100
2010-02-04,79.15,79.15,77.27,77.66,55.48,509800
2010-02-05,77.85,78.49,76.35,78.25,55.9,504100
2010-02-08,78.69,79.76,77.81,77.87,55.63,339700
2010-02-09,78.74,78.95,77.26,78.25,55.9,442200
2010-02-10,78.31,79.25,76.48,78.42,56.02,349500
2010-02-11,78.42,79.53,77.75,79.44,56.75,190600
2010-02-12,78.5,80.28,78.38,80.21,57.3,332900
2010-02-16,81.08,82.39,80.65,82.22,58.74,301200
2010-02-17,82.39,83.65,82.23,83.65,59.76,253400
2010-02-18,83.42,84.52,82.85,84.25,60.19,281700
2010-02-19,83.84,84.41,83.63,84.19,60.14,341900
2010-02-22,84.48,84.94,83.58,84.62,60.45,300200
2010-02-23,84.42,84.97,83.67,84.59,60.43,247700
2010-02-24,84.94,85.24,84.31,85.22,60.88,373100
2010-02-25,84.18,85.57,83.75,85.42,61.02,274600
2010-02-26,85.47,87.05,85.04,85.9,61.36,560100
2010-03-01,86.21,86.57,85.48,86.52,61.81,195600
2010-03-02,86.99,87.29,86.48,87.1,62.22,348800
2010-03-03,87.07,87.48,86.6,87.13,62.24,257400
2010-03-04,87.2,88.13,87.15,88.06,62.91,398500
2010-03-05,88.67,90.57,88.2,90.38,64.56,473300
2010-03-08,90.04,91.27,89.5,90.54,64.68,339800
2010-03-09,90.11,90.93,89.41,89.84,64.18,636900
2010-03-10,89.95,90.06,88.86,89.86,64.19,498800
2010-03-11,89.4,90.5,89.07,90.46,64.62,390500
2010-03-12,90.96,91.57,90.18,91.1,65.08,251700
2010-03-15,91.0,91.85,89.98,90.46,64.62,298100
2010-03-16,90.59,92.37,90.59,92.37,65.99,543800
2010-03-17,92.09,93.98,92.09,93.42,66.74,308600
2010-03-18,93.51,93.86,92.8,92.92,66.38,250200
2010-03-19,92.17,93.51,91.99,92.17,65.84,402100
2010-03-22,91.55,92.96,91.55,92.9,66.37,353000
2010-03-23,92.08,92.85,90.55,91.77,65.56,356200
2010-03-24,91.47,92.5,91.43,91.75,65.54,270700
2010-03-25,92.09,92.56,90.92,91.12,65.09,482200
2010-03-26,90.97,91.59,89.55,89.81,64.16,594900
2010-03-29,88.89,90.24,88.42,88.5,63.96,536500
2010-03-30,88.45,90.05,88.42,89.82,64.91,319400
2010-03-31,89.12,90.52,88.54,89.95,65.01,593200
2010-04-01,90.13,91.05,89.23,90.86,65.66,603300
2010-04-05,91.0,93.38,90.97,93.35,67.46,381500
2010-04-06,92.91,96.02,92.86,96.0,69.38,454400
2010-04-07,95.3,95.89,94.48,94.92,68.6,956300
2010-04-08,94.43,95.5,94.42,95.05,68.69,333800
2010-04-09,95.64,98.16,95.64,97.72,70.62,525700
2010-04-12,97.25,98.18,97.25,97.74,70.64,733300
2010-04-13,97.85,100.99,97.71,100.63,72.72,353400
2010-04-14,101.0,101.06,99.11,99.32,71.78,300600
2010-04-15,99.07,99.57,97.35,97.41,70.4,381600
2010-04-16,96.75,97.78,96.28,96.35,69.63,474500
2010-04-19,95.89,97.42,95.27,96.15,69.49,256200
2010-04-20,96.39,98.23,95.35,98.17,70.95,190200
