Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,83.4,83.4,81.82,81.84,50.12,659800
2010-01-04,82.1,82.73,81.75,82.15,50.31,1049400
2010-01-05,82.28,82.3,80.36,80.84,49.51,1157100
2010-01-06,80.79,81.34,80.42,81.25,49.76,1011900
2010-01-07,80.96,81.03,80.25,80.28,49.17,1243600
2010-01-08,80.38,80.57,79.22,79.51,48.7,1652800
2010-01-11,79.98,81.53,79.75,81.05,49.64,2014100
2010-01-12,81.77,82.12,81.2,81.72,50.05,1786400
2010-01-13,81.71,83.01,81.66,82.88,50.76,1104200
2010-01-14,82.87,83.09,82.15,82.8,50.71,966000
2010-01-15,82.55,82.62,80.93,81.85,50.13,1918900
2010-01-19,81.9,82.19,80.87,82.16,50.32,884100
2010-01-20,81.95,81.95,80.06,81.06,49.65,1263500
2010-01-21,81.58,82.73,79.3,79.75,48.84,2484000
2010-01-22,79.74,79.81,78.48,78.54,48.1,1455700
2010-01-25,79.2,79.24,77.76,78.73,48.22,1176000
2010-01-26,78.59,79.55,78.1,79.31,48.57,1297900
2010-01-27,79.3,79.3,77.72,78.72,48.21,1031900
2010-01-28,78.85,79.03,77.08,77.1,47.22,1630800
2010-01-29,77.49,77.82,76.23,76.31,46.74,2528800
2010-02-01,76.62,77.43,75.9,77.23,47.3,1383800
2010-02-02,77.29,79.73,76.61,78.78,48.25,1713300
2010-02-03,79.0,79.93,78.78,79.74,48.84,1634400
2010-02-04,79.08,80.18,77.04,77.11,47.23,2353100
2010-02-05,76.97,77.21,75.52,77.09,47.21,1891300
2010-02-08,77.05,77.35,76.22,76.29,46.72,1008400
2010-02-09,75.91,76.94,75.54,76.26,47.17,2135900
2010-02-10,77.71,77.71,75.95,76.67,47.42,1956100
2010-02-11,76.73,77.77,75.98,77.55,47.97,2168900
2010-02-12,76.52,77.23,76.3,77.14,47.71,1645300
2010-02-16,77.77,79.0,77.55,78.99,48.86,1063400
2010-02-17,79.44,79.52,77.84,78.26,48.41,2060200
