Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,22.23,22.23,21.72,21.72,14.18,528000
2010-01-04,21.92,22.01,21.71,21.84,14.25,597100
2010-01-05,21.9,21.92,21.44,21.55,14.07,558600
2010-01-06,21.51,21.67,21.45,21.67,14.14,491200
2010-01-07,21.74,21.74,21.49,21.53,14.05,266800
2010-01-08,21.53,21.74,21.41,21.72,14.18,397500
2010-01-11,21.8,22.11,21.74,22.05,14.39,640600
2010-01-12,21.95,22.05,21.78,21.94,14.32,602000
2010-01-13,22.04,22.2,21.92,22.15,14.46,289800
2010-01-14,22.17,22.19,22.05,22.18,14.48,362600
2010-01-15,22.78,22.78,21.91,22.24,14.52,1115100
2010-01-19,22.31,22.53,22.23,22.53,14.7,556900
2010-01-20,22.43,22.53,22.16,22.43,14.64,572400
2010-01-21,22.45,22.55,21.94,22.05,14.39,739400
2010-01-22,22.05,22.07,21.54,21.56,14.07,802100
2010-01-25,21.76,21.83,21.5,21.6,14.1,640600
2010-01-26,21.59,21.66,21.41,21.59,14.09,848800
2010-01-27,21.54,21.63,21.23,21.4,13.97,765400
2010-01-28,21.4,21.42,21.06,21.28,13.89,1154400
2010-01-29,21.31,21.58,21.19,21.33,13.92,1967900
2010-02-01,21.44,21.52,21.29,21.5,14.03,686000
2010-02-02,21.46,21.66,21.35,21.62,14.11,610200
2010-02-03,21.59,21.75,21.38,21.43,13.99,541500
2010-02-04,21.36,21.37,21.0,21.0,13.71,550500
2010-02-05,21.05,21.07,20.56,20.94,13.67,889100
2010-02-08,21.01,21.09,20.8,20.8,13.58,474700
2010-02-09,21.0,21.24,20.81,21.05,13.74,817200
2010-02-10,20.97,21.09,20.76,21.02,13.72,586200
2010-02-11,20.96,21.18,20.83,21.12,13.78,473400
2010-02-12,21.0,21.22,20.93,21.22,13.85,698200
2010-02-16,21.3,21.63,21.3,21.6,14.1,582800
2010-02-17,21.73,21.78,21.58,21.66,14.14,567000
2010-02-18,21.69,21.94,21.68,21.76,14.2,802100
2010-02-19,21.75,22.3,21.67,22.18,14.48,517600
2010-02-22,22.25,22.33,22.14,22.16,14.46,330000
2010-02-23,22.16,22.3,21.93,22.03,14.38,608800
2010-02-24,22.06,22.15,21.88,22.15,14.46,469000
2010-02-25,21.89,22.24,21.81,22.04,14.38,1102700
2010-02-26,22.17,22.18,21.27,21.4,13.97,1900800
2010-03-01,21.49,21.62,21.39,21.44,13.99,754100
2010-03-02,22.04,22.25,21.72,21.86,14.27,1765200
2010-03-03,21.92,22.27,21.86,22.08,14.41,948000
2010-03-04,22.06,22.24,22.0,22.15,14.46,1022000
2010-03-05,21.98,21.98,21.69,21.83,14.45,949500
2010-03-08,21.88,21.95,21.74,21.93,14.52,788800
2010-03-09,21.91,21.97,21.74,21.76,14.4,724600
2010-03-10,21.8,21.97,21.73,21.96,14.54,841300
2010-03-11,21.87,22.04,21.78,22.04,14.59,595300
2010-03-12,22.1,22.1,21.93,22.07,14.61,651000
2010-03-15,22.1,22.19,22.01,22.16,14.67,1063000
2010-03-16,22.23,22.44,22.14,22.44,14.85,770800
2010-03-17,22.45,22.66,22.4,22.47,14.87,515900
2010-03-18,22.51,22.61,22.38,22.43,14.85,487900
2010-03-19,22.37,22.7,22.22,22.37,14.81,1077600
2010-03-22,22.24,22.36,22.14,22.31,14.77,517600
2010-03-23,22.35,22.48,22.26,22.38,14.81,671600
2010-03-24,22.38,22.4,22.0,22.0,14.56,670200
2010-03-25,22.13,22.15,21.82,21.83,14.45,756600
2010-03-26,21.94,22.03,21.85,21.96,14.54,472500
2010-03-29,22.06,22.19,21.94,22.19,14.69,717700
2010-03-30,22.25,22.45,22.1,22.39,14.82,639100
2010-03-31,22.38,22.49,22.25,22.3,14.76,548300
2010-04-01,22.43,22.63,22.38,22.59,14.95,471200
2010-04-05,22.6,22.76,22.54,22.72,15.04,552000
2010-04-06,22.67,23.09,22.66,23.07,15.27,619100
2010-04-07,22.92,22.99,22.78,22.91,15.17,748100
2010-04-08,22.9,22.9,22.6,22.65,14.99,599600
2010-04-09,22.7,22.7,22.4,22.59,14.95,856300
2010-04-12,22.76,22.88,22.66,22.79,15.09,756100
2010-04-13,22.81,22.86,22.61,22.85,15.13,804400
2010-04-14,22.88,22.9,22.61,22.75,15.06,582300
2010-04-15,22.8,22.84,22.62,22.68,15.01,660500
2010-04-16,22.68,22.77,22.51,22.59,14.95,851100
2010-04-19,22.56,22.66,22.46,22.64,14.99,576800
2010-04-20,22.82,22.97,22.72,22.97,15.2,988400
2010-04-21,22.97,22.99,22.83,22.92,15.17,678700
2010-04-22,22.83,23.02,22.7,23.01,15.23,645100
2010-04-23,23.05,23.3,22.95,23.3,15.42,761500
2010-04-26,23.26,23.32,23.11,23.16,15.33,667800
2010-04-27,23.1,23.34,22.9,22.9,15.16,1207100
2010-04-28,22.95,23.16,22.91,23.07,15.27,609500
2010-04-29,23.15,23.5,23.05,23.48,15.54,823000
2010-04-30,23.57,23.83,23.53,23.69,15.68,1025000
2010-05-03,23.71,23.93,23.61,23.92,15.83,612600
2010-05-04,23.72,23.75,23.55,23.71,15.69,859300
2010-05-05,23.61,23.77,23.53,23.56,15.6,1258300
2010-05-06,23.43,23.46,21.75,22.56,14.93,2356800
2010-05-07,22.6,22.76,21.9,22.29,14.75,1879400
2010-05-10,22.93,23.44,22.8,23.37,15.47,2233100
2010-05-11,23.18,23.75,23.18,23.56,15.6,2285700
2010-05-12,23.6,23.8,23.39,23.66,15.66,1450100
2010-05-13,23.6,23.79,23.5,23.6,15.62,851700
2010-05-14,23.54,23.58,23.22,23.32,15.44,1251000
2010-05-17,23.44,23.53,23.0,23.37,15.47,971800
2010-05-18,23.48,23.64,23.15,23.15,15.32,1073700
2010-05-19,23.04,23.11,22.57,22.72,15.04,1529300
2010-05-20,22.4,22.41,21.82,21.82,14.44,2505600
2010-05-21,21.6,21.94,21.26,21.91,14.5,2312100
2010-05-24,21.91,22.3,21.79,21.9,14.5,1515900
2010-05-25,21.53,21.67,21.1,21.63,14.32,1410000
2010-05-26,21.77,22.0,21.64,21.73,14.38,1272500
2010-05-27,22.12,22.16,21.9,22.11,14.64,691600
2010-05-28,22.11,22.22,21.92,22.0,14.56,1127000
2010-06-01,21.92,22.05,21.51,21.54,14.26,616500
2010-06-02,21.6,21.96,21.5,21.96,14.54,1286600
2010-06-03,22.12,22.36,21.91,22.36,14.8,781200
2010-06-04,21.99,22.11,21.59,21.68,14.35,980200
2010-06-07,21.59,21.67,21.15,21.16,14.21,1190300
2010-06-08,21.25,21.4,21.08,21.37,14.35,1140000
2010-06-09,21.43,21.64,21.16,21.21,14.24,1122700
2010-06-10,21.5,21.88,21.46,21.88,14.69,1061500
2010-06-11,21.74,21.88,21.61,21.83,14.66,487200
2010-06-14,21.82,22.18,21.82,21.98,14.76,802600
2010-06-15,22.04,22.46,22.04,22.46,15.08,953900
2010-06-16,22.4,22.68,22.3,22.61,15.18,687600
2010-06-17,22.71,22.89,22.6,22.88,15.36,834900
2010-06-18,22.9,22.94,22.75,22.78,15.3,607000
2010-06-21,22.99,23.06,22.64,22.77,15.29,581300
2010-06-22,22.82,22.84,22.17,22.24,14.94,1072000
2010-06-23,22.22,22.23,21.83,21.91,14.71,772700
2010-06-24,21.8,22.18,21.78,21.9,14.71,1246200
2010-06-25,21.99,22.11,21.76,21.93,14.73,865300
2010-06-28,21.9,22.33,21.85,22.24,14.94,884200
2010-06-29,22.03,22.06,21.72,21.84,14.67,799800
2010-06-30,21.86,22.13,21.6,21.61,14.51,797600
2010-07-01,21.73,21.73,21.22,21.38,14.36,1199700
2010-07-02,21.49,21.6,21.36,21.49,14.43,761000
2010-07-06,21.71,21.88,21.45,21.63,14.53,597400
2010-07-07,21.72,22.31,21.71,22.27,14.96,702100
2010-07-08,22.41,22.53,22.3,22.51,15.12,385000
2010-07-09,22.55,22.76,22.43,22.71,15.25,504700
2010-07-12,22.66,22.93,22.59,22.86,15.35,691900
2010-07-13,23.03,23.11,22.83,23.03,15.47,777700
2010-07-14,22.94,23.12,22.84,23.12,15.53,923600
2010-07-15,23.12,23.39,22.98,23.31,15.65,703600
2010-07-16,23.22,23.3,22.82,22.85,15.34,1047200
2010-07-19,22.97,23.27,22.79,23.19,15.57,621100
2010-07-20,22.97,23.39,22.9,23.38,15.7,441400
2010-07-21,23.48,23.48,23.09,23.1,15.51,655600
2010-07-22,23.3,23.64,23.3,23.51,15.79,652400
2010-07-23,23.42,23.77,23.31,23.69,15.91,811500
2010-07-26,23.74,24.09,23.69,24.09,16.18,524600
2010-07-27,24.27,24.57,24.13,24.48,16.44,1002300
2010-07-28,24.39,24.47,24.19,24.27,16.3,848200
2010-07-29,24.37,24.45,23.88,24.11,16.19,1277800
2010-07-30,23.81,23.97,23.71,23.88,16.04,716900
2010-08-02,24.2,24.46,24.12,24.24,16.28,817100
2010-08-03,24.1,24.35,24.03,24.14,16.21,435500
2010-08-04,24.2,24.22,23.93,24.2,16.25,845500
2010-08-05,24.01,24.43,23.96,24.43,16.41,1037800
2010-08-06,24.08,24.33,23.79,24.33,16.34,863800
2010-08-09,24.42,24.48,24.29,24.46,16.43,856400
2010-08-10,24.23,24.63,24.14,24.49,16.45,1261400
2010-08-11,24.17,24.18,23.75,23.85,16.02,1082600
2010-08-12,23.59,23.67,23.36,23.6,15.85,1627800
2010-08-13,23.56,23.94,23.51,23.85,16.02,711100
2010-08-16,23.78,23.91,23.53,23.82,16.0,694100
2010-08-17,24.0,24.17,23.84,24.06,16.16,733200
2010-08-18,24.05,24.05,23.67,23.79,15.98,952900
2010-08-19,23.59,23.77,23.37,23.49,15.77,826800
2010-08-20,23.36,23.45,23.25,23.42,15.73,762900
2010-08-23,23.51,23.77,23.43,23.54,15.81,1130200
2010-08-24,23.32,23.71,23.24,23.56,15.82,878000
2010-08-25,23.46,23.69,23.36,23.63,15.87,1131700
2010-08-26,23.75,23.93,23.56,23.63,15.87,1229200
2010-08-27,23.74,24.1,23.48,24.03,16.14,1127800
2010-08-30,23.95,24.08,23.75,23.78,15.97,753100
2010-08-31,23.76,24.01,23.59,23.97,16.1,1026900
2010-09-01,24.23,24.42,24.07,24.41,16.39,1061600
2010-09-02,24.55,24.55,24.14,24.37,16.37,713600
2010-09-03,24.58,24.64,24.25,24.41,16.39,762900
2010-09-07,24.17,24.17,23.56,23.96,16.3,669200
2010-09-08,23.96,24.16,23.8,23.82,16.2,577500
2010-09-09,24.01,24.22,23.97,24.08,16.38,734600
2010-09-10,24.15,24.2,24.01,24.15,16.43,1055800
2010-09-13,24.33,24.33,24.13,24.29,16.52,1097100
2010-09-14,24.28,24.36,24.0,24.25,16.49,751700
2010-09-15,24.2,24.23,23.93,23.97,16.3,681600
