Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,7.31,7.33,7.22,7.24,7.24,1875600
2010-01-04,7.31,7.37,7.26,7.29,7.29,3092400
2010-01-05,7.27,7.34,7.26,7.34,7.34,2787600
2010-01-06,7.36,7.46,7.31,7.42,7.42,3009600
2010-01-07,7.46,7.51,7.38,7.49,7.49,2702400
2010-01-08,7.55,7.57,7.44,7.46,7.46,3574800
2010-01-11,7.5,7.62,7.49,7.62,7.62,4437600
2010-01-12,7.58,7.65,7.54,7.65,7.65,5205600
2010-01-13,7.67,7.72,7.62,7.68,7.68,2802000
2010-01-14,7.69,7.71,7.67,7.7,7.7,3142800
2010-01-15,7.72,7.72,7.56,7.63,7.63,4862400
2010-01-19,7.64,7.76,7.64,7.75,7.75,3459600
2010-01-20,7.74,7.84,7.69,7.83,7.83,4705200
2010-01-21,7.87,7.88,7.77,7.84,7.84,5029200
2010-01-22,7.82,7.82,7.56,7.58,7.58,6956400
2010-01-25,7.58,7.7,7.5,7.65,7.65,5064000
2010-01-26,7.6,7.69,7.6,7.64,7.64,2166000
2010-01-27,7.61,7.66,7.58,7.63,7.63,2314800
2010-01-28,7.62,7.73,7.53,7.55,7.55,4166400
2010-01-29,7.6,7.6,7.47,7.47,7.47,4342800
2010-02-01,7.47,7.54,7.42,7.52,7.52,2611200
2010-02-02,7.55,7.76,7.51,7.75,7.75,3436800
2010-02-03,7.75,7.82,7.69,7.7,7.7,4770000
2010-02-04,7.68,7.71,7.45,7.47,7.47,7514400
2010-02-05,7.37,7.49,7.1,7.48,7.48,16993200
2010-02-08,7.47,7.47,7.25,7.25,7.25,9705600
2010-02-09,7.33,7.35,7.13,7.22,7.22,8701200
2010-02-10,7.18,7.2,7.05,7.15,7.15,6109200
2010-02-11,7.12,7.21,7.09,7.2,7.2,6918000
2010-02-12,7.18,7.28,7.16,7.28,7.28,4191600
2010-02-16,7.29,7.34,7.19,7.34,7.34,5320800
2010-02-17,7.38,7.49,7.34,7.48,7.48,4618800
