Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,49.39,49.57,48.84,48.87,30.69,1888300
2010-01-04,49.07,49.21,48.77,48.88,30.69,4367600
2010-01-05,48.94,48.94,47.69,48.08,30.19,5222400
2010-01-06,48.07,48.38,47.54,48.37,30.37,4089000
2010-01-07,48.12,48.62,48.12,48.53,30.47,5127000
2010-01-08,48.3,48.49,48.21,48.3,30.33,5090300
2010-01-11,48.49,49.08,48.38,48.86,30.68,5094600
2010-01-12,48.8,49.39,48.52,49.07,30.81,4616900
2010-01-13,49.13,49.88,49.09,49.66,31.18,3616800
2010-01-14,49.64,49.65,49.0,49.08,30.82,5611800
2010-01-15,48.88,49.01,48.29,48.6,30.52,6349800
2010-01-19,48.48,49.28,48.41,49.27,30.94,4730600
2010-01-20,49.02,49.07,48.04,48.45,30.42,9356900
2010-01-21,48.57,48.96,47.66,48.05,30.17,7262900
2010-01-22,47.93,48.03,46.58,46.61,29.27,7045300
2010-01-25,47.11,47.19,46.06,46.09,28.94,5537700
2010-01-26,46.17,46.8,45.6,46.6,29.26,7818200
2010-01-27,46.6,46.6,45.76,46.28,29.06,6103700
2010-01-28,47.0,47.0,45.72,45.96,28.86,3971000
2010-01-29,47.0,47.2,45.6,45.62,28.65,5774900
2010-02-01,45.84,46.45,45.48,45.86,28.8,4308300
2010-02-02,45.88,46.35,45.51,46.14,28.97,3749700
2010-02-03,46.03,46.03,45.56,45.71,28.7,7963700
2010-02-04,45.69,45.69,44.72,44.75,28.1,9048000
2010-02-05,44.55,44.65,43.45,44.24,27.78,10804100
2010-02-08,44.69,44.74,43.76,43.76,27.48,3053800
2010-02-09,44.1,44.59,43.89,44.22,27.77,4478300
2010-02-10,44.13,44.41,43.71,44.3,27.82,4410100
2010-02-11,43.78,43.83,43.14,43.72,27.78,6387000
2010-02-12,43.57,43.6,42.97,43.3,27.51,5287800
2010-02-16,43.59,44.27,43.51,44.2,28.09,4076700
2010-02-17,44.54,44.54,43.89,43.99,27.95,2853100
2010-02-18,43.85,44.56,43.76,44.46,28.25,4149200
2010-02-19,44.32,45.09,44.32,44.88,28.52,3848900
2010-02-22,45.18,45.18,44.61,44.69,28.4,3226500
2010-02-23,44.53,44.69,44.1,44.14,28.05,3796900
2010-02-24,44.2,44.38,43.59,44.01,27.97,5129700
2010-02-25,43.58,43.87,43.02,43.81,27.84,4256900
2010-02-26,43.81,43.96,43.25,43.3,27.51,4821300
2010-03-01,43.67,44.7,43.51,44.46,28.25,5827500
2010-03-02,44.55,44.79,44.18,44.34,28.18,5345800
2010-03-03,44.49,44.85,44.33,44.47,28.26,3945300
2010-03-04,44.64,44.79,44.31,44.72,28.42,4064200
2010-03-05,44.94,45.57,44.92,45.5,28.91,4107300
2010-03-08,45.6,45.75,45.17,45.33,28.8,2736100
2010-03-09,45.47,45.47,44.79,44.97,28.58,3876200
2010-03-10,45.1,45.29,44.91,45.11,28.66,4188400
2010-03-11,45.26,45.4,44.75,44.93,28.55,3446500
2010-03-12,44.95,45.0,44.04,44.16,28.06,4897200
2010-03-15,44.24,44.42,44.02,44.4,28.21,3190100
2010-03-16,44.42,45.42,44.42,45.34,28.81,4960100
2010-03-17,45.54,45.56,45.14,45.35,28.82,3612900
2010-03-18,45.08,45.24,44.47,44.67,28.38,4298800
2010-03-19,44.62,44.9,44.25,44.62,28.35,5504500
2010-03-22,44.55,44.97,44.23,44.32,28.16,4036100
2010-03-23,44.26,44.51,44.03,44.31,28.16,5690800
2010-03-24,44.44,44.44,43.5,43.56,27.68,5892600
2010-03-25,43.61,43.84,43.05,43.29,27.51,6220800
2010-03-26,43.26,43.38,42.97,43.19,27.44,3129100
2010-03-29,43.5,43.93,43.31,43.92,27.91,3086100
2010-03-30,43.96,44.19,43.81,43.96,27.93,2793900
2010-03-31,43.8,44.0,43.56,43.81,27.84,2714500
2010-04-01,43.99,44.78,43.85,44.28,28.14,3300200
2010-04-05,44.44,44.62,44.1,44.4,28.21,2630800
2010-04-06,44.22,45.1,44.11,45.08,28.65,3636500
2010-04-07,45.0,45.04,44.55,44.73,28.42,3253600
2010-04-08,44.84,44.84,44.28,44.43,28.23,2671600
2010-04-09,44.41,44.41,43.95,44.26,28.12,3092200
2010-04-12,44.39,45.0,44.39,44.58,28.33,3092500
2010-04-13,44.63,44.65,43.95,44.56,28.32,3818400
2010-04-14,44.5,44.53,44.23,44.53,28.3,3267300
2010-04-15,44.28,44.52,43.85,44.41,28.22,4153100
2010-04-16,43.99,43.99,43.31,43.62,27.72,7193200
2010-04-19,43.61,43.81,43.35,43.58,27.69,3898000
2010-04-20,43.98,44.15,43.71,44.12,28.04,3478800
2010-04-21,43.92,44.14,43.52,43.6,27.71,5988500
2010-04-22,43.64,43.85,43.17,43.65,27.74,5433400
2010-04-23,43.4,43.99,42.78,43.95,27.93,7397900
2010-04-26,44.0,44.47,43.56,43.62,27.72,6001300
2010-04-27,43.54,43.67,42.84,42.85,27.23,5365700
2010-04-28,43.14,43.55,42.8,43.38,27.57,8886900
2010-04-29,43.5,43.75,43.13,43.26,27.49,3994300
2010-04-30,43.39,43.89,43.31,43.59,27.7,5342500
2010-05-03,43.88,44.21,43.65,44.13,28.04,2551100
2010-05-04,43.91,44.0,42.96,43.17,27.43,4723700
2010-05-05,43.0,43.78,42.94,43.69,27.76,6826700
2010-05-06,43.35,43.35,28.2,41.86,26.6,12427000
2010-05-07,41.6,42.07,40.94,41.54,26.4,11766700
2010-05-10,42.78,43.0,41.98,42.6,27.07,5955500
2010-05-11,42.4,43.19,42.27,42.68,27.12,3666700
2010-05-12,42.46,42.56,42.03,42.16,27.12,7451700
2010-05-13,42.15,42.7,42.05,42.07,27.07,6209800
2010-05-14,42.0,42.43,41.37,41.68,26.81,6299500
2010-05-17,41.78,41.91,40.92,41.35,26.6,5093400
2010-05-18,41.48,41.53,40.75,40.79,26.24,4231700
2010-05-19,40.64,40.79,40.25,40.59,26.11,4875800
2010-05-20,40.11,40.12,39.31,39.31,25.29,5467600
2010-05-21,38.27,39.58,38.27,39.43,25.37,5383500
2010-05-24,39.32,39.67,38.88,38.94,25.05,3249600
2010-05-25,38.24,38.4,37.47,38.38,24.69,7046900
2010-05-26,39.54,39.54,38.01,38.06,24.49,5540800
2010-05-27,38.65,38.91,38.41,38.91,25.03,5236600
2010-05-28,38.91,39.06,38.51,38.6,24.83,4082200
2010-06-01,38.45,38.54,37.62,37.65,24.22,4433000
2010-06-02,37.4,37.94,37.24,37.92,24.4,6349500
2010-06-03,38.04,38.51,37.81,38.41,24.71,5959500
2010-06-04,38.05,38.31,37.5,37.63,24.21,6958900
2010-06-07,37.77,38.42,37.64,37.73,24.27,5024900
2010-06-08,37.98,38.59,37.65,38.5,24.77,7872900
2010-06-09,38.75,38.97,38.26,38.59,24.83,6603800
2010-06-10,39.33,40.05,39.2,40.04,25.76,6668300
2010-06-11,39.82,40.37,39.45,39.89,25.66,4635500
2010-06-14,40.17,40.43,39.96,40.25,25.89,4425900
2010-06-15,40.28,40.93,40.28,40.92,26.33,4162500
2010-06-16,40.76,41.28,40.47,41.2,26.51,4560500
2010-06-17,41.06,41.06,40.14,40.91,26.32,5584100
2010-06-18,40.94,41.33,40.78,41.24,26.53,4694800
2010-06-21,41.6,41.62,40.54,40.75,26.22,3992000
2010-06-22,40.75,40.97,39.62,39.75,25.57,5401500
2010-06-23,39.66,39.75,38.91,39.03,25.11,5638100
2010-06-24,39.07,39.45,38.61,38.65,24.87,5142300
2010-06-25,38.87,38.87,38.11,38.37,24.69,6267300
2010-06-28,38.58,38.99,38.13,38.78,24.95,3297200
2010-06-29,38.53,38.53,37.86,38.07,24.49,4848300
2010-06-30,37.97,38.4,37.84,37.97,24.43,5438500
2010-07-01,38.09,38.18,37.63,38.05,24.48,5851400
2010-07-02,38.22,38.22,37.66,37.88,24.37,3430100
2010-07-06,38.02,38.75,37.96,38.33,24.66,5840100
2010-07-07,38.34,39.82,38.21,39.65,25.51,7164600
2010-07-08,40.11,40.5,39.93,40.49,26.05,5957200
2010-07-09,40.35,40.65,39.86,40.62,26.13,3307600
2010-07-12,40.64,40.91,40.36,40.87,26.29,3988000
2010-07-13,40.96,41.39,40.72,40.98,26.36,3608300
2010-07-14,41.04,41.42,40.76,41.42,26.65,4769200
2010-07-15,41.48,41.89,41.09,41.76,26.87,4564100
2010-07-16,41.57,41.98,41.44,41.48,26.69,6789400
2010-07-19,41.68,41.91,41.28,41.82,26.9,3021300
2010-07-20,41.3,42.59,41.3,42.59,27.4,5114400
2010-07-21,42.71,42.72,41.55,41.95,26.99,4537900
2010-07-22,42.02,42.48,41.47,41.8,26.89,7239500
2010-07-23,41.74,41.74,40.45,41.02,26.39,7087600
2010-07-26,41.28,41.3,40.62,40.94,26.34,4994200
2010-07-27,41.23,41.92,40.83,41.89,26.95,5859900
2010-07-28,41.79,42.42,41.64,42.39,27.27,6537000
2010-07-29,42.68,42.74,41.57,41.93,26.98,7226000
2010-07-30,41.66,42.02,41.26,41.83,26.91,4252500
2010-08-02,42.0,42.47,41.65,42.43,27.3,4633100
2010-08-03,42.23,42.68,42.19,42.42,27.29,3710700
2010-08-04,42.51,42.63,42.06,42.45,27.31,3864500
2010-08-05,42.16,42.37,41.87,42.16,27.12,6144600
2010-08-06,41.91,42.27,41.59,42.17,27.13,4148600
2010-08-09,42.33,42.5,42.12,42.37,27.26,2956700
2010-08-10,42.05,42.94,41.91,42.6,27.41,4086600
2010-08-11,42.32,42.32,41.94,41.99,27.01,4509500
2010-08-12,41.26,41.59,41.06,41.25,26.87,4138500
2010-08-13,41.18,41.72,41.18,41.37,26.95,3301600
2010-08-16,41.19,41.36,40.93,41.21,26.85,2671300
2010-08-17,41.45,41.82,41.32,41.36,26.95,4236500
2010-08-18,41.43,41.45,40.76,41.15,26.81,4137100
2010-08-19,41.01,41.01,40.34,40.56,26.42,4034200
2010-08-20,40.29,40.52,40.14,40.41,26.33,3707500
2010-08-23,40.65,41.12,40.51,40.55,26.42,4388400
2010-08-24,40.27,40.47,40.02,40.05,26.09,6575900
2010-08-25,39.93,40.16,39.52,40.03,26.08,4434200
2010-08-26,40.21,40.39,39.95,40.08,26.11,3467900
2010-08-27,40.27,40.9,39.93,40.76,26.55,3433300
2010-08-30,40.63,40.92,40.45,40.52,26.4,3086300
2010-08-31,40.4,40.86,40.05,40.72,26.53,4996800
2010-09-01,41.1,41.72,40.81,41.66,27.14,3939700
2010-09-02,41.86,41.9,41.28,41.72,27.18,3831500
2010-09-03,41.98,42.29,41.75,42.22,27.51,3998100
2010-09-07,41.99,42.27,41.71,41.75,27.2,3426000
2010-09-08,41.87,42.25,41.82,41.95,27.33,3587200
2010-09-09,42.17,42.6,42.17,42.48,27.68,3240000
2010-09-10,42.66,42.96,42.4,42.82,27.9,3970300
2010-09-13,43.07,43.13,42.65,42.68,27.81,4471100
2010-09-14,42.69,42.72,42.18,42.23,27.51,4176000
2010-09-15,42.17,42.44,42.0,42.29,27.55,2670900
2010-09-16,42.23,42.27,41.89,42.14,27.45,2413800
2010-09-17,42.41,42.41,41.89,42.11,27.43,6431100
2010-09-20,42.18,42.78,42.13,42.74,27.84,2844300
2010-09-21,42.67,42.72,42.23,42.35,27.59,3791900
2010-09-22,42.37,43.15,42.37,42.92,27.96,4036100
2010-09-23,42.75,42.75,42.2,42.26,27.53,3922800
2010-09-24,42.63,43.2,42.61,42.98,28.0,3104900
2010-09-27,43.06,43.32,42.98,43.09,28.07,2277900
2010-09-28,43.16,43.3,42.77,43.04,28.04,2641300
2010-09-29,42.89,42.95,42.55,42.82,27.9,2392700
2010-09-30,43.0,43.09,42.38,42.58,27.74,3384600
2010-10-01,42.9,43.07,42.55,43.03,28.03,3870400
2010-10-04,42.92,43.23,42.45,42.71,27.83,3049700
2010-10-05,42.99,43.0,42.48,42.91,27.96,5316000
2010-10-06,42.84,42.96,42.49,42.85,27.92,3510600
2010-10-07,42.97,43.08,42.73,42.92,27.96,2091300
2010-10-08,43.04,43.22,42.78,43.2,28.14,2920800
2010-10-11,43.15,43.38,42.96,43.2,28.14,2243000
2010-10-12,43.21,43.22,42.8,43.03,28.03,2685000
2010-10-13,43.34,43.38,43.0,43.19,28.14,3769500
2010-10-14,43.21,43.38,42.77,43.02,28.03,2955500
2010-10-15,43.23,43.32,42.88,43.15,28.11,4192900
2010-10-18,43.31,44.08,43.2,44.01,28.67,8179900
2010-10-19,43.65,44.23,43.59,43.74,28.5,5310500
2010-10-20,43.8,44.49,43.79,44.28,28.85,3507900
2010-10-21,44.38,44.49,43.33,43.52,28.35,5911700
2010-10-22,43.52,43.52,41.86,42.0,27.36,9005700
