Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,52.96,53.2,51.42,51.46,33.89,1198500
2010-01-04,51.42,51.82,50.84,51.64,34.01,2186500
2010-01-05,51.5,52.06,50.66,51.86,34.16,2431800
2010-01-06,51.46,51.76,48.98,49.2,32.4,3880000
2010-01-07,49.56,49.8,48.24,48.94,32.23,1777300
2010-01-08,49.2,49.2,47.8,48.48,31.93,2264300
2010-01-11,48.74,48.9,47.52,48.06,31.65,2786600
2010-01-12,47.68,47.84,46.3,46.56,30.67,2158500
2010-01-13,46.72,47.38,45.74,47.14,31.05,2268000
2010-01-14,46.8,48.04,46.04,46.12,30.38,2316900
2010-01-15,46.18,46.64,45.14,45.46,29.94,1785600
2010-01-19,45.42,45.72,44.94,45.5,29.97,2119700
2010-01-20,44.98,45.46,44.02,44.44,29.27,1899200
2010-01-21,44.56,45.54,43.1,44.46,29.28,1955800
2010-01-22,44.34,44.6,43.2,43.54,28.68,2795600
2010-01-25,43.64,44.1,43.42,43.46,28.62,1979700
2010-01-26,43.22,44.88,43.16,44.34,29.2,2118800
2010-01-27,44.02,44.66,43.48,44.24,29.14,1608100
2010-01-28,44.46,45.06,42.8,43.36,28.56,1969300
2010-01-29,43.64,44.42,42.6,42.82,28.2,2480400
2010-02-01,43.02,44.4,42.76,44.2,29.11,2002000
2010-02-02,44.28,44.52,43.32,44.14,29.07,1748200
2010-02-03,43.86,44.32,43.3,44.22,29.12,1382500
2010-02-04,44.18,44.22,42.72,42.8,28.19,1807900
2010-02-05,42.78,43.04,41.56,42.52,28.01,2468500
2010-02-08,42.42,43.8,42.38,42.84,28.22,1393500
2010-02-09,43.52,44.1,42.98,43.76,28.82,2003700
2010-02-10,43.66,45.0,43.4,44.48,29.3,3673900
2010-02-11,42.14,43.1,40.34,42.54,28.02,10262700
2010-02-12,42.62,42.98,41.06,42.7,28.12,3157000
2010-02-16,42.96,44.52,42.7,44.36,29.22,2750000
2010-02-17,44.54,44.78,43.6,43.76,28.82,3859300
2010-02-18,43.74,45.86,43.58,45.7,30.1,3083600
2010-02-19,45.62,45.98,45.12,45.18,29.76,2253000
2010-02-22,45.28,45.44,44.5,44.76,29.48,2197600
2010-02-23,44.58,45.34,43.82,44.84,29.53,2376500
2010-02-24,45.18,45.76,44.78,45.26,29.81,1778400
2010-02-25,44.76,45.0,44.1,44.8,29.51,2322000
2010-02-26,44.68,44.98,44.08,44.48,29.3,3165700
2010-03-01,44.68,46.4,44.34,46.26,30.47,2556500
2010-03-02,46.22,46.7,45.98,46.22,30.44,2593600
2010-03-03,46.3,46.42,45.46,45.74,30.13,2600900
2010-03-04,45.64,46.24,45.22,46.14,30.39,1304100
2010-03-05,46.0,46.76,45.86,46.46,30.6,1742200
2010-03-08,46.06,46.6,45.96,46.26,30.47,1105700
2010-03-09,45.8,46.44,45.56,45.9,30.32,1325200
2010-03-10,45.86,46.54,45.52,46.02,30.4,2161200
2010-03-11,45.7,45.9,44.76,45.8,30.26,2185900
2010-03-12,45.9,45.9,44.56,44.62,29.48,2466000
2010-03-15,44.64,45.38,44.32,45.26,29.9,2054800
2010-03-16,45.26,45.7,44.6,45.52,30.07,2783700
2010-03-17,45.98,46.24,45.64,45.8,30.26,1798400
2010-03-18,45.22,45.96,45.14,45.4,29.99,1788200
2010-03-19,45.38,45.78,45.06,45.38,29.98,3214500
2010-03-22,45.32,46.94,44.66,46.9,30.98,3318500
2010-03-23,46.52,46.92,45.42,45.82,30.27,3202300
2010-03-24,45.6,46.14,45.42,45.6,30.12,1475200
2010-03-25,45.84,46.62,45.66,45.76,30.23,1834400
2010-03-26,45.92,46.3,45.28,45.88,30.31,2250500
2010-03-29,45.9,49.74,45.84,48.7,32.17,5285000
2010-03-30,48.46,49.44,48.4,48.72,32.19,2429900
2010-03-31,48.62,50.4,48.32,49.9,32.97,3200100
2010-04-01,50.06,50.42,48.76,48.86,32.28,2095900
2010-04-05,48.88,50.18,48.64,50.08,33.08,1948700
2010-04-06,49.72,51.36,49.5,50.58,33.41,3204800
2010-04-07,50.68,51.18,49.5,49.88,32.95,2423900
2010-04-08,49.88,50.08,48.88,49.46,32.67,2442700
2010-04-09,49.58,49.9,48.92,49.14,32.46,1273000
2010-04-12,50.6,51.22,49.14,50.36,33.27,2697700
2010-04-13,52.0,52.18,50.02,50.1,33.1,4927200
2010-04-14,50.18,51.42,50.18,50.96,33.67,3872900
2010-04-15,51.18,51.78,50.62,50.76,33.53,2977500
2010-04-16,50.54,51.1,49.44,49.7,32.83,3282600
2010-04-19,49.26,49.86,48.56,49.42,32.65,2491100
2010-04-20,49.78,50.58,49.52,50.12,33.11,1396900
2010-04-21,49.88,50.22,49.0,49.26,32.54,2352000
2010-04-22,48.52,49.52,48.18,49.06,32.41,2497800
2010-04-23,49.0,49.4,48.16,48.36,31.95,2624200
2010-04-26,48.34,50.26,48.22,49.26,32.54,2226700
2010-04-27,48.78,49.96,47.06,47.36,31.29,3783600
2010-04-28,47.5,47.98,46.7,47.0,31.05,2125400
2010-04-29,47.2,49.8,47.2,49.02,32.38,3941700
2010-04-30,49.98,49.98,46.56,47.22,31.2,5419300
2010-05-03,47.22,48.54,47.22,48.32,31.92,3109600
