Date,Open,High,Low,Close,Adj Close,Volume
2012-10-12,17.82,18.28,17.5,17.5,16.72,6467100
2012-10-15,17.55,17.83,17.5,17.75,16.95,633100
2012-10-16,17.57,17.95,17.25,17.79,16.99,180300
2012-10-17,17.7,18.07,17.5,17.7,16.91,121000
2012-10-18,17.6,17.87,17.52,17.7,16.91,146100
2012-10-19,17.72,17.8,17.41,17.41,16.63,298100
2012-10-22,17.5,17.51,16.93,17.03,16.27,359800
2012-10-23,16.85,17.3,16.75,17.13,16.36,166100
2012-10-24,16.92,17.47,16.92,17.39,16.61,158200
2012-10-25,17.98,17.98,16.25,17.03,16.27,206900
2012-10-26,17.51,17.51,16.6,17.14,16.37,199500
2012-10-31,16.5,17.03,16.5,17.03,16.27,36400
2012-11-01,17.1,17.48,16.51,17.23,16.46,203000
2012-11-02,16.99,17.23,16.56,17.0,16.24,72100
2012-11-05,16.79,17.0,16.5,16.71,15.96,33300
2012-11-06,16.52,17.48,16.09,17.01,16.25,370600
2012-11-07,16.75,17.4,16.75,17.06,16.3,155800
2012-11-08,16.29,17.27,16.29,16.75,16.0,141600
2012-11-09,16.33,16.94,16.33,16.55,15.81,209600
2012-11-12,16.46,16.55,16.36,16.5,15.76,12800
2012-11-13,16.52,16.76,15.97,16.04,15.32,47600
2012-11-14,15.97,16.47,15.65,16.05,15.33,123400
2012-11-15,16.38,17.26,15.71,16.7,15.95,367000
2012-11-16,16.91,17.69,16.27,16.82,16.07,104600
2012-11-19,16.85,17.25,16.5,17.12,16.35,77200
2012-11-20,17.14,17.29,16.83,17.13,16.36,251400
2012-11-21,17.12,17.48,16.85,17.2,16.43,33100
2012-11-23,17.25,17.55,17.06,17.32,16.54,94000
2012-11-26,17.3,17.42,17.06,17.26,16.49,77400
2012-11-27,17.07,17.33,16.93,17.23,16.46,55800
2012-11-28,17.45,17.49,16.98,17.25,16.48,94000
2012-11-29,17.46,18.35,17.2,18.16,17.35,164400
2012-11-30,18.44,18.48,17.77,18.0,17.19,44200
2012-12-03,18.01,18.5,17.39,18.1,17.29,47600
2012-12-04,18.23,18.23,17.41,17.83,17.03,30100
2012-12-05,17.58,18.1,17.58,17.98,17.17,33000
2012-12-06,17.76,17.78,17.32,17.62,16.83,41900
2012-12-07,17.68,17.85,17.6,17.75,16.95,42500
2012-12-10,17.89,17.92,17.36,17.62,16.83,72300
2012-12-11,17.41,17.84,17.2,17.54,16.75,72200
2012-12-12,17.47,17.78,17.47,17.64,16.85,58000
2012-12-13,17.41,17.98,17.29,17.88,17.08,135900
2012-12-14,17.43,17.65,17.25,17.57,16.78,44700
2012-12-17,17.66,18.5,17.5,17.98,17.17,107600
2012-12-18,17.93,19.25,17.7,18.8,17.96,142600
2012-12-19,18.8,19.89,18.13,19.18,18.32,192600
2012-12-20,18.95,19.02,18.44,19.02,18.17,200500
2012-12-21,18.62,19.18,17.68,18.98,18.13,1936500
2012-12-24,19.05,19.45,18.01,18.64,17.8,159000
2012-12-26,18.75,19.0,18.27,18.65,17.81,81300
2012-12-27,18.57,19.49,18.39,18.54,17.71,162100
2012-12-28,18.41,18.92,18.31,18.78,17.94,66400
2012-12-31,18.74,19.22,18.57,19.12,18.26,125600
2013-01-02,19.46,19.92,18.6,19.24,18.38,189700
2013-01-03,19.24,19.46,18.65,19.14,18.28,89100
2013-01-04,19.25,20.49,18.97,20.05,19.15,173300
2013-01-07,19.89,21.24,19.64,20.77,19.84,210300
2013-01-08,20.69,21.1,20.38,20.6,19.68,229400
2013-01-09,20.71,20.97,20.4,20.47,19.55,171800
2013-01-10,20.54,21.99,20.34,21.63,20.66,235200
2013-01-11,21.6,21.78,20.55,21.67,20.7,166300
2013-01-14,21.68,22.47,21.68,21.8,20.82,130400
2013-01-15,21.67,22.9,21.17,21.72,20.75,59300
2013-01-16,21.08,21.52,20.06,21.28,20.33,239500
2013-01-17,21.37,21.81,20.76,21.12,20.17,129800
2013-01-18,21.17,21.79,20.31,20.54,19.62,119400
2013-01-22,20.6,21.89,20.6,21.79,20.81,160100
2013-01-23,21.74,21.74,20.95,21.43,20.47,42700
2013-01-24,21.24,22.59,21.19,21.43,20.47,114500
2013-01-25,21.55,22.71,21.55,22.0,21.01,71200
2013-01-28,22.2,22.25,21.34,21.64,20.67,91000
2013-01-29,21.68,22.16,21.63,22.13,21.14,113700
2013-01-30,22.04,22.88,22.04,22.67,21.65,340500
2013-01-31,22.53,22.53,21.55,22.42,21.41,260400
2013-02-01,22.56,22.95,22.36,22.7,21.68,93600
2013-02-04,22.65,22.71,21.85,22.54,21.53,80100
2013-02-05,22.58,22.65,22.16,22.63,21.62,38700
2013-02-06,22.49,22.83,22.21,22.63,21.62,136100
2013-02-07,22.06,22.69,22.0,22.42,21.41,61300
2013-02-08,22.39,22.75,22.04,22.05,21.06,96400
2013-02-11,22.13,22.13,21.3,21.56,20.59,59100
2013-02-12,21.52,21.76,21.05,21.57,20.6,154700
2013-02-13,21.55,22.01,21.23,21.56,20.59,321700
2013-02-14,21.55,22.93,21.55,22.0,21.01,379500
2013-02-15,22.07,22.65,21.7,22.3,21.3,146500
2013-02-19,22.32,22.82,22.23,22.82,21.8,102000
2013-02-20,22.81,23.28,21.21,21.28,20.33,96200
2013-02-21,21.29,21.29,20.55,20.73,19.8,76900
2013-02-22,22.25,22.63,20.23,20.98,20.04,310600
2013-02-25,21.0,21.08,19.57,19.74,18.85,167600
2013-02-26,19.84,20.52,19.7,20.05,19.15,119300
2013-02-27,20.09,21.5,19.85,20.96,20.02,158500
2013-02-28,20.98,23.31,20.2,22.71,21.69,205000
2013-03-01,22.5,22.81,21.91,22.34,21.34,46000
2013-03-04,22.37,22.87,21.83,22.39,21.39,39000
2013-03-05,22.41,23.88,22.39,23.7,22.64,108700
2013-03-06,23.83,24.03,23.38,23.55,22.49,13800
2013-03-07,23.5,24.89,22.53,24.51,23.41,129700
2013-03-08,24.77,24.96,23.89,24.9,23.78,127200
2013-03-11,24.92,24.99,24.08,24.49,23.39,218100
2013-03-12,24.52,24.99,24.3,24.93,23.81,107300
2013-03-13,24.87,26.39,24.67,25.75,24.6,308800
2013-03-14,25.86,25.86,24.22,24.86,23.75,153000
2013-03-15,24.92,24.96,23.5,24.15,23.07,186000
2013-03-18,23.87,24.55,23.63,23.99,22.91,38800
2013-03-19,24.23,25.14,23.57,23.76,22.69,87200
2013-03-20,24.04,24.3,23.65,24.0,22.92,81000
2013-03-21,23.92,24.47,23.89,24.31,23.22,133000
2013-03-22,24.39,24.62,24.24,24.55,23.45,48100
2013-03-25,24.69,25.33,24.62,25.2,24.07,197000
2013-03-26,25.23,25.87,25.08,25.65,24.5,191400
2013-03-27,25.44,26.27,25.44,26.11,24.94,83600
2013-03-28,26.24,27.21,26.04,26.84,25.64,157500
2013-04-01,26.93,27.97,26.93,27.4,26.17,216600
2013-04-02,27.47,27.89,26.75,27.04,25.83,493300
2013-04-03,27.05,27.05,24.48,24.92,23.8,526600
2013-04-04,24.87,25.27,23.83,25.05,23.93,135100
2013-04-05,24.69,25.37,24.57,25.18,24.05,56400
2013-04-08,25.17,26.35,25.02,26.05,24.88,144200
2013-04-09,26.3,27.39,26.14,26.76,25.56,285300
2013-04-10,26.75,27.24,25.92,26.08,24.91,230100
2013-04-11,26.14,26.7,25.1,26.5,25.31,165600
2013-04-12,26.5,27.05,26.23,26.63,25.44,275800
2013-04-15,26.36,26.36,25.01,25.8,24.64,378800
2013-04-16,26.07,26.77,25.86,26.74,25.54,166300
