Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,40.79,40.84,40.15,40.15,30.84,8927000
2010-01-04,41.31,41.8,41.28,41.73,32.06,18082400
2010-01-05,41.76,42.25,41.56,41.98,32.25,17313000
2010-01-06,42.43,43.99,42.38,43.65,33.53,30691200
2010-01-07,43.26,43.4,42.51,42.82,32.89,19499200
2010-01-08,42.97,44.1,42.4,44.05,33.84,21313200
2010-01-11,44.99,45.28,43.54,44.04,33.83,30931200
2010-01-12,43.22,43.31,41.74,42.38,32.56,34166200
2010-01-13,42.65,43.21,41.53,43.08,33.15,24544200
2010-01-14,43.19,43.35,42.26,42.54,32.74,18682000
2010-01-15,42.5,42.83,41.99,42.15,32.44,25934600
2010-01-19,42.36,42.4,41.7,42.3,32.55,22939000
2010-01-20,41.57,42.03,40.6,41.76,32.14,34635200
2010-01-21,41.4,41.45,38.0,38.14,29.35,68719000
2010-01-22,36.92,38.72,36.28,37.12,28.56,60624000
2010-01-25,37.62,38.04,37.16,37.3,28.7,32659400
2010-01-26,36.74,36.99,35.78,35.99,27.7,43102200
2010-01-27,35.63,36.18,34.4,35.62,27.41,48933000
2010-01-28,36.29,36.38,33.9,34.41,26.48,63485400
2010-01-29,34.92,35.64,33.1,33.35,25.66,51175800
2010-02-01,34.06,35.82,34.03,35.79,27.55,48838400
2010-02-02,36.63,36.83,35.59,36.26,27.9,51272800
2010-02-03,35.86,36.6,34.83,35.23,27.11,46245000
2010-02-04,34.26,34.49,33.25,33.37,25.68,53760000
2010-02-05,33.37,35.15,33.01,35.12,27.02,74929200
2010-02-08,35.38,35.99,34.46,34.6,26.63,47861200
2010-02-09,35.56,36.47,35.4,35.79,27.54,50452200
2010-02-10,35.61,35.9,34.58,35.51,27.33,38632600
2010-02-11,35.84,37.37,35.46,37.08,28.54,45849600
2010-02-12,36.21,36.92,35.76,36.84,28.35,43061200
2010-02-16,37.81,38.03,37.42,37.97,29.22,34512000
2010-02-17,38.17,38.32,36.94,37.56,28.9,32796400
2010-02-18,37.31,38.4,37.28,38.3,29.47,37814200
2010-02-19,38.0,38.94,37.92,38.58,29.69,30220200
2010-02-22,38.76,38.85,38.08,38.12,29.33,24424000
2010-02-23,37.83,38.08,36.53,36.82,28.33,35785800
2010-02-24,36.79,37.22,35.96,36.34,27.97,34098200
2010-02-25,35.33,37.12,35.19,37.03,28.5,42673600
2010-02-26,37.21,37.62,36.46,37.58,28.92,26165600
2010-03-01,38.58,38.65,37.68,38.22,29.42,30067200
2010-03-02,38.49,39.33,38.12,38.99,30.0,36969600
2010-03-03,39.72,40.19,39.42,39.62,30.49,34036600
2010-03-04,39.65,39.83,38.95,39.42,30.34,26113400
2010-03-05,39.93,40.5,39.65,40.35,31.05,30796000
2010-03-08,40.55,40.83,40.1,40.31,31.02,22415600
2010-03-09,39.87,40.38,39.62,39.88,30.69,25750000
2010-03-10,40.12,40.65,39.65,40.04,30.81,30947800
2010-03-11,39.72,40.28,39.33,40.25,30.97,25444800
2010-03-12,40.6,40.74,40.14,40.26,30.99,20679000
2010-03-15,39.81,40.42,39.5,40.33,31.04,23122600
2010-03-16,40.76,41.22,40.72,41.1,31.62,25932800
2010-03-17,41.26,41.5,40.5,40.62,31.25,23936800
2010-03-18,40.59,41.22,40.02,40.13,30.89,23412200
2010-03-19,39.26,40.48,39.06,39.26,30.21,31220800
2010-03-22,38.62,39.96,38.38,39.9,30.7,28113600
2010-03-23,39.81,40.57,39.61,40.54,31.2,25375600
2010-03-24,39.85,40.44,39.78,39.9,30.7,21712000
2010-03-25,40.35,40.46,38.87,38.96,29.98,26994800
2010-03-26,39.3,39.97,39.1,39.58,30.46,23495000
2010-03-29,40.47,41.49,40.25,41.44,31.89,34633000
2010-03-30,41.58,42.45,41.51,41.83,32.19,27978800
2010-03-31,41.71,42.13,41.56,41.77,32.14,16508200
2010-04-01,42.44,43.15,42.38,43.14,33.2,27572000
2010-04-05,43.42,43.94,42.97,43.67,33.6,21963200
2010-04-06,43.51,44.15,43.34,43.67,33.6,21875400
2010-04-07,43.78,43.85,42.46,42.97,33.06,26689400
2010-04-08,42.55,43.06,42.13,43.03,33.11,21001000
2010-04-09,43.33,43.47,42.25,42.83,32.96,19509600
2010-04-12,42.49,42.99,42.01,42.2,32.47,20818600
2010-04-13,42.11,42.49,41.71,42.38,32.68,20826000
2010-04-14,42.83,43.05,42.45,42.68,32.9,16482800
2010-04-15,42.51,42.67,42.02,42.11,32.46,13877400
2010-04-16,41.79,42.06,40.34,40.59,31.29,29730000
2010-04-19,40.15,40.63,39.35,40.4,31.14,27287000
2010-04-20,40.85,41.1,40.38,40.4,31.14,19248400
2010-04-21,40.49,40.53,38.27,39.21,30.22,50810200
2010-04-22,38.86,40.28,38.6,40.25,31.03,32155400
2010-04-23,40.41,40.46,39.46,39.78,30.67,26852400
2010-04-26,40.14,40.83,40.09,40.2,30.99,19466800
2010-04-27,39.6,39.6,37.85,38.08,29.35,38098800
2010-04-28,38.55,38.82,37.67,38.24,29.48,26550800
2010-04-29,38.5,39.08,38.38,38.86,29.96,27931600
2010-04-30,39.23,39.34,37.55,37.76,29.11,24533200
2010-05-03,37.8,38.13,36.01,36.87,28.42,35163400
2010-05-04,35.94,35.94,34.7,35.24,27.17,43716600
2010-05-05,33.99,36.22,33.96,35.22,27.15,45503000
2010-05-06,35.25,36.35,32.5,34.51,26.61,54964800
2010-05-07,34.96,35.06,32.62,33.79,26.05,63805800
2010-05-10,35.48,36.74,35.19,36.25,27.95,39485200
2010-05-11,35.56,36.23,35.1,35.12,27.07,37039400
2010-05-12,35.78,36.55,35.56,36.5,28.14,55750800
2010-05-13,36.58,36.83,35.69,35.85,27.64,29487600
2010-05-14,35.03,35.32,33.95,34.86,26.87,30749800
2010-05-17,34.67,34.9,33.03,33.99,26.2,39625600
2010-05-18,34.72,35.48,33.6,33.67,25.96,38001600
2010-05-19,33.08,34.14,32.62,33.85,26.09,41645800
2010-05-20,32.83,32.95,31.59,31.81,24.52,56704000
2010-05-21,31.39,33.92,31.34,33.51,25.83,53901000
2010-05-24,33.66,34.04,32.74,32.78,25.27,31852000
2010-05-25,31.71,33.88,31.39,33.81,26.06,44195200
2010-05-26,34.97,35.0,33.25,33.29,25.67,36043200
2010-05-27,34.69,35.55,34.26,35.53,27.39,30256600
2010-05-28,35.58,35.67,34.62,35.03,27.0,23558000
2010-06-01,34.56,34.74,33.22,33.24,25.63,26207000
2010-06-02,33.53,34.52,33.02,34.51,26.6,23713600
2010-06-03,34.85,34.86,32.51,33.08,25.51,33401800
2010-06-04,32.1,32.72,31.26,31.41,24.21,29964200
2010-06-07,31.4,31.5,29.12,29.33,22.61,44684800
2010-06-08,29.54,30.77,29.42,30.74,23.7,44871000
2010-06-09,31.45,31.94,30.12,30.38,23.42,32151400
2010-06-10,31.32,32.22,31.28,32.18,24.81,27765600
2010-06-11,32.04,32.77,31.85,32.47,25.03,22096800
2010-06-14,33.43,33.54,32.62,32.63,25.15,23427000
2010-06-15,33.01,33.58,32.44,33.53,25.84,19932400
2010-06-16,33.08,33.88,32.88,33.51,25.84,18941600
2010-06-17,33.38,33.47,32.31,32.9,25.37,22525800
2010-06-18,32.94,33.14,32.58,32.95,25.4,19768000
2010-06-21,34.6,34.99,33.88,34.04,26.24,39983800
2010-06-22,34.13,34.15,32.51,32.6,25.13,26925800
2010-06-23,32.47,32.76,31.45,32.53,25.08,29363800
2010-06-24,32.41,32.53,31.67,31.72,24.45,24658000
2010-06-25,31.89,33.42,31.59,33.28,25.66,34024600
2010-06-28,33.07,33.17,32.12,32.33,24.92,28057000
2010-06-29,31.39,31.71,30.25,30.53,23.54,28802400
2010-06-30,30.61,30.85,29.45,29.57,22.79,27159400
2010-07-01,29.59,30.12,28.35,29.09,22.43,36089600
2010-07-02,29.64,29.83,28.94,29.27,22.56,20193400
2010-07-06,30.3,30.84,29.19,29.59,22.82,25534000
2010-07-07,29.94,31.48,29.62,31.48,24.27,28123000
2010-07-08,31.88,32.19,31.08,31.58,24.35,25789000
2010-07-09,31.57,33.07,31.44,32.99,25.43,23761000
2010-07-12,32.63,32.72,31.28,31.61,24.37,33955800
2010-07-13,32.38,32.48,31.61,32.06,24.83,23331800
2010-07-14,31.86,32.36,31.5,31.83,24.66,21064200
2010-07-15,31.87,31.88,30.92,31.58,24.47,22153800
2010-07-16,31.32,31.48,29.95,30.04,23.27,27888200
2010-07-19,30.24,30.72,30.0,30.43,23.57,17759200
2010-07-20,30.33,32.56,30.23,32.16,24.91,33648000
2010-07-21,33.79,34.18,32.72,33.03,25.58,45624000
