Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,84.21,84.74,83.3,83.45,76.21,1984200
2010-01-04,84.21,85.0,83.11,83.45,76.21,3215100
2010-01-05,83.44,84.59,82.64,84.54,77.21,2493300
2010-01-06,84.33,85.12,83.61,83.84,76.57,2491000
2010-01-07,83.85,83.85,82.4,82.93,75.74,3093200
2010-01-08,84.08,85.26,82.95,84.99,77.62,4351200
2010-01-11,85.59,88.29,85.4,87.25,79.68,6131900
2010-01-12,86.44,88.68,85.6,86.58,79.07,3345100
2010-01-13,86.95,87.33,85.15,85.82,78.38,2855700
2010-01-14,85.58,86.45,85.09,86.29,78.81,2104300
2010-01-15,86.34,86.8,84.93,85.11,77.73,4369700
2010-01-19,84.97,86.26,84.97,85.9,78.45,2289200
2010-01-20,84.75,84.8,83.08,84.06,76.77,2793100
2010-01-21,84.35,84.48,81.3,81.6,74.52,2865500
2010-01-22,81.32,81.86,80.19,80.29,73.33,2551800
2010-01-25,81.22,81.22,79.15,80.69,73.69,1878500
2010-01-26,80.46,81.23,79.51,80.76,73.76,2272300
2010-01-27,80.75,80.77,78.61,80.42,73.45,3523900
2010-01-28,80.98,80.98,78.39,79.07,72.21,1974200
2010-01-29,79.68,80.7,78.3,78.35,71.56,3139500
2010-02-01,78.81,80.73,78.76,80.67,73.67,3056600
2010-02-02,81.07,82.55,80.36,82.33,75.19,3217400
2010-02-03,81.66,82.85,80.91,82.12,75.0,2593700
2010-02-04,81.36,81.74,78.75,78.85,72.01,3830100
2010-02-05,78.85,79.25,75.17,76.69,70.04,5535300
2010-02-08,76.82,77.77,75.31,76.69,70.04,2966800
2010-02-09,77.27,79.72,76.96,79.22,72.35,4694400
2010-02-10,79.16,79.29,77.52,78.29,71.5,2196800
2010-02-11,78.38,79.78,77.44,79.53,72.63,2272800
2010-02-12,78.4,78.68,77.51,78.55,71.74,2902000
2010-02-16,78.92,80.2,78.92,79.97,73.03,2649200
2010-02-17,79.9,80.49,78.93,79.94,73.01,2484400
2010-02-18,79.63,80.39,79.37,80.1,73.15,1714300
2010-02-19,80.1,82.44,80.1,81.76,74.67,3000000
2010-02-22,82.25,83.14,81.52,82.36,75.22,2218800
2010-02-23,82.06,83.12,80.92,81.49,74.42,2217300
2010-02-24,81.73,83.61,81.73,83.08,75.88,3083400
2010-02-25,81.54,83.27,80.27,83.18,75.97,3007100
2010-02-26,83.13,84.98,82.32,84.76,77.41,3030000
2010-03-01,84.92,86.45,84.83,85.81,78.37,2419000
2010-03-02,86.44,87.12,85.21,85.41,78.0,3169300
2010-03-03,85.82,87.8,85.66,86.14,78.67,3579600
2010-03-04,87.23,87.48,85.47,86.36,78.87,2448200
2010-03-05,87.02,87.75,86.63,86.95,79.41,1817600
2010-03-08,87.26,87.54,86.14,86.67,79.15,1924700
2010-03-09,86.48,87.34,85.64,86.85,79.42,2023300
2010-03-10,87.01,88.34,86.88,87.26,79.79,2557400
2010-03-11,86.61,87.0,85.64,86.49,79.09,4330500
2010-03-12,86.53,86.69,84.8,86.18,78.81,3605200
2010-03-15,86.2,87.83,86.15,87.83,80.32,2509100
2010-03-16,88.04,88.94,87.68,88.63,81.05,2798400
2010-03-17,89.05,90.51,89.05,89.8,82.12,4885800
2010-03-18,87.85,92.96,87.0,92.67,84.74,13233200
2010-03-19,91.05,92.17,90.36,91.05,83.26,5613000
2010-03-22,90.5,91.0,89.52,89.68,82.01,3904200
2010-03-23,89.66,92.01,89.64,91.63,83.79,4116000
2010-03-24,91.42,91.5,90.1,90.24,82.52,4458000
2010-03-25,91.18,91.94,90.01,90.94,83.16,5720000
2010-03-26,91.19,91.88,90.34,91.35,83.53,3777100
2010-03-29,91.75,92.43,90.84,92.23,84.34,3423400
2010-03-30,92.52,93.23,91.68,92.82,84.88,3979900
2010-03-31,92.17,93.66,91.6,93.4,85.41,4168500
2010-04-01,94.01,94.53,91.69,92.17,84.28,2527800
2010-04-05,92.12,92.63,91.66,92.46,84.55,2091900
2010-04-06,92.09,92.84,91.76,92.37,84.47,1794300
2010-04-07,92.03,92.35,90.2,90.67,82.91,2522400
2010-04-08,90.45,90.94,89.82,90.72,82.96,2344000
2010-04-09,90.48,91.64,90.28,91.26,83.45,1876000
2010-04-12,91.07,91.7,90.57,90.82,83.05,1542300
2010-04-13,90.69,90.95,89.92,90.72,82.96,1358600
2010-04-14,91.12,94.23,90.77,94.01,85.97,4753400
2010-04-15,95.3,97.75,95.3,95.62,87.44,4342800
2010-04-16,95.24,95.39,93.41,93.87,85.84,3812200
2010-04-19,93.32,94.27,91.93,92.55,84.63,2866100
2010-04-20,93.34,93.56,91.55,92.04,84.17,3546600
2010-04-21,91.98,92.5,91.12,91.5,83.67,2628500
2010-04-22,91.01,91.94,89.9,91.71,83.86,3302100
2010-04-23,91.93,92.83,91.3,92.81,84.87,2879700
2010-04-26,93.03,93.99,92.27,92.5,84.59,2075900
2010-04-27,91.73,92.71,89.43,89.72,82.04,2996400
2010-04-28,90.37,91.42,89.66,90.84,83.07,2439400
2010-04-29,91.47,92.8,91.28,92.58,84.66,2325600
2010-04-30,92.42,93.8,89.9,90.01,82.31,2653600
2010-05-03,90.68,92.74,90.32,92.47,84.56,2985000
2010-05-04,91.03,91.24,88.34,89.37,81.72,3572300
2010-05-05,88.45,89.64,87.85,88.56,80.98,2224600
2010-05-06,87.95,89.28,81.5,85.99,78.63,4072400
2010-05-07,86.16,86.16,81.8,83.14,76.03,4864000
2010-05-10,87.03,88.46,86.1,87.72,80.21,3517000
2010-05-11,86.93,89.62,86.32,88.11,80.57,2894900
2010-05-12,88.62,89.92,88.0,89.76,82.08,1779400
2010-05-13,89.35,89.62,87.67,87.98,80.45,1891100
2010-05-14,87.3,87.42,85.01,85.91,78.56,2682100
2010-05-17,86.13,86.96,84.0,85.89,78.54,2356000
2010-05-18,85.96,86.82,83.77,84.06,76.87,3215000
2010-05-19,83.27,84.71,82.12,84.09,76.9,2960600
2010-05-20,82.55,83.17,81.02,81.1,74.16,3747500
2010-05-21,80.14,83.35,79.41,83.06,75.95,4250000
2010-05-24,82.66,83.47,81.41,81.47,74.5,2364300
2010-05-25,79.11,80.89,78.29,80.71,73.8,4349900
2010-05-26,81.44,82.71,81.01,81.64,74.65,3179400
2010-05-27,83.16,84.29,82.13,84.16,76.96,2609600
2010-05-28,84.04,84.63,82.67,83.49,76.35,2313900
2010-06-01,82.49,83.41,81.2,81.29,74.33,2904400
2010-06-02,81.93,83.41,81.49,83.32,76.19,2242000
2010-06-03,83.84,84.85,82.66,83.98,76.79,2195100
2010-06-04,82.21,82.62,78.84,79.37,72.58,3875300
2010-06-07,79.93,79.93,76.45,76.52,69.97,4042700
2010-06-08,77.07,79.01,76.03,78.68,71.95,3405300
2010-06-09,79.38,80.25,77.12,77.55,70.91,3436000
2010-06-10,79.14,80.34,78.65,80.26,73.39,2725300
2010-06-11,79.53,80.74,78.82,80.63,73.73,2406100
2010-06-14,81.18,82.5,80.75,81.47,74.5,3507100
2010-06-15,82.1,83.15,81.63,83.01,76.02,3561500
2010-06-16,81.4,82.05,77.92,78.07,71.5,15058000
2010-06-17,78.5,78.52,77.13,78.11,71.53,7910200
2010-06-18,78.47,78.82,77.91,78.7,72.07,3733300
2010-06-21,79.69,80.09,78.02,78.58,71.96,3346100
2010-06-22,78.52,78.96,75.88,76.2,69.78,4665900
2010-06-23,76.43,77.22,75.44,76.59,70.14,4015900
2010-06-24,76.22,77.33,75.69,75.96,69.56,4112700
2010-06-25,76.12,76.24,74.42,75.96,69.56,8014300
2010-06-28,75.8,76.55,74.93,75.13,68.8,3176200
2010-06-29,74.01,74.27,70.94,71.51,65.49,5349400
2010-06-30,71.47,71.9,69.98,70.11,64.21,4570400
2010-07-01,70.71,72.19,69.78,72.0,65.94,6562400
2010-07-02,72.39,72.6,71.02,71.41,65.4,4719000
2010-07-06,72.23,72.71,70.06,70.7,64.75,5745100
2010-07-07,71.0,72.91,70.57,72.89,66.75,4839800
2010-07-08,73.49,74.44,72.63,73.68,67.48,3219300
2010-07-09,73.87,74.36,72.52,74.22,67.97,3500500
2010-07-12,75.21,75.4,73.58,74.16,67.91,2902600
2010-07-13,75.16,77.68,75.11,77.29,70.78,5278600
2010-07-14,77.01,79.12,76.91,78.73,72.1,5260100
2010-07-15,78.75,78.8,76.24,77.22,70.72,3884300
2010-07-16,76.8,76.99,74.37,74.61,68.33,3024200
2010-07-19,74.91,75.22,73.7,74.99,68.68,2248000
2010-07-20,74.1,76.04,73.26,75.91,69.52,2303800
2010-07-21,76.53,76.57,73.35,74.03,67.8,3010300
2010-07-22,75.71,78.74,75.71,78.53,71.92,4490400
2010-07-23,78.49,79.0,77.57,78.96,72.31,2800400
2010-07-26,82.26,83.64,82.0,83.39,76.37,7247800
2010-07-27,84.0,84.24,81.81,82.37,75.43,3282600
2010-07-28,81.75,83.05,81.41,82.84,75.86,2931000
2010-07-29,83.47,83.68,81.15,82.07,75.16,2335400
2010-07-30,81.23,82.99,80.67,82.55,75.6,2453600
2010-08-02,83.9,84.67,83.06,84.6,77.48,2471300
2010-08-03,84.46,84.46,82.75,83.63,76.59,2350200
2010-08-04,84.02,86.09,83.75,85.96,78.72,3289500
2010-08-05,85.18,86.05,84.85,85.75,78.53,2478000
2010-08-06,84.56,85.79,84.08,85.32,78.14,1845600
2010-08-09,85.56,87.74,85.52,87.29,79.94,2915400
2010-08-10,86.44,87.47,85.77,87.1,79.77,2778100
2010-08-11,85.42,85.48,82.47,83.13,76.13,3736600
2010-08-12,81.75,82.19,80.89,81.94,75.04,3022500
2010-08-13,81.78,82.2,80.78,80.8,74.0,1967600
2010-08-16,80.18,81.5,79.88,80.98,74.16,1942900
2010-08-17,81.95,84.47,81.74,83.76,76.71,2780600
2010-08-18,83.54,84.55,82.74,84.04,76.96,2518900
2010-08-19,83.5,83.92,80.94,81.58,74.71,2700000
2010-08-20,81.06,81.66,79.98,81.23,74.39,2572500
2010-08-23,82.27,83.27,81.33,81.44,74.58,2622000
2010-08-24,80.26,80.69,78.13,79.09,72.43,3030200
2010-08-25,78.11,79.14,77.25,78.75,72.12,2707300
2010-08-26,78.47,80.11,78.47,78.76,72.13,2316800
2010-08-27,79.51,80.57,77.89,80.46,73.68,1940900
2010-08-30,79.67,80.87,78.75,78.78,72.15,1511700
2010-08-31,78.51,79.4,77.34,78.05,71.48,2733500
2010-09-01,79.31,81.69,79.04,81.37,74.52,3479400
2010-09-02,81.51,82.15,81.01,81.72,74.84,2455400
2010-09-03,82.79,84.12,82.48,82.75,75.78,2585000
2010-09-07,82.24,82.76,81.33,81.98,75.08,1666700
2010-09-08,82.03,84.61,82.03,83.81,76.86,2311000
2010-09-09,85.12,85.86,84.13,84.28,77.3,1961400
2010-09-10,84.7,85.0,83.96,84.16,77.19,1166600
2010-09-13,85.25,86.35,84.28,84.62,77.61,2095000
2010-09-14,84.84,85.59,84.06,85.09,78.04,2184500
2010-09-15,84.86,86.31,84.6,85.94,78.82,2022100
2010-09-16,83.41,84.0,81.8,82.72,75.87,8247600
2010-09-17,82.85,82.85,81.81,82.28,75.46,3893600
2010-09-20,82.57,83.67,82.09,82.91,76.04,2491700
2010-09-21,83.22,83.75,82.41,83.63,76.7,3959000
2010-09-22,83.61,85.08,83.31,84.3,77.31,3618600
2010-09-23,83.56,84.42,82.37,82.66,75.81,2464200
2010-09-24,83.88,84.8,83.67,84.23,77.25,2383500
2010-09-27,84.61,84.87,83.95,84.07,77.1,2253600
2010-09-28,84.06,84.86,82.76,84.71,77.69,2880500
2010-09-29,84.51,86.57,84.01,86.37,79.21,5037300
2010-09-30,87.0,88.46,85.43,85.5,78.41,5114000
2010-10-01,86.41,87.42,85.23,85.64,78.54,3260800
2010-10-04,85.53,86.64,84.74,85.43,78.35,3371200
2010-10-05,86.23,88.45,86.12,87.83,80.55,3840200
2010-10-06,87.59,88.0,86.73,87.38,80.14,2108400
2010-10-07,87.65,87.68,85.93,86.74,79.55,1930500
2010-10-08,86.93,88.93,86.34,88.69,81.34,3697800
2010-10-11,88.96,88.96,88.1,88.4,81.07,1684500
2010-10-12,87.96,88.38,86.55,87.98,80.69,2255200
2010-10-13,88.56,90.63,88.26,89.75,82.31,2829700
2010-10-14,89.73,89.75,88.84,89.39,81.98,1577300
2010-10-15,90.05,90.5,88.65,89.62,82.19,2172800
2010-10-18,89.45,89.9,88.89,89.47,82.06,1953100
2010-10-19,88.19,88.71,86.43,87.14,79.92,2844400
2010-10-20,87.57,89.25,87.5,88.92,81.55,2506100
2010-10-21,88.92,89.87,87.8,88.57,81.23,1826200
2010-10-22,88.66,88.86,87.9,88.86,81.5,954600
2010-10-25,89.39,90.2,88.92,89.56,82.14,2716300
2010-10-26,88.97,90.3,88.25,89.64,82.21,1763300
2010-10-27,88.63,88.75,86.7,88.13,80.83,2352800
2010-10-28,88.7,89.18,87.57,88.83,81.47,2335900
2010-10-29,88.72,89.13,87.67,87.72,80.45,2062700
2010-11-01,87.69,88.77,86.04,86.42,79.26,2610300
2010-11-02,87.1,87.69,86.23,87.03,79.82,2040700
2010-11-03,87.0,88.38,85.84,87.44,80.19,2932400
2010-11-04,88.38,89.14,87.93,88.8,81.44,3501400
2010-11-05,88.73,90.55,88.73,90.0,82.54,2527100
2010-11-08,89.18,90.46,89.05,90.31,82.83,1995900
2010-11-09,90.42,90.65,87.79,88.12,80.82,2330600
2010-11-10,88.33,88.75,87.25,88.48,81.15,1468600
2010-11-11,87.48,88.45,87.35,87.98,80.69,1831400
2010-11-12,87.39,87.75,86.77,87.32,80.08,1533900
2010-11-15,87.68,88.25,86.23,86.39,79.23,2144000
2010-11-16,85.88,86.23,84.49,85.87,78.75,2382900
2010-11-17,86.12,86.73,85.35,85.63,78.53,1745000
2010-11-18,86.76,87.59,86.14,87.09,79.99,2153600
2010-11-19,87.35,87.97,86.55,86.79,79.71,1929600
2010-11-22,86.5,87.5,85.88,87.34,80.21,2326000
2010-11-23,86.32,86.9,85.81,86.14,79.11,1614300
2010-11-24,86.86,88.6,86.59,88.47,81.25,1936900
2010-11-26,87.57,87.99,87.44,87.5,80.36,642600
2010-11-29,89.0,91.98,88.47,91.59,84.12,5127600
2010-11-30,91.21,93.03,91.0,91.12,83.69,4810800
2010-12-01,93.24,95.0,93.1,93.99,86.32,3220300
2010-12-02,94.35,96.23,94.1,95.21,87.44,2399300
2010-12-03,94.51,95.48,94.36,95.0,87.25,1833900
2010-12-06,94.53,94.67,93.04,93.29,85.68,2323700
2010-12-07,94.18,94.6,92.64,92.66,85.1,3025500
2010-12-08,92.43,93.28,92.1,92.81,85.24,1401700
2010-12-09,93.67,94.28,93.3,94.09,86.41,2650400
2010-12-10,94.1,94.1,92.63,93.98,86.31,1752800
2010-12-13,94.9,95.19,94.26,94.31,86.62,2186900
2010-12-14,94.42,94.77,92.93,93.33,85.72,2353800
2010-12-15,93.33,93.5,92.39,92.39,84.85,2193200
2010-12-16,91.86,94.79,91.28,94.22,86.53,6865000
2010-12-17,94.23,94.31,92.24,93.07,85.48,2990100
2010-12-20,93.81,93.89,92.81,93.56,85.93,1604500
2010-12-21,93.8,94.49,93.47,93.69,86.05,1547300
2010-12-22,93.83,93.9,92.82,93.37,85.75,1246700
2010-12-23,93.03,93.52,92.57,93.01,85.42,880200
2010-12-27,92.49,93.2,92.49,93.03,85.44,678100
2010-12-28,93.24,93.36,92.59,93.02,85.43,839400
2010-12-29,93.07,93.25,92.64,92.8,85.23,790100
2010-12-30,92.82,93.24,92.7,92.96,85.38,764900
2010-12-31,92.53,93.41,92.41,93.01,85.42,1015100
2011-01-03,93.54,94.29,93.12,93.19,85.59,2037700
2011-01-04,93.38,93.87,92.06,93.12,85.52,2412600
2011-01-05,92.52,94.27,92.37,93.87,86.21,2351100
2011-01-06,93.7,93.93,92.91,93.1,85.5,1890000
2011-01-07,93.0,94.32,91.8,93.15,85.55,5209400
2011-01-10,93.01,94.98,92.25,94.06,86.39,2959000
2011-01-11,94.79,94.79,92.45,93.31,85.7,2635500
2011-01-12,93.92,95.14,93.28,95.0,87.25,3155100
2011-01-13,94.91,96.17,94.62,95.63,87.83,2725900
2011-01-14,95.65,97.0,95.31,95.83,88.01,2600400
2011-01-18,96.31,96.79,95.08,95.8,87.98,1565300
2011-01-19,95.63,95.72,93.57,94.34,86.64,2039200
2011-01-20,93.54,94.02,92.79,93.51,85.88,2253300
2011-01-21,94.42,94.64,92.87,93.34,85.73,1872300
2011-01-24,93.12,94.44,92.97,94.37,86.67,2037800
2011-01-25,94.03,94.35,93.3,93.99,86.32,1418600
2011-01-26,94.13,94.77,93.27,94.31,86.62,2180700
2011-01-27,94.41,94.84,93.8,94.36,86.66,1862300
2011-01-28,94.52,94.64,90.18,90.48,83.1,4654200
2011-01-31,91.0,91.5,90.01,90.32,82.95,3088700
2011-02-01,92.75,93.96,92.28,92.69,85.13,4049700
2011-02-02,92.07,92.13,90.52,90.8,83.39,4172700
2011-02-03,91.94,92.3,91.1,91.46,84.0,3933100
2011-02-04,91.6,91.82,90.54,91.74,84.26,1986800
2011-02-07,91.84,92.75,91.3,91.46,84.0,2144200
2011-02-08,91.38,92.4,91.17,92.05,84.54,1652500
2011-02-09,91.71,92.17,91.0,91.6,84.13,1762300
2011-02-10,91.31,94.69,91.31,94.44,86.74,3024600
2011-02-11,93.87,95.89,93.8,95.42,87.64,2038800
2011-02-14,95.03,95.7,93.81,93.99,86.32,2822100
2011-02-15,95.01,96.7,94.89,95.98,88.15,5403500
2011-02-16,96.37,97.1,95.9,96.84,88.94,2249500
2011-02-17,96.39,97.7,96.37,97.47,89.52,1513800
2011-02-18,97.86,98.52,97.31,98.32,90.3,2434800
2011-02-22,96.05,96.2,92.91,93.29,85.68,3847200
2011-02-23,93.1,93.11,87.54,89.25,81.97,7028500
2011-02-24,89.35,90.76,89.08,89.81,82.48,3940600
2011-02-25,90.57,90.92,89.75,89.88,82.55,2600500
2011-02-28,91.01,91.02,89.77,90.02,82.68,2299600
2011-03-01,90.57,90.58,87.6,87.88,80.71,4843700
2011-03-02,88.01,88.65,86.32,87.32,80.2,3989400
2011-03-03,88.33,90.58,88.18,89.79,82.46,4555900
2011-03-04,89.87,90.0,87.8,88.69,81.45,2747800
2011-03-07,88.88,89.38,87.11,88.26,81.06,3360200
2011-03-08,88.27,90.3,88.27,89.95,82.61,3590900
2011-03-09,89.53,91.0,89.0,90.78,83.37,2630800
2011-03-10,89.72,91.33,88.8,89.95,82.61,3273600
2011-03-11,90.08,91.25,89.86,90.71,83.31,2942900
2011-03-14,89.72,89.86,87.2,88.63,81.4,5338000
2011-03-15,86.02,89.06,85.97,87.79,80.63,3925800
2011-03-16,87.36,87.66,85.03,85.28,78.43,4906800
2011-03-17,89.79,90.4,87.49,87.89,80.83,6607500
2011-03-18,90.1,90.21,88.27,89.28,82.11,3956300
2011-03-21,90.37,90.48,89.61,89.86,82.64,2140600
2011-03-22,89.67,89.68,88.19,88.29,81.2,1950500
2011-03-23,87.83,89.38,87.05,88.96,81.81,1950600
2011-03-24,89.28,90.9,89.12,90.79,83.5,2527400
2011-03-25,90.87,91.06,89.85,90.28,83.03,2311000
2011-03-28,91.09,93.68,90.6,93.02,85.55,4364500
2011-03-29,92.93,93.3,92.13,93.04,85.57,1753900
2011-03-30,93.31,94.4,93.14,93.75,86.22,1639600
2011-03-31,93.21,94.41,93.02,93.55,86.04,1613500
2011-04-01,95.0,96.5,94.58,95.0,87.37,3424800
2011-04-04,95.01,95.42,94.46,95.12,87.48,1309700
2011-04-05,94.69,95.28,94.11,94.19,86.62,1436900
2011-04-06,95.16,95.35,93.8,94.59,86.99,1620200
2011-04-07,94.26,94.72,93.41,93.91,86.37,1475000
2011-04-08,93.85,94.18,90.82,91.16,83.84,2919300
2011-04-11,91.3,92.86,90.66,92.53,85.1,3345600
