Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,47.43,47.77,46.41,46.45,27.54,929800
2010-01-04,46.62,46.92,46.41,46.77,27.73,1840900
2010-01-05,46.65,46.84,45.67,46.25,27.42,2922100
2010-01-06,46.3,46.85,46.02,46.75,27.71,3426300
2010-01-07,46.57,46.74,45.98,46.05,27.3,2327700
2010-01-08,45.95,46.09,45.53,45.81,27.16,2286900
2010-01-11,46.08,46.8,45.97,46.61,27.63,2026900
2010-01-12,46.96,46.96,46.37,46.68,27.67,2687400
2010-01-13,46.67,47.09,46.39,46.95,27.83,1556000
2010-01-14,46.84,46.95,46.55,46.87,27.79,2144200
2010-01-15,46.84,46.84,45.9,46.69,27.68,2244200
2010-01-19,46.58,47.06,46.38,47.03,27.88,1640700
2010-01-20,46.88,46.88,45.9,46.37,27.49,2068500
2010-01-21,46.2,46.51,45.02,45.14,26.76,2436000
2010-01-22,45.13,45.13,44.11,44.13,26.16,2450700
2010-01-25,44.69,44.78,44.1,44.39,26.32,1892700
2010-01-26,44.34,44.87,44.11,44.61,26.45,2277800
2010-01-27,44.44,44.44,43.54,44.22,26.21,2259900
2010-01-28,44.28,44.46,43.54,43.66,25.88,1445600
2010-01-29,43.79,44.16,43.54,43.62,25.86,1906900
2010-02-01,43.09,43.94,42.89,43.75,25.94,1837100
2010-02-02,43.7,44.14,43.15,44.1,26.14,2309300
2010-02-03,43.57,43.57,42.76,42.86,25.73,1537900
2010-02-04,42.71,42.99,41.86,41.92,25.17,2546000
2010-02-05,41.83,42.13,40.99,41.55,24.94,2330600
2010-02-08,41.8,41.8,40.99,40.99,24.61,1343500
2010-02-09,41.29,42.3,41.28,41.74,25.06,2909500
2010-02-10,41.7,41.72,41.14,41.46,24.89,1713700
2010-02-11,39.35,39.86,38.71,39.59,23.77,15876900
2010-02-12,39.65,39.72,38.67,39.19,23.53,9142500
2010-02-16,39.4,39.89,38.91,39.21,23.54,5027600
2010-02-17,39.5,39.5,38.47,38.57,23.15,4534900
2010-02-18,38.62,38.88,38.41,38.8,23.29,4062600
