Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,23.67,23.7,23.44,23.44,20.16,963500
2010-01-04,23.63,23.96,23.44,23.82,20.49,4623700
2010-01-05,23.99,24.88,23.93,24.84,21.37,4868800
2010-01-06,24.93,24.93,24.54,24.7,21.25,2481200
2010-01-07,24.69,24.69,24.41,24.56,21.13,3384900
2010-01-08,24.0,24.3,23.86,24.05,20.69,2460000
2010-01-11,24.2,24.25,23.74,23.93,20.59,3010100
2010-01-12,23.8,23.87,23.65,23.85,20.52,2038700
2010-01-13,23.53,24.35,23.53,24.25,20.86,3467000
2010-01-14,24.24,24.4,24.09,24.35,20.95,1171000
2010-01-15,24.34,24.4,23.9,23.99,20.64,2062000
2010-01-19,23.88,24.43,23.86,24.41,21.0,1818400
2010-01-20,24.21,24.45,23.92,24.25,20.86,2168400
2010-01-21,24.25,24.94,24.1,24.34,20.94,4964700
2010-01-22,24.23,24.48,23.95,23.96,20.61,3800400
2010-01-25,24.15,24.39,23.95,24.07,20.71,3397900
2010-01-26,24.02,24.24,23.95,24.01,20.65,2174000
2010-01-27,24.01,24.23,23.87,24.22,20.84,2454900
2010-01-28,24.21,24.22,23.63,23.75,20.43,3817900
2010-01-29,23.83,23.96,23.52,23.56,20.27,2714000
2010-02-01,23.85,23.85,23.48,23.76,20.44,2323400
2010-02-02,23.79,23.95,23.56,23.95,20.6,2325200
2010-02-03,23.83,24.01,23.62,23.99,20.64,2518200
2010-02-04,24.01,24.15,23.52,23.54,20.25,4253000
2010-02-05,23.62,23.62,22.74,23.04,19.82,4777000
2010-02-08,23.0,23.12,22.8,22.92,19.72,2876500
2010-02-09,23.17,23.44,22.74,22.78,19.6,4555400
2010-02-10,22.73,22.78,22.27,22.28,19.17,5301300
2010-02-11,22.28,22.52,22.25,22.47,19.33,3877500
2010-02-12,22.3,22.5,22.13,22.36,19.24,4152000
2010-02-16,22.48,22.64,22.36,22.52,19.37,1954000
2010-02-17,22.61,22.61,22.32,22.61,19.45,2880100
2010-02-18,22.56,22.78,22.41,22.61,19.45,3703000
2010-02-19,22.48,22.79,22.42,22.68,19.51,2890100
2010-02-22,22.71,22.84,22.6,22.65,19.48,1834700
2010-02-23,22.65,22.81,22.45,22.6,19.44,2652000
2010-02-24,22.68,22.92,22.45,22.88,19.68,3328300
