Date,Open,High,Low,Close,Adj Close,Volume
2019-03-12,38.0,38.0,38.0,38.0,36.92,10000
2019-03-13,39.0,39.9,38.7,39.75,38.62,20477400
2019-03-14,39.75,41.4,39.75,40.65,39.5,6248600
2019-03-15,41.38,41.87,41.24,41.7,40.52,7107300
2019-03-18,41.95,41.95,41.05,41.7,40.52,4020900
2019-03-19,41.55,41.7,39.84,40.34,39.2,10118500
2019-03-20,40.49,40.81,38.24,38.62,37.53,15683200
2019-03-21,39.0,40.07,38.75,40.02,38.89,12751700
2019-03-22,39.93,39.99,37.69,38.72,37.62,10898000
2019-03-25,38.89,38.96,37.39,37.44,36.38,9338900
2019-03-26,37.65,38.28,37.51,37.54,36.48,6287100
2019-03-27,37.52,37.91,36.76,36.92,35.87,5578100
2019-03-28,36.85,37.15,36.34,36.4,35.37,5326200
2019-03-29,36.55,36.91,36.15,36.71,35.67,5895300
2019-04-01,36.91,37.15,36.71,36.85,35.81,5311200
2019-04-02,36.96,37.18,35.9,36.28,35.25,6704600
2019-04-03,36.37,36.56,35.9,36.08,35.06,8393500
2019-04-04,36.2,36.8,36.01,36.76,35.72,4908400
2019-04-05,36.79,37.85,36.69,37.68,36.61,7344900
2019-04-08,37.6,37.68,37.26,37.47,36.41,3393300
2019-04-09,37.42,37.65,37.17,37.31,36.25,5725900
2019-04-10,37.33,37.53,36.36,36.48,35.45,4828400
2019-04-11,36.57,37.16,35.99,37.09,36.04,4791400
2019-04-12,37.15,37.62,36.47,37.53,36.47,6368500
2019-04-15,37.46,37.57,36.99,37.53,36.47,3927100
2019-04-16,37.67,37.85,37.47,37.75,36.68,5722000
2019-04-17,37.87,38.85,37.76,38.84,37.74,7603800
2019-04-18,38.91,39.0,38.43,38.44,37.35,4737400
2019-04-22,38.36,38.44,37.62,37.7,36.63,7675300
2019-04-23,37.79,38.39,37.63,38.08,37.0,6328800
2019-04-24,37.95,38.31,37.81,37.96,36.89,5323500
2019-04-25,37.98,38.2,37.54,38.15,37.07,5309700
2019-04-26,38.08,38.53,37.9,38.48,37.39,5297400
2019-04-29,38.54,39.53,38.31,39.2,38.09,6885200
2019-04-30,39.19,39.33,38.47,38.99,37.89,5044400
2019-05-01,39.12,39.49,38.66,39.4,38.28,5149800
2019-05-02,39.23,39.47,37.08,37.28,36.22,11495900
2019-05-03,37.41,37.75,37.12,37.47,36.41,4809800
2019-05-06,37.17,37.99,36.96,37.92,36.85,4801300
2019-05-07,37.58,37.81,37.12,37.26,36.21,6053300
2019-05-08,37.34,37.7,36.85,37.42,36.36,8635300
2019-05-09,38.5,39.25,37.51,38.5,37.41,15210200
2019-05-10,38.64,38.75,37.44,38.53,37.44,6742500
2019-05-13,37.77,38.68,37.73,37.97,36.9,5604000
2019-05-14,38.05,38.52,37.87,37.89,36.82,6198600
2019-05-15,37.7,37.97,37.57,37.71,36.64,2975400
2019-05-16,37.91,38.08,36.7,36.74,35.7,8704900
2019-05-17,36.56,37.59,36.55,37.32,36.49,5508000
2019-05-20,37.18,37.64,37.0,37.14,36.32,3670000
2019-05-21,37.26,38.0,37.1,37.69,36.85,4668600
2019-05-22,37.66,37.76,37.06,37.12,36.3,3431200
2019-05-23,36.82,37.08,36.63,36.91,36.09,4431900
2019-05-24,37.05,37.21,36.85,36.92,36.1,2879000
2019-05-28,36.97,37.34,36.51,36.64,35.83,4380400
2019-05-29,36.5,36.65,35.79,35.79,35.0,3691300
2019-05-30,35.88,36.15,35.15,35.22,34.44,4730400
