Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,68.81,69.63,67.52,67.72,47.49,484400
2010-01-04,68.06,68.35,66.47,67.03,47.0,662400
2010-01-05,66.57,67.03,65.48,66.95,46.95,778800
2010-01-06,67.0,67.56,66.12,66.77,46.82,578300
2010-01-07,66.55,67.49,65.88,66.75,46.81,689700
2010-01-08,66.59,66.75,65.49,66.33,46.51,770900
2010-01-11,66.9,67.22,66.65,67.16,47.1,373900
2010-01-12,66.68,67.0,65.31,66.01,46.29,763400
2010-01-13,66.31,67.53,66.14,67.32,47.21,737000
2010-01-14,67.29,67.47,66.59,67.05,47.02,522800
2010-01-15,66.94,67.7,66.38,67.59,47.4,916500
2010-01-19,67.55,69.6,67.27,69.26,48.57,943600
2010-01-20,68.56,68.81,68.09,68.36,47.94,665900
2010-01-21,68.45,68.92,66.83,66.98,46.97,810300
2010-01-22,66.86,67.8,65.33,65.5,45.93,730100
2010-01-25,66.09,66.22,64.47,65.63,46.02,597100
2010-01-26,65.36,66.49,65.06,65.37,45.84,452600
2010-01-27,65.07,65.62,64.2,65.07,45.63,660600
2010-01-28,65.21,65.26,63.68,64.54,45.26,537800
2010-01-29,64.92,65.4,64.24,64.38,45.15,653900
2010-02-01,64.83,65.96,64.63,65.88,46.2,680600
2010-02-02,66.21,67.94,65.59,67.81,47.55,1016300
2010-02-03,67.49,67.81,66.29,66.75,46.81,451500
2010-02-04,66.19,66.42,63.62,63.73,44.69,1122200
2010-02-05,63.88,65.21,63.36,65.02,45.59,612600
2010-02-08,65.05,65.44,63.42,63.58,44.58,659000
2010-02-09,64.49,64.49,62.43,63.1,44.25,1325900
2010-02-10,63.0,64.04,61.93,63.07,44.23,604700
2010-02-11,62.79,64.01,62.43,63.74,44.7,740900
2010-02-12,62.89,64.58,62.68,64.46,45.2,601500
2010-02-16,65.03,66.4,64.94,66.22,46.44,547300
2010-02-17,66.43,67.14,66.21,67.13,47.07,600000
2010-02-18,67.26,68.11,66.66,68.08,47.74,659400
