Date,Open,High,Low,Close,Adj Close,Volume
2016-07-05,41.34,45.47,40.5,40.67,39.86,7445700
2016-07-06,39.39,40.67,38.74,39.96,39.16,8014300
2016-07-07,39.85,40.17,39.62,39.95,39.15,6556700
2016-07-08,40.13,42.35,39.77,42.01,41.17,5071000
2016-07-11,41.18,42.87,40.99,42.78,41.93,7220500
2016-07-12,42.68,42.73,42.06,42.32,41.48,6635700
2016-07-13,42.32,42.76,41.7,42.36,41.52,5813300
2016-07-14,42.12,43.3,41.8,43.15,42.3,4160500
2016-07-15,43.33,43.44,42.35,42.87,42.02,4409300
2016-07-18,42.49,43.16,42.27,42.92,42.07,1861200
2016-07-19,42.71,43.15,42.21,43.14,42.28,2335900
2016-07-20,43.38,43.45,41.85,42.13,41.29,4005300
2016-07-21,42.18,42.36,41.83,42.04,41.2,3620700
2016-07-22,41.84,42.08,41.25,41.34,40.52,2928500
2016-07-25,41.19,41.38,40.05,40.99,40.17,3638500
2016-07-26,40.64,41.36,40.4,41.24,40.42,1877800
2016-07-27,41.07,41.42,40.77,40.94,40.12,1946200
2016-07-28,40.79,41.08,40.46,40.71,39.9,3493100
2016-07-29,40.55,40.84,40.18,40.34,39.54,5358500
2016-08-01,40.26,40.59,39.82,40.0,39.2,3562300
2016-08-02,39.75,40.18,39.48,39.75,38.96,3904400
2016-08-03,39.75,41.41,39.62,41.24,40.42,5628300
2016-08-04,41.5,41.93,41.41,41.87,41.03,3640900
2016-08-05,42.06,42.66,42.06,42.33,41.48,3185800
2016-08-08,42.37,42.57,41.79,41.88,41.05,2529200
2016-08-09,40.78,42.28,40.52,42.23,41.39,1288100
2016-08-10,42.23,42.51,41.92,42.22,41.38,1413000
2016-08-11,42.45,44.11,42.43,43.97,43.1,2381300
2016-08-12,43.51,44.24,43.35,44.11,43.23,1538900
2016-08-15,44.31,45.0,44.23,44.9,44.01,1742200
2016-08-16,44.84,45.15,44.58,44.81,43.92,1197700
2016-08-17,44.91,44.96,44.64,44.69,43.8,1233400
2016-08-18,44.54,44.79,44.29,44.49,43.6,1045300
2016-08-19,44.31,44.31,43.27,43.45,42.58,1429300
2016-08-22,43.45,43.55,42.74,42.9,42.04,1292600
2016-08-23,42.98,43.6,42.79,43.43,42.57,3003800
2016-08-24,42.9,43.33,42.35,42.99,42.19,827900
2016-08-25,42.83,43.42,42.66,43.2,42.39,1655000
2016-08-26,43.21,43.8,43.12,43.41,42.6,1120400
2016-08-29,43.33,44.18,43.15,43.86,43.04,1248500
2016-08-30,43.67,44.74,43.67,44.03,43.21,1137800
2016-08-31,43.91,44.2,43.51,44.08,43.26,1976100
2016-09-01,44.32,44.44,43.63,44.04,43.22,1146500
2016-09-02,44.37,44.74,44.19,44.67,43.84,1004800
2016-09-06,44.77,44.81,43.76,44.13,43.31,1546100
2016-09-07,43.87,44.45,43.53,44.3,43.48,2083100
2016-09-08,44.08,44.32,43.74,43.79,42.98,1311900
2016-09-09,43.32,43.52,42.3,42.3,41.52,2594000
2016-09-12,41.86,43.05,41.72,42.85,42.06,2225600
2016-09-13,42.56,43.01,41.82,41.87,41.1,1920500
2016-09-14,41.88,42.26,41.54,41.86,41.08,1377000
2016-09-15,41.82,42.34,41.42,42.25,41.47,1685100
2016-09-16,41.93,42.17,41.36,42.06,41.28,2810500
