Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,21.99,21.99,21.62,21.64,18.42,10998800
2010-01-04,21.69,21.86,21.55,21.65,18.43,16809000
2010-01-05,21.68,21.7,21.35,21.63,18.41,20788200
2010-01-06,22.0,22.5,21.81,22.38,19.05,32750400
2010-01-07,22.38,22.58,22.28,22.43,19.1,20892600
2010-01-08,22.48,22.55,22.12,22.27,18.96,17618400
2010-01-11,22.19,22.51,22.15,22.44,19.11,17399000
2010-01-12,22.5,22.53,22.26,22.48,19.13,13968600
2010-01-13,22.58,22.93,22.44,22.75,19.37,17846200
2010-01-14,22.95,23.0,22.6,22.73,19.35,16884800
2010-01-15,22.64,23.0,22.39,22.76,19.38,19067400
2010-01-19,22.88,23.3,22.86,23.14,19.7,20906400
2010-01-20,23.15,23.17,22.72,23.02,19.6,15961200
2010-01-21,23.12,23.25,22.59,22.89,19.49,24302200
2010-01-22,23.03,23.21,22.83,23.04,19.61,22095000
2010-01-25,23.18,23.2,22.84,22.85,19.46,20666200
2010-01-26,22.8,22.8,22.34,22.43,19.1,20806200
2010-01-27,23.54,24.16,23.43,24.02,20.45,56743600
2010-01-28,23.61,23.98,23.45,23.75,20.22,27932400
2010-01-29,23.8,24.25,23.75,24.14,20.55,25100600
2010-02-01,24.12,24.17,23.81,23.91,20.35,18501800
2010-02-02,23.83,24.28,23.75,24.28,20.67,20596800
2010-02-03,24.11,24.15,23.58,23.77,20.24,27632000
2010-02-04,23.71,23.73,23.18,23.24,19.78,23467600
2010-02-05,23.19,23.43,22.73,23.19,19.74,28918200
2010-02-08,23.15,23.24,22.83,23.05,19.62,15454800
2010-02-09,23.28,23.5,23.02,23.15,19.71,18992000
2010-02-10,23.22,23.4,22.84,22.99,19.57,22741600
2010-02-11,22.91,23.54,22.8,23.38,19.9,22954200
2010-02-12,23.2,23.56,23.1,23.5,20.01,19065200
2010-02-16,23.99,24.02,23.15,23.43,19.95,26284000
2010-02-17,23.48,24.5,23.47,24.33,20.71,35693800
2010-02-18,24.38,24.75,24.33,24.73,21.05,25876400
2010-02-19,24.55,24.72,24.39,24.42,20.79,23377800
2010-02-22,24.27,24.4,23.81,23.94,20.38,27884200
2010-02-23,24.0,24.05,23.65,23.67,20.15,20081400
2010-02-24,23.81,23.99,23.65,23.78,20.24,18946400
2010-02-25,23.5,23.74,23.3,23.7,20.18,23808400
2010-02-26,23.75,23.84,23.53,23.81,20.27,18997200
2010-03-01,24.0,24.08,23.69,23.75,20.22,18722400
2010-03-02,23.62,23.78,23.5,23.77,20.24,15558400
2010-03-03,23.66,23.83,23.62,23.78,20.25,17649400
2010-03-04,23.68,23.7,23.36,23.53,20.03,19900000
2010-03-05,23.47,23.83,23.46,23.81,20.27,16142200
2010-03-08,23.7,23.77,23.38,23.5,20.01,14617400
2010-03-09,23.4,23.87,23.4,23.72,20.19,14542000
2010-03-10,23.75,23.88,23.62,23.64,20.13,12711200
2010-03-11,23.56,23.66,23.32,23.55,20.05,18272600
2010-03-12,23.88,23.88,23.48,23.71,20.18,16998400
2010-03-15,23.74,23.87,23.59,23.76,20.23,12463000
2010-03-16,23.77,23.8,23.61,23.74,20.21,10754000
2010-03-17,23.8,23.8,23.45,23.59,20.08,15564400
2010-03-18,23.67,23.75,23.49,23.71,20.18,11149200
2010-03-19,23.84,24.0,23.45,23.93,20.38,38567800
2010-03-22,23.96,24.33,23.9,24.08,20.5,14699000
2010-03-23,24.21,24.22,23.72,23.88,20.33,17343600
2010-03-24,23.73,23.89,23.55,23.65,20.13,14502400
2010-03-25,23.68,23.75,22.88,22.98,19.56,40254200
2010-03-26,23.11,23.17,22.49,22.67,19.3,23744600
2010-03-29,22.67,23.11,22.67,22.94,19.53,14648600
2010-03-30,23.03,23.07,22.65,22.81,19.41,15933800
2010-03-31,22.83,22.88,22.67,22.74,19.35,14102400
2010-04-01,22.76,23.01,22.64,22.82,19.43,11188600
2010-04-05,23.01,23.09,22.7,22.92,19.51,12673800
2010-04-06,22.77,22.89,22.71,22.75,19.37,11472200
2010-04-07,22.84,22.84,22.6,22.73,19.35,11920000
2010-04-08,22.75,22.99,22.55,22.91,19.5,15041600
2010-04-09,22.91,22.98,22.75,22.9,19.5,14091600
2010-04-12,22.91,23.06,22.85,22.93,19.52,12800000
2010-04-13,22.97,23.31,22.88,23.17,19.73,24087200
2010-04-14,22.97,23.31,22.9,23.03,19.61,16827400
2010-04-15,22.97,23.09,22.6,22.66,19.29,17586200
2010-04-16,22.64,22.94,22.62,22.85,19.45,18808200
2010-04-19,22.87,22.99,22.6,22.87,19.47,14048800
2010-04-20,22.83,22.99,22.38,22.53,19.18,27776200
2010-04-21,20.99,21.25,19.95,20.38,17.35,146440000
2010-04-22,20.52,20.81,20.24,20.3,17.28,80492800
2010-04-23,20.49,20.88,20.43,20.83,17.74,41925200
2010-04-26,20.77,20.8,20.26,20.28,17.26,30009600
2010-04-27,20.48,20.58,20.1,20.18,17.18,35050800
2010-04-28,20.18,20.43,20.12,20.34,17.32,27811600
2010-04-29,20.38,20.54,20.16,20.2,17.2,33514600
2010-04-30,20.53,20.55,19.77,19.85,16.9,40693800
2010-05-03,19.83,20.06,19.77,19.88,16.92,25135400
2010-05-04,19.68,19.75,19.21,19.26,16.4,41827800
2010-05-05,19.24,20.18,19.14,20.1,17.12,50234200
