Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,35.99,35.99,35.4,35.4,24.39,2752400
2010-01-04,35.6,35.64,35.31,35.45,24.42,5156400
2010-01-05,35.58,35.59,34.81,35.12,24.2,7439200
2010-01-06,35.15,35.46,34.97,35.33,24.34,4686800
2010-01-07,35.1,35.72,34.97,35.65,24.73,6706800
2010-01-08,35.7,35.7,35.13,35.36,24.53,4445800
2010-01-11,35.33,35.46,35.15,35.4,24.55,2452200
2010-01-12,35.35,35.72,35.28,35.66,24.74,3686400
2010-01-13,35.62,35.96,35.43,35.82,24.85,4028000
2010-01-14,35.83,35.9,35.6,35.82,24.85,2270800
2010-01-15,35.83,35.99,35.56,35.67,24.74,3872400
2010-01-19,35.85,36.12,35.72,35.96,24.94,5109600
2010-01-20,35.77,35.77,35.53,35.72,24.78,4087000
2010-01-21,35.75,35.97,35.43,35.56,24.67,5222000
2010-01-22,35.58,35.92,35.43,35.48,24.61,7612800
2010-01-25,35.63,35.87,35.32,35.38,24.55,3934000
2010-01-26,35.25,35.53,34.97,35.48,24.61,5024200
2010-01-27,35.49,35.9,35.31,35.76,24.81,5461000
2010-01-28,35.94,36.23,35.85,35.97,24.96,6167400
2010-01-29,36.15,36.15,35.63,35.65,24.74,5146400
2010-02-01,35.92,35.92,35.37,35.51,24.64,5566800
2010-02-02,35.6,35.81,35.35,35.51,24.64,7693400
2010-02-03,35.58,35.58,35.1,35.27,24.47,6018400
2010-02-04,35.08,35.12,34.49,34.5,23.93,8263800
2010-02-05,34.37,34.54,34.03,34.31,23.81,5895600
2010-02-08,34.35,34.63,34.26,34.29,23.79,3941000
2010-02-09,34.44,34.91,34.44,34.72,24.09,3763600
2010-02-10,34.76,34.87,34.47,34.74,24.1,3514000
2010-02-11,34.63,34.72,34.35,34.72,24.08,4131000
2010-02-12,34.53,34.83,34.25,34.74,24.1,5271600
2010-02-16,34.78,35.33,34.58,35.31,24.5,4646400
2010-02-17,35.32,35.58,35.29,35.49,24.62,3416800
2010-02-18,35.47,36.02,35.47,36.01,24.98,4300200
2010-02-19,35.99,36.24,35.85,36.18,25.1,2998000
2010-02-22,36.19,36.24,35.98,36.15,25.08,2646800
2010-02-23,36.06,36.2,35.84,35.94,24.93,2297200
2010-02-24,36.05,36.17,35.84,35.96,24.95,2578800
2010-02-25,35.78,35.89,35.44,35.85,24.87,4094600
2010-02-26,35.89,36.19,35.56,36.01,24.98,3671400
2010-03-01,35.99,36.39,35.99,36.22,25.13,4221000
2010-03-02,36.3,36.49,36.26,36.35,25.22,4592800
2010-03-03,36.37,36.63,36.31,36.48,25.31,3210200
2010-03-04,36.59,36.62,35.85,36.19,25.11,6746000
2010-03-05,36.18,36.44,36.15,36.35,25.21,3623200
2010-03-08,36.4,36.4,35.92,36.08,25.03,3749600
2010-03-09,36.01,36.3,36.0,36.03,25.0,3365600
2010-03-10,36.06,36.21,35.94,36.12,25.06,4021800
2010-03-11,35.99,36.31,35.9,36.31,25.19,2792400
2010-03-12,36.39,36.5,36.03,36.19,25.1,3535800
2010-03-15,36.17,36.35,36.13,36.28,25.17,3758200
2010-03-16,36.31,36.69,36.28,36.63,25.42,4055000
2010-03-17,36.63,36.67,36.38,36.58,25.38,3369000
2010-03-18,36.6,36.87,36.49,36.82,25.54,4336000
2010-03-19,36.67,36.97,36.62,36.67,25.44,5539000
2010-03-22,36.56,36.62,36.33,36.49,25.31,6166400
2010-03-23,36.58,36.84,36.51,36.78,25.52,4904800
2010-03-24,36.49,36.65,36.03,36.09,25.04,9006800
2010-03-25,36.26,36.28,35.5,35.58,24.68,8410000
2010-03-26,35.63,35.63,35.13,35.24,24.45,5831000
2010-03-29,35.33,35.53,35.15,35.43,24.58,5175800
2010-03-30,35.45,35.68,35.44,35.58,24.69,6082200
2010-03-31,35.58,35.6,35.3,35.4,24.55,5512400
2010-04-01,35.54,35.85,35.54,35.69,24.76,5265000
2010-04-05,35.74,35.83,35.24,35.42,24.57,5360200
2010-04-06,35.33,35.46,35.21,35.26,24.46,5471400
2010-04-07,35.24,35.24,34.96,35.06,24.33,5748800
2010-04-08,34.9,35.15,34.67,35.08,24.51,5765600
2010-04-09,35.13,35.44,35.1,35.41,24.74,4877200
2010-04-12,35.44,35.52,35.06,35.18,24.58,4816200
