Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,19.77,19.83,19.53,19.53,17.56,825300
2010-01-04,19.6,19.91,19.46,19.89,17.95,1734900
2010-01-05,19.84,20.36,19.83,20.35,18.36,1419000
2010-01-06,20.29,20.57,20.21,20.49,18.49,888400
2010-01-07,20.39,20.59,20.2,20.49,18.49,1296100
2010-01-08,20.44,20.54,20.32,20.48,18.48,1071900
2010-01-11,20.68,20.78,20.44,20.52,18.51,969400
2010-01-12,20.36,20.77,20.36,20.56,18.55,1168600
2010-01-13,20.68,20.82,20.48,20.74,18.71,1151200
2010-01-14,20.62,20.79,20.55,20.75,18.72,1016200
2010-01-15,20.7,20.7,20.44,20.53,18.53,1131700
2010-01-19,20.51,21.04,20.51,20.85,18.81,1055400
2010-01-20,20.66,20.78,20.51,20.68,18.65,1056100
2010-01-21,20.72,20.84,20.14,20.24,18.26,1629400
2010-01-22,20.17,20.27,19.49,19.66,17.74,1940400
2010-01-25,19.88,20.3,19.88,20.13,18.16,1313500
2010-01-26,20.02,20.37,19.88,19.93,17.98,1118800
2010-01-27,19.93,20.4,19.86,20.35,18.36,1153500
2010-01-28,20.35,20.44,19.92,20.08,18.11,841500
2010-01-29,20.14,20.45,19.93,19.96,18.0,994200
2010-02-01,20.12,20.49,20.06,20.2,18.22,906400
2010-02-02,20.31,20.54,20.14,20.53,18.53,906700
2010-02-03,20.36,20.49,20.11,20.19,18.21,842400
2010-02-04,20.0,20.58,19.65,19.65,17.73,2167300
2010-02-05,19.63,19.76,18.96,19.6,17.68,1950900
2010-02-08,19.88,20.1,19.49,19.57,17.66,2055700
2010-02-09,19.82,20.02,19.3,19.68,17.76,1892700
2010-02-10,19.59,20.06,19.43,19.72,17.79,1346800
2010-02-11,19.77,19.88,19.41,19.8,17.86,2922000
2010-02-12,19.64,19.72,19.31,19.72,17.8,1618200
2010-02-16,19.9,19.91,19.42,19.86,17.92,1752400
2010-02-17,19.99,20.18,19.94,20.18,18.2,1326700
2010-02-18,20.13,20.6,20.07,20.5,18.49,1393200
2010-02-19,20.44,20.83,20.38,20.68,18.66,1295700
2010-02-22,20.68,20.88,20.54,20.83,18.79,1279300
2010-02-23,20.68,20.68,20.04,20.06,18.1,2943100
2010-02-24,20.07,20.45,20.04,20.37,18.38,1429200
2010-02-25,20.12,20.64,19.97,20.58,18.57,1686700
2010-02-26,20.67,20.74,20.4,20.67,18.65,1343700
2010-03-01,20.79,20.96,20.74,20.91,18.87,882900
2010-03-02,21.04,21.04,20.79,20.98,18.93,1115200
2010-03-03,21.08,21.66,20.98,21.54,19.44,2732100
2010-03-04,21.64,21.84,21.5,21.76,19.63,1927300
2010-03-05,21.92,22.26,21.81,22.22,20.05,1683600
2010-03-08,22.05,22.54,22.02,22.47,20.27,1528800
2010-03-09,22.31,22.53,22.28,22.42,20.23,1618200
2010-03-10,22.42,22.76,22.32,22.63,20.42,1773100
2010-03-11,22.55,22.79,22.5,22.79,20.56,1247400
2010-03-12,22.83,22.94,22.6,22.73,20.51,956200
2010-03-15,22.68,22.96,22.64,22.89,20.65,1666000
2010-03-16,22.92,23.38,22.87,23.37,21.09,1678900
2010-03-17,23.41,24.19,23.41,23.88,21.55,2313400
2010-03-18,23.82,23.96,23.67,23.86,21.52,990600
2010-03-19,23.64,24.08,23.62,23.64,21.32,1600800
2010-03-22,23.62,23.83,23.34,23.62,21.31,1238500
2010-03-23,23.59,23.72,23.33,23.72,21.4,1369300
2010-03-24,23.64,23.68,23.44,23.51,21.21,1664500
2010-03-25,23.73,23.83,23.39,23.44,21.15,1481100
2010-03-26,23.47,23.83,23.31,23.4,21.12,1543000
2010-03-29,23.55,23.7,23.3,23.6,21.3,1132600
2010-03-30,23.53,23.71,23.42,23.47,21.23,852700
2010-03-31,23.38,23.8,23.3,23.78,21.52,2390800
2010-04-01,23.91,24.15,23.89,24.06,21.77,1270500
2010-04-05,24.12,24.31,24.05,24.28,21.97,850600
2010-04-06,24.19,24.39,24.12,24.32,22.0,1664200
2010-04-07,24.28,24.3,23.8,23.97,21.69,1370700
2010-04-08,23.88,23.93,23.61,23.92,21.64,1599300
2010-04-09,23.93,23.96,23.73,23.95,21.67,837100
2010-04-12,24.04,24.18,23.98,24.17,21.87,1229800
2010-04-13,24.07,24.35,23.88,24.31,22.0,921700
2010-04-14,24.42,24.91,24.36,24.91,22.54,1488100
2010-04-15,24.91,24.91,24.48,24.77,22.41,1127200
2010-04-16,24.69,24.81,24.04,24.22,21.92,1836000
2010-04-19,24.01,24.4,23.86,24.37,22.05,898800
2010-04-20,24.56,24.82,24.44,24.82,22.45,647700
2010-04-21,24.77,24.88,24.22,24.56,22.22,1175400
2010-04-22,24.32,24.54,24.01,24.52,22.18,870700
2010-04-23,24.51,25.03,24.36,24.99,22.61,1051300
2010-04-26,24.99,25.13,24.76,24.8,22.44,1060200
2010-04-27,24.67,24.72,23.65,23.72,21.47,1356400
2010-04-28,23.96,24.16,23.32,23.41,21.18,2529100
2010-04-29,23.71,24.5,23.71,24.36,22.04,1582300
2010-04-30,24.3,24.48,23.78,23.8,21.53,1457700
2010-05-03,23.94,24.02,23.65,23.84,21.57,1271700
2010-05-04,23.47,23.84,23.13,23.38,21.15,2035800
2010-05-05,23.1,23.72,23.0,23.37,21.14,1692400
2010-05-06,23.28,23.69,21.43,22.56,20.42,3230700
