Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,38.33,38.57,37.96,37.96,27.36,484800
2010-01-04,38.3,38.39,38.03,38.13,27.48,836900
2010-01-05,37.96,38.15,37.55,38.09,27.45,942800
2010-01-06,38.1,38.25,37.93,38.02,27.4,656600
2010-01-07,38.05,38.29,37.89,38.23,27.55,753300
2010-01-08,38.0,38.29,37.93,38.24,27.56,789700
2010-01-11,38.4,38.68,38.13,38.67,27.87,514500
2010-01-12,38.53,38.79,38.38,38.51,27.75,664300
2010-01-13,38.65,38.93,38.38,38.7,27.89,949400
2010-01-14,38.66,38.99,38.43,38.96,28.08,700300
2010-01-15,38.9,38.99,38.78,38.79,27.95,1082200
2010-01-19,38.84,39.24,38.61,39.1,28.18,1018600
2010-01-20,38.94,38.97,38.34,38.39,27.67,988700
2010-01-21,38.48,38.86,38.1,38.15,27.49,904600
2010-01-22,38.18,38.51,38.08,38.11,27.46,904700
2010-01-25,38.0,38.82,38.0,38.3,27.6,873600
2010-01-26,38.27,38.46,38.11,38.27,27.58,588100
2010-01-27,38.31,38.43,37.78,38.06,27.43,764200
2010-01-28,38.14,38.14,37.75,37.96,27.36,882800
2010-01-29,38.07,38.19,37.66,37.68,27.15,1033400
2010-02-01,37.85,38.11,37.72,38.07,27.44,680300
2010-02-02,38.2,39.15,38.07,39.14,28.21,1003700
2010-02-03,39.03,39.35,38.79,38.81,27.97,814500
2010-02-04,38.52,38.67,37.85,37.85,27.28,814000
2010-02-05,37.78,38.03,37.09,37.7,27.17,701500
2010-02-08,37.74,37.78,36.94,36.96,26.64,702200
2010-02-09,37.09,37.76,37.09,37.57,27.08,614600
2010-02-10,37.57,37.77,37.22,37.51,27.03,501800
2010-02-11,37.39,37.96,37.13,37.91,27.32,547300
2010-02-12,37.53,38.24,37.35,38.19,27.52,806900
2010-02-16,42.2,42.2,39.2,40.75,29.37,2264000
2010-02-17,40.7,41.1,40.52,40.7,29.33,1068500
2010-02-18,40.52,40.66,40.21,40.63,29.28,750700
2010-02-19,40.44,41.07,40.33,41.03,29.57,771700
2010-02-22,41.11,41.11,40.5,40.68,29.32,523400
2010-02-23,40.66,40.85,39.83,39.89,28.75,921500
2010-02-24,40.01,40.39,40.0,40.38,29.1,656900
2010-02-25,40.05,40.38,39.75,40.3,29.04,880800
2010-02-26,40.38,40.49,40.04,40.36,29.09,507900
2010-03-01,40.48,40.97,40.16,40.81,29.41,542900
2010-03-02,41.02,41.08,40.62,40.94,29.5,772800
2010-03-03,40.77,40.84,40.26,40.31,29.34,603000
2010-03-04,40.43,40.61,39.94,40.21,29.27,754000
2010-03-05,40.47,40.56,40.11,40.4,29.41,612900
2010-03-08,40.54,40.68,40.25,40.48,29.47,533300
2010-03-09,40.48,40.71,40.38,40.56,29.53,424700
2010-03-10,40.5,40.75,40.42,40.58,29.54,528200
2010-03-11,40.59,40.92,40.34,40.9,29.77,600700
2010-03-12,40.93,40.93,40.43,40.76,29.67,472800
2010-03-15,40.8,40.91,40.36,40.5,29.48,607300
2010-03-16,40.48,40.97,40.43,40.96,29.82,587300
2010-03-17,41.01,41.43,40.93,41.26,30.04,523700
2010-03-18,41.38,41.64,41.12,41.42,30.15,557200
2010-03-19,41.6,41.79,41.33,41.6,30.28,1111000
2010-03-22,43.08,43.63,42.76,42.87,31.21,1437000
2010-03-23,43.14,43.14,42.63,43.08,31.36,784400
2010-03-24,42.96,42.98,42.25,42.38,30.85,644300
2010-03-25,42.73,42.75,42.25,42.3,30.79,667100
2010-03-26,42.47,42.5,41.78,41.88,30.49,623000
2010-03-29,41.99,42.18,41.83,42.06,30.62,529100
2010-03-30,42.05,42.62,42.03,42.57,30.99,665400
2010-03-31,42.39,42.6,42.2,42.24,30.75,682200
2010-04-01,42.36,42.86,42.28,42.66,31.05,654800
2010-04-05,42.67,43.12,42.56,43.05,31.34,502400
2010-04-06,42.78,42.99,42.64,42.89,31.22,604700
2010-04-07,42.85,43.28,42.7,42.95,31.27,695200
2010-04-08,42.92,43.05,42.68,42.99,31.29,554000
2010-04-09,43.0,43.41,42.85,43.25,31.48,617600
2010-04-12,43.39,43.49,43.12,43.22,31.46,647400
2010-04-13,43.2,43.27,42.94,43.23,31.47,983400
2010-04-14,43.41,44.78,43.27,44.63,32.49,1798500
2010-04-15,44.54,45.42,44.12,45.42,33.06,1989800
2010-04-16,45.27,45.32,42.6,42.68,31.07,2559200
2010-04-19,42.57,43.03,42.21,42.92,31.24,1103800
2010-04-20,43.15,43.26,42.84,43.06,31.35,895400
2010-04-21,42.98,43.14,42.71,43.1,31.37,738400
2010-04-22,42.85,43.06,42.33,42.98,31.29,1399300
2010-04-23,42.98,43.28,42.63,43.27,31.5,722500
2010-04-26,43.4,43.76,43.16,43.16,31.42,682000
2010-04-27,42.89,43.03,42.07,42.15,30.68,1002200
2010-04-28,42.35,42.84,42.07,42.62,31.03,1210900
2010-04-29,43.22,43.45,42.83,43.24,31.48,1108900
2010-04-30,43.3,43.43,42.8,42.8,31.16,1157000
2010-05-03,43.18,43.7,42.88,43.54,31.69,836400
2010-05-04,42.95,42.95,41.95,42.18,30.7,903300
2010-05-05,41.94,42.3,41.45,41.75,30.39,1153700
2010-05-06,41.63,41.96,38.0,40.32,29.35,2043300
