Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,27.17,27.26,26.91,26.93,26.52,817000
2010-01-04,27.11,27.25,26.23,26.33,25.94,2533400
2010-01-05,26.25,26.39,26.08,26.28,25.88,1288600
2010-01-06,26.31,26.38,26.02,26.18,25.79,1628200
2010-01-07,26.18,26.2,25.89,26.02,25.63,2467800
2010-01-08,24.6,24.87,24.12,24.49,24.12,6437000
2010-01-11,24.47,24.49,23.69,23.91,23.55,4421000
2010-01-12,23.85,23.92,23.6,23.89,23.53,2311200
2010-01-13,23.87,24.0,23.65,23.91,23.54,2179600
2010-01-14,23.78,23.96,23.48,23.49,23.14,2981600
2010-01-15,23.5,23.6,23.2,23.24,22.89,2340800
2010-01-19,23.28,23.41,23.15,23.38,23.03,2058600
2010-01-20,23.2,23.38,22.98,23.34,22.99,2188000
2010-01-21,23.39,23.51,22.88,22.93,22.59,3046800
2010-01-22,22.94,23.05,22.69,22.7,22.36,2421200
2010-01-25,22.91,22.91,22.45,22.65,22.31,2003600
2010-01-26,22.56,22.8,22.45,22.62,22.28,1948000
2010-01-27,22.5,22.77,22.48,22.75,22.41,2506200
2010-01-28,23.43,23.44,22.62,22.64,22.3,2522200
2010-01-29,22.66,22.66,22.25,22.25,21.91,2063200
2010-02-01,22.35,22.5,22.02,22.5,22.16,1520200
2010-02-02,22.47,22.75,22.38,22.66,22.32,1491200
2010-02-03,22.51,22.77,22.51,22.63,22.29,1595200
2010-02-04,23.19,23.19,22.55,22.61,22.27,2590600
2010-02-05,22.58,22.77,22.38,22.57,22.23,2548200
2010-02-08,22.52,22.68,22.33,22.49,22.15,1417800
2010-02-09,22.73,22.85,22.52,22.74,22.4,1079600
2010-02-10,22.65,22.75,22.5,22.6,22.27,740400
2010-02-11,22.62,22.85,22.4,22.8,22.46,697000
2010-02-12,22.66,22.67,22.12,22.25,21.92,2655000
2010-02-16,22.36,22.41,22.16,22.3,21.97,2835400
2010-02-17,22.3,22.4,21.77,21.85,21.53,3589800
2010-02-18,21.77,22.05,21.75,21.92,21.6,2535000
2010-02-19,21.83,21.92,21.67,21.8,21.48,2136000
2010-02-22,21.83,21.87,21.49,21.51,21.2,1924400
2010-02-23,21.43,21.57,21.25,21.36,21.05,2873000
2010-02-24,21.41,21.59,21.32,21.55,21.23,1398400
2010-02-25,21.38,21.55,21.25,21.47,21.16,1431000
2010-02-26,21.51,21.52,21.28,21.41,21.09,1969800
2010-03-01,21.49,21.91,21.49,21.89,21.56,2413000
2010-03-02,21.88,21.94,21.53,21.75,21.44,1795000
2010-03-03,21.72,21.73,21.4,21.41,21.1,1580200
2010-03-04,21.4,21.5,21.27,21.38,21.06,1300000
2010-03-05,21.45,21.89,21.4,21.83,21.51,1486400
2010-03-08,21.83,22.03,21.81,21.98,21.66,916800
2010-03-09,22.03,22.71,22.01,22.51,22.19,2737200
2010-03-10,23.08,23.08,22.6,22.7,22.37,2272400
2010-03-11,22.68,22.68,22.39,22.63,22.3,1322800
2010-03-12,22.67,22.74,22.4,22.6,22.27,1298600
2010-03-15,22.51,22.59,22.17,22.31,21.98,1133400
2010-03-16,22.31,22.5,22.2,22.5,22.17,781400
2010-03-17,22.53,23.16,22.53,23.03,22.69,1786800
2010-03-18,23.01,23.31,23.01,23.22,22.88,1018600
2010-03-19,23.01,23.47,22.87,23.01,22.67,1747000
2010-03-22,22.94,23.38,22.88,23.37,23.03,930000
2010-03-23,23.42,23.42,23.01,23.19,22.85,972800
2010-03-24,23.08,23.08,22.49,22.56,22.23,1634800
2010-03-25,22.72,22.84,22.5,22.73,22.39,1335400
2010-03-26,22.69,22.83,22.68,22.8,22.47,1681600
2010-03-29,22.81,22.94,22.74,22.93,22.6,1008800
2010-03-30,22.98,23.31,22.98,23.16,22.82,2114400
2010-03-31,23.16,23.33,22.68,22.77,22.44,3135000
2010-04-01,24.12,24.48,22.75,22.82,22.49,7231600
2010-04-05,22.89,22.89,22.25,22.34,22.02,4005200
2010-04-06,22.3,22.72,22.12,22.61,22.28,2748400
2010-04-07,22.52,22.57,21.99,22.1,21.78,3634800
2010-04-08,21.95,22.05,21.75,21.83,21.51,2802800
2010-04-09,21.77,21.81,21.45,21.64,21.32,1893400
2010-04-12,21.53,21.99,21.53,21.96,21.64,2554400
2010-04-13,21.91,21.94,21.67,21.77,21.46,2185200
2010-04-14,21.92,22.15,21.78,22.13,21.81,2762800
2010-04-15,22.4,22.84,22.37,22.82,22.48,3820800
2010-04-16,22.75,23.23,22.7,22.93,22.6,5495000
2010-04-19,22.86,22.94,22.48,22.92,22.59,3900000
2010-04-20,22.99,23.02,22.59,22.68,22.35,2938200
2010-04-21,22.75,22.82,22.34,22.75,22.41,2796800
2010-04-22,22.6,22.7,22.41,22.63,22.3,2485400
2010-04-23,22.63,22.97,22.5,22.95,22.62,2326600
2010-04-26,22.9,23.01,22.64,22.65,22.32,2158200
2010-04-27,22.62,22.75,22.25,22.3,21.97,2835600
2010-04-28,22.38,22.5,22.17,22.21,21.89,1642200
2010-04-29,22.26,22.29,22.0,22.14,21.82,2200200
2010-04-30,22.09,22.33,21.39,21.41,21.09,3140800
2010-05-03,21.4,21.75,21.31,21.61,21.29,2612200
2010-05-04,21.47,21.48,21.18,21.43,21.12,2260600
2010-05-05,21.16,21.57,21.16,21.5,21.19,2705200
2010-05-06,21.4,22.25,20.88,21.46,21.15,6863200
2010-05-07,21.5,21.5,20.1,20.24,19.94,5665800
2010-05-10,21.03,21.03,20.58,20.81,20.5,3078200
2010-05-11,20.61,20.78,20.53,20.58,20.27,2409400
2010-05-12,20.67,21.01,20.67,20.99,20.68,1801200
2010-05-13,20.97,21.58,20.86,21.43,21.13,4655000
2010-05-14,21.13,21.32,20.67,20.81,20.51,3894400
2010-05-17,20.82,21.2,20.77,21.17,20.87,3706800
2010-05-18,21.33,21.53,21.12,21.25,20.95,4040200
2010-05-19,21.15,21.47,20.9,21.17,20.87,3694800
2010-05-20,20.78,21.03,20.44,20.51,20.22,4786200
2010-05-21,20.39,21.02,20.11,21.01,20.72,4205200
2010-05-24,20.92,21.02,20.65,20.65,20.35,2557200
2010-05-25,20.28,20.62,20.09,20.59,20.3,3276600
2010-05-26,20.71,20.96,20.51,20.61,20.32,3301600
2010-05-27,20.93,21.15,20.83,21.15,20.85,1838000
2010-05-28,21.05,21.31,20.98,21.09,20.8,2111200
2010-06-01,20.99,21.08,20.7,20.72,20.43,2912000
2010-06-02,20.78,20.83,20.41,20.79,20.5,1654800
2010-06-03,20.86,21.18,20.74,21.15,20.85,1828800
2010-06-04,20.79,20.94,20.37,20.43,20.15,1495200
2010-06-07,20.42,20.54,20.01,20.03,19.75,1445600
2010-06-08,20.12,20.16,19.85,20.05,19.77,1415600
2010-06-09,20.13,20.42,19.94,20.0,19.72,1412400
2010-06-10,20.26,20.77,20.2,20.75,20.45,1511400
2010-06-11,20.54,20.83,20.49,20.78,20.49,1231000
2010-06-14,20.97,21.06,20.72,20.73,20.44,862600
2010-06-15,20.81,21.34,20.76,21.32,21.02,1157200
2010-06-16,21.29,21.44,21.22,21.27,20.97,1398000
2010-06-17,21.28,21.39,21.21,21.28,20.98,713800
2010-06-18,21.25,21.37,21.16,21.31,21.0,643000
2010-06-21,21.42,21.42,19.17,19.44,19.17,8140400
2010-06-22,19.42,19.96,19.32,19.7,19.42,3561800
2010-06-23,19.75,19.75,19.42,19.45,19.18,2010800
2010-06-24,19.4,19.48,19.05,19.08,18.8,1657800
2010-06-25,19.08,19.42,18.97,19.33,19.05,1966200
2010-06-28,19.34,19.41,19.17,19.3,19.02,897400
2010-06-29,19.07,19.08,18.5,18.59,18.33,1565600
2010-06-30,18.51,18.61,18.22,18.27,18.01,2489800
2010-07-01,18.3,18.33,17.8,18.05,17.79,2630000
2010-07-02,18.17,18.22,17.91,18.08,17.83,875800
2010-07-06,18.38,18.46,18.01,18.12,17.87,1403400
2010-07-07,18.1,18.73,18.1,18.72,18.45,1150200
2010-07-08,18.74,18.83,18.37,18.55,18.28,1416600
2010-07-09,18.57,18.83,18.5,18.8,18.53,941000
2010-07-12,18.73,18.85,18.66,18.78,18.51,847200
2010-07-13,18.89,19.17,18.89,19.13,18.86,1216200
2010-07-14,19.11,19.22,19.03,19.19,18.92,679600
2010-07-15,19.12,19.18,18.86,19.12,18.85,966000
2010-07-16,19.01,19.02,18.47,18.48,18.21,1073400
2010-07-19,18.57,18.69,18.48,18.61,18.35,673000
2010-07-20,18.41,18.72,18.24,18.69,18.43,1109600
2010-07-21,18.75,18.83,18.5,18.69,18.43,1283000
2010-07-22,18.89,19.43,18.89,19.4,19.12,1437200
2010-07-23,19.33,19.85,19.28,19.84,19.56,1560800
2010-07-26,19.9,20.05,19.81,20.03,19.75,1317200
2010-07-27,20.15,20.28,19.89,19.97,19.68,1599400
2010-07-28,17.65,18.28,17.31,18.27,18.02,9337600
2010-07-29,18.31,18.77,18.3,18.7,18.44,3220600
2010-07-30,18.49,18.9,18.38,18.86,18.6,2133000
2010-08-02,19.03,19.3,18.88,19.26,18.99,2133600
2010-08-03,19.17,19.25,19.06,19.15,18.87,1635800
2010-08-04,19.24,19.25,19.01,19.11,18.84,2423400
2010-08-05,19.04,19.18,18.94,19.08,18.8,974000
2010-08-06,18.95,19.34,18.87,19.3,19.02,1149200
2010-08-09,19.4,19.6,19.36,19.57,19.29,907600
2010-08-10,19.36,19.5,19.19,19.4,19.13,907200
2010-08-11,19.19,19.21,18.9,18.95,18.69,1505000
2010-08-12,18.81,18.91,18.55,18.75,18.48,1285600
2010-08-13,18.66,18.75,18.56,18.59,18.34,876400
2010-08-16,18.51,18.77,18.43,18.67,18.42,541600
2010-08-17,18.77,19.01,18.74,18.86,18.6,793400
2010-08-18,18.83,19.08,18.72,19.0,18.74,520600
2010-08-19,18.92,18.92,18.65,18.8,18.54,701200
2010-08-20,18.76,18.98,18.58,18.94,18.69,852600
2010-08-23,18.98,19.07,18.73,18.73,18.47,469800
2010-08-24,18.5,18.81,18.4,18.7,18.45,1698400
2010-08-25,18.62,18.9,18.58,18.84,18.59,898000
2010-08-26,18.94,18.97,18.81,18.89,18.63,752000
2010-08-27,19.02,19.17,18.77,19.17,18.91,667200
2010-08-30,19.12,19.3,18.95,18.97,18.71,925400
2010-08-31,18.9,19.05,18.69,18.82,18.56,1099200
2010-09-01,19.05,19.4,19.02,19.4,19.13,1183400
2010-09-02,19.31,19.56,19.28,19.53,19.26,641800
2010-09-03,19.88,19.88,19.6,19.75,19.48,627200
2010-09-07,19.67,19.69,19.41,19.42,19.16,685200
2010-09-08,19.42,19.65,19.41,19.51,19.24,669800
2010-09-09,19.74,19.89,19.59,19.78,19.52,670000
2010-09-10,19.85,20.0,19.75,19.94,19.67,460200
2010-09-13,20.09,20.33,20.06,20.27,20.0,739400
2010-09-14,20.2,20.35,20.16,20.21,19.93,532400
2010-09-15,20.12,20.37,20.04,20.32,20.04,880000
2010-09-16,20.23,20.5,20.23,20.44,20.16,820800
2010-09-17,20.54,20.65,20.39,20.39,20.11,963000
2010-09-20,20.49,20.68,20.24,20.67,20.38,955400
2010-09-21,20.61,20.67,20.42,20.46,20.18,873800
2010-09-22,20.42,20.6,20.33,20.37,20.09,432000
2010-09-23,20.22,20.5,20.09,20.18,19.91,885600
2010-09-24,20.27,20.75,20.27,20.71,20.43,800400
2010-09-27,20.75,21.01,20.57,20.96,20.67,905800
2010-09-28,21.02,21.05,20.7,21.0,20.71,841400
2010-09-29,20.88,21.28,20.84,21.24,20.95,926800
2010-09-30,21.32,21.59,21.18,21.44,21.15,1430600
2010-10-01,21.62,21.76,20.78,21.03,20.75,1941400
2010-10-04,21.02,21.11,20.58,20.83,20.54,949400
2010-10-05,21.0,21.03,20.76,20.95,20.66,1129200
2010-10-06,20.92,21.02,20.76,20.89,20.6,516000
2010-10-07,21.0,21.0,20.82,20.89,20.61,597000
2010-10-08,20.9,21.09,20.75,21.01,20.73,591600
2010-10-11,21.11,21.38,21.0,21.17,20.88,868400
2010-10-12,19.46,19.65,18.84,19.45,19.18,9053600
2010-10-13,19.47,19.52,19.19,19.38,19.12,2535400
2010-10-14,19.33,19.58,19.25,19.3,19.03,1386400
2010-10-15,19.43,19.5,19.25,19.45,19.18,1439800
2010-10-18,19.51,19.57,19.42,19.53,19.27,1080800
2010-10-19,19.36,19.41,19.07,19.18,18.92,1459800
2010-10-20,19.27,19.55,19.17,19.2,18.94,1929800
2010-10-21,19.28,19.47,19.08,19.22,18.96,2144400
2010-10-22,19.22,19.67,19.05,19.65,19.38,1750400
2010-10-25,19.77,20.0,19.72,19.92,19.65,2608200
2010-10-26,19.81,20.03,19.6,19.93,19.66,1681000
2010-10-27,19.78,19.84,19.55,19.65,19.38,1863000
2010-10-28,19.71,19.75,19.38,19.5,19.24,831000
2010-10-29,19.5,19.58,19.48,19.48,19.21,738000
2010-11-01,19.57,19.68,19.35,19.48,19.21,797600
2010-11-02,19.6,19.91,19.6,19.84,19.57,1174400
2010-11-03,19.88,19.92,19.72,19.83,19.56,1116400
2010-11-04,20.0,20.16,19.86,20.12,19.85,1695200
2010-11-05,20.15,20.2,20.08,20.17,19.89,2660400
2010-11-08,20.1,20.54,20.1,20.47,20.19,1111000
2010-11-09,20.48,20.63,20.39,20.44,20.16,933400
2010-11-10,20.5,20.73,20.36,20.72,20.43,1213800
2010-11-11,20.54,20.72,20.3,20.69,20.41,866000
2010-11-12,20.61,20.73,20.51,20.62,20.35,1490800
2010-11-15,20.66,20.69,20.53,20.55,20.28,1070400
2010-11-16,20.41,20.41,20.05,20.15,19.88,1247400
2010-11-17,20.2,20.33,20.09,20.11,19.85,1387600
2010-11-18,20.28,20.69,20.27,20.59,20.32,875800
2010-11-19,20.55,20.64,20.34,20.52,20.25,686000
2010-11-22,20.45,20.56,20.25,20.51,20.25,779200
2010-11-23,20.32,20.47,20.18,20.24,19.97,730600
2010-11-24,20.28,20.73,20.26,20.66,20.38,592200
2010-11-26,20.51,20.85,20.45,20.78,20.51,303200
2010-11-29,20.63,20.74,20.33,20.6,20.33,886400
2010-11-30,20.39,20.8,20.39,20.78,20.51,1132400
2010-12-01,21.0,21.34,20.94,21.15,20.87,1126400
2010-12-02,21.19,21.3,21.13,21.18,20.9,876600
2010-12-03,21.16,21.44,21.13,21.38,21.1,1870000
2010-12-06,21.32,21.33,20.86,21.08,20.8,1420200
2010-12-07,21.26,21.57,21.18,21.5,21.22,1158600
2010-12-08,21.52,21.88,21.51,21.7,21.42,1242800
2010-12-09,21.83,22.07,21.75,22.02,21.73,1282600
2010-12-10,22.06,22.14,21.83,22.05,21.76,521000
2010-12-13,22.1,22.18,21.88,21.99,21.7,657000
2010-12-14,21.92,22.27,21.82,22.16,21.86,765400
2010-12-15,22.1,22.4,22.1,22.22,21.92,966600
2010-12-16,22.28,22.42,21.72,21.95,21.67,2078000
2010-12-17,22.14,22.45,22.14,22.36,22.07,1488000
2010-12-20,22.48,22.57,22.24,22.41,22.11,618200
2010-12-21,22.42,22.61,22.23,22.6,22.3,699000
2010-12-22,22.67,22.95,22.59,22.94,22.64,983400
