Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,61.33,61.52,60.41,60.5,51.93,1384600
2010-01-04,61.84,63.43,61.77,63.16,54.21,3729300
2010-01-05,63.6,64.22,63.14,63.55,54.55,3195800
2010-01-06,63.31,64.51,63.31,63.72,54.69,3545900
2010-01-07,63.56,65.27,63.08,64.94,55.74,4994300
2010-01-08,64.62,65.9,64.08,65.83,56.5,2164400
2010-01-11,66.48,66.49,64.6,65.14,55.91,3038200
2010-01-12,64.48,64.48,62.37,62.53,53.67,5338700
2010-01-13,62.7,63.1,61.0,62.94,54.02,4254900
2010-01-14,62.89,63.21,62.31,63.01,54.08,1725600
2010-01-15,62.89,63.41,61.11,62.43,53.59,3831200
2010-01-19,62.13,63.04,61.65,63.04,54.11,2006800
2010-01-20,62.25,62.38,60.86,62.04,53.25,2369800
2010-01-21,62.3,62.77,59.91,60.19,51.66,5539500
2010-01-22,59.75,61.5,58.69,58.69,50.38,6095600
2010-01-25,59.46,60.58,59.46,59.99,51.49,3809900
2010-01-26,59.11,60.42,58.42,59.09,50.72,4413900
2010-01-27,59.65,61.75,57.2,58.89,50.55,7760000
2010-01-28,59.26,59.46,57.47,57.87,49.67,3651200
2010-01-29,58.43,59.86,57.36,57.79,49.6,5221900
2010-02-01,58.45,59.89,58.18,59.72,51.26,3636000
2010-02-02,59.66,61.28,59.66,61.21,52.54,3454400
2010-02-03,60.9,61.17,59.6,60.07,51.56,2446100
2010-02-04,59.75,59.76,56.99,57.32,49.2,5163900
2010-02-05,57.56,58.04,55.89,57.98,49.77,6737000
2010-02-08,57.91,58.48,56.91,57.03,48.95,3301600
2010-02-09,58.05,58.94,57.31,57.69,49.52,4966400
2010-02-10,57.69,58.65,56.56,57.87,49.67,4739300
2010-02-11,57.88,59.2,57.53,59.03,50.67,2757300
2010-02-12,58.0,58.83,57.63,58.42,50.14,3918300
2010-02-16,59.82,60.62,59.2,60.46,51.89,3241500
2010-02-17,60.82,61.26,60.26,60.76,52.15,3294800
2010-02-18,60.54,61.14,59.65,60.68,52.08,3206100
2010-02-19,60.51,61.09,60.0,60.84,52.22,2453200
2010-02-22,61.31,61.31,59.93,60.13,51.61,2135800
2010-02-23,59.78,59.94,58.37,58.73,50.41,2750800
2010-02-24,58.97,59.52,58.34,59.0,50.64,2211100
2010-02-25,57.99,58.71,57.01,58.66,50.35,2873300
2010-02-26,58.73,59.08,58.22,58.8,50.47,2587200
2010-03-01,59.14,60.11,59.13,60.0,51.5,2388100
2010-03-02,60.33,61.0,59.98,60.22,51.69,3557000
2010-03-03,60.49,61.05,60.37,60.55,51.97,2888300
2010-03-04,60.69,60.89,59.81,60.42,51.86,2807800
2010-03-05,60.99,61.58,60.64,61.54,52.82,3403600
2010-03-08,61.69,61.81,60.62,61.25,52.57,2120900
2010-03-09,60.83,60.97,60.06,60.5,51.93,3453800
2010-03-10,60.36,61.57,60.36,61.27,52.59,2898400
2010-03-11,60.91,61.17,60.5,60.95,52.4,2358300
2010-03-12,61.32,61.66,61.0,61.26,52.67,1628900
2010-03-15,60.87,61.08,60.03,60.43,51.95,3022800
2010-03-16,60.78,61.76,60.34,61.65,53.0,3079600
2010-03-17,62.02,63.11,61.99,62.65,53.86,2901900
2010-03-18,62.45,62.54,60.8,61.66,53.01,2830400
2010-03-19,61.19,62.13,60.46,61.19,52.61,4025600
2010-03-22,60.49,61.63,60.28,61.38,52.77,2495900
2010-03-23,61.23,61.63,60.79,61.43,52.81,2575500
2010-03-24,60.92,61.89,60.65,61.44,52.82,2614100
2010-03-25,62.02,62.02,60.17,60.25,51.8,2397500
2010-03-26,60.64,60.81,59.33,59.67,51.3,3241000
2010-03-29,60.1,61.44,59.73,61.08,52.51,3434500
2010-03-30,61.25,62.39,60.82,62.12,53.41,3512000
2010-03-31,62.23,63.15,61.8,62.55,53.78,2894800
