Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,23.68,23.94,23.26,23.26,18.96,2988900
2010-01-04,23.71,23.96,23.51,23.86,19.45,6944100
2010-01-05,23.73,25.75,23.67,25.69,20.94,12424000
2010-01-06,25.51,26.38,25.09,26.12,21.29,10690200
2010-01-07,26.0,26.72,25.82,26.52,21.62,7033600
2010-01-08,26.39,26.57,25.77,26.22,21.37,5130500
2010-01-11,26.42,26.6,25.85,26.17,21.33,5188500
2010-01-12,28.04,28.59,27.09,27.12,22.11,23618800
2010-01-13,27.23,28.06,27.2,27.84,22.69,7752000
2010-01-14,27.69,27.7,26.91,27.26,22.22,9251600
2010-01-15,27.23,27.3,26.52,26.78,21.83,7727900
2010-01-19,26.65,27.5,26.5,27.48,22.4,5322100
2010-01-20,27.09,27.45,26.78,26.97,21.98,4622900
2010-01-21,26.96,27.14,25.52,25.56,20.83,12520600
2010-01-22,25.55,25.8,24.53,24.61,20.06,10500600
2010-01-25,25.13,25.31,24.24,24.66,20.1,7099300
2010-01-26,24.45,25.3,24.32,24.41,19.9,6690400
2010-01-27,24.37,24.99,23.95,24.96,20.35,7216500
2010-01-28,25.28,25.28,23.99,24.22,19.74,6607000
2010-01-29,24.46,24.95,23.82,23.99,19.55,6691400
2010-02-01,24.28,24.49,24.03,24.39,19.88,4371600
2010-02-02,24.5,25.49,24.34,25.39,20.7,7337000
2010-02-03,25.24,25.25,24.33,24.58,20.04,6416700
2010-02-04,24.34,24.45,23.17,23.19,18.9,8083800
2010-02-05,23.17,23.8,22.2,23.53,19.18,9837100
2010-02-08,23.82,24.3,23.3,23.46,19.12,10869100
2010-02-09,23.39,23.82,21.97,22.34,18.21,20527700
2010-02-10,22.33,23.28,21.6,23.07,18.8,17883100
2010-02-11,23.15,23.18,22.62,23.04,18.78,7192400
2010-02-12,22.71,23.5,22.41,23.45,19.11,5748700
2010-02-16,23.82,24.0,23.51,23.95,19.52,5483200
2010-02-17,23.97,24.3,23.79,24.08,19.63,6257500
2010-02-18,23.95,24.35,23.75,24.14,19.68,5024000
2010-02-19,24.07,24.43,23.75,24.34,19.84,4674200
2010-02-22,24.61,24.85,24.26,24.81,20.22,4964800
2010-02-23,24.67,24.71,23.65,23.85,19.44,7428900
2010-02-24,23.94,24.34,23.83,24.33,19.83,5243300
2010-02-25,23.91,24.38,23.71,24.34,19.88,4502600
2010-02-26,24.29,24.49,24.08,24.37,19.91,4635100
2010-03-01,24.56,24.81,24.43,24.81,20.26,4506700
2010-03-02,25.02,25.95,24.72,25.72,21.01,14139300
2010-03-03,25.79,25.9,25.22,25.36,20.71,6718400
2010-03-04,25.47,26.42,25.22,26.35,21.52,8881900
2010-03-05,26.6,27.06,26.28,26.86,21.94,7430400
2010-03-08,27.1,27.38,26.7,26.93,22.0,5341100
2010-03-09,27.14,27.17,26.5,26.58,21.71,6949500
2010-03-10,26.55,27.45,26.47,27.26,22.27,8331100
2010-03-11,27.06,27.52,27.02,27.29,22.29,5281900
2010-03-12,27.53,27.59,26.66,26.75,21.85,5952800
2010-03-15,26.53,26.86,26.09,26.82,21.91,7240600
2010-03-16,26.77,27.29,26.46,27.26,22.27,7140600
2010-03-17,28.26,29.12,28.2,28.58,23.34,24458500
2010-03-18,28.66,28.75,27.66,27.84,22.74,58662500
2010-03-19,27.26,27.98,26.91,27.26,22.27,19144500
2010-03-22,27.01,27.81,26.9,27.63,22.57,14975100
2010-03-23,27.74,27.9,27.37,27.86,22.76,9217400
2010-03-24,27.68,28.4,27.52,28.14,22.98,10372500
2010-03-25,28.35,28.61,27.77,27.85,22.75,14156600
2010-03-26,27.82,28.49,27.75,27.97,22.85,10766900
2010-03-29,28.16,28.23,27.57,28.18,23.02,7574000
2010-03-30,28.01,28.18,27.86,28.04,22.9,7775600
2010-03-31,28.01,28.68,27.85,28.42,23.21,21737100
2010-04-01,28.91,29.25,28.71,28.88,23.59,9081800
2010-04-05,29.27,29.48,28.95,29.34,23.96,5124000
2010-04-06,29.28,29.42,28.94,29.03,23.71,6285200
2010-04-07,28.75,29.03,28.21,28.5,23.28,9842000
2010-04-08,28.34,28.65,28.06,28.55,23.32,6022100
2010-04-09,28.71,28.83,27.86,28.0,22.87,7789200
2010-04-12,28.12,28.25,27.55,27.89,22.78,10101500
2010-04-13,27.71,28.02,27.64,27.96,22.84,8393400
2010-04-14,28.14,28.18,27.89,28.15,22.99,14868900
2010-04-15,28.0,28.15,27.58,27.77,22.68,9789200
2010-04-16,27.62,27.98,26.69,27.02,22.07,10674600
2010-04-19,26.78,27.64,26.57,27.6,22.54,8310000
2010-04-20,27.8,28.78,27.71,28.77,23.5,12644100
2010-04-21,28.79,28.79,28.2,28.75,23.48,7410900
2010-04-22,28.39,28.9,28.21,28.86,23.57,7753500
2010-04-23,28.89,29.6,28.57,29.56,24.14,7176200
2010-04-26,29.74,30.46,29.42,29.62,24.19,11693400
2010-04-27,29.4,29.59,28.31,28.45,23.24,11884700
2010-04-28,28.76,29.32,28.51,28.92,23.62,7677300
2010-04-29,29.3,29.85,28.86,29.64,24.21,9588600
2010-04-30,29.48,29.48,28.38,28.57,23.34,8607300
2010-05-03,28.87,29.21,28.67,28.99,23.68,7020200
2010-05-04,28.5,28.54,27.46,27.66,22.59,8313800
2010-05-05,26.41,28.44,26.41,27.28,22.28,9526700
2010-05-06,27.21,28.06,24.0,26.06,21.29,19249300
2010-05-07,25.62,26.59,24.88,25.3,20.66,18399400
2010-05-10,26.34,27.57,25.25,27.02,22.07,11714600
2010-05-11,26.6,27.43,26.42,26.74,21.84,5808700
2010-05-12,27.08,27.4,26.76,27.33,22.32,4782900
2010-05-13,27.17,27.4,26.78,26.79,21.88,4796400
2010-05-14,26.4,26.63,25.8,26.21,21.41,7048900
2010-05-17,26.2,26.55,25.17,25.96,21.2,7060700
2010-05-18,26.43,26.63,25.17,25.24,20.62,10556600
2010-05-19,25.05,26.2,24.79,25.42,20.76,9097500
2010-05-20,24.6,24.9,23.49,23.64,19.31,11355100
2010-05-21,23.06,24.47,23.03,24.31,19.86,13040800
2010-05-24,24.44,24.74,23.83,23.93,19.55,9077000
2010-05-25,22.92,24.32,22.64,24.19,19.76,11724600
2010-05-26,24.65,25.09,23.8,23.84,19.47,15621500
2010-05-27,24.6,25.53,24.4,25.52,20.89,7638700
2010-05-28,25.46,25.59,24.83,25.07,20.52,6904800
2010-06-01,24.72,25.33,24.4,24.43,20.0,6615400
2010-06-02,24.67,25.55,24.51,25.49,20.86,7450100
2010-06-03,25.75,25.9,24.93,25.14,20.58,6728200
2010-06-04,24.52,24.67,23.46,23.57,19.29,9800200
2010-06-07,23.8,23.9,22.27,22.29,18.24,11437100
2010-06-08,22.53,22.82,21.84,22.75,18.62,8989700
2010-06-09,23.02,23.78,22.62,22.74,18.61,8142300
2010-06-10,23.26,23.95,23.24,23.9,19.56,6569800
2010-06-11,23.44,24.04,23.15,24.01,19.65,6907800
2010-06-14,24.64,25.54,24.62,24.88,20.36,11222400
2010-06-15,25.12,25.58,24.88,25.52,20.89,7187200
2010-06-16,25.25,25.5,24.85,25.01,20.47,5487900
2010-06-17,25.13,25.31,24.51,24.94,20.41,4720000
2010-06-18,24.98,25.3,24.86,25.12,20.56,5745100
2010-06-21,25.61,25.8,24.61,24.78,20.28,5588800
2010-06-22,24.81,25.16,24.43,24.5,20.05,6172900
2010-06-23,24.6,24.9,24.27,24.63,20.16,5257100
2010-06-24,24.47,24.47,23.61,23.71,19.41,6175700
2010-06-25,23.97,24.17,23.63,24.07,19.7,7974000
2010-06-28,24.27,24.31,23.58,23.62,19.33,3771000
2010-06-29,23.11,23.22,22.0,22.16,18.14,7307100
2010-06-30,22.08,22.59,21.92,22.13,18.11,10378200
2010-07-01,21.95,22.39,20.95,21.85,17.88,9698200
2010-07-02,22.15,22.37,21.35,21.71,17.77,5126700
2010-07-06,22.17,22.8,21.37,21.64,17.71,8209300
2010-07-07,21.64,22.44,21.41,22.41,18.34,10921900
2010-07-08,22.68,22.84,22.17,22.67,18.56,5789600
2010-07-09,22.64,23.56,22.53,23.53,19.26,6380600
2010-07-12,23.52,23.52,22.82,23.15,18.95,5775500
2010-07-13,23.66,24.07,23.41,23.94,19.59,5948100
2010-07-14,23.68,23.68,23.0,23.24,19.02,7346200
2010-07-15,23.29,23.35,22.26,22.78,18.65,7644600
2010-07-16,22.39,22.6,21.66,21.77,17.82,6427800
2010-07-19,22.0,22.06,21.34,21.88,17.91,4991700
2010-07-20,21.34,22.19,21.21,22.16,18.14,4849000
2010-07-21,22.55,22.77,21.7,21.75,17.8,5861100
2010-07-22,22.17,23.08,21.99,23.04,18.86,6716600
2010-07-23,22.89,23.67,22.63,23.43,19.18,6442500
2010-07-26,23.46,23.78,23.15,23.4,19.15,5800900
2010-07-27,23.74,23.84,23.05,23.29,19.06,5744100
2010-07-28,23.15,23.18,22.75,22.81,18.67,3853800
2010-07-29,23.09,23.58,22.8,23.3,19.07,6809100
2010-07-30,22.96,23.59,22.8,23.41,19.16,6746100
2010-08-02,23.86,24.27,23.56,24.12,19.74,7716300
2010-08-03,24.12,24.12,23.41,23.44,19.19,5026300
2010-08-04,23.63,23.98,23.3,23.84,19.51,6377200
2010-08-05,22.95,23.08,22.35,22.68,18.56,13593900
2010-08-06,22.3,22.68,22.06,22.51,18.42,6577300
2010-08-09,22.6,23.01,22.46,22.85,18.7,5366300
2010-08-10,22.51,22.69,22.12,22.56,18.47,5679900
2010-08-11,21.99,21.99,20.75,20.86,17.07,10719200
2010-08-12,20.5,20.99,20.39,20.67,16.92,6202700
2010-08-13,20.63,21.2,20.51,20.88,17.09,4854300
2010-08-16,20.59,20.67,20.21,20.34,16.65,5294100
