Date,Open,High,Low,Close,Adj Close,Volume
2011-03-22,35.72,37.6,34.0,37.49,33.54,491400
2011-03-23,37.07,37.8,36.95,37.25,33.33,601200
2011-03-24,37.5,37.5,37.15,37.25,33.33,230400
2011-03-25,37.5,39.25,37.25,39.25,35.12,497400
2011-03-28,39.0,39.0,37.75,37.75,33.77,53100
2011-03-29,37.76,37.95,37.47,37.5,33.55,269300
2011-03-30,37.95,38.49,36.58,38.2,34.18,8573500
2011-03-31,38.45,42.74,38.0,41.5,37.13,2653000
2011-04-01,40.99,42.44,39.84,40.04,35.82,2222900
2011-04-04,39.86,41.02,39.14,40.15,35.92,1122700
2011-04-05,39.53,40.33,38.73,40.25,36.01,1373400
2011-04-06,39.86,40.31,39.12,39.68,35.5,2080100
2011-04-07,38.25,39.25,37.51,38.8,34.71,2134600
2011-04-08,38.33,38.88,38.2,38.5,34.44,1307200
2011-04-11,38.5,38.58,38.28,38.32,34.28,1563100
2011-04-12,37.91,38.42,37.66,38.05,34.04,1637500
2011-04-13,37.71,38.37,37.28,38.0,34.0,1649100
2011-04-14,37.9,39.36,37.85,38.77,34.69,1232400
2011-04-15,38.89,40.75,38.81,40.14,35.91,1502100
2011-04-18,39.45,40.22,38.59,40.05,35.83,793700
2011-04-19,40.08,40.12,39.49,39.78,35.59,802400
2011-04-20,40.14,40.36,39.5,40.06,35.84,358200
2011-04-21,40.03,40.19,39.18,39.31,35.17,799400
2011-04-25,39.13,39.41,38.61,39.07,34.95,298000
2011-04-26,38.97,39.71,38.7,39.34,35.2,696700
2011-04-27,38.97,40.2,38.1,40.01,35.8,772000
2011-04-28,40.0,40.24,39.58,39.99,35.78,692000
2011-04-29,40.0,40.17,39.94,40.0,35.79,556000
2011-05-02,39.41,41.19,39.05,40.98,36.66,542100
2011-05-03,40.89,41.09,40.38,40.5,36.23,539000
2011-05-04,40.4,40.67,39.59,39.95,35.74,591800
2011-05-05,39.81,41.2,39.5,39.84,35.64,635800
2011-05-06,40.01,40.15,39.34,39.5,35.34,413800
2011-05-09,39.33,39.85,38.86,39.6,35.43,368900
2011-05-10,39.79,40.34,39.77,40.17,35.94,709100
2011-05-11,39.48,39.5,38.5,38.78,34.7,1297900
2011-05-12,38.8,38.9,38.27,38.39,34.35,382000
2011-05-13,38.31,38.61,37.97,38.46,34.41,435000
2011-05-16,38.2,38.89,38.2,38.69,34.61,303700
2011-05-17,38.41,38.88,38.41,38.78,34.7,369700
2011-05-18,38.64,38.65,38.09,38.5,34.44,559900
2011-05-19,38.45,38.68,38.0,38.38,34.34,519700
2011-05-20,38.33,38.37,37.85,38.06,34.05,349000
2011-05-23,37.73,38.15,37.31,37.8,33.82,283600
2011-05-24,37.71,37.86,37.01,37.17,33.26,368900
2011-05-25,37.02,37.1,36.61,36.67,32.81,327400
2011-05-26,36.43,36.64,36.29,36.42,32.58,481700
2011-05-27,36.68,36.9,36.45,36.58,32.73,241300
2011-05-31,36.76,37.38,36.44,36.57,32.72,835400
2011-06-01,36.57,36.57,35.96,36.1,32.3,669000
2011-06-02,36.02,36.24,35.86,36.05,32.25,317500
2011-06-03,35.67,36.04,35.24,35.8,32.03,421500
2011-06-06,35.69,36.13,35.51,35.98,32.19,355200
2011-06-07,36.0,36.53,35.89,36.44,32.6,252100
2011-06-08,36.28,37.11,36.28,36.97,33.08,254000
2011-06-09,36.94,37.41,36.81,36.99,33.09,986800
2011-06-10,36.86,36.86,36.15,36.33,32.5,462200
2011-06-13,36.33,36.74,36.33,36.51,32.66,385600
2011-06-14,36.7,36.75,36.36,36.58,32.73,231300
2011-06-15,36.25,36.35,35.88,36.16,32.35,289200
2011-06-16,36.11,36.44,35.97,36.0,32.21,290100
2011-06-17,36.18,36.43,35.86,35.95,32.16,494300
2011-06-20,35.83,36.42,35.81,35.99,32.2,1960200
2011-06-21,36.07,36.45,36.03,36.35,32.52,198100
2011-06-22,36.18,36.69,36.0,36.15,32.34,129800
2011-06-23,36.0,36.12,35.72,35.9,32.12,169000
2011-06-24,35.98,35.98,35.25,35.59,31.84,538600
2011-06-27,35.5,35.95,35.17,35.2,31.49,162300
2011-06-28,35.3,35.72,35.05,35.26,31.55,160300
2011-06-29,35.26,35.35,34.72,34.82,31.15,328600
2011-06-30,34.86,35.05,34.23,34.5,30.87,600700
2011-07-01,34.51,35.08,34.45,34.61,30.96,284600
2011-07-05,34.56,34.94,34.52,34.64,30.99,333900
2011-07-06,34.55,36.0,34.19,35.25,31.54,690300
2011-07-07,35.4,35.52,34.4,34.49,30.86,313400
2011-07-08,34.19,35.28,34.18,35.0,31.31,811200
2011-07-11,34.81,35.02,34.43,34.84,31.17,518500
2011-07-12,34.66,34.66,34.15,34.4,30.78,799500
2011-07-13,34.39,34.53,33.21,34.04,30.45,1422700
2011-07-14,34.09,34.09,33.02,33.55,30.02,482700
2011-07-15,33.48,33.66,33.01,33.52,29.99,607400
2011-07-18,33.4,33.57,33.03,33.2,29.7,619000
2011-07-19,33.31,33.33,32.91,33.31,29.8,389800
2011-07-20,33.24,33.71,33.14,33.23,29.73,314100
2011-07-21,33.32,33.65,33.16,33.42,29.9,233500
2011-07-22,33.35,34.04,32.97,33.91,30.34,328500
2011-07-25,33.56,34.52,33.36,34.28,30.67,386900
2011-07-26,35.78,35.78,35.14,35.16,31.46,686500
2011-07-27,34.94,35.22,34.04,34.2,30.6,426900
2011-07-28,34.1,34.58,33.97,34.0,30.42,314400
2011-07-29,33.7,34.1,33.34,33.48,29.95,341700
2011-08-01,33.61,33.66,32.79,32.84,29.38,539400
2011-08-02,32.7,33.34,32.45,32.45,29.03,370800
2011-08-03,32.52,32.68,31.64,32.09,28.71,515200
2011-08-04,31.79,32.16,31.56,31.6,28.27,504800
2011-08-05,31.83,31.83,30.15,31.13,27.85,559100
2011-08-08,30.38,30.66,29.65,29.89,26.74,903800
2011-08-09,30.25,30.25,27.66,29.72,26.59,1206000
2011-08-10,29.35,29.35,27.8,28.01,25.06,1012200
2011-08-11,27.9,28.38,26.49,27.83,24.9,649000
2011-08-12,27.98,29.06,27.83,28.02,25.07,794000
2011-08-15,28.13,28.71,28.12,28.59,25.58,494600
2011-08-16,28.35,29.63,28.35,29.48,26.37,802500
2011-08-17,29.59,29.74,29.08,29.49,26.38,204800
2011-08-18,29.09,29.37,28.22,28.64,25.62,493900
2011-08-19,28.52,29.41,28.52,28.63,25.61,495900
2011-08-22,28.98,29.47,28.28,28.4,25.41,325100
2011-08-23,28.48,29.44,28.1,29.25,26.17,486500
2011-08-24,29.26,30.87,29.26,30.6,27.38,302300
2011-08-25,30.83,30.83,29.6,29.67,26.54,243600
2011-08-26,29.43,30.43,28.85,30.25,27.06,220200
2011-08-29,30.4,30.99,29.8,30.8,27.56,205300
2011-08-30,30.39,30.9,30.19,30.62,27.39,250100
2011-08-31,30.77,31.24,29.71,29.94,26.79,375600
2011-09-01,29.94,30.55,29.45,29.51,26.4,249300
2011-09-02,29.22,29.34,27.55,27.62,24.71,322600
2011-09-06,27.1,27.87,26.56,27.59,24.68,458700
2011-09-07,27.92,29.21,27.86,28.69,25.67,371800
2011-09-08,28.38,28.64,27.08,27.14,24.28,349600
2011-09-09,26.94,27.25,26.39,26.73,23.91,342100
2011-09-12,26.41,27.2,26.4,27.2,24.34,192300
2011-09-13,27.29,28.19,27.19,27.97,25.02,291400
2011-09-14,28.09,28.83,27.53,28.4,25.41,242300
2011-09-15,28.59,28.68,27.76,28.23,25.26,286300
2011-09-16,28.41,28.81,28.15,28.7,25.68,352100
2011-09-19,28.29,28.48,27.74,28.28,25.3,157100
2011-09-20,28.23,28.44,27.29,27.31,24.43,150900
2011-09-21,27.34,28.01,27.25,27.42,24.53,217800
2011-09-22,26.76,27.49,26.76,27.1,24.25,511200
2011-09-23,27.11,27.44,26.68,27.09,24.24,380700
2011-09-26,27.25,27.34,26.41,26.98,24.14,178900
2011-09-27,26.99,27.05,26.5,26.96,24.12,400900
2011-09-28,26.16,26.16,24.26,24.58,21.99,1972300
2011-09-29,24.9,25.15,23.55,24.44,21.87,585900
2011-09-30,24.14,25.21,23.71,24.33,21.77,485500
2011-10-03,24.15,24.26,23.19,23.46,20.99,412700
2011-10-04,23.26,23.38,22.62,23.28,20.83,398600
2011-10-05,23.33,23.47,22.8,22.85,20.44,331200
2011-10-06,22.85,23.87,22.82,23.68,21.19,447200
2011-10-07,23.67,24.39,23.48,23.85,21.34,410700
2011-10-10,24.26,24.63,23.95,24.41,21.84,183100
2011-10-11,24.3,25.44,24.3,25.24,22.58,184600
