Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,23.99,24.05,23.37,23.39,17.67,30512800
2010-01-04,23.41,23.84,23.31,23.82,17.99,27957400
2010-01-05,23.68,23.95,23.66,23.92,18.07,28830500
2010-01-06,23.86,23.95,23.64,23.7,17.9,25866000
2010-01-07,23.7,23.88,23.61,23.71,17.91,22507300
2010-01-08,23.66,23.91,23.63,23.88,18.04,22548200
2010-01-11,23.88,23.94,23.59,23.81,17.99,22335700
2010-01-12,23.63,23.87,23.52,23.6,17.83,27153700
2010-01-13,23.71,23.8,23.46,23.71,17.92,25957800
2010-01-14,23.72,24.04,23.67,23.85,18.02,35483600
2010-01-15,23.88,24.0,23.64,23.83,18.0,29408300
2010-01-19,23.66,23.97,23.66,23.96,18.1,25052500
2010-01-20,23.73,23.81,23.38,23.71,17.91,30609300
2010-01-21,23.8,23.83,23.11,23.29,17.6,40706300
2010-01-22,23.17,23.25,22.37,22.38,16.91,44600100
2010-01-25,22.5,22.9,22.44,22.73,17.17,29677200
2010-01-26,22.75,22.93,22.52,22.59,17.06,34636100
2010-01-27,22.6,22.6,22.03,22.46,16.97,39655800
2010-01-28,22.43,22.45,21.58,21.7,16.4,58488800
2010-01-29,21.97,22.0,21.25,21.38,16.15,51719400
2010-02-01,21.51,21.75,21.44,21.72,16.41,34662100
2010-02-02,21.93,22.17,21.79,22.07,16.67,38453700
2010-02-03,22.01,22.2,21.92,22.13,16.72,25012900
2010-02-04,21.88,22.13,21.34,21.36,16.13,47682300
2010-02-05,21.3,21.57,21.1,21.49,16.23,43448300
2010-02-08,21.41,21.86,21.37,21.61,16.33,38791300
2010-02-09,21.84,22.18,21.73,21.85,16.51,38803600
2010-02-10,22.04,22.13,21.68,21.81,16.47,30548300
2010-02-11,21.8,22.18,21.72,22.08,16.68,28307500
2010-02-12,21.95,22.08,21.63,22.01,16.63,34720900
2010-02-16,22.23,22.52,22.16,22.45,16.96,32341400
2010-02-17,22.6,22.82,22.57,22.76,17.2,51705800
2010-02-18,22.88,23.14,22.65,23.07,17.43,51696100
2010-02-19,22.9,23.16,22.8,23.07,17.42,36685900
2010-02-22,23.03,23.11,22.82,22.96,17.35,27387800
2010-02-23,22.87,23.04,22.7,22.76,17.2,26555000
2010-02-24,22.72,23.16,22.72,23.07,17.42,33065200
2010-02-25,22.8,23.14,22.67,23.12,17.47,28263100
2010-02-26,23.12,23.16,22.98,23.07,17.42,24262000
2010-03-01,23.02,23.46,23.02,23.41,17.68,31158900
2010-03-02,23.42,23.5,23.13,23.22,17.54,33058800
2010-03-03,23.21,23.32,23.16,23.21,17.53,25219500
2010-03-04,23.22,23.42,23.18,23.39,17.67,17791200
2010-03-05,23.49,23.73,23.46,23.63,17.85,34019100
2010-03-08,23.46,23.61,23.42,23.49,17.75,28370100
2010-03-09,23.42,23.72,23.37,23.56,17.8,22527700
2010-03-10,23.55,23.66,23.44,23.51,17.76,25738000
2010-03-11,23.5,23.63,23.33,23.62,17.85,21071500
2010-03-12,23.65,23.81,23.53,23.78,17.96,25892400
2010-03-15,23.69,23.81,23.57,23.81,18.01,22631000
2010-03-16,23.75,23.82,23.66,23.77,17.99,24895800
2010-03-17,23.8,23.96,23.7,23.72,17.95,31279600
2010-03-18,23.71,23.99,23.66,23.95,18.12,31112900
2010-03-19,23.84,24.05,23.71,23.84,18.04,46066500
2010-03-22,23.67,24.09,23.67,24.05,18.19,34552000
2010-03-23,24.07,24.14,23.94,24.14,18.26,21254800
2010-03-24,24.06,24.17,23.97,24.1,18.23,33297500
2010-03-25,24.22,24.43,24.15,24.3,18.38,37032300
2010-03-26,24.33,24.38,24.18,24.26,18.36,31326300
2010-03-29,24.26,24.36,24.02,24.06,18.2,22537200
2010-03-30,24.04,24.24,24.04,24.19,18.3,22335300
2010-03-31,24.02,24.25,23.99,24.14,18.26,28308400
2010-04-01,24.25,24.41,24.04,24.18,18.29,23526100
2010-04-05,24.2,24.5,24.16,24.46,18.51,21758600
2010-04-06,24.38,24.51,24.23,24.46,18.51,21325200
2010-04-07,24.41,24.45,24.05,24.2,18.31,26592800
2010-04-08,24.15,24.41,23.96,24.36,18.43,19832900
2010-04-09,24.36,24.46,24.25,24.46,18.51,16474400
2010-04-12,24.43,24.52,24.42,24.47,18.51,18616300
2010-04-13,24.47,24.51,24.32,24.42,18.48,17861900
2010-04-14,24.53,24.81,24.5,24.76,18.73,26495700
2010-04-15,24.61,24.66,24.32,24.63,18.63,31134000
2010-04-16,24.55,24.86,24.31,24.41,18.47,34406900
2010-04-19,24.27,24.4,24.09,24.36,18.43,23629800
2010-04-20,24.46,24.52,24.23,24.32,18.4,26978600
2010-04-21,24.24,24.54,24.18,24.39,18.45,25513000
2010-04-22,24.21,24.31,23.85,24.21,18.32,27285800
2010-04-23,24.23,24.48,24.08,24.48,18.52,21544100
2010-04-26,24.49,24.8,24.44,24.64,18.64,26640200
2010-04-27,24.53,24.64,24.12,24.18,18.3,32043700
2010-04-28,24.12,24.31,24.11,24.2,18.31,35458300
2010-04-29,23.89,24.07,23.86,24.01,18.17,42994000
2010-04-30,24.07,24.24,23.58,23.6,17.86,34641600
2010-05-03,23.63,24.05,23.61,23.94,18.11,25692900
2010-05-04,23.71,23.73,22.84,23.0,17.4,44013100
2010-05-05,22.84,23.22,22.73,23.13,17.5,30896700
2010-05-06,22.95,23.61,19.05,21.95,16.61,83531100
2010-05-07,21.84,21.93,20.71,21.22,16.06,85063000
2010-05-10,22.26,22.86,22.16,22.3,16.87,51745000
2010-05-11,22.06,22.47,21.9,21.99,16.64,38132600
2010-05-12,22.11,22.64,22.08,22.51,17.03,38938600
2010-05-13,22.5,22.71,22.08,22.13,16.74,34014000
2010-05-14,21.87,21.89,21.16,21.54,16.3,57160600
2010-05-17,21.55,21.66,21.18,21.58,16.33,37365900
2010-05-18,21.91,21.93,21.19,21.25,16.08,47203300
2010-05-19,21.76,21.87,21.04,21.34,16.15,71202900
2010-05-20,20.82,21.24,20.49,20.87,15.79,73032400
2010-05-21,20.42,21.26,20.35,21.15,16.01,61267500
2010-05-24,21.02,21.34,20.73,20.75,15.7,39803700
2010-05-25,20.23,20.84,20.06,20.82,15.75,50023400
