Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,9.68,9.73,9.61,9.61,7.72,926000
2010-01-04,9.63,9.64,9.52,9.57,7.69,2705200
2010-01-05,9.58,9.62,9.51,9.62,7.73,1854400
2010-01-06,9.65,9.69,9.54,9.57,7.68,2583200
2010-01-07,9.59,9.59,9.44,9.52,7.64,2227200
2010-01-08,9.48,9.56,9.45,9.52,7.65,1298800
2010-01-11,9.52,9.58,9.5,9.54,7.66,1304800
2010-01-12,9.53,9.66,9.5,9.64,7.74,1262800
2010-01-13,9.66,9.75,9.65,9.69,7.78,1285600
2010-01-14,9.67,9.69,9.59,9.69,7.78,1430000
2010-01-15,9.69,9.7,9.6,9.64,7.74,1252800
2010-01-19,9.65,9.74,9.61,9.72,7.8,1745200
2010-01-20,9.6,9.63,9.52,9.62,7.77,1169200
2010-01-21,9.65,9.75,9.56,9.64,7.79,2625600
2010-01-22,9.65,9.73,9.62,9.65,7.8,1940800
2010-01-25,9.69,9.75,9.6,9.65,7.79,1884400
2010-01-26,9.65,9.69,9.56,9.66,7.8,1164800
2010-01-27,9.7,9.75,9.65,9.73,7.86,1581600
2010-01-28,9.7,9.72,9.6,9.67,7.81,1787200
2010-01-29,9.71,9.74,9.64,9.68,7.81,1996800
2010-02-01,9.72,9.8,9.66,9.78,7.9,2498800
2010-02-02,9.77,9.91,9.77,9.91,8.0,2017200
2010-02-03,9.86,9.9,9.81,9.86,7.96,1518400
2010-02-04,9.81,9.84,9.69,9.7,7.84,1852000
2010-02-05,9.73,9.77,9.65,9.75,7.87,2098800
2010-02-08,9.77,9.79,9.71,9.72,7.84,1730000
2010-02-09,9.76,9.86,9.72,9.81,7.92,1414000
2010-02-10,9.86,9.93,9.78,9.9,8.0,1916000
2010-02-11,9.88,9.95,9.77,9.95,8.03,1276000
2010-02-12,9.87,9.94,9.82,9.91,8.01,2121200
2010-02-16,9.94,10.07,9.9,10.06,8.13,2831200
2010-02-17,10.06,10.18,10.06,10.15,8.19,2933200
2010-02-18,10.66,10.67,10.46,10.57,8.53,7535600
2010-02-19,10.41,10.49,10.21,10.39,8.39,5826400
2010-02-22,10.44,10.47,10.35,10.4,8.4,2711600
2010-02-23,10.4,10.46,10.28,10.3,8.31,3058400
2010-02-24,10.3,10.4,10.3,10.36,8.36,2748000
2010-02-25,10.26,10.32,10.21,10.3,8.31,2755200
2010-02-26,10.33,10.36,10.24,10.28,8.3,2124400
2010-03-01,10.32,10.4,10.29,10.33,8.34,1599600
2010-03-02,10.39,10.48,10.33,10.46,8.44,2898800
2010-03-03,10.3,10.44,10.19,10.35,8.35,2535200
2010-03-04,10.38,10.47,10.36,10.45,8.44,1935200
2010-03-05,10.5,10.5,10.42,10.46,8.45,2484800
2010-03-08,10.43,10.48,10.38,10.42,8.41,2328400
2010-03-09,10.43,10.45,10.38,10.42,8.41,2424800
2010-03-10,10.45,10.45,10.35,10.41,8.4,2031600
2010-03-11,10.39,10.39,10.27,10.39,8.39,1496800
2010-03-12,10.39,10.4,10.27,10.32,8.33,2466400
2010-03-15,10.31,10.38,10.29,10.33,8.34,1585600
2010-03-16,10.36,10.36,10.31,10.35,8.35,1366000
2010-03-17,10.36,10.39,10.3,10.39,8.39,1717600
2010-03-18,10.39,10.45,10.36,10.39,8.39,1782800
2010-03-19,10.35,10.44,10.28,10.35,8.36,2388800
2010-03-22,10.27,10.4,10.27,10.4,8.4,1498400
2010-03-23,10.45,10.46,10.34,10.46,8.44,1370800
2010-03-24,10.45,10.48,10.42,10.47,8.45,1708800
2010-03-25,10.5,10.5,10.36,10.41,8.41,2067600
2010-03-26,10.45,10.49,10.42,10.49,8.47,2565600
2010-03-29,10.5,10.62,10.49,10.61,8.57,2113600
2010-03-30,10.63,10.63,10.49,10.55,8.52,1986000
2010-03-31,10.54,10.6,10.48,10.5,8.48,1378800
2010-04-01,10.52,10.6,10.49,10.54,8.51,1051600
2010-04-05,10.57,10.59,10.43,10.48,8.46,1515600
2010-04-06,10.46,10.47,10.41,10.45,8.44,1753200
2010-04-07,10.45,10.49,10.39,10.44,8.43,1498000
2010-04-08,10.44,10.44,10.36,10.39,8.39,1508000
2010-04-09,10.38,10.44,10.36,10.44,8.43,1173200
2010-04-12,10.46,10.47,10.43,10.44,8.43,1804000
2010-04-13,10.43,10.49,10.36,10.48,8.47,1595200
2010-04-14,10.44,10.49,10.39,10.49,8.51,1426000
2010-04-15,10.49,10.54,10.43,10.52,8.53,1322000
2010-04-16,10.51,10.55,10.44,10.46,8.49,3335600
2010-04-19,10.44,10.47,10.4,10.45,8.48,2135200
2010-04-20,10.44,10.51,10.42,10.44,8.47,3057200
2010-04-21,10.44,10.47,10.35,10.39,8.43,3566000
2010-04-22,10.13,10.17,9.9,10.05,8.15,5016800
2010-04-23,10.03,10.07,9.94,10.01,8.12,3004800
2010-04-26,9.99,10.0,9.69,9.76,7.92,5917200
2010-04-27,9.76,9.86,9.74,9.8,7.95,4076400
2010-04-28,9.81,9.92,9.79,9.91,8.04,3115200
2010-04-29,9.94,10.17,9.94,10.15,8.24,4012400
2010-04-30,10.14,10.34,10.13,10.19,8.27,4194000
2010-05-03,10.23,10.24,10.12,10.23,8.3,3177200
2010-05-04,10.18,10.19,10.02,10.08,8.18,3000000
2010-05-05,10.06,10.24,10.05,10.19,8.27,3044000
2010-05-06,10.2,10.25,9.89,10.06,8.16,5147200
2010-05-07,10.07,10.18,10.02,10.06,8.16,3926800
2010-05-10,10.27,10.36,10.2,10.3,8.36,2565600
2010-05-11,10.26,10.37,10.2,10.26,8.33,2284400
2010-05-12,10.26,10.32,10.22,10.32,8.37,2544400
2010-05-13,10.32,10.39,10.29,10.31,8.36,1918000
2010-05-14,10.3,10.32,10.19,10.24,8.31,1891200
2010-05-17,10.24,10.39,10.24,10.38,8.42,2484800
2010-05-18,10.41,10.55,10.41,10.44,8.48,3332400
2010-05-19,10.11,10.34,10.1,10.17,8.25,6141600
2010-05-20,10.09,10.18,9.97,10.05,8.16,4730400
2010-05-21,9.93,10.02,9.84,9.99,8.1,4329200
2010-05-24,9.97,10.08,9.89,9.98,8.1,2435600
2010-05-25,9.84,9.88,9.73,9.88,8.02,3328400
2010-05-26,9.98,10.05,9.91,9.91,8.05,3886400
2010-05-27,10.02,10.02,9.9,9.98,8.1,3792400
2010-05-28,10.0,10.04,9.92,9.95,8.07,3142800
2010-06-01,9.9,10.12,9.84,10.02,8.13,2926000
2010-06-02,10.0,10.2,9.98,10.19,8.27,2996000
2010-06-03,10.24,10.31,10.2,10.3,8.36,2476400
2010-06-04,10.19,10.23,10.09,10.12,8.22,3379600
2010-06-07,10.12,10.22,10.05,10.09,8.19,2628800
2010-06-08,10.09,10.23,10.07,10.21,8.29,3164000
2010-06-09,10.23,10.28,10.15,10.22,8.29,2269200
2010-06-10,10.32,10.42,10.3,10.4,8.44,1748400
2010-06-11,10.32,10.38,10.28,10.38,8.42,1735200
2010-06-14,10.43,10.46,10.35,10.45,8.48,2213600
2010-06-15,10.48,10.55,10.4,10.55,8.56,1939200
2010-06-16,10.51,10.51,10.37,10.45,8.48,1863600
2010-06-17,10.45,10.67,10.44,10.65,8.65,2248800
2010-06-18,10.7,10.7,10.52,10.54,8.55,2014400
2010-06-21,10.62,10.62,10.44,10.47,8.5,1179600
2010-06-22,10.47,10.56,10.39,10.4,8.44,1222400
2010-06-23,10.36,10.58,10.36,10.55,8.56,2835600
2010-06-24,10.36,10.59,10.36,10.5,8.52,2275600
2010-06-25,10.49,10.49,10.34,10.39,8.43,2872800
2010-06-28,10.37,10.5,10.33,10.48,8.5,1366400
2010-06-29,10.43,10.45,10.27,10.31,8.37,2798800
2010-06-30,10.32,10.32,10.09,10.12,8.21,3833200
2010-07-01,10.12,10.27,10.03,10.27,8.33,3376800
2010-07-02,10.27,10.35,10.21,10.28,8.35,2494800
2010-07-06,10.32,10.42,10.28,10.38,8.42,2424400
2010-07-07,10.35,10.46,10.31,10.46,8.49,2454000
2010-07-08,10.5,10.52,10.44,10.51,8.52,1898800
