Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,11.95,12.12,11.65,11.67,8.46,5173000
2010-01-04,11.8,12.01,11.71,11.82,8.57,6997800
2010-01-05,11.85,12.11,11.78,12.09,8.76,6070600
2010-01-06,12.07,12.2,12.0,12.16,8.81,8102500
2010-01-07,12.05,12.66,12.05,12.61,9.14,13175100
2010-01-08,12.4,12.66,12.29,12.49,9.05,8449100
2010-01-11,12.6,12.7,12.3,12.38,8.97,8228200
2010-01-12,12.26,12.47,11.79,11.98,8.68,12188000
2010-01-13,11.99,12.48,11.98,12.47,9.04,7507600
2010-01-14,12.45,12.64,12.25,12.41,8.99,9099800
2010-01-15,12.35,12.36,11.88,11.98,8.68,8905900
2010-01-19,12.25,12.46,12.09,12.42,9.0,11094200
2010-01-20,12.35,12.35,12.03,12.25,8.88,7438800
2010-01-21,12.36,12.37,11.62,11.63,8.43,13930200
2010-01-22,11.64,11.83,11.04,11.08,8.03,16067400
2010-01-25,11.26,11.35,10.94,11.27,8.17,9085600
2010-01-26,11.04,11.28,10.91,10.93,7.92,7561700
2010-01-27,10.93,11.07,10.64,10.97,7.95,12063200
2010-01-28,11.03,11.08,10.67,10.87,7.88,8637200
2010-01-29,10.85,11.03,10.46,10.6,7.68,12882400
2010-02-01,10.7,11.01,10.65,10.94,7.93,7114800
2010-02-02,10.94,11.53,10.81,11.37,8.24,13279600
2010-02-03,11.3,11.4,10.99,11.34,8.22,24945200
2010-02-04,11.36,11.4,10.67,10.69,7.75,15489400
2010-02-05,10.67,11.01,10.47,10.9,7.9,11451200
2010-02-08,10.9,11.18,10.71,10.78,7.81,10732600
2010-02-09,11.13,11.13,10.63,10.77,7.81,10449200
2010-02-10,10.75,11.01,10.61,10.84,7.86,7726300
2010-02-11,10.81,11.13,10.72,11.08,8.03,8376800
2010-02-12,10.94,11.29,10.83,11.27,8.17,9775000
2010-02-16,11.4,11.72,11.32,11.62,8.42,10051200
2010-02-17,11.28,11.92,11.28,11.81,8.56,9840700
2010-02-18,11.39,11.79,11.39,11.68,8.47,9465400
2010-02-19,11.59,11.83,11.56,11.71,8.49,7809200
2010-02-22,11.74,11.85,11.63,11.72,8.49,6263800
2010-02-23,11.65,11.82,11.44,11.53,8.36,6330400
2010-02-24,11.55,11.7,11.47,11.63,8.43,7582800
2010-02-25,11.43,11.67,11.18,11.64,8.44,5742900
2010-02-26,11.67,11.83,11.55,11.71,8.49,8654700
2010-03-01,11.76,11.89,11.65,11.76,8.52,5991400
2010-03-02,11.83,11.92,11.71,11.73,8.5,4988700
2010-03-03,11.68,11.93,11.6,11.86,8.6,14403900
2010-03-04,11.99,12.06,11.83,12.05,8.73,7808300
2010-03-05,12.16,12.55,12.05,12.54,9.09,8629900
2010-03-08,12.5,12.69,12.4,12.59,9.13,6846000
2010-03-09,12.5,12.81,12.41,12.55,9.1,8284700
2010-03-10,12.52,12.73,12.41,12.7,9.21,7319000
2010-03-11,12.62,12.83,12.51,12.81,9.28,7629900
2010-03-12,12.89,13.25,12.79,13.09,9.49,11092100
2010-03-15,12.99,13.15,12.78,13.0,9.42,9774300
2010-03-16,13.08,13.39,13.07,13.35,9.68,8483400
2010-03-17,13.4,13.65,13.26,13.64,9.89,14616000
2010-03-18,13.67,13.77,13.52,13.68,9.92,8602700
2010-03-19,13.55,13.82,13.55,13.55,9.82,13525800
2010-03-22,13.43,14.03,13.28,13.91,10.08,11464200
2010-03-23,13.95,14.0,13.69,13.95,10.11,6128700
2010-03-24,13.9,14.47,13.79,14.4,10.44,10285800
2010-03-25,14.49,14.95,14.47,14.54,10.54,14073100
2010-03-26,14.6,14.96,14.53,14.6,10.58,11139300
2010-03-29,14.55,14.73,14.37,14.62,10.6,9168600
2010-03-30,14.63,14.82,14.52,14.76,10.71,8078300
2010-03-31,14.68,14.92,14.53,14.65,10.63,11379300
2010-04-01,14.73,14.85,14.64,14.81,10.74,7957900
2010-04-05,14.92,15.13,14.86,15.13,10.97,7525500
2010-04-06,15.07,15.38,14.91,15.38,11.16,12362200
2010-04-07,15.31,15.33,14.81,14.93,10.83,11149800
2010-04-08,14.84,15.11,14.78,14.96,10.85,12002200
2010-04-09,15.0,15.18,14.99,15.12,10.97,7313200
2010-04-12,15.2,15.2,14.93,14.98,10.87,7631300
2010-04-13,15.01,15.5,14.95,15.4,11.17,11532400
2010-04-14,15.55,15.57,15.32,15.49,11.24,9343200
2010-04-15,15.44,15.51,15.0,15.03,10.9,10374300
2010-04-16,14.98,15.17,14.59,14.61,10.6,14625000
2010-04-19,14.5,14.94,14.21,14.83,10.76,9091800
2010-04-20,14.97,15.24,14.74,15.18,11.01,7997900
2010-04-21,15.41,15.78,15.29,15.71,11.39,11037100
2010-04-22,15.55,16.36,15.49,16.32,11.84,13589600
2010-04-23,16.44,16.66,16.18,16.54,12.0,10546600
2010-04-26,16.52,16.88,16.5,16.78,12.17,10580400
2010-04-27,16.63,16.81,16.12,16.17,11.73,13255000
2010-04-28,16.31,16.41,15.88,15.99,11.6,13461400
2010-04-29,16.27,16.78,16.19,16.77,12.16,14018900
2010-04-30,16.7,16.91,16.23,16.26,11.79,10466500
2010-05-03,16.48,17.09,16.48,16.94,12.29,11618600
2010-05-04,16.64,16.86,16.21,16.37,11.87,14882200
2010-05-05,16.04,16.46,15.66,15.92,11.55,11460900
2010-05-06,15.8,16.09,14.3,15.37,11.15,19634900
2010-05-07,15.43,15.8,14.65,14.74,10.69,19550800
2010-05-10,15.6,16.05,15.28,16.04,11.63,16695400
2010-05-11,15.68,16.16,15.53,15.92,11.55,10723800
2010-05-12,16.0,16.33,15.87,16.26,11.79,10376800
2010-05-13,16.23,16.46,16.03,16.08,11.66,12995700
2010-05-14,15.85,15.85,14.76,14.89,10.8,19018200
2010-05-17,14.91,15.28,14.48,14.97,10.86,18428400
2010-05-18,15.21,15.23,14.34,14.42,10.46,14318500
2010-05-19,14.24,14.81,13.89,14.41,10.45,15409900
2010-05-20,14.05,14.11,13.31,13.36,9.69,24678300
2010-05-21,13.05,14.13,13.0,14.08,10.21,19759400
2010-05-24,14.22,14.25,13.65,13.68,9.92,12235600
2010-05-25,13.22,13.68,12.83,13.68,9.92,18294900
2010-05-26,13.91,14.19,13.48,13.55,9.83,12664600
2010-05-27,13.94,14.76,13.77,14.73,10.68,13627500
2010-05-28,14.82,14.86,14.17,14.26,10.34,12064800
2010-06-01,14.11,14.57,13.97,14.15,10.26,14605000
2010-06-02,14.26,14.8,14.04,14.8,10.73,15082900
2010-06-03,14.54,14.98,14.49,14.68,10.65,11449200
2010-06-04,14.18,14.56,13.55,13.65,9.9,17707300
2010-06-07,13.77,14.04,13.32,13.36,9.69,14598700
2010-06-08,13.38,13.85,12.98,13.83,10.03,19239400
2010-06-09,13.98,14.63,13.92,14.06,10.2,17843700
2010-06-10,14.33,14.89,14.26,14.84,10.76,10416200
2010-06-11,14.48,14.91,14.45,14.83,10.76,8528600
2010-06-14,15.0,15.37,14.83,15.02,10.89,12015400
2010-06-15,15.11,15.48,15.06,15.48,11.23,13329400
2010-06-16,15.34,15.49,15.14,15.35,11.13,7604200
2010-06-17,15.39,15.54,15.15,15.4,11.17,8115000
2010-06-18,15.46,15.58,15.3,15.51,11.25,7899200
2010-06-21,15.75,15.91,15.29,15.37,11.15,8672700
2010-06-22,15.43,15.51,14.88,14.89,10.8,12535000
2010-06-23,14.89,15.07,14.55,14.82,10.75,13092800
2010-06-24,14.69,14.72,14.05,14.06,10.2,19626700
2010-06-25,14.21,14.53,14.05,14.42,10.46,13459100
2010-06-28,14.53,14.54,14.17,14.22,10.32,8149200
2010-06-29,13.96,14.0,13.47,13.58,9.86,17498000
2010-06-30,13.63,13.92,13.4,13.48,9.78,17454700
2010-07-01,13.39,13.58,12.92,13.45,9.76,17964200
2010-07-02,13.58,13.66,12.96,13.07,9.49,13231600
2010-07-06,13.53,13.55,12.64,12.83,9.31,11968600
2010-07-07,12.92,13.72,12.86,13.69,9.94,13179200
2010-07-08,13.76,13.99,13.55,13.93,10.11,14621300
2010-07-09,13.92,14.24,13.84,14.21,10.31,8356800
2010-07-12,14.15,14.27,13.96,14.21,10.31,6676600
2010-07-13,14.42,14.81,14.42,14.73,10.69,13965200
2010-07-14,14.58,14.92,14.4,14.75,10.71,11012700
2010-07-15,14.79,14.84,13.92,14.18,10.29,18467000
2010-07-16,13.94,14.03,13.36,13.45,9.76,16404100
2010-07-19,13.46,13.68,13.28,13.57,9.85,13820700
2010-07-20,13.24,14.09,13.19,14.0,10.16,14980200
2010-07-21,14.17,14.2,13.49,13.58,9.86,14827100
