Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,36.56,36.56,35.77,35.79,27.56,607600
2010-01-04,36.01,36.26,35.76,36.22,27.89,1048000
2010-01-05,36.24,37.91,36.0,37.17,28.62,3828900
2010-01-06,37.32,37.53,36.75,36.85,28.38,1492400
2010-01-07,37.02,37.02,36.36,36.49,28.1,1148300
2010-01-08,36.55,36.63,36.2,36.38,28.02,836600
2010-01-11,36.42,36.42,35.83,36.18,27.86,1257400
2010-01-12,36.2,37.8,36.15,37.75,29.07,2368700
2010-01-13,37.37,38.05,36.46,36.61,28.19,4881000
2010-01-14,36.73,37.08,36.51,36.96,28.46,1765300
2010-01-15,36.64,36.86,35.97,36.25,27.92,1959300
2010-01-19,37.26,38.01,37.26,37.35,28.76,3543800
2010-01-20,37.32,37.32,36.72,37.08,28.55,1827600
2010-01-21,37.34,37.34,36.18,36.19,27.87,2642200
2010-01-22,36.53,36.89,36.1,36.28,27.94,1648800
2010-01-25,36.4,36.82,36.15,36.45,28.07,1876100
2010-01-26,35.95,36.55,35.95,36.5,28.11,2754900
2010-01-27,36.43,37.35,36.4,37.29,28.72,2956700
2010-01-28,37.29,37.38,36.83,37.13,28.59,1950900
2010-01-29,37.2,37.23,36.43,36.43,28.05,2409800
2010-02-01,36.59,36.81,36.06,36.81,28.35,2235200
2010-02-02,37.85,37.96,36.95,37.2,28.65,2704500
2010-02-03,37.23,37.57,36.95,37.15,28.61,1416200
2010-02-04,37.01,37.16,36.75,36.9,28.42,2432000
2010-02-05,36.83,37.5,36.77,37.35,28.76,2325600
2010-02-08,37.46,37.46,36.9,36.95,28.45,1472300
2010-02-09,37.24,37.37,37.05,37.2,28.65,1694000
2010-02-10,37.07,37.28,36.75,37.22,28.66,1231300
2010-02-11,37.23,37.45,36.84,37.4,28.8,1341600
2010-02-12,37.25,37.73,37.03,37.6,28.96,1858400
2010-02-16,37.61,38.38,37.53,38.38,29.56,1722800
2010-02-17,38.31,38.48,38.22,38.39,29.56,1330800
2010-02-18,37.92,38.84,37.81,38.83,29.9,1441100
2010-02-19,38.9,40.01,38.5,39.97,30.78,3565100
2010-02-22,39.98,40.1,39.55,39.74,30.6,4638900
2010-02-23,39.39,39.67,39.09,39.26,30.48,1119000
2010-02-24,39.34,39.69,39.25,39.64,30.77,1467700
2010-02-25,39.41,39.75,39.25,39.73,30.84,2333900
2010-02-26,39.71,39.99,39.66,39.76,30.87,1433900
2010-03-01,39.91,40.21,39.79,39.91,30.98,1539000
2010-03-02,40.01,40.33,39.91,40.17,31.19,1185700
2010-03-03,40.27,40.81,40.05,40.76,31.64,2376800
2010-03-04,40.78,41.23,40.76,41.1,31.91,1879000
2010-03-05,41.29,41.46,40.97,41.45,32.18,1596700
2010-03-08,41.3,41.5,40.85,41.2,31.98,1724200
2010-03-09,41.01,41.72,40.95,41.57,32.27,1679800
2010-03-10,41.61,41.65,41.26,41.5,32.22,1512900
2010-03-11,41.35,41.68,41.27,41.68,32.36,1399200
2010-03-12,41.75,42.66,41.65,42.65,33.11,3367300
2010-03-15,42.55,42.98,42.38,42.98,33.37,2523500
2010-03-16,42.93,43.56,42.68,43.52,33.79,2454600
2010-03-17,43.58,43.58,43.04,43.15,33.5,1906300
2010-03-18,43.24,43.3,42.78,42.98,33.37,1789500
2010-03-19,42.44,43.14,42.35,42.44,32.95,2141900
2010-03-22,42.22,42.92,42.17,42.88,33.29,1398000
2010-03-23,42.98,43.19,42.68,43.15,33.5,1266800
2010-03-24,43.03,43.03,42.53,42.69,33.14,1343500
2010-03-25,42.9,42.9,42.47,42.64,33.1,1624900
2010-03-26,42.68,42.92,42.36,42.49,32.99,970700
2010-03-29,42.61,42.96,42.37,42.87,33.28,1004200
2010-03-30,42.84,43.17,42.79,43.05,33.42,763900
2010-03-31,42.93,43.07,42.79,42.81,33.23,836500
2010-04-01,43.0,43.29,42.79,43.06,33.43,771900
2010-04-05,43.17,43.43,43.04,43.24,33.57,831300
2010-04-06,43.07,43.35,42.94,43.35,33.65,798300
2010-04-07,43.34,43.4,43.01,43.33,33.64,1057400
2010-04-08,43.28,43.58,43.06,43.48,33.75,1060200
2010-04-09,43.42,44.12,43.27,44.12,34.25,1227300
2010-04-12,44.04,44.47,44.04,44.27,34.37,1428400
2010-04-13,44.19,44.22,43.8,43.93,34.1,1119700
2010-04-14,43.89,44.15,43.52,44.14,34.27,1041500
2010-04-15,44.01,44.38,43.57,44.26,34.36,1119600
2010-04-16,44.08,44.28,43.58,43.87,34.06,1597300
2010-04-19,43.88,44.33,43.68,44.31,34.4,1355100
2010-04-20,44.47,44.91,44.26,44.91,34.87,1495000
2010-04-21,44.94,45.23,44.57,44.84,34.81,1874700
2010-04-22,45.82,48.23,45.62,48.08,37.33,6809500
2010-04-23,48.22,48.75,47.46,48.72,37.82,2685500
2010-04-26,46.86,48.22,46.81,47.84,37.14,3270800
2010-04-27,47.78,47.78,46.99,47.08,36.55,2182200
2010-04-28,47.13,47.27,46.76,46.88,36.39,1612400
2010-04-29,47.03,47.29,46.58,47.22,36.66,1484800
2010-04-30,47.25,47.5,46.9,47.01,36.5,1332700
2010-05-03,47.29,47.67,46.94,47.56,36.92,1216800
2010-05-04,47.26,47.35,46.78,47.02,36.5,1218100
2010-05-05,46.9,47.38,46.75,47.02,36.5,1910900
2010-05-06,46.97,47.33,44.75,46.33,35.97,2928400
2010-05-07,46.0,46.93,45.88,46.42,36.04,3152600
2010-05-10,47.89,47.92,47.05,47.92,37.2,1733600
2010-05-11,47.41,48.2,47.27,47.88,37.17,1784200
2010-05-12,47.83,48.16,47.72,47.96,37.23,1682900
2010-05-13,47.9,48.08,47.52,47.56,36.92,1180000
2010-05-14,47.6,47.62,46.92,47.22,36.66,1769700
2010-05-17,47.34,48.06,47.08,48.05,37.3,1574400
2010-05-18,48.34,48.34,47.8,47.85,37.15,1778300
2010-05-19,47.75,47.98,47.44,47.79,37.1,1470300
2010-05-20,47.3,47.53,46.62,46.63,36.2,2696500
2010-05-21,46.44,46.63,45.59,46.56,36.4,3236400
2010-05-24,46.29,46.93,46.1,46.67,36.48,2141300
2010-05-25,45.76,46.13,45.37,46.07,36.01,1378200
2010-05-26,46.29,46.54,45.86,45.9,35.88,1245400
2010-05-27,46.4,47.31,46.35,47.29,36.97,1638700
2010-05-28,47.18,47.28,46.8,46.8,36.58,2066600
2010-06-01,46.55,48.61,46.24,48.0,37.52,3194800
2010-06-02,48.13,48.7,47.86,48.7,38.07,1877400
2010-06-03,48.75,49.61,48.7,49.41,38.62,1939600
2010-06-04,48.92,49.02,48.18,48.29,37.75,1836900
2010-06-07,48.28,49.21,48.04,48.64,38.02,1794500
2010-06-08,48.73,50.48,48.73,50.47,39.45,3754800
2010-06-09,50.37,51.54,50.1,51.15,39.98,2927300
2010-06-10,51.62,52.1,51.45,51.76,40.46,1709600
2010-06-11,51.39,51.44,50.4,50.77,39.69,2172100
2010-06-14,51.06,51.33,50.75,50.88,39.77,2554700
2010-06-15,51.03,51.06,49.92,50.05,39.12,4260200
2010-06-16,49.68,50.0,48.94,49.89,39.0,3473100
2010-06-17,49.9,50.54,49.58,50.44,39.43,3115300
2010-06-18,51.1,51.1,50.17,50.22,39.26,2497200
2010-06-21,50.62,50.86,49.12,49.32,38.55,2318300
2010-06-22,49.33,49.9,49.12,49.16,38.43,1309300
2010-06-23,49.1,49.72,48.73,49.34,38.57,1049900
2010-06-24,49.38,49.82,49.2,49.4,38.62,1346400
